Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-07-26,15.0,15.2,14.75,15.2,4185369.0
2006-07-27,15.23,15.23,15.0,15.05,196508.0
2006-07-28,15.05,15.15,15.0,15.1,369379.0
2006-07-31,15.24,15.57,15.1,15.4,267339.0
2006-08-01,15.08,16.01,15.08,16.0,215222.0
2006-08-02,15.9,16.5,15.9,16.28,154733.0
2006-08-03,16.25,16.6,15.85,16.45,126561.0
2006-08-04,15.9,16.5,15.0,15.7,36978.0
2006-08-07,15.6,16.07,15.46,15.94,50697.0
2006-08-08,14.87,15.75,14.87,15.72,67957.0
2006-08-09,15.26,16.05,15.26,15.8,107321.0
2006-08-10,15.37,15.78,15.37,15.65,141108.0
2006-08-11,15.49,15.59,15.31,15.51,14417.0
2006-08-14,15.5,15.69,15.0,15.11,32453.0
2006-08-15,15.34,15.42,15.0,15.01,19069.0
2006-08-16,15.05,15.32,13.8,15.24,94012.0
2006-08-17,15.2,15.45,15.02,15.35,19605.0
2006-08-18,15.15,15.37,11.43,12.14,1542341.0
2006-08-21,11.98,12.43,11.98,12.33,117947.0
2006-08-22,12.3,12.65,12.3,12.51,183510.0
2006-08-23,12.5,12.63,12.5,12.63,86580.0
2006-08-24,12.5,13.31,12.5,13.24,129700.0
2006-08-25,13.12,13.12,12.91,12.99,14893.0
2006-08-28,12.94,13.05,12.91,13.02,26154.0
2006-08-29,13.05,13.13,12.99,13.1,20150.0
2006-08-30,12.98,13.38,12.98,13.01,19627.0
2006-08-31,12.95,13.26,12.94,13.0,9566.0
2006-09-01,13.22,13.25,12.96,12.99,28705.0
2006-09-05,12.73,13.87,12.72,13.77,80677.0
2006-09-06,13.9,14.05,13.83,13.9,66383.0
2006-09-07,13.75,14.0,13.7,13.73,32517.0
2006-09-08,13.5,14.08,13.13,13.91,57328.0
2006-09-11,13.56,13.85,13.56,13.71,19682.0
2006-09-12,13.82,13.82,13.51,13.56,43488.0
2006-09-13,13.64,14.5,13.54,13.84,45755.0
2006-09-14,13.76,13.82,13.57,13.62,33142.0
2006-09-15,12.95,13.82,12.95,13.82,49712.0
2006-09-18,13.47,13.97,13.47,13.87,20050.0
2006-09-19,14.1,14.1,13.72,13.76,17334.0
2006-09-20,12.8,14.39,12.8,13.86,106473.0
2006-09-21,14.45,14.45,13.33,13.5,117880.0
2006-09-22,12.88,13.48,12.88,13.12,144630.0
2006-09-25,13.17,13.33,12.44,12.7,364297.0
2006-09-26,12.53,13.5,12.39,12.77,425102.0
2006-09-27,12.87,13.41,12.04,12.14,132328.0
2006-09-28,12.04,12.61,11.9,12.33,105570.0
2006-09-29,12.3,13.35,12.2,12.31,515529.0
2006-10-02,12.4,12.64,11.16,11.39,175710.0
2006-10-03,11.24,11.49,11.2,11.33,96471.0
2006-10-04,11.35,12.6,11.35,11.95,202189.0
2006-10-05,12.17,12.17,11.87,12.1,41562.0
2006-10-06,12.01,12.09,11.87,11.91,53465.0
2006-10-09,11.83,13.06,11.83,12.85,69192.0
2006-10-10,12.9,13.03,12.51,12.97,131502.0
2006-10-11,12.81,13.36,12.62,12.9,254011.0
2006-10-12,13.05,13.2,12.44,12.99,147692.0
2006-10-13,13.19,13.51,12.87,12.93,89938.0
2006-10-16,13.0,13.21,12.62,13.0,68715.0
2006-10-17,12.87,13.16,12.7,12.93,107270.0
2006-10-18,12.81,13.15,12.81,13.15,169254.0
2006-10-19,13.08,13.45,13.08,13.44,36601.0
2006-10-20,13.54,13.54,13.09,13.11,141285.0
2006-10-23,12.98,13.33,12.94,13.31,13295.0
2006-10-24,13.05,13.37,13.05,13.33,49612.0
2006-10-25,13.3,13.79,13.25,13.66,84114.0
2006-10-26,13.78,14.26,13.7,14.22,57712.0
2006-10-27,14.23,14.43,14.04,14.4,19140.0
2006-10-30,14.25,14.47,14.25,14.47,25201.0
2006-10-31,14.48,14.55,14.36,14.41,45204.0
2006-11-01,14.44,14.55,13.55,13.85,64974.0
2006-11-02,13.68,13.94,12.39,12.6,148980.0
2006-11-03,12.7,12.93,12.47,12.58,41228.0
2006-11-06,12.7,12.95,12.37,12.79,166468.0
2006-11-07,12.7,13.72,12.7,13.25,226775.0
2006-11-08,13.04,13.87,13.04,13.5,139268.0
2006-11-09,15.0,15.0,13.17,13.31,144445.0
2006-11-10,13.28,13.64,13.25,13.59,33204.0
2006-11-13,13.75,14.21,13.56,13.63,106305.0
2006-11-14,13.61,14.94,13.61,14.9,49740.0
2006-11-15,14.97,15.35,14.29,15.24,61833.0
2006-11-16,14.86,15.26,14.86,15.22,103574.0
2006-11-17,15.25,15.29,15.0,15.18,59050.0
2006-11-20,15.0,15.3,14.79,15.13,95476.0
2006-11-21,15.11,15.39,14.93,15.23,30156.0
2006-11-22,15.29,15.45,15.29,15.33,27969.0
2006-11-24,15.16,15.16,14.79,15.09,9484.0
2006-11-27,14.92,15.08,13.71,13.98,261961.0
2006-11-28,14.02,14.07,13.78,14.05,115491.0
2006-11-29,14.21,14.65,14.21,14.58,42030.0
2006-11-30,14.68,14.93,14.54,14.76,68918.0
2006-12-01,14.85,15.32,14.53,15.0,58517.0
2006-12-04,14.93,15.21,14.8,15.09,55095.0
2006-12-05,15.2,15.2,14.75,14.94,33646.0
2006-12-06,14.81,15.17,14.77,15.14,16672.0
2006-12-07,15.16,15.37,15.09,15.28,25371.0
2006-12-08,15.21,15.69,15.21,15.48,47502.0
2006-12-11,15.55,15.63,15.44,15.48,29425.0
2006-12-12,15.56,15.56,15.26,15.27,46944.0
2006-12-13,15.43,15.55,14.69,14.77,106423.0
2006-12-14,14.75,15.56,14.75,15.42,146010.0
2006-12-15,15.56,15.57,15.28,15.43,73929.0
2006-12-18,15.46,15.78,15.22,15.5,202342.0
2006-12-19,15.33,15.42,15.22,15.32,52645.0
2006-12-20,15.39,15.51,15.1,15.46,50507.0
2006-12-21,15.51,15.51,15.27,15.33,65155.0
2006-12-22,15.37,15.41,15.04,15.28,143577.0
2006-12-26,15.32,15.59,15.38,15.55,114712.0
2006-12-27,15.6,16.24,15.6,16.23,83200.0
2006-12-28,16.3,16.3,15.85,16.22,79996.0
2006-12-29,16.25,16.33,15.98,16.21,44129.0
2007-01-03,16.43,16.43,15.42,16.11,251631.0
2007-01-04,16.0,16.12,15.76,16.06,18010.0
2007-01-05,15.95,16.05,15.52,15.63,93682.0
2007-01-08,15.6,15.59,15.16,15.19,150421.0
2007-01-09,15.17,15.2,15.0,15.15,66632.0
2007-01-10,15.0,15.21,15.0,15.2,72675.0
2007-01-11,15.21,15.54,15.1,15.54,35844.0
2007-01-12,15.65,16.13,15.65,15.99,32442.0
2007-01-16,16.05,16.06,15.6,15.72,24322.0
2007-01-17,15.57,16.01,15.57,15.95,16307.0
2007-01-18,15.9,15.9,15.21,15.39,44147.0
2007-01-19,15.32,15.71,15.24,15.66,14925.0
2007-01-22,15.6,16.08,15.55,16.04,25602.0
2007-01-23,15.99,16.52,15.99,16.49,103661.0
2007-01-24,16.57,16.73,16.38,16.56,31694.0
2007-01-25,16.52,16.52,15.76,15.81,26612.0
2007-01-26,15.83,16.33,15.16,15.75,61436.0
2007-01-29,15.73,15.73,15.44,15.64,34519.0
2007-01-30,15.7,15.7,15.35,15.6,124400.0
2007-01-31,15.5,16.1,15.5,16.04,54430.0
2007-02-01,16.13,16.43,16.13,16.25,36698.0
2007-02-02,16.36,16.36,15.61,16.13,37806.0
2007-02-05,16.51,16.51,16.01,16.1,42633.0
2007-02-06,16.18,16.18,15.75,16.1,20431.0
2007-02-07,16.13,16.16,15.85,16.04,37394.0
2007-02-08,16.05,16.26,15.87,15.89,21771.0
2007-02-09,15.91,16.3,15.88,15.91,30382.0
2007-02-12,15.97,16.38,15.95,16.37,61502.0
2007-02-13,16.44,17.55,16.44,17.51,83442.0
2007-02-14,17.49,17.8,17.45,17.5,67609.0
2007-02-15,17.71,18.0,17.27,17.33,35374.0
2007-02-16,17.33,17.46,16.97,17.29,25903.0
2007-02-20,17.26,17.33,16.85,17.28,32980.0
2007-02-21,17.17,17.38,16.97,17.38,18284.0
2007-02-22,17.39,17.93,17.24,17.92,26889.0
2007-02-23,17.86,18.33,17.69,18.2,34665.0
2007-02-26,18.23,18.36,17.9,18.24,17696.0
2007-02-27,17.72,18.05,16.97,17.17,60243.0
2007-02-28,17.14,17.17,16.5,16.99,35208.0
2007-03-01,16.58,17.2,16.5,16.76,46710.0
