Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-10-25,4.9,4.9,4.2,4.5,312480.0
2019-10-28,4.39,4.39,4.12,4.3,34441.0
2019-10-29,4.39,4.39,3.97,4.23,21318.0
2019-10-30,4.22,4.49,4.22,4.41,14123.0
2019-10-31,4.49,4.7,4.41,4.7,10323.0
2019-11-01,4.68,4.95,4.65,4.86,25907.0
2019-11-04,4.81,5.0,4.75,4.75,6014.0
2019-11-05,4.81,4.95,4.78,4.84,13009.0
2019-11-06,4.91,4.91,4.7,4.74,3733.0
2019-11-07,4.68,4.7,4.605,4.7,667.0
2019-11-08,4.65,4.65,4.1,4.49,3002.0
2019-11-11,4.22,4.65,4.17,4.63,9240.0
2019-11-12,4.63,4.67,4.55,4.57,1613.0
2019-11-13,4.58,5.0,4.31,4.87,13983.0
2019-11-14,4.6,5.0,4.6,5.0,12461.0
2019-11-15,5.0,5.2,5.0,5.17,9078.0
2019-11-18,5.15,5.15,4.86,4.9,3496.0
2019-11-19,4.95,4.95,4.75,4.79,11986.0
2019-11-20,4.8,4.8,4.575,4.6,328.0
2019-11-21,4.54,4.75,4.54,4.75,75.0
2019-11-22,4.75,4.75,4.75,4.75,3291.0
2019-11-25,4.8,4.91,4.8,4.91,675.0
2019-11-26,4.95,4.95,4.68,4.68,4216.0
2019-11-27,4.82,5.04,4.8,4.98,4362.0
2019-11-29,4.84,4.84,4.83,4.84,390.0
2019-12-02,4.9,4.9,4.84,4.84,22.0
2019-12-03,4.81,4.89,4.75,4.89,2748.0
2019-12-04,4.75,5.04,4.75,5.04,7482.0
2019-12-05,4.81,5.0,4.81,4.99,5735.0
2019-12-06,4.8,4.8,4.8,4.8,1252.0
2019-12-09,4.98,4.98,4.7,4.72,1825.0
2019-12-10,4.73,4.74,4.71,4.71,652.0
2019-12-11,4.9,4.9,4.73,4.73,1343.0
2019-12-12,4.72,4.75,4.7,4.75,9233.0
2019-12-13,4.57,4.7,4.57,4.7,1115.0
2019-12-16,4.71,4.71,4.4,4.4,4610.0
2019-12-17,4.45,4.6,4.45,4.6,40.0
2019-12-18,4.55,4.55,4.52,4.52,131.0
2019-12-19,4.32,4.5,4.3,4.3,1196.0
2019-12-20,4.35,4.35,4.27,4.27,300.0
2019-12-23,4.48,4.54,4.24,4.5,4997.0
2019-12-24,4.445,4.445,4.445,4.445,5.0
2019-12-26,4.67,4.67,4.17,4.56,9995.0
2019-12-27,4.56,4.56,4.18,4.18,3059.0
2019-12-30,4.33,4.37,4.2,4.37,1181.0
2019-12-31,4.35,4.67,4.21,4.555,8568.0
