Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-06-06,5.7,5.7,5.7,5.7,2000.0
2018-06-07,5.54,5.54,5.54,5.54,17.0
2018-06-08,5.75,5.75,5.75,5.75,3000.0
2018-06-11,5.65,5.65,5.55,5.55,1500.0
2018-06-12,5.55,5.55,5.53,5.55,1650.0
2018-06-13,5.55,5.55,5.55,5.55,800.0
2018-06-18,5.5,5.5,5.5,5.5,200.0
2018-06-19,5.42,5.45,5.42,5.45,13054.0
2018-06-20,5.45,5.45,5.45,5.45,8400.0
2018-06-21,5.5,5.55,5.5,5.55,1271.0
2018-06-22,5.83,5.9,5.81,5.81,1700.0
2018-06-25,5.79,5.79,5.79,5.79,34.0
2018-06-27,5.74,5.8,5.7,5.7,12919.0
2018-06-28,5.68,5.68,5.68,5.68,500.0
2018-06-29,5.69,5.7,5.69,5.7,4192.0
2018-07-02,5.6,5.69,5.57,5.69,1517.0
2018-07-03,5.67,5.7,5.67,5.7,2200.0
2018-07-05,5.67,5.67,5.36,5.5,10654.0
2018-07-09,5.52,5.84,5.52,5.84,1820.0
2018-07-10,5.84,5.84,5.84,5.84,3416.0
2018-07-12,5.84,6.12,5.81,5.81,5935.0
2018-07-13,6.02,6.02,6.02,6.02,93.0
2018-07-17,5.75,5.95,5.75,5.95,800.0
2018-07-18,6.08,6.15,6.08,6.15,1500.0
2018-07-19,6.14,6.22,6.09,6.09,11505.0
2018-07-20,6.18,6.18,6.18,6.18,100.0
2018-07-23,6.3,6.3,6.08,6.23,2234.0
2018-07-24,6.11,6.2,6.09,6.17,2300.0
2018-07-25,6.0,6.0,6.0,6.0,102.0
2018-07-26,6.07,6.07,5.95,6.01,1778.0
2018-07-27,6.0,6.0,6.0,6.0,42.0
2018-07-30,5.95,5.95,5.83,5.83,2900.0
2018-07-31,5.91,6.03,5.91,5.91,6456.0
2018-08-01,5.99,6.0,5.96,6.0,712.0
2018-08-02,5.83,6.13,5.83,5.99,4953.0
2018-08-03,5.99,5.99,5.99,5.99,9.0
2018-08-06,6.07,6.07,5.98,5.98,118.0
2018-08-07,5.91,5.91,5.7,5.7,149.0
2018-08-08,5.9,5.9,5.9,5.9,1.0
2018-08-09,5.99,5.99,5.83,5.83,4504.0
2018-08-10,5.75,5.775,5.62,5.705,3844.0
2018-08-13,5.8,6.2,5.8,6.2,8414.0
2018-08-14,5.88,5.88,5.61,5.7,4613.0
2018-08-15,5.65,5.7,5.65,5.7,2417.0
2018-08-16,5.7,5.7,5.6,5.6,5869.0
2018-08-17,5.6,5.6,5.3,5.59,10523.0
2018-08-20,5.27,5.35,5.25,5.3,3575.0
2018-08-21,5.19,5.25,5.19,5.2,1203.0
2018-08-22,5.17,5.24,5.15,5.2,12041.0
2018-08-23,5.15,5.15,5.13,5.15,5732.0
2018-08-24,5.15,5.35,5.15,5.35,3072.0
2018-08-27,5.3,5.32,5.3,5.32,156.0
2018-08-28,5.31,5.51,5.31,5.5,9052.0
2018-08-29,5.43,5.6,5.43,5.6,4124.0
2018-08-30,5.6,5.65,5.42,5.64,8401.0
2018-08-31,5.64,5.64,5.31,5.31,169.0
2018-09-04,5.29,5.5,5.29,5.47,4143.0
2018-09-05,5.47,5.6,5.47,5.6,3108.0
2018-09-06,5.59,5.62,5.59,5.62,8870.0
2018-09-07,5.6,5.64,5.6,5.64,3341.0
2018-09-10,5.64,5.72,5.62,5.7,5393.0
2018-09-11,5.73,6.22,5.73,6.0,28955.0
2018-09-12,5.91,6.0,5.64,5.75,4887.0
2018-09-13,5.7,6.25,5.7,6.25,7144.0
2018-09-14,5.85,6.04,5.6,5.6,6948.0
2018-09-17,6.05,6.25,5.9,5.93,12256.0
2018-09-18,6.0,6.02,5.9,5.97,8876.0
2018-09-19,5.83,5.99,5.81,5.98,6117.0
2018-09-20,6.0,6.25,5.87,5.87,6750.0
2018-09-21,5.9,5.9,5.2,5.31,22045.0
2018-09-24,5.35,5.605,5.35,5.5,3890.0
2018-09-25,5.49,5.53,5.49,5.53,1349.0
2018-09-26,5.56,5.75,5.56,5.75,1223.0
2018-09-27,5.75,5.75,5.52,5.72,6281.0
2018-09-28,5.63,5.87,5.55,5.67,19010.0
2018-10-01,5.69,5.75,5.69,5.75,731.0
2018-10-02,5.73,5.91,5.73,5.91,168.0
2018-10-03,5.785,5.785,5.7,5.7,111.0
2018-10-04,5.72,5.84,5.69,5.84,508.0
2018-10-05,5.81,5.81,5.43,5.45,5089.0
2018-10-08,5.52,5.75,5.52,5.75,1181.0
2018-10-09,5.47,5.73,5.47,5.55,1547.0
2018-10-10,5.62,5.62,5.36,5.36,656.0
2018-10-11,5.42,5.55,5.42,5.55,1875.0
2018-10-12,5.54,5.54,5.435,5.52,227.0
2018-10-15,5.48,5.55,5.48,5.55,5089.0
2018-10-16,5.5,5.58,5.5,5.58,200.0
2018-10-17,5.6,5.6,5.5,5.6,265.0
2018-10-18,5.55,5.55,5.5,5.55,939.0
2018-10-19,5.5,5.6,5.44,5.6,499.0
2018-10-22,5.6,5.6,5.43,5.43,1652.0
2018-10-23,5.49,5.49,5.2,5.2,1154.0
2018-10-24,5.3,5.32,5.3,5.32,868.0
2018-10-25,5.37,5.37,5.21,5.21,413.0
2018-10-26,5.36,5.36,5.02,5.02,2376.0
2018-10-29,5.19,5.19,4.9,4.9,4852.0
2018-10-30,5.0,5.19,5.0,5.19,1221.0
2018-10-31,5.04,5.13,5.04,5.12,4327.0
2018-11-01,5.13,5.13,4.91,5.13,1400.0
2018-11-02,5.07,5.12,5.07,5.12,776.0
2018-11-05,5.13,5.13,5.02,5.02,449.0
2018-11-06,5.09,5.09,5.05,5.05,86.0
2018-11-07,4.75,4.75,4.2,4.42,9006.0
2018-11-08,4.04,4.4,3.78,4.4,9972.0
2018-11-09,4.37,4.37,4.18,4.18,4721.0
2018-11-12,4.37,4.37,3.76,3.76,2580.0
2018-11-13,3.81,4.2,3.7,4.1,1376.0
2018-11-14,4.4,4.4,4.2,4.2,374.0
2018-11-15,4.21,4.35,4.21,4.35,190.0
2018-11-16,4.35,4.35,4.07,4.07,123.0
2018-11-19,4.14,4.14,3.76,3.76,1484.0
2018-11-20,3.68,3.9,3.68,3.71,1406.0
2018-11-21,3.7,4.01,3.5,3.5,1879.0
2018-11-23,3.85,4.0,3.85,4.0,944.0
2018-11-26,3.92,3.92,3.8,3.8,42.0
2018-11-27,3.97,3.97,3.76,3.76,4.0
2018-11-28,4.0,4.03,3.95,3.95,616.0
2018-11-29,4.12,4.12,4.12,4.12,6.0
2018-11-30,4.08,4.18,3.77,3.97,3347.0
2018-12-03,3.95,4.12,3.95,4.12,524.0
2018-12-04,4.08,4.08,4.08,4.08,20.0
2018-12-06,4.0,4.05,3.76,3.76,507.0
2018-12-07,4.075,4.1,4.075,4.1,312.0
2018-12-10,4.0,4.0,3.925,3.925,1108.0
2018-12-11,3.76,3.76,3.76,3.76,31.0
2018-12-12,3.77,3.77,3.76,3.76,2497.0
2018-12-13,3.76,3.76,3.76,3.76,1.0
2018-12-14,3.81,4.03,3.7,3.7,4048.0
2018-12-17,4.31,4.31,4.08,4.29,995.0
2018-12-18,3.9,3.9,3.79,3.79,66.0
2018-12-19,3.98,3.98,3.98,3.98,183.0
2018-12-20,4.25,4.25,4.25,4.25,161.0
2018-12-21,4.05,4.05,4.05,4.05,470.0
2018-12-24,3.65,3.65,3.5,3.5,208.0
2018-12-26,3.99,3.99,3.5,3.5,202.0
2018-12-27,3.59,3.59,3.59,3.59,9.0
2018-12-28,3.75,3.86,3.6,3.86,943.0
2018-12-31,3.78,4.0,3.72,3.72,2893.0
2019-01-02,3.95,5.49,3.61,4.95,10815.0
2019-01-03,4.9,4.9,4.81,4.81,223.0
2019-01-04,4.58,4.75,3.95,3.95,712.0
2019-01-07,4.74,4.8,4.44,4.44,825.0
2019-01-08,4.5,4.5,4.02,4.02,2544.0
2019-01-09,4.25,4.25,4.02,4.02,691.0
2019-01-10,4.26,4.26,4.26,4.26,67.0
2019-01-11,4.3,4.3,4.25,4.25,1002.0
2019-01-14,3.9,3.91,3.9,3.91,109.0
2019-01-15,4.18,4.2,4.0,4.0,4654.0
2019-01-16,3.8,4.3,3.8,4.3,1878.0
2019-01-18,4.1,4.1,4.1,4.1,23.0
2019-01-25,4.3,4.3,4.3,4.3,3.0
2019-01-28,4.23,4.35,4.2,4.2,10992.0
2019-01-29,4.04,4.16,3.96,4.15,9871.0
2019-01-30,3.92,4.11,3.92,4.11,1002.0
2019-01-31,4.15,4.15,4.05,4.05,15.0
2019-02-01,4.09,4.1,4.09,4.1,1911.0
2019-02-05,4.13,4.215,4.13,4.215,2486.0
2019-02-07,4.05,4.05,3.85,4.0,5149.0
2019-02-08,3.99,3.99,3.86,3.86,414.0
2019-02-11,3.92,3.92,3.92,3.92,173.0
2019-02-12,3.925,3.925,3.9,3.9,449.0
2019-02-13,3.99,4.26,3.99,4.26,2465.0
2019-02-14,4.27,4.27,4.03,4.03,496.0
2019-02-15,4.1,4.25,4.1,4.12,2599.0
2019-02-19,4.1,4.1,4.05,4.05,1886.0
2019-02-20,4.02,4.02,3.96,4.01,4256.0
2019-02-21,4.13,4.13,4.0,4.0,111.0
2019-02-22,4.13,4.14,4.0,4.0,4477.0
2019-02-25,4.0,4.17,4.0,4.17,124.0
2019-02-26,4.16,4.2,4.16,4.2,557.0
2019-02-27,4.2,4.2,3.96,3.96,870.0
2019-02-28,4.05,4.05,4.05,4.05,3.0
2019-03-01,4.02,4.1,4.02,4.1,109.0
2019-03-04,4.15,4.15,4.15,4.15,160.0
2019-03-05,4.1,4.2,4.0,4.0,2449.0
2019-03-06,4.2,4.2,4.03,4.03,431.0
2019-03-07,4.15,4.15,4.0,4.0,24.0
2019-03-08,4.13,4.13,4.05,4.05,61.0
2019-03-11,4.12,4.12,4.1,4.1,85.0
2019-03-12,4.13,4.13,3.97,3.97,519.0
2019-03-13,4.13,4.13,3.96,3.96,2356.0
2019-03-14,4.01,4.01,4.01,4.01,499.0
2019-03-15,4.08,4.08,4.0,4.08,11697.0
2019-03-18,4.05,4.05,4.0,4.0,2668.0
2019-03-19,4.05,4.1,4.05,4.06,9462.0
2019-03-20,4.06,4.06,4.0,4.0,524.0
2019-03-21,4.0,4.0,3.96,3.96,3235.0
2019-03-22,3.99,4.01,3.99,4.0,812.0
2019-03-25,4.09,4.09,4.09,4.09,2.0
2019-03-26,3.92,3.92,3.92,3.92,100.0
2019-03-27,3.94,3.94,3.94,3.94,9.0
2019-03-28,3.94,3.94,3.94,3.94,5.0
2019-03-29,3.99,3.99,3.93,3.93,280.0
2019-04-01,3.99,4.03,3.98,4.02,2387.0
2019-04-02,3.93,3.93,3.87,3.87,580.0
2019-04-03,3.96,3.96,3.88,3.88,500.0
2019-04-04,3.88,3.88,3.88,3.88,100.0
2019-04-05,3.915,3.95,3.915,3.95,102.0
2019-04-08,3.95,3.98,3.92,3.92,3980.0
2019-04-09,5.41,5.8,4.91,5.32,653059.0
2019-04-10,5.28,5.9,5.28,5.53,157136.0
2019-04-11,5.19,5.6,5.19,5.6,19808.0
2019-04-12,5.64,5.64,5.51,5.57,19494.0
2019-04-15,5.55,5.65,5.535,5.58,5814.0
2019-04-16,5.6,5.64,5.59,5.62,2350.0
2019-04-17,5.61,5.69,5.58,5.6,10546.0
2019-04-18,5.65,5.68,5.62,5.68,7439.0
2019-04-22,5.69,5.7,5.69,5.69,3686.0
