Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-07-01,87.5,88.75,83.75,86.25,164940.0
1997-07-02,86.875,87.5,85.0,85.0,34450.0
1997-07-03,85.0,85.625,85.0,85.0,14630.0
1997-07-07,85.0,86.25,85.0,85.0,9770.0
1997-07-08,85.0,86.25,85.0,85.0,3240.0
1997-07-09,85.0,88.75,85.0,86.25,11230.0
1997-07-10,86.25,88.75,86.25,87.5,3390.0
1997-07-11,87.5,96.25,87.5,95.625,15750.0
1997-07-14,92.5,95.0,85.0,86.25,15530.0
1997-07-15,87.5,87.5,85.0,85.0,7330.0
1997-07-16,86.25,88.75,85.0,86.25,6890.0
1997-07-17,90.0,90.0,85.0,86.25,2700.0
1997-07-18,88.75,88.75,85.0,87.5,2010.0
1997-07-21,85.0,88.75,85.0,85.0,2270.0
1997-07-22,85.0,87.5,85.0,85.625,3700.0
1997-07-23,85.0,85.625,85.0,85.625,3530.0
1997-07-24,87.5,87.5,85.625,86.25,1080.0
1997-07-25,87.5,87.5,85.0,85.0,1210.0
1997-07-28,87.5,90.0,83.75,86.25,11210.0
1997-07-29,86.25,86.25,71.25,76.25,17600.0
1997-07-30,82.5,82.5,78.75,78.75,3720.0
1997-07-31,78.75,82.5,77.5,82.5,2590.0
1997-08-01,78.75,82.5,77.5,78.75,670.0
1997-08-04,77.5,81.25,77.5,80.0,2220.0
1997-08-05,80.0,88.75,78.75,86.25,4730.0
1997-08-06,86.25,88.75,82.5,82.5,4200.0
1997-08-07,86.25,86.25,82.5,85.0,1650.0
1997-08-08,85.0,86.25,82.5,83.75,3620.0
1997-08-11,87.5,87.5,82.5,82.5,2100.0
1997-08-12,82.5,86.25,82.5,82.5,3240.0
1997-08-13,87.5,88.75,82.5,86.25,1000.0
1997-08-14,88.75,88.75,85.0,87.5,680.0
1997-08-15,85.0,88.75,85.0,87.5,2340.0
1997-08-18,87.5,88.75,85.0,85.0,1640.0
1997-08-19,85.0,88.75,85.0,88.75,1490.0
1997-08-20,85.0,88.75,85.0,88.75,1390.0
1997-08-21,88.125,88.75,85.0,88.75,3500.0
1997-08-22,86.25,88.75,86.25,87.5,1680.0
1997-08-25,86.25,90.0,86.25,88.75,11200.0
1997-08-26,90.0,90.0,87.5,90.0,2480.0
1997-08-27,87.5,90.0,87.5,90.0,420.0
1997-08-28,88.75,90.0,87.5,90.0,1680.0
1997-08-29,87.5,93.125,87.5,90.0,2600.0
1997-09-02,91.25,92.5,90.0,90.0,660.0
1997-09-03,92.5,92.5,88.75,88.75,720.0
1997-09-04,90.0,90.0,87.5,88.75,310.0
1997-09-05,108.75,115.0,98.75,115.0,83780.0
1997-09-08,120.0,120.0,111.25,116.25,29210.0
1997-09-09,116.25,116.25,107.5,113.75,15060.0
1997-09-10,113.75,122.5,112.5,120.0,18110.0
1997-09-11,120.0,140.0,116.25,133.75,16110.0
1997-09-12,133.75,150.0,132.5,150.0,16430.0
1997-09-15,150.0,150.0,137.5,141.25,10560.0
1997-09-16,150.0,150.0,141.25,145.0,7320.0
1997-09-17,148.75,160.0,141.25,156.25,7680.0
1997-09-18,160.0,160.0,145.0,150.0,12040.0
1997-09-19,151.25,156.25,143.75,153.75,4180.0
1997-09-22,156.25,158.75,152.5,156.25,4800.0
1997-09-23,157.5,157.5,150.0,155.0,2360.0
1997-09-24,150.0,155.0,145.0,147.5,2660.0
1997-09-25,143.75,148.75,125.0,135.0,6600.0
1997-09-26,136.25,146.25,136.25,136.25,4830.0
1997-09-29,135.0,145.0,135.0,143.75,820.0
1997-09-30,145.0,147.5,141.25,142.5,2860.0
1997-10-01,146.25,146.25,142.5,145.0,2620.0
1997-10-02,147.5,147.5,136.25,140.0,2390.0
1997-10-03,137.5,141.25,133.75,141.25,1970.0
1997-10-06,140.0,140.0,131.25,133.75,9630.0
1997-10-07,133.75,136.25,132.5,135.0,11180.0
1997-10-08,140.0,140.0,132.5,137.5,35120.0
1997-10-09,136.25,136.25,133.75,133.75,7220.0
1997-10-10,132.5,135.0,131.25,131.25,4730.0
1997-10-13,131.25,135.0,125.0,130.0,4750.0
1997-10-14,130.0,138.75,130.0,135.0,4830.0
1997-10-15,135.0,138.75,135.0,135.0,2810.0
1997-10-16,135.0,140.0,135.0,138.75,1340.0
1997-10-17,138.75,138.75,132.5,135.0,1490.0
1997-10-20,135.0,137.5,132.5,137.5,2390.0
1997-10-21,136.25,137.5,131.25,132.5,2210.0
1997-10-22,132.5,138.75,132.5,137.5,1310.0
1997-10-23,137.5,137.5,132.5,135.0,1960.0
1997-10-24,136.25,137.5,133.75,136.25,1250.0
1997-10-27,133.75,136.25,126.25,127.5,1740.0
1997-10-28,120.0,131.25,120.0,128.75,3970.0
1997-10-29,130.0,130.0,128.75,128.75,2180.0
1997-10-30,127.5,130.0,120.0,125.0,1810.0
1997-10-31,131.25,132.5,126.25,131.25,2340.0
1997-11-03,133.75,136.25,128.75,136.25,2820.0
1997-11-04,132.5,136.25,132.5,132.5,570.0
1997-11-05,131.25,136.25,131.25,136.25,1790.0
1997-11-06,136.25,153.75,132.5,147.5,3300.0
1997-11-07,143.75,156.25,142.5,150.0,4510.0
1997-11-10,151.25,151.25,130.0,135.0,2570.0
1997-11-11,140.0,140.0,135.0,140.0,350.0
1997-11-12,136.25,140.0,136.25,136.25,260.0
1997-11-13,140.0,141.25,137.5,140.0,540.0
1997-11-14,138.75,141.25,133.75,141.25,1460.0
1997-11-17,141.25,145.0,138.75,138.75,740.0
1997-11-18,145.0,145.0,138.75,138.75,530.0
1997-11-19,140.0,140.0,137.5,138.75,2860.0
1997-11-20,142.5,150.0,136.25,140.0,3560.0
1997-11-21,137.5,148.75,135.0,135.0,1400.0
1997-11-24,133.75,136.25,131.25,131.25,1190.0
1997-11-25,136.25,136.25,130.0,130.0,660.0
1997-11-26,131.25,131.25,128.75,128.75,1440.0
1997-11-28,128.75,130.0,128.75,130.0,290.0
1997-12-01,130.0,130.0,126.25,128.75,1390.0
1997-12-02,128.75,128.75,125.0,125.0,1300.0
1997-12-03,125.0,127.5,125.0,126.25,380.0
1997-12-04,127.5,127.5,125.0,125.625,1550.0
1997-12-05,125.0,135.0,125.0,133.75,13610.0
1997-12-08,135.0,135.0,132.5,135.0,810.0
1997-12-09,131.25,135.0,131.25,135.0,1190.0
1997-12-10,133.75,135.0,126.25,126.25,6780.0
1997-12-11,130.0,130.0,112.5,121.25,7140.0
1997-12-12,125.0,127.5,117.5,125.0,1180.0
1997-12-15,130.0,130.0,127.5,127.5,490.0
1997-12-16,128.75,130.0,127.5,127.5,1430.0
1997-12-17,128.75,128.75,125.0,125.0,810.0
1997-12-18,128.125,128.125,123.75,128.125,380.0
1997-12-19,118.125,124.375,118.125,124.375,730.0
1997-12-22,126.25,126.25,125.0,125.0,630.0
1997-12-23,120.0,126.25,116.25,120.0,2590.0
1997-12-24,125.0,126.25,125.0,126.25,670.0
1997-12-26,123.125,123.125,123.125,123.125,3000.0
1997-12-29,117.5,120.0,116.25,120.0,9240.0
1997-12-30,122.5,122.5,116.25,116.25,10610.0
1997-12-31,120.0,123.75,117.5,123.75,2820.0
1998-01-02,123.75,123.75,121.875,122.5,4360.0
1998-01-05,122.5,126.25,122.5,126.25,5690.0
1998-01-06,120.0,125.0,120.0,121.25,2230.0
1998-01-07,125.0,125.0,112.5,117.5,1270.0
1998-01-08,118.75,118.75,107.5,107.5,2780.0
1998-01-09,111.25,112.5,105.0,112.5,2130.0
