Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1998-05-15,5.65625,6.40625,5.625,6.359375,12074000.0
1998-05-18,6.21875,6.28125,5.953125,6.125,2134000.0
1998-05-19,6.09375,6.34375,6.0625,6.28125,1376400.0
1998-05-20,6.1875,6.3125,6.03125,6.1875,451200.0
1998-05-21,6.1875,6.25,6.125,6.1875,1262400.0
1998-05-22,6.25,6.28125,6.171875,6.1875,199200.0
1998-05-26,6.1875,6.25,6.15625,6.21875,468000.0
1998-05-27,6.21875,6.25,5.890625,5.984375,864000.0
1998-05-28,5.96875,6.078125,5.953125,6.03125,196000.0
1998-05-29,6.03125,6.421875,6.0,6.375,225600.0
1998-06-01,6.5,6.53125,6.375,6.375,494000.0
1998-06-02,6.453125,6.46875,6.28125,6.3125,336800.0
1998-06-03,6.40625,6.40625,6.1875,6.3125,288800.0
1998-06-04,6.1875,6.3125,6.1875,6.1875,76000.0
1998-06-05,6.25,6.3125,6.21875,6.3125,109600.0
1998-06-08,6.3125,6.8125,6.3125,6.75,487200.0
1998-06-09,6.8125,7.078125,6.8125,7.0,199200.0
1998-06-10,7.0,7.078125,7.0,7.078125,547200.0
1998-06-11,7.0625,7.125,7.0,7.0,264000.0
1998-06-12,7.046875,7.0625,7.015625,7.0625,47200.0
1998-06-15,7.03125,7.09375,6.890625,6.890625,407200.0
1998-06-16,6.96875,6.96875,6.875,6.921875,105200.0
1998-06-17,6.890625,6.90625,6.6875,6.6875,260400.0
1998-06-18,6.6875,6.75,6.5,6.5,101600.0
1998-06-19,6.4375,6.4375,6.21875,6.21875,188400.0
1998-06-22,6.3125,6.3125,6.21875,6.21875,374000.0
1998-06-23,6.21875,6.3125,6.203125,6.21875,528800.0
1998-06-24,6.3125,6.75,6.21875,6.5,284400.0
1998-06-25,6.4375,6.625,6.4375,6.4375,470000.0
1998-06-26,6.625,6.625,6.421875,6.46875,203600.0
1998-06-29,6.46875,6.5625,6.15625,6.3125,252800.0
1998-06-30,6.25,6.34375,6.25,6.3125,38800.0
1998-07-01,6.375,6.375,6.125,6.21875,375600.0
1998-07-02,6.125,6.1875,6.09375,6.15625,298800.0
1998-07-06,6.15625,6.875,6.09375,6.75,328400.0
1998-07-07,6.65625,6.75,6.59375,6.59375,201600.0
1998-07-08,6.75,6.75,6.59375,6.75,56400.0
1998-07-09,6.5625,6.71875,6.53125,6.625,258800.0
1998-07-10,6.75,6.75,6.53125,6.75,230000.0
1998-07-13,6.765625,6.765625,6.53125,6.625,30800.0
1998-07-14,6.65625,6.65625,6.59375,6.640625,118400.0
1998-07-15,6.59375,6.6875,6.59375,6.6875,16000.0
1998-07-16,6.59375,6.625,6.375,6.4375,448000.0
1998-07-17,6.5625,6.84375,6.5625,6.6875,65200.0
1998-07-20,6.8125,7.125,6.71875,7.125,590000.0
1998-07-21,7.125,7.5625,6.9375,7.3125,332000.0
1998-07-22,7.5,7.59375,7.34375,7.40625,709600.0
1998-07-23,7.34375,7.59375,7.34375,7.5625,269600.0
1998-07-24,7.59375,7.59375,7.5,7.5625,44000.0
1998-07-27,7.3125,7.5625,7.25,7.5625,108400.0
1998-07-28,7.375,7.5625,7.34375,7.5625,79200.0
1998-07-29,7.5625,7.78125,7.375,7.625,75200.0
1998-07-30,7.78125,7.84375,7.65625,7.84375,8800.0
1998-07-31,7.875,8.0625,7.6875,7.8125,368400.0
1998-08-03,7.78125,7.8125,7.75,7.8125,18000.0
1998-08-04,7.9375,7.9375,7.6875,7.6875,185600.0
1998-08-05,7.75,7.78125,7.6875,7.6875,267200.0
1998-08-06,7.6875,7.6875,7.6875,7.6875,7600.0
1998-08-07,7.6875,7.8125,7.59375,7.59375,46800.0
1998-08-10,7.8125,7.8125,7.59375,7.59375,21600.0
1998-08-11,7.59375,7.59375,7.0,7.0,69200.0
1998-08-12,7.28125,7.28125,7.1875,7.25,125600.0
1998-08-13,6.9375,7.0,6.9375,6.9375,10400.0
1998-08-14,7.0,7.28125,7.0,7.0,69200.0
1998-08-17,6.875,6.9375,6.625,6.90625,166800.0
1998-08-18,7.0,7.0,6.6875,6.75,11600.0
1998-08-19,6.875,7.0625,6.8125,6.90625,185600.0
1998-08-20,7.25,7.8125,7.0625,7.59375,149200.0
1998-08-21,7.5625,7.625,7.34375,7.40625,159600.0
1998-08-24,7.75,8.125,7.6875,7.9375,413200.0
1998-08-25,7.90625,7.9375,7.84375,7.84375,88800.0
1998-08-26,7.75,7.890625,7.75,7.75,102400.0
1998-08-27,7.75,7.8125,7.71875,7.78125,376000.0
1998-08-28,7.75,7.84375,7.5,7.578125,446400.0
1998-08-31,7.5,7.59375,6.65625,6.65625,192800.0
1998-09-01,6.65625,7.03125,6.59375,6.875,152800.0
1998-09-02,6.59375,7.25,6.59375,7.25,394400.0
