Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-05-23,14.0,16.75,10.23,11.19,772550.0
2019-05-24,11.2,11.74,10.89,11.25,88710.0
2019-05-28,11.25,11.63,10.64,11.39,41818.0
2019-05-29,11.58,11.95,11.0,11.95,28388.0
2019-05-30,11.95,11.95,11.24,11.54,28637.0
2019-05-31,11.36,12.11,11.36,11.87,19864.0
2019-06-03,12.07,12.63,11.49,11.6,32198.0
2019-06-04,11.5,12.0,11.5,11.86,17779.0
2019-06-05,11.6,11.89,11.51,11.7,13708.0
2019-06-06,11.7,11.79,11.48,11.48,8026.0
2019-06-07,11.59,11.59,9.31,10.52,82220.0
2019-06-10,10.54,11.2,10.02,10.76,30012.0
2019-06-11,10.82,11.21,10.77,11.12,8332.0
2019-06-12,11.0,11.59,10.7,10.79,23895.0
2019-06-13,10.74,10.9,10.63,10.65,8580.0
2019-06-14,10.62,10.91,10.12,10.82,10519.0
2019-06-17,10.82,11.33,10.75,10.92,23280.0
2019-06-18,10.99,11.13,10.87,10.9,11374.0
2019-06-19,10.89,11.08,10.4,10.74,5811.0
2019-06-20,10.44,10.62,9.98,10.47,18135.0
2019-06-21,10.38,10.9,9.57,9.58,18237.0
2019-06-24,9.5,10.1,9.2,9.97,18787.0
2019-06-25,10.0,10.13,9.73,9.87,5653.0
2019-06-26,9.9,10.25,9.81,9.81,3635.0
2019-06-27,9.9,10.08,9.9,10.06,2889.0
2019-06-28,10.08,10.36,9.63,9.96,7620.0
2019-07-01,10.08,10.08,9.02,9.6,10829.0
2019-07-02,9.61,9.71,8.75,9.1,13466.0
2019-07-03,9.1,9.31,8.62,8.62,9145.0
2019-07-05,8.7,8.98,8.0,8.01,32224.0
2019-07-08,8.06,8.46,8.0,8.15,6890.0
2019-07-09,8.11,8.11,7.61,7.88,9139.0
2019-07-10,7.88,8.21,7.75,7.77,6938.0
2019-07-11,7.8,8.22,7.8,8.04,4808.0
2019-07-12,8.11,8.6,8.11,8.6,7924.0
2019-07-15,8.7,8.79,8.11,8.29,7271.0
2019-07-16,8.19,8.39,8.02,8.02,3316.0
2019-07-17,8.04,8.17,7.72,7.97,2444.0
2019-07-18,7.71,8.2,7.71,7.83,5814.0
2019-07-19,7.88,8.25,7.3,7.83,7370.0
2019-07-22,7.85,8.0,7.0,7.21,7655.0
2019-07-23,7.25,7.65,6.81,6.82,13695.0
2019-07-24,6.7,7.14,6.7,6.8,9681.0
2019-07-25,6.81,6.81,6.71,6.72,4450.0
2019-07-26,6.74,7.0,6.73,6.75,2212.0
2019-07-29,6.95,7.12,6.8,7.12,8138.0
2019-07-30,7.07,7.16,6.9,6.9,1842.0
2019-07-31,6.82,7.2,6.82,7.11,2196.0
2019-08-01,7.0,8.0,7.0,7.37,459.0
2019-08-02,7.31,7.31,6.7,6.81,2853.0
2019-08-05,6.72,7.01,6.7,6.7,2127.0
2019-08-06,6.71,6.94,6.71,6.94,778.0
2019-08-07,6.88,6.88,6.56,6.74,3928.0
2019-08-08,6.79,6.82,6.62,6.77,1081.0
2019-08-09,6.83,6.83,6.63,6.78,1020.0
2019-08-12,6.77,7.0,6.76,6.95,4309.0
2019-08-13,6.9,7.26,6.66,7.19,1660.0
2019-08-14,7.14,7.14,6.59,7.02,2450.0
2019-08-15,7.02,7.02,6.63,7.0,3465.0
2019-08-16,6.94,6.94,6.68,6.68,1262.0
2019-08-19,6.73,6.73,6.24,6.64,5046.0
2019-08-20,6.61,6.62,6.61,6.62,195.0
2019-08-21,6.65,6.65,6.51,6.6,494.0
2019-08-22,6.54,6.61,6.31,6.31,3159.0
2019-08-23,6.33,6.37,5.47,6.36,5802.0
2019-08-26,6.3,6.3,5.86,6.2,3883.0
2019-08-27,6.25,6.25,5.94,6.25,1922.0
2019-08-28,6.17,6.28,6.01,6.06,2309.0
2019-08-29,6.1,6.79,6.04,6.69,4819.0
2019-08-30,6.86,6.86,6.31,6.8,2583.0
2019-09-03,6.8,7.05,6.42,6.8,5162.0
2019-09-04,6.74,7.65,6.74,7.0,1773.0
2019-09-05,6.93,6.93,6.63,6.92,1673.0
2019-09-06,7.11,7.11,7.03,7.03,419.0
2019-09-09,7.08,7.15,7.01,7.1,994.0
2019-09-10,7.99,7.99,7.65,7.8,5982.0
2019-09-11,7.9,8.46,7.85,8.11,13159.0
2019-09-12,8.27,8.27,7.82,7.97,6470.0
2019-09-13,7.97,8.17,7.28,7.78,4360.0
2019-09-16,7.81,9.79,7.7,9.79,19033.0
2019-09-17,9.8,10.0,9.19,9.55,11531.0
2019-09-18,9.57,11.6,9.57,10.91,16969.0
2019-09-19,11.09,11.19,10.14,10.14,16689.0
2019-09-20,10.15,10.81,9.02,9.02,40091.0
2019-09-23,9.1,9.8,8.84,9.12,12377.0
2019-09-24,9.12,9.66,9.12,9.15,10712.0
2019-09-25,9.08,9.2,8.63,8.81,2422.0
2019-09-26,9.29,10.11,9.29,9.7,15061.0
2019-09-27,9.78,9.8,9.04,9.17,9357.0
2019-09-30,9.11,9.19,8.93,9.0,3630.0
2019-10-01,8.94,9.08,8.94,9.0,3152.0
2019-10-02,9.0,9.0,7.85,7.85,6853.0
2019-10-03,8.2,8.2,7.5,7.5,4521.0
