Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-01-12,23.7,24.0,23.23,23.35,3068421.0
2018-01-16,23.4,23.74,23.15,23.35,203180.0
2018-01-17,23.39,23.55,23.0,23.41,74407.0
2018-01-18,23.5,23.5,23.04,23.23,63146.0
2018-01-19,23.3,23.69,22.27,23.05,860306.0
2018-01-22,23.23,23.57,22.55,22.59,83064.0
2018-01-23,22.63,23.13,22.54,22.8,57312.0
2018-01-24,22.84,22.98,21.85,22.2,229079.0
2018-01-25,22.17,22.22,21.48,21.95,127541.0
2018-01-26,21.87,22.34,21.8,22.05,36802.0
2018-01-29,22.1,22.39,21.7,21.94,69310.0
2018-01-30,21.75,22.54,21.62,22.47,52292.0
2018-01-31,22.55,22.71,21.75,22.6,66807.0
2018-02-01,22.53,22.53,21.9,22.22,40279.0
2018-02-02,22.21,22.21,21.63,21.91,66474.0
2018-02-05,21.9,22.23,21.67,21.69,38614.0
2018-02-06,20.3,22.49,17.21,21.86,158332.0
2018-02-07,21.81,22.28,21.81,21.95,44057.0
2018-02-08,21.95,22.14,21.63,21.65,116093.0
2018-02-09,21.71,22.09,21.27,21.3,28533.0
2018-02-12,21.4,21.81,21.07,21.14,29198.0
2018-02-13,21.22,21.22,20.78,20.99,39086.0
2018-02-14,20.91,21.12,20.4,20.99,35253.0
2018-02-15,21.03,21.38,20.98,21.07,45701.0
2018-02-16,21.04,21.75,21.04,21.59,26555.0
2018-02-20,21.5,21.7,21.19,21.22,21129.0
2018-02-21,21.23,21.505,20.44,20.8,88781.0
2018-02-22,20.68,21.5,20.32,20.63,65119.0
2018-02-23,20.6,21.16,20.49,21.04,58836.0
2018-02-26,21.21,21.21,20.15,20.51,75931.0
2018-02-27,20.59,20.87,20.4,20.44,34472.0
2018-02-28,20.46,20.57,20.05,20.08,29130.0
2018-03-01,20.01,20.6,19.91,20.17,65267.0
2018-03-02,20.15,20.87,20.13,20.7,31911.0
2018-03-05,20.63,20.86,20.17,20.66,32683.0
2018-03-06,20.66,21.1,20.66,20.96,34105.0
2018-03-07,20.87,21.17,20.65,21.01,31663.0
2018-03-08,21.12,21.45,21.1,21.29,35247.0
2018-03-09,21.35,21.35,20.96,21.21,53059.0
2018-03-12,21.14,21.71,20.57,20.67,45132.0
2018-03-13,20.72,21.38,20.72,21.06,43422.0
2018-03-14,21.16,21.4,20.01,20.49,52665.0
2018-03-15,20.64,20.86,20.32,20.67,46215.0
2018-03-16,20.55,20.98,20.37,20.79,1918925.0
2018-03-19,20.69,21.15,20.3,20.85,84544.0
2018-03-20,20.86,20.92,19.99,20.55,68394.0
2018-03-21,20.56,21.0,20.56,20.86,51276.0
2018-03-22,20.67,20.98,20.46,20.71,34328.0
2018-03-23,20.64,20.95,20.45,20.5,48458.0
2018-03-26,20.79,20.82,20.47,20.77,49317.0
2018-03-27,20.81,21.3,20.54,20.87,26358.0
2018-03-28,20.87,21.16,20.69,20.75,41125.0
2018-03-29,20.76,21.3,19.75,20.34,71022.0
2018-04-02,20.32,20.47,19.89,20.05,36572.0
2018-04-03,20.13,20.34,19.97,20.32,44670.0
2018-04-04,20.25,20.4,19.87,20.3,69944.0
2018-04-05,20.4,20.4,19.86,20.23,42022.0
2018-04-06,20.05,20.3,19.98,20.03,23646.0
2018-04-09,20.04,20.3,20.01,20.02,17531.0
2018-04-10,20.18,20.2,20.01,20.09,49705.0
2018-04-11,19.97,20.1,19.97,20.03,27461.0
2018-04-12,20.05,20.2,19.76,20.1,39608.0
2018-04-13,20.07,20.37,20.0,20.3,32596.0
2018-04-16,20.47,20.61,20.34,20.55,26575.0
2018-04-17,20.56,20.98,20.5,20.85,32309.0
2018-04-18,20.89,21.24,20.85,21.16,25088.0
2018-04-19,21.03,21.21,20.94,21.0,32999.0
2018-04-20,20.98,21.02,20.66,20.78,21713.0
2018-04-23,20.84,20.84,20.46,20.6,14078.0
2018-04-24,20.75,21.09,20.63,20.84,88418.0
2018-04-25,20.76,20.79,20.5,20.6,25625.0
2018-04-26,20.76,20.775,20.27,20.44,50194.0
2018-04-27,20.24,20.77,20.24,20.53,26069.0
2018-04-30,20.52,20.84,20.48,20.52,64567.0
2018-05-01,20.57,20.57,20.27,20.5,36586.0
2018-05-02,20.5,20.5,20.1,20.45,49489.0
2018-05-03,20.36,20.48,20.26,20.45,30594.0
2018-05-04,20.43,20.64,20.43,20.64,27697.0
2018-05-07,20.6,21.4,20.58,21.35,69168.0
2018-05-08,21.32,21.68,21.32,21.57,71893.0
2018-05-09,21.57,21.57,21.3,21.55,49341.0
2018-05-10,21.55,21.86,21.54,21.55,28326.0
2018-05-11,21.59,21.64,21.31,21.35,26048.0
2018-05-14,21.29,21.52,21.06,21.1,21784.0
2018-05-15,21.11,21.11,20.42,20.53,60009.0
2018-05-16,20.6,21.01,20.45,20.97,61753.0
2018-05-17,20.97,21.05,20.75,20.89,59701.0
2018-05-18,20.85,21.0,20.72,20.96,48893.0
2018-05-21,20.94,21.04,20.94,20.98,24170.0
2018-05-22,20.97,21.0,20.82,20.92,30758.0
2018-05-23,20.89,21.0,20.74,20.93,18306.0
2018-05-24,20.94,21.0,20.92,21.0,25175.0
2018-05-25,21.0,21.58,20.95,21.25,42150.0
2018-05-29,21.16,21.65,21.01,21.51,94273.0
2018-05-30,21.59,22.28,21.59,22.14,49355.0
2018-05-31,22.13,22.2,20.32,21.28,917611.0
2018-06-01,21.3,21.67,21.25,21.41,61855.0
2018-06-04,21.54,21.66,21.25,21.3,43752.0
2018-06-05,21.33,21.47,20.93,21.16,30440.0
2018-06-06,21.18,21.53,21.13,21.45,76375.0
2018-06-07,21.45,21.58,21.14,21.4,36355.0
2018-06-08,21.35,21.6,21.32,21.4,29190.0
2018-06-11,21.32,21.75,21.32,21.72,36489.0
2018-06-12,21.73,22.15,21.68,21.87,55767.0
2018-06-13,21.81,22.5,21.81,21.95,78957.0
2018-06-14,21.99,22.23,21.86,21.99,61320.0
2018-06-15,22.0,22.42,21.9,22.16,216639.0
2018-06-18,22.05,22.51,22.0,22.47,39584.0
