Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2007-06-07,16.0,21.22,16.0,19.89,7242335.0
2007-06-08,21.5,26.38,21.39,25.16,2076493.0
2007-06-11,27.17,27.89,24.64,24.96,757795.0
2007-06-12,25.4,25.82,23.88,24.06,372952.0
2007-06-13,24.02,24.95,23.51,23.94,593858.0
2007-06-14,23.86,24.62,23.74,24.05,222770.0
2007-06-15,24.49,27.45,23.96,27.05,808109.0
2007-06-18,27.8,30.0,26.27,26.6,870950.0
2007-06-19,26.6,26.95,24.2,24.61,308667.0
2007-06-20,24.96,25.12,23.5,23.97,374217.0
2007-06-21,23.97,24.45,23.08,24.04,209264.0
2007-06-22,24.44,24.48,23.6,24.41,103357.0
2007-06-25,24.68,24.71,23.75,23.75,81334.0
2007-06-26,24.2,24.2,23.27,23.74,88637.0
2007-06-27,24.12,24.42,23.53,23.9,126417.0
2007-06-28,24.38,26.85,23.5,26.74,160319.0
2007-06-29,26.85,26.85,24.57,24.92,312895.0
2007-07-02,25.54,25.91,23.2,23.86,213094.0
2007-07-03,24.0,24.05,22.77,23.33,138148.0
2007-07-05,23.35,23.68,22.11,22.37,108590.0
2007-07-06,22.23,23.3,22.15,23.08,183350.0
2007-07-09,22.89,24.89,22.51,24.4,206149.0
2007-07-10,24.12,25.75,24.02,25.0,192192.0
2007-07-11,25.29,25.97,24.8,24.99,202604.0
2007-07-12,25.0,25.42,23.41,24.9,287904.0
2007-07-13,24.56,25.84,24.44,25.72,97178.0
2007-07-16,25.03,25.4,23.55,23.79,185270.0
2007-07-17,23.9,23.96,23.18,23.31,205015.0
2007-07-18,23.18,23.53,22.26,23.29,171479.0
2007-07-19,23.5,24.12,22.3,22.36,293095.0
2007-07-20,22.91,23.2,22.15,23.2,92634.0
2007-07-23,23.09,23.58,23.0,23.3,75116.0
2007-07-24,23.38,24.1,22.98,23.2,162436.0
2007-07-25,23.5,23.95,23.25,23.77,90858.0
2007-07-26,23.85,23.85,22.78,23.45,63046.0
2007-07-27,23.0,23.42,22.1,22.16,192508.0
2007-07-30,22.7,23.55,22.59,23.06,140982.0
2007-07-31,23.5,23.5,22.7,22.8,193908.0
2007-08-01,22.3,22.37,19.6,20.13,544101.0
2007-08-02,20.62,21.32,19.6,20.27,185042.0
2007-08-03,20.38,20.61,19.79,20.0,122482.0
2007-08-06,20.07,20.43,19.71,20.3,63683.0
2007-08-07,20.53,20.69,20.05,20.12,105183.0
2007-08-08,20.01,21.37,20.01,20.9,157291.0
2007-08-09,20.99,21.96,20.29,21.18,156921.0
2007-08-10,21.71,21.71,18.75,19.83,133746.0
2007-08-13,19.33,20.12,19.26,19.39,66141.0
2007-08-14,19.655,19.89,18.63,18.93,43962.0
2007-08-15,18.81,18.94,17.86,17.96,113706.0
2007-08-16,17.53,17.95,16.52,17.22,164270.0
2007-08-17,18.18,18.75,17.6,17.99,149579.0
2007-08-20,18.0,18.34,17.66,18.0,80454.0
2007-08-21,18.0,18.5,17.63,17.86,72865.0
2007-08-22,18.12,18.12,17.26,17.9,118564.0
2007-08-23,18.23,18.23,17.16,17.61,98017.0
2007-08-24,17.74,18.5,17.5,18.24,57517.0
2007-08-27,18.39,18.39,17.5,17.55,60722.0
2007-08-28,17.5,17.71,17.01,17.14,60659.0
2007-08-29,17.45,18.15,16.9,18.05,173979.0
2007-08-30,17.67,18.29,17.4,18.18,148354.0
2007-08-31,18.21,19.88,18.21,19.26,132364.0
2007-09-04,19.3,19.25,18.59,19.14,75824.0
2007-09-05,18.89,19.49,18.89,19.11,75178.0
