Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2004-04-29,15.45,16.1,13.81,14.49,2928638.0
2004-04-30,14.74,15.09,13.56,14.74,2014764.0
2004-05-03,14.74,15.24,14.0,14.1,899821.0
2004-05-04,14.11,15.29,14.11,15.15,971628.0
2004-05-05,15.21,15.9,14.9,15.751,1311152.0
2004-05-06,15.54,16.19,15.49,15.949,1093123.0
2004-05-07,16.1,16.34,14.76,15.04,875642.0
2004-05-10,14.9,14.97,12.27,13.54,2105456.0
2004-05-11,13.8,14.85,13.37,14.72,763647.0
2004-05-12,14.75,15.43,13.75,15.42,482505.0
2004-05-13,15.0,16.5,14.83,16.15,1093810.0
2004-05-14,16.44,16.7,15.65,16.03,869256.0
2004-05-17,15.4,15.88,15.09,15.76,456127.0
2004-05-18,16.35,16.85,16.12,16.49,898212.0
2004-05-19,16.74,17.7,16.73,17.49,1089121.0
2004-05-20,17.4,17.56,16.53,16.99,321038.0
2004-05-21,17.1,17.38,16.93,17.29,263661.0
2004-05-24,17.6,18.0,17.34,17.85,459476.0
2004-05-25,17.78,18.36,17.4,18.26,495520.0
2004-05-26,18.25,18.73,17.83,18.54,270191.0
2004-05-27,18.54,18.95,18.13,18.432,320764.0
2004-05-28,18.5,18.61,17.93,18.22,312617.0
2004-06-01,18.16,18.5,17.37,18.4096,310713.0
2004-06-02,18.4,19.45,18.07,19.4,615041.0
2004-06-03,19.3,19.5,17.71,17.92,580244.0
2004-06-04,18.3,18.8,18.05,18.1,254384.0
2004-06-07,18.5,19.06,18.09,18.95,237586.0
2004-06-08,18.81,19.92,18.6,19.81,627285.0
2004-06-09,19.6,20.26,19.12,19.6,621673.0
2004-06-10,20.21,20.25,19.69,20.24,597262.0
2004-06-14,20.2,21.15,20.2,21.01,578285.0
2004-06-15,21.25,22.85,21.09,22.36,747024.0
2004-06-16,22.39,22.39,21.25,21.81,415841.0
2004-06-17,21.77,21.93,21.1,21.55,316667.0
2004-06-18,21.4,21.94,21.02,21.2,411735.0
2004-06-21,21.61,21.9,21.36,21.41,213771.0
2004-06-22,22.16,23.16,21.34,22.23,1401838.0
2004-06-23,22.24,24.32,22.0,24.32,1229446.0
2004-06-24,24.29,24.78,23.8,24.32,594146.0
2004-06-25,24.97,25.3,24.26,25.3,2269668.0
2004-06-28,25.37,25.5,24.38,24.69,665793.0
2004-06-29,24.3,25.31,24.16,25.16,305515.0
2004-06-30,25.28,26.5,24.62,26.5,565341.0
2004-07-01,26.66,26.75,24.62,25.28,766189.0
2004-07-02,24.83,26.0,23.75,25.52,574242.0
2004-07-06,24.97,25.5,24.5,25.17,271932.0
2004-07-07,25.09,25.65,24.14,24.55,392166.0
2004-07-08,24.01,25.08,23.88,23.95,470716.0
2004-07-09,24.15,24.69,23.31,23.83,352370.0
2004-07-12,23.48,23.68,21.86,22.39,889629.0
2004-07-13,22.86,23.26,22.25,22.34,268391.0
2004-07-14,22.24,23.0,21.57,22.38,294706.0
2004-07-15,22.46,22.87,20.62,20.9,751095.0
2004-07-16,21.03,21.9,20.32,21.33,780982.0
2004-07-19,21.55,21.77,20.8,20.87,259022.0
2004-07-20,21.02,22.99,20.95,22.69,848785.0
2004-07-21,23.4,23.77,21.51,21.66,497830.0
2004-07-22,21.3,21.39,18.65,20.66,1446685.0
2004-07-23,20.13,21.55,19.68,20.41,854666.0
2004-07-26,20.18,20.52,18.25,18.8,1046359.0
2004-07-27,21.83,21.87,19.51,21.67,3359865.0
2004-07-28,21.7,23.45,21.35,22.75,1153256.0
2004-07-29,23.24,23.89,22.28,22.95,932684.0
2004-07-30,23.22,23.5,22.4,22.97,433568.0
2004-08-02,22.93,23.45,22.15,22.89,442299.0
2004-08-03,22.59,23.69,22.5,22.82,676019.0
2004-08-04,22.5,23.15,21.62,22.33,545875.0
2004-08-05,22.81,22.98,20.9,21.24,607333.0
2004-08-06,20.19,20.43,19.0,19.15,924882.0
2004-08-09,19.29,19.6,18.35,18.8,493191.0
2004-08-10,18.99,20.2,18.85,19.84,927299.0
2004-08-11,19.01,19.46,18.6,19.25,548786.0
2004-08-12,18.95,19.45,18.31,18.77,483690.0
2004-08-13,19.08,19.4,18.01,18.34,393828.0
2004-08-16,18.21,18.69,17.69,17.955,715411.0
2004-08-17,18.35,18.85,17.88,18.63,960155.0
2004-08-18,18.18,19.53,18.1,19.47,866880.0
2004-08-19,19.5,20.49,19.32,19.99,751975.0
2004-08-20,19.93,20.4,19.64,20.15,539077.0
2004-08-23,20.42,20.89,20.3,20.65,373806.0
2004-08-24,20.73,21.9,20.65,21.38,570080.0
2004-08-25,21.21,22.1,21.2,21.79,286657.0
2004-08-26,21.6,21.9,21.41,21.62,223665.0
2004-08-27,21.87,21.87,21.35,21.6,512606.0
2004-08-30,21.06,21.6,20.86,21.34,475571.0
2004-08-31,21.25,21.3,19.08,19.65,1131621.0
2004-09-01,19.61,20.97,19.58,20.29,1073688.0
2004-09-02,20.29,21.09,20.18,20.9,358176.0
2004-09-03,20.81,21.3165,20.39,20.61,547037.0
2004-09-07,20.95,21.31,20.51,20.8,328614.0
2004-09-08,20.85,21.15,19.21,19.5,1033364.0
2004-09-09,19.68,20.24,18.94,20.2,1023613.0
2004-09-10,20.28,23.13,20.28,22.54,1806427.0
2004-09-13,22.6,23.46,22.55,22.78,1147636.0
2004-09-14,22.92,23.0,22.0,22.43,716773.0
2004-09-15,22.5,22.54,21.77,22.03,563197.0
2004-09-16,22.08,23.2,22.08,22.69,438902.0
2004-09-17,22.74,23.19,21.77,22.15,449317.0
2004-09-20,22.2,22.58,21.52,21.81,518829.0
2004-09-21,21.55,23.1,21.55,22.91,540365.0
2004-09-22,22.86,23.36,22.03,22.18,681665.0
2004-09-23,21.9,23.1,21.88,22.7,451513.0
2004-09-24,22.85,24.34,22.7,24.27,2274906.0
2004-09-27,23.78,24.88,23.3,23.3,1140376.0
2004-09-28,23.88,23.88,22.36,23.4,616492.0
2004-09-29,23.32,23.84,22.39,22.71,896589.0
2004-09-30,22.9,23.63,22.26,23.5,1325658.0
2004-10-01,23.49,24.98,23.45,24.39,968486.0
2004-10-04,24.95,25.73,24.87,25.45,1264104.0
2004-10-05,25.78,25.79,24.45,24.74,1169745.0
2004-10-06,24.93,25.11,24.16,24.83,790890.0
2004-10-07,24.84,25.2,24.05,24.2,1079366.0
2004-10-08,24.02,24.15,22.34,23.04,1219482.0
2004-10-11,23.09,23.9,22.41,22.48,620664.0
2004-10-12,22.31,23.01,21.74,22.56,829521.0
2004-10-13,22.9,23.41,22.25,22.39,793487.0
2004-10-14,22.48,22.85,22.181,22.38,465932.0
2004-10-15,22.83,23.0,21.47,22.02,980901.0
2004-10-18,22.01,23.49,21.39,23.16,828150.0
2004-10-19,23.55,23.8,22.66,23.13,1263719.0
2004-10-20,22.92,23.75,22.89,23.54,738775.0
2004-10-21,23.81,25.04,23.5,25.02,860241.0
2004-10-22,25.25,25.26,24.03,24.3,579273.0
2004-10-25,24.88,24.99,23.98,24.57,439873.0
2004-10-26,24.62,24.75,23.71,23.71,675506.0
2004-10-27,23.66,25.48,23.19,25.0,1225298.0
2004-10-28,26.35,27.0,23.64,24.5,2601203.0
2004-10-29,20.17,21.5,20.08,20.75,3967769.0
2004-11-01,20.48,20.62,18.93,20.36,2106941.0
2004-11-02,20.29,21.61,20.2,20.56,883740.0
2004-11-03,21.69,21.69,20.8,21.31,806934.0
2004-11-04,21.05,21.94,20.8,21.39,679143.0
2004-11-05,21.65,21.65,19.7,20.13,839064.0
2004-11-08,20.08,20.24,18.85,18.93,1675555.0
2004-11-09,18.83,19.74,18.3,19.6,2423310.0
2004-11-10,20.73,20.94,19.9,19.9,1314092.0
2004-11-11,20.01,20.76,19.71,20.71,550940.0
2004-11-12,20.57,20.94,19.85,20.16,764028.0
2004-11-15,20.22,20.62,19.64,20.55,592697.0
2004-11-16,20.55,21.47,20.3,20.93,988793.0
2004-11-17,21.23,22.0,21.0,21.41,1391608.0
2004-11-18,21.56,21.76,21.05,21.5,533351.0
2004-11-19,21.09,21.47,20.6,20.63,344177.0
2004-11-22,20.55,20.85,20.05,20.8,747385.0
2004-11-23,20.95,21.07,19.61,20.08,727793.0
