Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-10-20,26.75,28.0,24.75,26.05,2392548.0
2016-10-21,26.07,26.2,25.14,25.79,57441.0
2016-10-24,25.79,26.91,25.55,26.7,39374.0
2016-10-25,26.61,27.1,26.5,26.68,37387.0
2016-10-26,26.4,26.48,25.74,25.74,24499.0
2016-10-27,26.08,26.08,23.5,25.02,44064.0
2016-10-28,25.18,25.18,23.48,24.25,21149.0
2016-10-31,24.41,25.0,24.23,24.95,21874.0
2016-11-01,25.11,26.13,25.11,25.74,12048.0
2016-11-02,25.74,25.74,24.9,24.9,19630.0
2016-11-03,24.84,25.54,22.25,23.36,18017.0
2016-11-04,23.47,23.54,22.75,23.08,13383.0
2016-11-07,23.59,23.59,23.0,23.52,13048.0
2016-11-08,23.54,23.54,23.0,23.31,10383.0
2016-11-09,22.95,24.24,22.95,23.75,16640.0
2016-11-10,24.0,24.02,23.65,23.7,12271.0
2016-11-11,23.49,24.29,23.03,24.23,12259.0
2016-11-14,24.5,25.29,24.315,24.82,21798.0
2016-11-15,25.19,25.95,25.06,25.68,27665.0
2016-11-16,25.88,26.41,25.75,25.9,14471.0
2016-11-17,26.01,27.45,25.9,27.45,19550.0
2016-11-18,27.51,31.0,27.0,30.49,31013.0
2016-11-21,30.8,30.8,29.58,29.97,24152.0
2016-11-22,30.12,30.14,29.04,29.16,24701.0
2016-11-23,29.1,29.29,28.73,29.21,15228.0
2016-11-25,29.31,29.33,28.72,29.33,5370.0
2016-11-28,29.29,29.83,28.74,29.77,20304.0
2016-11-29,29.84,31.1,29.24,30.94,34342.0
2016-11-30,31.18,31.18,30.16,30.5,29211.0
2016-12-01,30.76,31.69,29.32,29.8,22527.0
2016-12-02,29.85,29.85,28.92,28.98,27030.0
2016-12-05,29.27,29.4,28.92,29.15,23197.0
2016-12-06,28.25,28.55,27.0,27.5,110137.0
2016-12-07,27.53,28.26,27.47,27.56,14274.0
2016-12-08,27.5,27.91,26.43,27.0,30890.0
2016-12-09,27.0,28.95,26.56,26.74,17625.0
