Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-01-31,18.5,19.78,18.04,19.4,254778.0
2014-02-03,19.5,20.0,18.92,20.0,15761.0
2014-02-04,19.49,19.5,19.0,19.0,14351.0
2014-02-05,19.01,19.2,18.0,18.46,16253.0
2014-02-06,18.81,18.98,16.75,16.89,14372.0
2014-02-07,16.96,16.96,16.5,16.795,4704.0
2014-02-10,16.925,17.05,16.75,16.98,7000.0
2014-02-11,16.6,16.99,16.6,16.93,24438.0
2014-02-12,16.85,16.99,16.71,16.99,4560.0
2014-02-13,16.87,17.0,16.87,16.99,30477.0
2014-02-14,16.86,17.0,16.68,16.8,14672.0
2014-02-18,16.66,16.95,16.66,16.88,15388.0
2014-02-19,16.95,16.95,16.78,16.78,11991.0
2014-02-20,16.85,16.85,16.25,16.3,14752.0
2014-02-21,16.48,16.48,16.17,16.24,7391.0
2014-02-24,16.29,16.9,16.29,16.77,13532.0
2014-02-25,16.72,16.815,16.39,16.67,9506.0
2014-02-26,16.85,16.85,16.38,16.49,26153.0
2014-02-27,16.5,16.59,16.44,16.59,23800.0
2014-02-28,16.39,16.39,15.91,16.23,16406.0
2014-03-03,17.575,17.575,16.56,16.98,18945.0
2014-03-04,16.93,18.19,16.93,17.6,20009.0
2014-03-05,17.7,18.26,16.61,17.44,30934.0
2014-03-06,17.99,18.52,17.6,18.3,17275.0
2014-03-07,18.34,19.5,18.13,19.12,33041.0
2014-03-10,19.26,19.73,19.26,19.59,17573.0
2014-03-11,19.66,20.5,19.65,20.09,30083.0
2014-03-12,20.29,20.95,19.55,20.25,27130.0
2014-03-13,20.3,21.06,20.03,20.25,27828.0
2014-03-14,20.24,20.375,19.5,20.0,12565.0
2014-03-17,19.67,19.77,17.77,18.28,34425.0
2014-03-18,18.26,19.49,18.11,19.4,89192.0
2014-03-19,19.43,19.65,19.01,19.39,43858.0
2014-03-20,19.31,20.0,19.31,19.78,30315.0
2014-03-21,19.8,19.8,17.55,18.56,440060.0
2014-03-24,18.43,19.05,17.75,18.98,18044.0
2014-03-25,19.04,19.04,18.155,18.73,21236.0
2014-03-26,18.81,18.96,17.72,17.92,17295.0
2014-03-27,17.0,18.82,16.02,18.7,7473.0
2014-03-28,18.53,19.0,18.39,18.59,4373.0
2014-03-31,18.66,18.73,18.18,18.18,20910.0
2014-04-01,18.27,19.0,18.22,19.0,12159.0
2014-04-02,18.93,19.2,18.59,19.0,23066.0
2014-04-03,18.38,18.93,17.71,18.42,17434.0
2014-04-04,18.39,18.99,16.98,17.05,32555.0
2014-04-07,17.12,17.71,15.97,17.49,10714.0
2014-04-08,17.51,17.51,16.2,16.5,9623.0
2014-04-09,16.71,18.51,16.71,18.36,12320.0
2014-04-10,18.43,19.0,18.0,18.26,24952.0
2014-04-11,17.15,17.75,16.9,17.49,10405.0
2014-04-14,17.5,18.2,16.73,16.87,9320.0
2014-04-15,16.85,16.85,15.87,16.21,8920.0
2014-04-16,16.9,16.9,15.31,15.72,15008.0
2014-04-17,16.73,16.73,15.71,16.15,12323.0
2014-04-21,16.1,16.47,15.65,16.1,16516.0
2014-04-22,15.5,16.015,15.49,15.77,15008.0
2014-04-23,15.98,16.4,15.76,16.25,17406.0
2014-04-24,16.34,16.6,15.93,16.31,11784.0
2014-04-25,16.04,16.46,16.04,16.22,12675.0
2014-04-28,16.27,17.36,16.01,16.95,19863.0
2014-04-29,17.1,17.1,16.31,16.54,25206.0
2014-04-30,16.48,16.81,16.48,16.7,8589.0
2014-05-01,16.75,16.815,16.5,16.5,7975.0
2014-05-02,16.48,16.5,15.85,16.08,14645.0
2014-05-05,15.93,15.93,15.21,15.58,6777.0
2014-05-06,15.73,15.8,15.31,15.75,8847.0
2014-05-07,15.7,15.98,15.35,15.42,12135.0
2014-05-08,15.48,16.4,15.4,16.27,9827.0
2014-05-09,16.2,16.62,15.75,15.95,12701.0
2014-05-12,15.75,16.26,15.63,15.8,15163.0
2014-05-13,15.56,15.84,15.03,15.35,30440.0
2014-05-14,15.39,15.77,15.05,15.77,17822.0
2014-05-15,15.77,16.18,15.55,15.95,24276.0
2014-05-16,15.94,15.97,15.78,15.81,28566.0
2014-05-19,15.81,15.89,15.17,15.55,21878.0
2014-05-20,15.51,15.51,14.96,15.03,10695.0
2014-05-21,15.1,15.5,14.71,14.87,27622.0
2014-05-22,14.93,15.13,14.92,15.01,15624.0
2014-05-23,15.05,15.31,15.0,15.25,34008.0
2014-05-27,15.0,15.14,14.86,14.98,35587.0
2014-05-28,14.94,15.15,14.79,14.88,13314.0
2014-05-29,15.06,15.39,14.98,15.0,19696.0
2014-05-30,15.09,15.44,15.06,15.15,80519.0
2014-06-02,15.15,15.19,14.95,14.99,15959.0
2014-06-03,14.91,15.31,14.82,14.91,20340.0
2014-06-04,15.02,16.64,14.89,16.37,26856.0
2014-06-05,16.42,16.95,15.96,16.52,18746.0
2014-06-06,16.58,16.89,16.0,16.31,13577.0
2014-06-09,16.49,17.35,16.49,16.64,10510.0
2014-06-10,16.56,16.8,16.37,16.79,8309.0
2014-06-11,16.64,16.865,16.51,16.82,7849.0
2014-06-12,16.67,16.76,16.63,16.76,15397.0
2014-06-13,15.99,16.99,15.99,16.89,9237.0
2014-06-16,16.93,16.93,16.27,16.73,18046.0
2014-06-17,16.34,16.88,16.34,16.81,10775.0
2014-06-18,16.85,19.27,16.76,18.28,90712.0
2014-06-19,17.12,18.63,17.12,18.52,49261.0
2014-06-20,18.61,19.6,18.0,19.26,104858.0
2014-06-23,18.87,19.1,16.14,18.95,70998.0
2014-06-24,18.81,18.81,17.7,17.79,38212.0
2014-06-25,17.55,18.005,17.05,17.17,27662.0
2014-06-26,16.84,17.61,16.72,17.39,22318.0
2014-06-27,17.18,18.01,16.45,17.15,869127.0
2014-06-30,17.26,17.26,16.3,16.86,63071.0
2014-07-01,16.89,17.1,16.36,16.97,39880.0
2014-07-02,16.9,17.24,16.71,17.17,31990.0
2014-07-03,17.18,17.18,16.85,16.95,9193.0
2014-07-07,16.9,17.2,16.76,16.91,19163.0
2014-07-08,16.82,17.0,16.08,16.16,25446.0
2014-07-09,16.18,16.18,15.8,15.91,6779.0
2014-07-10,15.71,15.71,14.81,15.13,16916.0
2014-07-11,15.06,15.33,14.54,15.26,21947.0
2014-07-14,15.36,15.36,14.84,15.27,19284.0
2014-07-15,15.22,15.23,14.98,15.09,24007.0
2014-07-16,15.15,15.2,14.11,14.31,70974.0
2014-07-17,14.2,14.75,14.15,14.32,21751.0
2014-07-18,14.17,14.62,14.17,14.4,52241.0
2014-07-21,14.31,14.365,14.13,14.25,23279.0
2014-07-22,14.34,14.5,14.17,14.33,22848.0
2014-07-23,14.32,14.45,14.19,14.3,15156.0
2014-07-24,14.28,14.46,14.13,14.17,17233.0
2014-07-25,14.06,14.29,13.5,13.72,20497.0
2014-07-28,13.71,14.01,13.32,13.34,11612.0
2014-07-29,13.31,14.07,13.31,13.86,22874.0
2014-07-30,13.96,14.85,13.95,14.79,18746.0
2014-07-31,14.62,14.93,14.35,14.49,18527.0
2014-08-01,14.55,14.92,14.17,14.78,23928.0
2014-08-04,14.88,16.33,14.88,15.86,17727.0
2014-08-05,15.8,16.13,14.78,15.34,30553.0
2014-08-06,15.23,15.39,14.62,15.23,12999.0
2014-08-07,15.24,15.5,14.18,14.33,7478.0
2014-08-08,14.26,15.54,14.26,15.27,19645.0
2014-08-11,15.36,16.0,15.36,15.88,17333.0
2014-08-12,15.77,16.51,15.75,15.98,22751.0
2014-08-13,15.98,17.79,15.98,17.69,18448.0
2014-08-14,17.64,18.92,17.5,18.19,17592.0
2014-08-15,18.51,18.9,18.1,18.38,22899.0
2014-08-18,18.57,18.73,17.65,17.99,43144.0
2014-08-19,18.09,18.09,16.75,17.29,24073.0
2014-08-20,17.16,17.59,15.26,15.55,49221.0
2014-08-21,15.51,15.55,14.56,14.97,32376.0
2014-08-22,14.91,15.74,14.91,15.62,16214.0
2014-08-25,15.61,16.19,15.61,15.9,10038.0
2014-08-26,15.92,15.92,15.08,15.19,22817.0
2014-08-27,15.2,15.25,14.67,14.83,12990.0
2014-08-28,14.81,14.81,14.25,14.31,8912.0
2014-08-29,14.3,14.44,14.0,14.22,19560.0
2014-09-02,14.19,14.56,13.83,14.44,23239.0
2014-09-03,14.51,15.16,14.25,14.31,14990.0
2014-09-04,14.37,14.92,14.37,14.63,5113.0
2014-09-05,14.53,14.8,14.48,14.68,5818.0
2014-09-08,14.65,15.0,14.63,14.72,18501.0
2014-09-09,14.72,14.72,14.19,14.22,7745.0
2014-09-10,14.18,14.75,14.11,14.62,11606.0
2014-09-11,14.59,14.99,14.59,14.79,9898.0
2014-09-12,14.75,14.8,14.27,14.29,9438.0
2014-09-15,14.65,15.04,14.0,14.22,41539.0
2014-09-16,14.16,14.32,14.03,14.13,15395.0
2014-09-17,14.1,14.51,14.03,14.14,11334.0
2014-09-18,14.21,14.68,14.2,14.45,21686.0
2014-09-19,14.47,14.67,13.71,13.79,69697.0
2014-09-22,13.74,13.93,13.11,13.12,12253.0
2014-09-23,13.03,13.5,12.76,13.08,15034.0
2014-09-24,13.14,13.82,13.14,13.76,7831.0
2014-09-25,13.7,13.99,13.16,13.21,11818.0
2014-09-26,13.24,14.73,13.24,14.47,9433.0
2014-09-29,14.26,14.54,14.07,14.51,12756.0
2014-09-30,14.45,14.75,13.68,13.71,28632.0
2014-10-01,13.75,14.21,13.52,13.61,16314.0
2014-10-02,14.06,14.09,13.5,14.07,12985.0
2014-10-03,14.2,15.0,13.75,14.79,36528.0
2014-10-06,14.78,15.0,14.7,14.84,13390.0
2014-10-07,14.68,15.06,14.41,14.5,11666.0
2014-10-08,14.51,15.0,14.16,14.99,23221.0
2014-10-09,14.92,14.92,14.37,14.54,12809.0
2014-10-10,14.37,14.85,14.33,14.34,18653.0
2014-10-13,14.37,15.0,14.37,14.72,18925.0
2014-10-14,14.52,14.66,14.11,14.57,40742.0
2014-10-15,14.36,14.99,14.16,14.96,25555.0
2014-10-16,14.71,16.1,14.71,16.05,23368.0
2014-10-17,16.31,16.46,15.51,15.88,17933.0
2014-10-20,15.73,16.06,15.71,16.04,13043.0
2014-10-21,16.09,16.09,15.1,15.25,19011.0
2014-10-22,15.34,15.34,15.14,15.19,8048.0
2014-10-23,15.39,15.39,14.85,14.89,27308.0
2014-10-24,14.94,14.94,14.67,14.75,7481.0
2014-10-27,14.64,14.99,14.51,14.92,4643.0
2014-10-28,14.96,15.41,14.96,15.38,24002.0
2014-10-29,15.2,15.2,14.9,15.02,13086.0
2014-10-30,14.91,15.16,14.91,15.1,20198.0
2014-10-31,15.49,15.76,15.05,15.5,20798.0
2014-11-03,15.2,15.47,14.8,15.16,15631.0
2014-11-04,15.01,15.53,15.01,15.06,8845.0
2014-11-05,15.24,15.45,14.89,15.19,7085.0
