Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-05-04,7.85,9.9,7.85,8.46,98158.0
2018-05-07,9.0,9.6,8.5,9.46,68542.0
2018-05-08,9.31,10.61,9.08,9.57,35121.0
2018-05-09,9.7,10.0,9.21,10.0,17909.0
2018-05-10,10.0,10.275,9.57,9.94,15503.0
2018-05-11,9.7,9.7,9.46,9.5,3442.0
2018-05-14,9.5,9.5,9.03,9.03,3200.0
2018-05-15,9.0,9.21,9.0,9.07,47594.0
2018-05-16,9.0,9.13,8.9,9.03,9190.0
2018-05-17,9.49,9.49,9.12,9.27,2502.0
2018-05-18,8.98,9.0,8.51,8.96,7660.0
2018-05-21,9.24,9.24,8.7,8.99,1250.0
2018-05-22,8.95,9.07,8.5,8.91,11072.0
2018-05-23,8.65,9.0,8.65,9.0,4947.0
2018-05-24,8.59,8.75,8.39,8.39,4856.0
2018-05-25,8.81,8.88,7.21,8.79,45825.0
2018-05-29,9.0,9.0,8.1,8.25,2397.0
2018-05-30,7.8,8.0,7.45,7.52,9323.0
2018-05-31,7.7,8.15,7.62,7.62,7923.0
2018-06-01,7.65,7.85,7.15,7.65,11391.0
2018-06-04,7.6,7.86,7.55,7.58,1819.0
2018-06-05,7.55,7.9,7.55,7.71,1739.0
2018-06-07,7.91,8.16,7.75,7.75,4000.0
2018-06-08,8.0,8.0,7.76,7.76,293.0
2018-06-11,7.6,8.34,7.6,8.05,8273.0
2018-06-12,8.47,8.47,7.86,7.92,3940.0
2018-06-13,8.0,8.43,8.0,8.26,6230.0
2018-06-14,8.32,9.1,7.8,7.8,67230.0
2018-06-15,8.1,9.1,7.9,8.69,73643.0
2018-06-18,8.64,10.2,8.56,9.01,125594.0
2018-06-19,9.0,9.8,9.0,9.3,37849.0
2018-06-20,9.5,9.89,9.26,9.3,80484.0
2018-06-21,9.24,9.25,8.55,8.79,16381.0
2018-06-22,8.79,8.94,8.5,8.7,8034.0
2018-06-25,8.64,8.64,8.25,8.34,14963.0
2018-06-26,8.25,8.59,8.06,8.57,5375.0
2018-06-27,7.94,7.94,6.81,6.81,75647.0
2018-06-28,7.5,7.56,7.11,7.32,24625.0
2018-06-29,7.36,7.43,7.3,7.38,18810.0
2018-07-02,7.19,7.26,6.81,6.93,11860.0
2018-07-03,6.93,7.23,6.7,6.7,4751.0
2018-07-05,6.85,6.85,6.69,6.74,2091.0
2018-07-06,6.58,6.6,5.84,5.91,18927.0
2018-07-09,6.2,6.89,6.2,6.89,9722.0
2018-07-10,6.85,7.34,6.85,7.19,21544.0
2018-07-11,7.29,7.6,7.2,7.34,15650.0
2018-07-12,7.33,7.33,7.2,7.2,2450.0
2018-07-13,7.2,7.2,7.11,7.11,1928.0
2018-07-16,6.96,7.02,6.74,6.81,1629.0
2018-07-17,6.79,6.79,6.03,6.06,6282.0
2018-07-18,6.35,6.37,6.055,6.08,5329.0
2018-07-19,6.08,6.66,6.08,6.29,1120.0
2018-07-20,6.23,6.34,6.2,6.32,2215.0
2018-07-23,6.15,6.35,5.99,6.15,10472.0
2018-07-24,6.19,6.22,6.07,6.1,6405.0
2018-07-25,6.16,6.16,6.04,6.04,2554.0
2018-07-26,6.0,6.1,6.0,6.1,1620.0
2018-07-27,6.13,6.14,6.04,6.04,600.0
2018-07-30,6.01,6.01,6.0,6.0,1385.0
2018-07-31,6.03,6.03,6.03,6.03,3.0
2018-08-01,6.09,6.09,5.98,6.0,4400.0
2018-08-02,6.05,6.13,6.03,6.13,927.0
2018-08-03,6.16,6.35,6.01,6.19,4609.0
2018-08-06,6.15,6.33,6.15,6.22,1689.0
2018-08-07,6.22,6.34,6.22,6.3,852.0
2018-08-08,6.3,6.67,6.3,6.67,2585.0
2018-08-09,6.73,6.73,6.5,6.6,5380.0
2018-08-10,6.46,7.68,6.46,7.455,7250.0
2018-08-13,7.5,7.6,6.85,7.55,5176.0
2018-08-14,7.5,7.5,6.75,7.15,15142.0
2018-08-15,7.11,7.3,7.02,7.3,4778.0
2018-08-16,7.23,7.3,7.15,7.3,1402.0
2018-08-17,7.0,7.0,7.0,7.0,36.0
2018-08-20,7.24,7.3,6.94,7.3,4367.0
2018-08-21,7.3,7.3,7.01,7.07,1003.0
2018-08-22,7.14,7.14,7.1,7.1,139.0
2018-08-23,6.95,6.95,6.86,6.86,2667.0
2018-08-24,6.85,6.975,6.85,6.85,1701.0
2018-08-27,6.85,7.11,6.8,6.8,1668.0
2018-08-28,6.87,6.87,6.87,6.87,476.0
2018-08-29,6.87,6.95,6.61,6.72,4231.0
2018-08-30,6.81,6.81,6.28,6.3,7309.0
2018-08-31,6.18,6.55,6.06,6.44,3473.0
2018-09-04,6.3,6.6,6.22,6.6,202.0
2018-09-05,6.6,6.6,6.34,6.34,3408.0
2018-09-06,6.4,6.5,6.3,6.3,2406.0
2018-09-07,6.51,6.51,6.0,6.0,9081.0
2018-09-10,6.03,6.13,6.0,6.0,1327.0
2018-09-11,6.0,6.0,5.9,6.0,3516.0
2018-09-12,6.0,6.0,5.8,5.84,3585.0
2018-09-13,5.8,5.84,5.38,5.38,9895.0
2018-09-14,5.25,5.6,5.25,5.6,2130.0
2018-09-17,5.56,5.56,5.37,5.37,547.0
2018-09-18,5.52,5.56,5.32,5.49,16722.0
2018-09-19,5.32,5.4,5.13,5.13,1232.0
2018-09-20,5.23,5.3,4.77,5.1,13350.0
2018-09-21,5.13,5.45,5.13,5.21,5557.0
2018-09-24,5.3,5.32,5.27,5.3,2313.0
2018-09-25,5.35,5.625,5.35,5.5,5492.0
2018-09-26,5.53,5.88,5.15,5.88,6176.0
2018-09-27,5.83,6.5,5.8,6.5,6747.0
2018-09-28,6.49,6.5,6.4,6.5,4939.0
2018-10-01,6.45,6.5,6.3,6.48,3211.0
2018-10-02,6.5,6.5,6.21,6.41,4360.0
2018-10-04,6.36,6.36,6.2,6.2,268.0
2018-10-05,6.56,6.56,5.38,5.38,905.0
2018-10-08,5.38,5.42,5.11,5.3,1460.0
2018-10-09,5.77,5.77,5.5,5.5,16.0
2018-10-10,5.6,5.6,5.25,5.25,1527.0
2018-10-11,5.23,5.65,5.23,5.65,58.0
2018-10-12,5.65,5.9,5.65,5.9,602.0
2018-10-15,5.5,5.8,5.5,5.7,8700.0
2018-10-16,5.73,5.94,5.73,5.94,13.0
2018-10-17,5.725,5.725,5.725,5.725,4.0
2018-10-18,5.74,5.75,5.74,5.75,805.0
2018-10-19,6.1,6.1,6.1,6.1,500.0
