Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2005-05-03,5.0,5.3,5.0,5.2,74800.0
2005-05-04,5.17,5.3,5.1,5.25,18300.0
2005-05-05,5.3,5.35,5.2,5.25,15000.0
2005-05-06,5.2,5.35,5.2,5.25,11600.0
2005-05-09,5.3,5.55,5.3,5.45,19900.0
2005-05-10,5.49,5.6,5.3,5.45,21300.0
2005-05-11,5.45,5.45,5.35,5.35,8100.0
2005-05-12,5.3,5.3,5.1,5.1,19800.0
2005-05-13,5.15,5.15,5.1,5.1,6100.0
2005-05-16,5.15,5.2,5.05,5.1,11700.0
2005-05-17,5.1,5.1,4.9,4.9,16800.0
2005-05-18,4.9,4.9,4.7,4.7,36800.0
2005-05-19,4.7,4.7,4.5,4.62,45800.0
2005-05-20,4.72,4.75,4.7,4.74,2300.0
2005-05-23,4.8,4.8,4.7,4.7,3500.0
2005-05-24,4.75,4.75,4.5,4.6,8800.0
2005-05-25,4.7,5.0,4.7,5.0,25000.0
2005-05-26,4.9,5.0,4.9,4.9,4600.0
2005-05-27,4.9,5.0,4.9,4.9,5000.0
2005-05-31,4.85,4.85,4.65,4.65,6200.0
2005-06-01,4.6,4.6,4.55,4.55,1700.0
2005-06-02,4.5,4.5,4.45,4.5,2500.0
2005-06-03,4.6,4.85,4.6,4.8,23800.0
2005-06-06,4.8,5.0,4.8,4.97,20600.0
2005-06-07,4.88,4.9,4.65,4.65,9700.0
2005-06-08,4.72,4.98,4.72,4.92,25300.0
2005-06-09,4.85,4.87,4.8,4.86,4800.0
2005-06-10,4.87,4.95,4.8,4.93,18600.0
2005-06-13,4.9,5.4,4.85,5.3,29300.0
2005-06-14,5.9,7.45,5.1,7.45,888000.0
2005-06-15,7.5,8.25,6.86,7.8,451700.0
2005-06-16,7.9,7.9,7.2,7.3,87600.0
2005-06-17,7.3,7.48,6.92,7.2,82400.0
2005-06-20,7.2,7.2,6.84,7.1,61100.0
2005-06-21,7.1,8.8,7.0,8.8,278700.0
2005-06-22,8.8,9.2,8.36,8.65,161500.0
2005-06-23,8.65,8.7,7.95,7.95,103300.0
2005-06-24,7.99,8.64,7.55,8.51,67200.0
2005-06-27,8.61,8.85,8.27,8.3,37900.0
2005-06-28,8.35,8.68,8.05,8.4,45200.0
2005-06-29,8.5,8.5,7.9,8.0,51100.0
2005-06-30,8.1,8.2,7.7,7.9,37900.0
2005-07-01,7.87,8.38,7.5,8.3,41700.0
2005-07-05,8.25,9.29,7.84,9.27,97100.0
2005-07-06,9.26,9.62,9.03,9.08,154500.0
2005-07-07,9.0,9.64,8.7,9.64,87000.0
