Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-07-20,16.7,18.69,16.4,18.49,1764355.0
2017-07-21,18.52,19.38,18.31,19.1,226408.0
2017-07-24,19.15,19.68,19.05,19.42,91715.0
2017-07-25,19.41,19.54,18.95,19.2,27049.0
2017-07-26,19.24,19.24,18.73,18.98,29024.0
2017-07-27,19.02,20.25,18.62,20.15,81955.0
2017-07-28,18.98,20.86,18.98,20.37,135164.0
2017-07-31,20.55,21.0,19.9,20.08,42013.0
2017-08-01,19.86,20.15,19.18,19.9,47275.0
2017-08-02,20.0,20.06,19.45,19.9,30568.0
2017-08-03,20.0,20.17,19.63,19.92,25002.0
2017-08-04,19.86,20.15,19.59,20.05,18305.0
2017-08-07,20.1,20.1,19.66,19.99,16699.0
2017-08-08,20.04,20.04,19.71,19.85,9237.0
2017-08-09,19.93,20.2,19.71,20.01,16866.0
2017-08-10,20.08,20.08,18.86,19.05,22272.0
2017-08-11,19.16,19.74,18.35,19.66,32419.0
2017-08-14,21.46,21.77,19.86,21.49,121521.0
2017-08-15,22.03,22.03,21.23,22.0,42499.0
2017-08-16,22.0,23.0,21.82,22.35,47021.0
2017-08-17,22.25,22.25,21.63,21.72,33232.0
2017-08-18,21.62,21.99,21.2,21.36,11816.0
2017-08-21,21.39,21.96,21.39,21.5,35428.0
2017-08-22,21.5,21.74,21.2,21.63,19843.0
2017-08-23,21.52,21.92,21.47,21.81,23191.0
2017-08-24,21.91,22.5,21.69,21.76,59649.0
2017-08-25,21.8,22.05,20.93,21.37,32297.0
2017-08-28,21.37,23.0,21.37,22.56,53307.0
2017-08-29,22.53,23.55,22.26,22.6,26026.0
2017-08-30,22.5,24.26,22.5,23.72,53016.0
2017-08-31,23.51,25.9,23.51,25.3,25671.0
2017-09-01,25.5,26.12,24.71,24.99,15489.0
2017-09-05,25.69,25.8,24.73,25.19,57646.0
2017-09-06,25.36,25.85,24.64,25.8,48156.0
2017-09-07,25.75,25.85,25.54,25.75,18755.0
2017-09-08,25.66,25.67,25.15,25.41,20810.0
2017-09-11,25.66,26.37,25.41,25.75,24542.0
2017-09-12,25.78,26.64,25.53,26.09,28431.0
2017-09-13,26.09,26.67,25.93,26.2,61335.0
2017-09-14,26.2,26.74,26.03,26.53,58393.0
2017-09-15,26.26,26.72,24.85,25.27,695727.0
2017-09-18,25.11,25.5,21.86,21.99,105473.0
2017-09-19,22.48,23.2,20.5,20.61,96446.0
2017-09-20,20.5,20.67,19.3,19.86,47235.0
2017-09-21,19.9,20.99,19.9,20.55,44446.0
2017-09-22,20.58,20.75,19.98,20.69,23439.0
2017-09-25,20.5,21.84,20.39,21.68,34069.0
2017-09-26,21.59,23.48,21.59,23.45,57443.0
2017-09-27,23.54,24.46,23.37,23.53,44383.0
2017-09-28,23.67,23.86,22.94,23.08,20579.0
2017-09-29,23.26,23.3,22.45,22.84,35085.0
2017-10-02,23.07,23.12,22.36,22.59,46164.0
2017-10-03,22.72,23.26,22.72,23.17,46729.0
2017-10-04,23.2,23.2,22.76,22.91,43926.0
2017-10-05,22.93,23.15,22.57,23.01,30107.0
2017-10-06,23.04,23.08,22.29,22.61,32251.0
2017-10-09,22.61,23.09,22.42,22.85,35733.0
2017-10-10,22.9,22.92,22.76,22.82,36127.0
2017-10-11,22.6,22.75,22.1,22.32,35634.0
2017-10-12,22.3,22.66,22.135,22.15,44115.0
2017-10-13,22.04,22.38,21.66,22.15,32659.0
2017-10-16,22.17,22.51,20.39,20.44,42782.0
2017-10-17,20.48,20.6,18.64,18.75,58271.0
2017-10-18,18.72,18.72,17.05,17.29,71672.0
2017-10-19,17.25,17.49,16.53,17.02,61402.0
2017-10-20,17.03,17.78,16.5,16.87,48538.0
2017-10-23,16.79,17.09,16.5,16.85,47809.0
2017-10-24,16.83,16.83,16.1,16.5,42118.0
2017-10-25,16.73,17.4,16.43,16.5,66262.0
2017-10-26,16.5,16.62,15.18,15.41,54559.0
2017-10-27,15.4,15.7,14.76,15.2,68893.0
2017-10-30,15.2,15.76,14.91,15.67,33558.0
2017-10-31,16.24,16.24,15.61,16.06,58176.0
2017-11-01,16.04,16.09,14.91,15.03,32731.0
2017-11-02,15.05,15.05,13.54,13.68,54100.0
2017-11-03,13.65,16.4,13.65,16.32,57782.0
2017-11-06,16.35,19.03,16.35,18.7,91108.0
2017-11-07,18.32,18.49,16.97,18.2,82076.0
2017-11-08,18.32,18.32,17.5,18.03,45531.0
2017-11-09,17.84,18.6,17.42,18.41,77821.0
2017-11-10,18.45,19.44,18.01,19.19,53633.0
2017-11-13,19.45,20.59,19.42,19.94,58328.0
2017-11-14,19.85,20.57,19.66,20.07,29253.0
2017-11-15,19.88,20.5,19.05,19.17,65028.0
2017-11-16,19.36,19.36,18.23,18.56,34650.0
2017-11-17,18.56,19.26,18.56,18.7,57851.0
2017-11-20,18.71,19.68,18.7,19.6,26943.0
2017-11-21,19.78,20.7,19.78,20.7,34858.0
2017-11-22,20.71,22.02,20.71,21.35,57091.0
2017-11-24,21.57,21.57,20.01,20.42,23858.0
2017-11-27,20.45,21.37,19.8,19.95,61616.0
2017-11-28,19.8,20.11,19.23,19.64,43324.0
2017-11-29,19.72,20.04,18.99,19.39,45188.0
2017-11-30,19.39,19.52,19.01,19.15,32453.0
2017-12-01,19.06,19.27,17.64,18.9,77861.0
2017-12-04,19.49,20.07,17.95,18.02,113903.0
2017-12-05,18.0,18.42,16.99,18.2,70904.0
2017-12-06,18.25,18.25,17.33,17.53,24713.0
2017-12-07,17.5,19.3,17.39,19.02,71174.0
2017-12-08,19.16,19.26,18.34,19.14,55630.0
2017-12-11,19.27,19.57,17.69,17.9,77303.0
2017-12-12,17.77,18.69,17.69,18.04,74506.0
2017-12-13,18.05,18.78,16.33,16.74,102783.0
2017-12-14,17.0,17.19,16.06,16.31,74596.0
2017-12-15,16.3,17.32,16.0,16.65,474038.0
2017-12-18,16.8,18.23,15.99,17.49,98201.0
2017-12-19,17.62,17.66,16.75,16.8,65365.0
2017-12-20,16.87,17.25,16.44,17.22,42579.0
2017-12-21,17.17,17.7,16.5,17.4,77751.0
2017-12-22,17.4,17.82,16.76,17.27,36766.0
2017-12-26,17.25,18.29,17.25,18.17,50585.0
2017-12-27,18.39,19.2,18.06,19.0,78689.0
2017-12-28,19.02,19.02,18.14,19.0,94300.0
2017-12-29,18.97,18.97,18.06,18.49,105987.0
2018-01-02,18.46,20.17,18.44,18.98,87969.0
2018-01-03,19.02,19.02,17.13,17.67,66241.0
2018-01-04,17.81,17.81,17.08,17.33,44503.0
2018-01-05,16.0,16.0,11.81,12.255,671385.0
2018-01-08,12.45,13.78,12.45,13.61,283630.0
2018-01-09,13.6,13.6,12.41,12.95,237147.0
2018-01-10,12.79,13.15,12.2,13.0,148906.0
2018-01-11,13.0,13.95,12.7,13.85,133725.0
2018-01-12,13.84,15.67,13.84,15.6,132195.0
2018-01-16,15.94,17.95,15.91,16.47,253956.0
2018-01-17,16.45,16.45,15.29,15.5,136079.0
2018-01-18,15.54,15.99,14.99,15.42,172237.0
2018-01-19,15.47,15.48,14.71,14.93,135251.0
2018-01-22,14.85,15.22,14.76,14.99,88743.0
2018-01-23,14.99,15.45,14.97,15.05,208519.0
2018-01-24,15.0,15.15,14.66,14.92,104944.0
2018-01-25,15.45,15.63,14.67,14.93,120059.0
2018-01-26,14.97,15.38,14.64,15.05,92256.0
2018-01-29,15.08,15.15,14.83,15.11,54978.0
2018-01-30,15.02,15.11,14.69,14.9,58538.0
2018-01-31,15.1,15.57,14.85,15.22,99653.0
2018-02-01,15.17,15.36,14.93,14.98,96122.0
2018-02-02,14.91,14.92,14.51,14.71,68605.0
2018-02-05,14.76,14.95,13.69,13.71,78053.0
2018-02-06,13.45,13.76,12.06,12.26,149071.0
2018-02-07,12.56,13.09,12.31,12.86,126889.0
2018-02-08,12.89,13.11,12.68,12.94,76273.0
2018-02-09,13.03,13.03,11.86,12.47,80467.0
2018-02-12,12.7,13.92,12.7,13.61,95833.0
2018-02-13,13.55,14.5,13.22,14.37,76777.0
2018-02-14,14.07,14.84,14.07,14.43,64223.0
2018-02-15,14.6,15.29,14.52,15.04,85424.0
2018-02-16,14.97,15.25,14.72,14.77,22492.0
