Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1993-10-04,4.625,4.625,4.25,4.25,4600.0
1993-10-05,4.375,4.375,4.375,4.375,1900.0
1993-10-06,4.25,4.25,4.25,4.25,400.0
1993-10-08,4.375,4.375,4.375,4.375,2000.0
1993-10-11,4.25,4.5,4.25,4.5,4700.0
1993-10-13,4.625,4.625,4.25,4.25,300.0
1993-10-14,4.625,4.625,4.25,4.625,6600.0
1993-10-15,4.625,4.625,4.375,4.375,4600.0
1993-10-19,4.625,4.625,4.375,4.5,5600.0
1993-10-20,4.25,4.25,4.25,4.25,4000.0
1993-10-21,4.25,4.25,4.25,4.25,400.0
1993-10-26,4.25,4.375,4.125,4.375,8500.0
1993-10-28,4.375,4.375,4.25,4.25,13800.0
1993-10-29,4.3125,4.375,4.3125,4.375,2400.0
1993-11-01,4.25,4.25,4.25,4.25,3700.0
1993-11-03,4.25,4.25,4.25,4.25,4000.0
1993-11-04,4.25,4.25,4.25,4.25,200.0
1993-11-10,4.25,4.25,4.25,4.25,900.0
1993-11-18,4.25,4.25,4.25,4.25,7200.0
1993-11-19,4.5,4.5,4.5,4.5,400.0
1993-11-22,4.5,4.5,4.25,4.25,2900.0
1993-11-23,4.25,4.25,4.25,4.25,100.0
1993-11-26,4.5,4.5,4.5,4.5,700.0
1993-11-29,4.5,4.5,4.5,4.5,300.0
1993-11-30,4.5,4.5,4.5,4.5,3400.0
1993-12-01,4.25,4.5,4.25,4.375,700.0
1993-12-03,4.25,4.25,4.25,4.25,200.0
1993-12-08,4.25,4.375,4.25,4.375,11000.0
1993-12-09,4.25,4.25,4.25,4.25,1900.0
1993-12-13,4.25,4.25,4.25,4.25,21200.0
1993-12-14,4.25,4.25,4.25,4.25,500.0
1993-12-15,4.25,4.25,4.25,4.25,500.0
1993-12-17,4.25,4.25,4.25,4.25,500.0
1993-12-20,4.375,4.625,4.375,4.625,2000.0
1993-12-21,4.25,4.25,4.25,4.25,800.0
1993-12-22,,,,,400.0
1993-12-28,4.25,4.25,4.25,4.25,500.0
1993-12-29,4.125,4.125,4.125,4.125,1000.0
1993-12-30,4.0,4.0,4.0,4.0,700.0
1993-12-31,4.0,4.25,4.0,4.25,8700.0
1994-01-03,4.25,4.25,4.0,4.0,1000.0
1994-01-04,4.0,4.0,4.0,4.0,1500.0
1994-01-05,4.0,4.0,4.0,4.0,200.0
1994-01-07,4.0625,4.125,4.0,4.0,16500.0
1994-01-13,3.625,3.625,3.625,3.625,1000.0
1994-01-14,3.6875,3.875,3.6875,3.875,14600.0
1994-01-17,3.875,3.875,3.875,3.875,4700.0
1994-01-18,3.875,3.875,3.875,3.875,800.0
1994-01-21,3.875,3.875,3.875,3.875,400.0
1994-01-24,3.625,3.625,3.625,3.625,1500.0
1994-01-26,3.625,3.625,3.625,3.625,2000.0
1994-01-27,3.625,3.625,3.625,3.625,2000.0
1994-01-28,3.625,3.625,3.625,3.625,2000.0
1994-01-31,3.875,3.875,3.875,3.875,400.0
1994-02-01,3.75,3.75,3.75,3.75,200.0
1994-02-02,3.75,4.0,3.75,4.0,21100.0
1994-02-03,4.0,4.0,3.875,4.0,1100.0
1994-02-04,4.0,4.0,3.875,3.875,1500.0
1994-02-07,4.0,4.0,4.0,4.0,200.0
1994-02-08,3.875,3.875,3.875,3.875,1600.0
1994-02-09,3.75,3.75,3.75,3.75,1000.0
1994-02-11,3.75,3.75,3.75,3.75,1000.0
1994-02-14,3.75,4.0,3.75,4.0,2100.0
1994-02-15,3.75,3.75,3.75,3.75,100.0
1994-02-16,3.75,3.75,3.75,3.75,100.0
1994-02-17,4.0,4.0,3.875,3.875,1700.0
1994-02-24,3.625,3.625,3.625,3.625,1200.0
1994-03-08,3.5,3.5,3.5,3.5,2500.0
1994-03-09,3.5,3.5,3.25,3.25,7400.0
1994-03-10,3.5,3.5,3.5,3.5,3000.0
1994-03-11,3.375,3.5,3.375,3.375,19500.0
1994-03-14,3.5,3.75,3.5,3.75,17300.0
1994-03-15,3.5,3.75,3.5,3.75,1500.0
1994-03-21,3.375,3.4375,3.375,3.4375,11500.0
