Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2008-03-18,5.2,5.45,5.2,5.3,2800.0
2008-03-19,5.5,5.5,5.2,5.2,2300.0
2008-03-20,5.2,5.29,5.2,5.29,900.0
2008-03-24,5.38,5.38,5.38,5.38,100.0
2008-03-25,5.25,5.25,5.25,5.25,5100.0
2008-03-26,5.3,5.3,5.16,5.3,4330.0
2008-03-27,5.2,5.2,5.12,5.2,3897.0
2008-03-28,5.25,5.56,5.25,5.56,3526.0
2008-03-31,5.65,5.6,5.29,5.5,6675.0
2008-04-01,5.83,7.25,5.5,6.48,162242.0
2008-04-02,6.82,6.82,5.66,6.5,42768.0
2008-04-03,6.51,6.51,6.05,6.24,8435.0
2008-04-04,6.28,6.28,5.8,6.16,21595.0
2008-04-07,5.97,6.13,5.75,6.13,7527.0
2008-04-08,6.15,6.15,5.95,5.95,2940.0
2008-04-09,5.94,6.15,5.81,6.01,11610.0
2008-04-10,6.14,6.14,5.7,5.7,9581.0
2008-04-11,5.96,5.96,5.86,5.9,2933.0
2008-04-14,5.82,5.82,5.67,5.75,6264.0
2008-04-15,5.7,5.74,5.45,5.74,9067.0
2008-04-16,5.68,5.7,5.6,5.66,17253.0
2008-04-17,5.56,5.56,5.3,5.4,10800.0
2008-04-18,5.41,5.75,5.26,5.75,12100.0
2008-04-21,5.78,5.78,5.61,5.61,400.0
2008-04-22,5.73,5.73,5.45,5.55,1200.0
2008-04-23,5.51,5.55,5.45,5.49,12200.0
2008-04-24,5.46,5.46,5.2,5.37,7805.0
2008-04-25,5.38,5.38,5.23,5.23,3650.0
2008-04-28,5.29,5.29,5.17,5.25,3500.0
2008-04-29,5.3,5.32,5.25,5.3,8203.0
2008-04-30,5.22,5.4,5.22,5.24,6800.0
2008-05-01,5.44,5.44,5.25,5.37,4090.0
2008-05-02,5.25,5.25,5.2,5.2,2400.0
2008-05-05,5.21,5.21,4.86,5.06,11626.0
2008-05-06,4.97,5.24,4.61,5.24,20720.0
2008-05-07,5.45,5.45,5.06,5.15,4544.0
2008-05-08,5.15,5.15,4.97,4.97,6680.0
2008-05-09,5.01,5.43,4.74,4.84,84600.0
2008-05-12,4.99,4.99,4.51,4.6,29096.0
2008-05-13,4.8,4.8,4.41,4.5,13637.0
2008-05-14,4.79,5.12,4.79,4.97,17641.0
2008-05-15,5.15,5.15,5.0,5.0,5439.0
2008-05-16,5.09,5.4,5.09,5.27,36910.0
2008-05-19,5.34,5.35,4.84,5.19,22008.0
2008-05-20,5.33,5.33,5.04,5.24,11452.0
2008-05-21,5.28,5.36,5.07,5.25,20347.0
2008-05-22,5.18,5.28,5.1,5.1,10683.0
