Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-10-17,3.9,3.98,3.68,3.98,26775.0
2019-10-18,3.98,4.25,3.95,4.1,24435.0
2019-10-21,4.19,4.19,4.08,4.08,19423.0
2019-10-22,4.06,4.09,3.835,3.89,11688.0
2019-10-23,3.84,4.0,3.84,4.0,5636.0
2019-10-24,4.0,4.0,3.75,3.75,534.0
2019-10-25,3.71,3.88,3.71,3.78,3403.0
2019-10-28,3.88,3.88,3.64,3.83,4874.0
2019-10-29,3.75,4.0,3.65,3.97,11926.0
2019-10-30,3.99,4.04,3.81,3.9,10862.0
2019-10-31,3.97,4.11,3.89,3.89,31575.0
2019-11-01,3.93,4.04,3.93,4.0,11024.0
2019-11-04,4.0,4.25,3.9,4.2,56680.0
2019-11-05,4.23,4.44,4.2,4.38,57445.0
2019-11-06,4.81,5.0,4.38,4.6,142423.0
2019-11-07,4.6,4.6,4.17,4.29,40389.0
2019-11-08,4.3,4.38,4.3,4.36,10365.0
2019-11-11,4.38,4.7,4.38,4.64,9417.0
2019-11-12,4.5,4.5,4.2,4.39,17515.0
2019-11-13,4.26,4.34,4.22,4.28,3438.0
2019-11-14,4.25,4.4,4.25,4.3,7767.0
2019-11-15,4.35,4.38,4.29,4.3,14241.0
2019-11-18,4.32,4.32,4.1,4.15,18222.0
2019-11-19,4.17,4.22,4.04,4.2,9382.0
2019-11-20,4.19,4.2,4.15,4.17,11751.0
2019-11-21,4.14,4.14,4.03,4.07,4194.0
2019-11-22,4.04,4.05,4.0,4.0,18975.0
2019-11-25,4.04,4.08,3.97,4.07,65794.0
2019-11-26,4.05,4.57,4.01,4.49,100505.0
2019-11-27,4.53,4.83,4.5,4.83,43317.0
2019-11-29,4.85,4.89,4.75,4.81,15677.0
2019-12-02,4.81,4.81,4.655,4.73,13752.0
2019-12-03,4.69,4.9,4.57,4.86,62064.0
2019-12-04,4.86,4.9,4.67,4.73,40625.0
2019-12-05,4.74,4.77,4.7,4.72,50410.0
2019-12-06,4.73,4.95,4.63,4.92,57045.0
2019-12-09,5.43,5.94,5.34,5.94,259490.0
2019-12-10,6.0,6.3,5.74,6.3,90981.0
2019-12-11,6.44,6.44,5.9,6.06,83656.0
2019-12-12,6.05,6.05,5.82,5.93,81874.0
2019-12-13,5.9,5.9,5.61,5.78,53333.0
2019-12-16,5.98,6.2,5.85,6.125,195573.0
2019-12-17,6.2,6.59,6.13,6.53,195044.0
2019-12-18,6.59,6.95,6.42,6.62,194211.0
2019-12-19,6.69,6.69,6.4,6.55,168259.0
2019-12-20,6.62,6.85,6.49,6.54,640025.0
2019-12-23,6.67,6.79,5.96,6.01,114088.0
2019-12-24,6.01,6.43,5.85,6.32,52564.0
2019-12-26,6.31,6.31,5.73,5.88,45471.0
2019-12-27,5.88,6.4,5.88,6.15,33697.0
2019-12-30,6.15,6.5,5.95,6.465,29549.0
2019-12-31,6.47,6.66,6.34,6.53,61696.0
