Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-09-20,10.5,11.29,10.26,10.64,255914.0
2017-09-21,10.55,10.67,10.2,10.25,23301.0
2017-09-22,10.23,10.27,10.0,10.06,63587.0
2017-09-25,10.0,10.18,9.63,9.75,22998.0
2017-09-26,9.86,10.035,9.85,9.85,5753.0
2017-09-27,10.9,10.9,10.0,10.04,3422.0
2017-09-28,10.39,10.39,9.87,10.08,3704.0
2017-09-29,9.82,10.08,9.82,9.97,4019.0
2017-10-02,10.0,10.0,9.94,9.98,6938.0
2017-10-03,9.9,9.97,9.85,9.91,5607.0
2017-10-04,9.85,9.9,9.8,9.9,4475.0
2017-10-05,9.82,10.06,9.81,10.06,7931.0
2017-10-06,10.06,10.07,9.93,9.93,3880.0
2017-10-09,10.0,10.0,9.95,9.95,2044.0
2017-10-10,10.09,10.36,10.0,10.06,4933.0
2017-10-11,10.0,10.11,10.0,10.1,2535.0
2017-10-12,10.0,10.01,10.0,10.01,785.0
2017-10-13,9.95,10.0,9.95,10.0,526.0
2017-10-16,10.2,10.2,9.52,9.55,5562.0
2017-10-17,9.49,9.99,9.49,9.71,2287.0
2017-10-18,9.83,11.98,9.83,11.19,35850.0
2017-10-19,11.05,11.13,10.33,10.66,15657.0
2017-10-20,10.76,10.76,9.78,9.99,11630.0
2017-10-23,9.91,10.01,9.22,9.31,14099.0
2017-10-24,9.22,9.85,9.2,9.67,8945.0
2017-10-25,9.59,10.25,9.59,10.1,6665.0
2017-10-26,10.19,10.19,9.7,9.7,7853.0
2017-10-27,9.62,10.04,9.5,10.04,11071.0
2017-10-30,9.95,9.95,9.39,9.51,9621.0
2017-10-31,9.5,9.9,9.39,9.9,4861.0
2017-11-01,9.86,9.93,9.52,9.55,2550.0
2017-11-02,9.85,9.85,9.56,9.56,1432.0
2017-11-03,9.46,9.65,9.4,9.65,1581.0
2017-11-06,9.57,9.92,9.5,9.56,4064.0
2017-11-07,9.6,10.05,9.6,10.05,2285.0
2017-11-08,9.96,10.15,9.96,10.15,2104.0
2017-11-09,10.15,10.15,10.12,10.13,201.0
2017-11-10,10.05,10.18,10.05,10.18,2550.0
2017-11-13,10.49,11.0,10.475,10.84,8187.0
2017-11-14,11.0,11.01,10.5,10.79,2302.0
2017-11-15,10.67,10.67,10.0,10.4,3100.0
2017-11-16,10.34,10.71,9.34,10.71,8201.0
2017-11-17,10.54,10.65,10.01,10.37,2039.0
2017-11-20,10.26,10.43,10.07,10.43,1761.0
2017-11-21,10.38,10.49,10.0,10.49,4153.0
2017-11-22,10.35,10.5,10.3,10.5,7282.0
2017-11-24,10.07,10.47,10.07,10.47,241.0
2017-11-27,10.5,10.5,10.5,10.5,1106.0
2017-11-28,10.5,10.745,10.11,10.63,10883.0
2017-11-29,10.66,10.66,10.4,10.47,1173.0
2017-11-30,10.47,10.51,10.45,10.5,5116.0
2017-12-01,10.49,10.52,10.44,10.52,1290.0
2017-12-04,10.52,10.52,10.26,10.5,664.0
2017-12-06,10.57,10.57,10.36,10.36,4096.0
2017-12-07,10.5,10.63,10.4,10.6,5075.0
2017-12-08,10.525,10.525,10.21,10.44,1647.0
2017-12-11,10.49,10.66,10.48,10.58,3134.0
2017-12-12,10.51,10.63,10.44,10.62,9696.0
2017-12-13,10.65,11.0,10.48,10.6,14948.0
2017-12-14,10.68,10.92,10.33,10.33,14083.0
2017-12-15,10.33,10.76,9.55,9.56,24258.0
2017-12-18,9.9,9.9,9.13,9.13,9391.0
2017-12-19,9.2,9.5,8.03,8.19,17517.0
2017-12-20,8.35,9.04,8.35,8.89,3118.0
2017-12-21,8.85,9.25,8.67,9.25,2267.0
2017-12-22,9.26,9.26,9.0,9.02,539.0
2017-12-26,9.02,9.02,8.62,8.9,3169.0
2017-12-27,8.83,9.08,8.66,9.08,1229.0
2017-12-28,9.08,10.12,9.08,10.12,4425.0
2017-12-29,9.97,10.52,9.47,10.52,8549.0
2018-01-02,10.46,10.66,9.18,9.18,10712.0
2018-01-03,9.25,10.61,9.25,10.61,26658.0
2018-01-04,10.6,10.88,10.115,10.52,8139.0
2018-01-05,10.62,10.64,10.23,10.34,4922.0
2018-01-08,10.42,11.53,10.15,10.61,875.0
2018-01-09,10.58,10.58,9.8,10.2,8374.0
2018-01-10,10.42,10.42,10.04,10.04,1951.0
2018-01-11,10.12,10.65,10.12,10.5,8176.0
2018-01-12,10.07,10.13,10.05,10.05,3341.0
2018-01-16,10.01,10.09,9.55,9.87,3079.0
2018-01-17,9.82,9.98,9.55,9.56,1495.0
2018-01-18,9.63,9.74,9.55,9.55,2533.0
2018-01-19,9.56,10.17,9.53,10.17,894.0
2018-01-22,10.25,10.37,9.85,9.97,9499.0
2018-01-23,9.96,9.96,9.75,9.75,611.0
2018-01-24,9.69,9.69,9.55,9.55,905.0
2018-01-25,9.55,9.69,9.55,9.55,600.0
2018-01-26,9.55,10.25,9.55,10.05,1214.0
2018-01-29,10.11,10.5,9.69,9.69,11258.0
2018-01-30,9.57,10.04,9.57,10.04,596.0
2018-01-31,10.04,10.04,9.81,9.85,152.0
2018-02-01,9.95,9.96,9.62,9.69,979.0
2018-02-02,9.76,9.76,9.45,9.55,1541.0
2018-02-05,9.44,9.44,9.01,9.23,640.0
2018-02-06,9.03,9.5,9.03,9.5,380.0
2018-02-07,9.5,9.74,9.5,9.66,608.0
2018-02-08,9.2,9.2,9.2,9.2,55.0
2018-02-09,9.47,9.47,9.25,9.25,4.0
2018-02-12,9.68,9.68,8.91,8.91,1336.0
2018-02-13,8.85,9.34,8.85,9.34,392.0
2018-02-14,9.03,9.04,9.03,9.04,159.0
2018-02-15,9.1,9.37,8.67,8.81,1040.0
2018-02-16,8.66,8.67,8.61,8.61,1391.0
2018-02-20,8.63,8.63,8.6,8.6,294.0
2018-02-21,8.6,9.2,8.6,8.66,3038.0
2018-02-22,8.72,8.72,8.72,8.72,115.0
2018-02-23,8.91,8.95,8.71,8.86,611.0
2018-02-26,9.0,9.69,9.0,9.69,3438.0
2018-02-27,9.4,10.2,9.4,10.2,812.0
2018-02-28,9.96,10.01,9.58,9.58,753.0
2018-03-01,10.09,10.09,9.91,9.91,150.0
2018-03-02,9.81,9.95,9.81,9.95,974.0
2018-03-05,10.0,10.01,9.26,9.26,1355.0
2018-03-06,9.12,10.12,9.12,9.83,1101.0
2018-03-07,10.06,10.06,9.87,9.87,775.0
2018-03-08,9.85,9.85,9.85,9.85,13.0
2018-03-09,9.88,9.88,9.36,9.72,2302.0
2018-03-12,9.6,9.81,9.6,9.81,510.0
2018-03-13,9.8,10.5,9.8,10.25,1775.0
2018-03-14,10.71,10.86,10.71,10.86,2272.0
2018-03-15,10.89,11.0,10.89,11.0,3349.0
2018-03-16,10.89,11.74,10.89,11.74,2309.0
2018-03-19,11.88,11.88,10.7,11.0,5599.0
2018-03-20,11.0,11.0,10.6,10.85,3313.0
2018-03-21,10.85,10.85,10.22,10.4,1750.0
2018-03-22,10.4,10.6,10.18,10.6,5613.0
2018-03-23,10.59,10.62,10.09,10.24,4602.0
2018-03-26,10.24,10.24,9.92,9.92,1825.0
2018-03-27,9.99,9.99,9.75,9.81,3618.0
2018-03-28,9.99,10.25,9.87,9.87,9668.0
2018-03-29,9.82,10.1,9.82,10.09,1149.0
2018-04-02,10.14,10.14,9.65,9.66,2274.0
2018-04-03,9.78,10.0,9.63,9.63,2484.0
2018-04-04,9.69,10.0,9.69,9.99,3465.0
2018-04-05,10.05,10.05,9.82,9.82,1308.0
2018-04-06,9.92,9.92,9.79,9.89,4318.0
2018-04-09,9.98,9.98,9.8,9.8,121.0
2018-04-10,9.87,10.8,9.87,10.06,11040.0
2018-04-11,10.17,10.17,9.88,9.97,3261.0
2018-04-12,9.93,10.1,9.84,9.84,1485.0
2018-04-13,9.81,10.2,9.81,10.2,56.0
2018-04-16,9.93,10.2,9.84,9.84,2332.0
2018-04-17,10.0,10.25,10.0,10.15,2253.0
2018-04-18,9.94,10.48,9.94,10.07,1360.0
2018-04-19,10.01,10.48,10.01,10.21,663.0
2018-04-20,10.32,10.32,10.0,10.1,1944.0
2018-04-23,10.04,10.19,8.99,8.99,11349.0
2018-04-24,9.26,9.3,8.95,9.1,7529.0
2018-04-25,9.04,9.35,9.0,9.35,802.0
2018-04-26,9.25,9.87,9.25,9.6,5473.0
2018-04-27,9.66,10.26,9.66,9.99,4586.0
2018-04-30,9.93,10.0,9.61,9.61,2456.0
2018-05-01,9.59,9.88,9.59,9.62,227.0
2018-05-02,9.55,9.98,9.55,9.98,44.0
2018-05-03,9.61,10.11,9.61,9.61,1904.0
2018-05-04,10.15,10.15,10.05,10.08,524.0
2018-05-07,10.3,10.4,10.3,10.4,989.0
2018-05-08,10.43,10.67,10.01,10.15,4017.0
2018-05-09,10.1,10.6,10.0,10.0,6991.0
2018-05-10,10.08,10.98,10.06,10.98,3690.0
2018-05-11,10.4,10.5,10.1,10.1,6161.0
2018-05-14,10.29,10.29,10.0,10.1,6157.0
2018-05-15,10.0,10.2,9.94,9.94,4618.0
2018-05-16,10.13,10.66,10.11,10.66,4877.0
2018-05-17,10.95,11.2,10.8,10.8,15652.0
2018-05-18,10.89,11.2,10.89,11.0,26775.0
2018-05-21,11.2,11.2,10.74,10.75,18300.0
2018-05-22,10.76,10.9,10.48,10.5,7856.0
2018-05-23,10.46,10.5,10.37,10.37,163.0
2018-05-24,10.97,10.97,10.18,10.18,12350.0
2018-05-25,10.23,10.45,10.23,10.3,5769.0
2018-05-29,10.5,10.51,10.3,10.3,22750.0
2018-05-30,10.42,10.42,10.2,10.2,3463.0
2018-05-31,10.34,10.35,10.29,10.29,796.0
2018-06-01,10.35,10.425,10.1,10.3,22995.0
2018-06-04,10.39,10.78,10.31,10.585,2921.0
2018-06-05,10.6,11.36,10.6,11.35,15486.0
2018-06-06,11.27,12.55,11.095,12.45,22494.0
2018-06-07,12.54,13.0,12.18,12.68,9036.0
2018-06-08,12.72,13.99,12.43,13.81,37706.0
2018-06-11,13.96,14.7,13.96,14.69,14473.0
2018-06-12,14.59,14.93,12.95,13.83,23118.0
2018-06-13,13.76,14.18,13.33,13.9,7359.0
2018-06-14,13.84,14.3,13.84,14.23,6431.0
2018-06-15,14.04,14.67,13.73,14.2,42742.0
2018-06-18,14.0,14.39,13.8,14.39,3538.0
2018-06-19,14.25,14.73,14.25,14.7,10679.0
2018-06-20,14.65,15.46,14.49,15.26,7312.0
2018-06-21,15.36,15.5,13.66,14.04,27082.0
2018-06-22,14.01,14.97,14.01,14.97,6618.0
2018-06-25,15.02,15.47,14.52,14.52,7110.0
2018-06-26,14.52,14.98,14.45,14.52,13480.0
2018-06-27,14.63,14.75,13.75,13.75,5036.0
2018-06-28,14.0,15.35,14.0,14.42,10420.0
2018-06-29,14.35,14.9,14.35,14.87,3349.0
2018-07-02,14.7,14.76,14.28,14.43,1609.0
2018-07-03,14.36,14.66,14.36,14.52,735.0
2018-07-05,14.55,14.81,14.51,14.51,1377.0
2018-07-06,14.65,15.07,14.65,15.07,1945.0
2018-07-09,15.02,15.06,15.02,15.06,351.0
2018-07-10,16.12,16.35,15.8,15.81,12665.0
2018-07-11,15.81,17.015,15.81,16.99,8368.0
