Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1995-07-06,3.0,3.6875,2.9375,3.375,20900800.0
1995-07-07,3.4375,3.4375,3.0625,3.09375,2593600.0
1995-07-10,3.21875,3.25,3.0,3.09375,1884800.0
1995-07-11,3.1875,3.1875,3.0,3.125,650400.0
1995-07-12,3.15625,3.375,3.03125,3.25,750400.0
1995-07-13,3.34375,3.4375,3.1875,3.25,1099200.0
1995-07-14,3.1875,3.34375,3.125,3.125,589600.0
1995-07-17,3.25,3.53125,3.125,3.375,791200.0
1995-07-18,3.53125,3.53125,3.21875,3.375,1018400.0
1995-07-19,3.34375,3.34375,3.03125,3.15625,1192000.0
1995-07-20,3.21875,3.21875,3.0625,3.125,69600.0
1995-07-21,3.21875,3.21875,3.0625,3.21875,56000.0
1995-07-24,3.15625,3.40625,3.15625,3.3125,328800.0
1995-07-25,3.296875,3.40625,3.28125,3.34375,645600.0
1995-07-26,3.40625,3.40625,3.34375,3.34375,383200.0
1995-07-27,3.375,3.40625,3.28125,3.28125,75200.0
1995-07-28,3.28125,3.40625,3.28125,3.28125,28800.0
1995-07-31,3.40625,3.40625,3.25,3.40625,30400.0
1995-08-01,3.375,3.40625,3.21875,3.3125,147200.0
1995-08-02,3.40625,3.40625,3.25,3.25,295200.0
1995-08-03,3.1875,3.25,3.1875,3.25,1200000.0
1995-08-04,3.1875,3.3125,3.125,3.25,292800.0
1995-08-07,3.125,3.234375,3.125,3.21875,160000.0
1995-08-08,3.125,3.171875,3.125,3.171875,428000.0
1995-08-09,3.125,3.21875,3.125,3.125,172000.0
1995-08-10,3.09375,3.15625,3.0625,3.15625,96800.0
1995-08-11,3.125,3.125,3.0625,3.0625,92800.0
1995-08-14,3.0625,3.125,3.0625,3.0625,168000.0
1995-08-15,3.0625,3.0625,3.0625,3.0625,20800.0
1995-08-16,3.0625,3.140625,3.0625,3.0625,103200.0
1995-08-17,3.09375,3.140625,3.09375,3.140625,450400.0
1995-08-18,3.09375,3.140625,3.09375,3.09375,72800.0
1995-08-21,3.09375,3.15625,3.09375,3.15625,404800.0
1995-08-22,3.21875,3.21875,3.125,3.1875,184000.0
1995-08-23,3.15625,3.21875,3.140625,3.15625,1956000.0
1995-08-24,3.21875,3.21875,3.125,3.125,15200.0
1995-08-25,3.21875,3.21875,3.09375,3.09375,62400.0
1995-08-28,3.0625,3.15625,3.0625,3.140625,208000.0
1995-08-29,3.125,3.125,2.875,2.90625,224000.0
1995-08-30,3.125,3.125,2.90625,2.90625,601600.0
1995-08-31,2.96875,3.0625,2.9375,2.9375,516000.0
1995-09-01,3.0625,3.0625,2.9375,2.9375,51200.0
1995-09-05,3.0625,3.0625,2.96875,2.96875,344000.0
1995-09-06,3.0625,3.0625,3.0,3.0625,652800.0
1995-09-07,3.09375,3.21875,3.03125,3.21875,546400.0
1995-09-08,3.25,3.25,3.125,3.1875,116800.0
1995-09-11,3.15625,3.25,3.125,3.25,137600.0
1995-09-12,3.171875,3.234375,3.15625,3.1875,217600.0
1995-09-13,3.15625,3.40625,3.15625,3.40625,612000.0
1995-09-14,3.34375,3.46875,3.34375,3.40625,167200.0
1995-09-15,3.40625,3.5,3.34375,3.5,84800.0
1995-09-18,3.53125,3.53125,3.40625,3.4375,485600.0
1995-09-19,3.40625,3.5625,3.40625,3.5,209600.0
1995-09-20,3.46875,3.625,3.46875,3.53125,309600.0
1995-09-21,3.53125,3.5625,3.53125,3.5625,54400.0
1995-09-22,3.5,3.625,3.5,3.625,441600.0
1995-09-25,3.53125,3.5625,3.5,3.5625,29600.0
1995-09-26,3.5,3.59375,3.5,3.5625,472800.0
1995-09-27,3.40625,3.53125,3.25,3.3125,115200.0
1995-09-28,3.28125,3.421875,3.28125,3.375,148000.0
1995-09-29,3.5,3.5,3.3125,3.3125,76800.0
1995-10-03,3.3125,3.375,3.25,3.375,67200.0
1995-10-04,3.21875,3.3125,3.15625,3.15625,46400.0
1995-10-05,3.15625,3.375,3.15625,3.375,226400.0
1995-10-06,3.34375,3.34375,3.34375,3.34375,33600.0
1995-10-09,3.3125,3.3125,3.0625,3.0625,198400.0
1995-10-10,2.96875,2.96875,2.875,2.9375,55200.0
1995-10-11,3.0625,3.15625,3.0,3.15625,136800.0
1995-10-12,3.0625,3.125,3.0625,3.125,23200.0
1995-10-13,3.15625,3.15625,3.046875,3.15625,576000.0
1995-10-16,3.15625,3.15625,3.15625,3.15625,3200.0
1995-10-17,3.15625,3.15625,3.15625,3.15625,19200.0
1995-10-18,3.3125,3.3125,3.3125,3.3125,30400.0
1995-10-19,3.15625,3.5625,3.15625,3.375,568000.0
1995-10-20,3.5625,4.21875,3.5,4.0,895200.0
1995-10-23,4.0625,4.3125,3.875,4.140625,656000.0
1995-10-24,4.21875,4.21875,4.09375,4.21875,156800.0
1995-10-25,4.21875,4.40625,4.09375,4.25,422400.0
1995-10-26,4.28125,4.28125,4.0,4.15625,198400.0
1995-10-27,4.0,4.1875,3.90625,4.1875,286400.0
1995-10-30,4.0625,4.375,4.0625,4.375,156000.0
1995-10-31,4.40625,4.8125,4.34375,4.5625,792800.0
1995-11-01,4.75,4.75,4.4375,4.4375,5108800.0
1995-11-02,4.5,4.59375,4.40625,4.59375,131200.0
1995-11-03,4.59375,4.59375,4.34375,4.40625,776800.0
1995-11-06,4.34375,4.5625,4.34375,4.5625,9600.0
1995-11-07,4.375,4.5625,4.375,4.5625,1600.0
1995-11-08,4.34375,4.53125,4.34375,4.5,168000.0
1995-11-09,4.34375,4.375,4.34375,4.34375,77600.0
1995-11-10,4.375,4.5625,4.3125,4.5625,14400.0
1995-11-13,4.3125,4.5625,4.3125,4.5625,14400.0
1995-11-14,4.3125,4.515625,4.3125,4.515625,448000.0
1995-11-15,4.5625,4.5625,4.34375,4.5,145600.0
1995-11-16,4.320313,4.484375,4.125,4.21875,1788800.0
1995-11-17,4.09375,4.28125,4.09375,4.09375,194400.0
1995-11-20,4.09375,4.3125,4.09375,4.109375,43200.0
1995-11-21,4.3125,4.3125,4.3125,4.3125,4000.0
1995-11-22,4.09375,4.375,4.09375,4.375,152800.0
1995-11-24,4.375,4.375,4.1875,4.375,15200.0
1995-11-27,4.375,4.625,4.375,4.625,257600.0
1995-11-28,4.65625,4.65625,4.46875,4.65625,52000.0
1995-11-29,4.65625,4.90625,4.65625,4.90625,389600.0
1995-11-30,4.96875,4.96875,4.84375,4.96875,116000.0
1995-12-01,4.96875,4.96875,4.78125,4.953125,56000.0
1995-12-04,4.96875,4.96875,4.78125,4.9375,163200.0
1995-12-05,4.9375,4.9375,4.78125,4.875,148800.0
1995-12-06,4.75,4.90625,4.625,4.625,142400.0
1995-12-07,4.71875,4.71875,4.5625,4.6875,29600.0
1995-12-08,4.6875,4.6875,4.6875,4.6875,800.0
1995-12-11,4.53125,4.6875,4.53125,4.6875,1600.0
1995-12-12,4.6875,4.6875,4.4375,4.65625,124000.0
1995-12-13,4.5,4.65625,4.4375,4.65625,8000.0
1995-12-14,4.53125,4.65625,4.53125,4.65625,6400.0
1995-12-15,4.40625,4.65625,4.40625,4.484375,788800.0
1995-12-18,4.46875,4.46875,4.09375,4.09375,135200.0
1995-12-19,4.0625,4.28125,4.0625,4.25,28800.0
1995-12-20,4.03125,4.21875,3.90625,3.90625,184800.0
1995-12-21,3.9375,4.09375,3.875,3.875,36800.0
1995-12-22,4.09375,4.09375,3.75,3.75,112000.0
1995-12-26,3.9375,3.96875,3.8125,3.890625,719200.0
1995-12-27,3.8125,3.8125,3.8125,3.8125,8000.0
1995-12-28,3.8125,3.9375,3.8125,3.8125,8800.0
1995-12-29,3.875,4.03125,3.8125,3.875,739200.0
1996-01-02,4.03125,4.125,3.90625,3.90625,32000.0
1996-01-03,4.125,4.125,3.6875,3.8125,177600.0
1996-01-04,3.65625,3.875,3.3125,3.3125,234400.0
1996-01-05,3.3125,3.5,3.25,3.375,56800.0
1996-01-08,3.5625,3.5625,3.5625,3.5625,39200.0
1996-01-09,3.5625,3.5625,3.359375,3.5625,80000.0
1996-01-10,3.34375,3.5625,3.3125,3.3125,606400.0
1996-01-11,3.4375,3.46875,3.28125,3.46875,138400.0
1996-01-12,3.46875,3.46875,3.28125,3.46875,26400.0
1996-01-15,3.46875,3.46875,3.15625,3.15625,74400.0
1996-01-16,3.25,3.25,2.96875,3.15625,57600.0
1996-01-17,2.90625,3.15625,2.90625,3.15625,84800.0
1996-01-18,3.03125,3.125,2.90625,2.90625,424800.0
1996-01-19,2.953125,3.15625,2.9375,2.984375,382400.0
1996-01-22,3.125,3.125,2.929688,2.960938,396800.0
1996-01-23,3.15625,3.40625,3.0,3.367188,1530400.0
1996-01-24,3.4375,3.84375,3.40625,3.828125,762400.0
1996-01-25,4.0,4.125,3.875,3.9375,1777600.0
1996-01-26,4.125,4.125,3.9375,3.9375,634400.0
1996-01-29,4.015625,4.125,3.9375,4.03125,592800.0
1996-01-30,4.03125,4.09375,3.9375,3.9375,902400.0
1996-01-31,3.984375,4.09375,3.90625,4.0,472800.0
1996-02-01,3.90625,4.0625,3.90625,4.0625,378400.0
1996-02-02,4.0625,4.0625,3.96875,4.0625,198400.0
1996-02-05,3.96875,4.0625,3.96875,3.96875,1998400.0
1996-02-06,3.96875,4.09375,3.96875,4.046875,1105600.0
1996-02-07,4.0625,4.09375,4.0,4.078125,60000.0
1996-02-08,4.125,4.34375,4.03125,4.296875,442400.0
1996-02-09,4.25,4.375,4.21875,4.21875,211200.0
1996-02-12,4.3125,4.359375,4.21875,4.21875,560000.0
1996-02-13,4.09375,4.15625,4.0625,4.125,688000.0
1996-02-14,4.25,4.25,4.09375,4.09375,12000.0
