Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2010-04-22,10.25,12.69,10.25,12.58,577321.0
2010-04-23,12.4,13.37,12.11,12.39,145307.0
2010-04-26,12.88,12.88,11.14,11.59,90996.0
2010-04-27,11.4,12.18,10.8,12.0,104235.0
2010-04-28,11.52,11.9,11.33,11.4,12310.0
2010-04-29,11.34,11.34,10.8,10.91,11800.0
2010-04-30,11.47,12.25,10.4,10.6,22261.0
2010-05-03,10.77,10.8,10.06,10.06,10150.0
2010-05-04,10.04,10.19,8.28,8.7,54035.0
2010-05-05,8.42,9.48,8.42,9.02,12200.0
2010-05-06,8.8,8.8,8.26,8.26,1340.0
2010-05-07,8.25,8.7,8.06,8.37,7705.0
2010-05-10,8.21,8.44,8.08,8.25,3667.0
2010-05-11,8.12,8.2,8.0,8.2,10330.0
2010-05-12,8.12,8.42,8.04,8.42,6925.0
2010-05-13,8.43,8.43,8.13,8.25,900.0
2010-05-14,8.47,9.0,8.43,8.72,13340.0
2010-05-17,8.69,8.7,8.31,8.4,2900.0
2010-05-18,8.37,8.37,7.01,7.2,9952.0
2010-05-19,7.2,7.2,6.59,6.59,7680.0
2010-05-20,6.7,7.25,6.31,7.08,1300.0
2010-05-21,7.16,7.29,7.02,7.29,600.0
2010-05-24,7.03,7.25,7.03,7.24,2202.0
2010-05-25,6.95,6.95,6.9,6.91,600.0
2010-05-26,7.04,7.22,7.04,7.2,900.0
2010-05-27,7.49,7.66,7.49,7.66,2100.0
2010-05-28,7.73,7.87,7.5,7.5,2600.0
2010-06-01,7.7,8.0,7.7,8.0,3300.0
2010-06-02,7.95,7.95,7.93,7.93,3000.0
2010-06-03,7.5,7.5,7.5,7.5,100.0
2010-06-07,7.67,7.67,7.51,7.51,700.0
2010-06-08,7.8,7.8,7.2,7.2,200.0
2010-06-09,7.28,7.28,6.85,6.85,2400.0
2010-06-10,7.49,7.49,7.0,7.0,1400.0
2010-06-11,6.66,7.72,6.6,7.62,2523.0
2010-06-14,7.6,7.71,7.24,7.24,375.0
2010-06-15,7.2,7.2,7.2,7.2,160.0
2010-06-16,6.84,6.89,6.72,6.74,1900.0
2010-06-17,7.2,7.2,7.02,7.02,700.0
2010-06-18,7.15,7.39,6.85,6.85,1197.0
2010-06-22,6.94,7.4,6.74,6.95,7797.0
2010-06-23,6.96,7.01,6.9,6.9,543.0
2010-06-24,6.83,6.83,6.79,6.79,1600.0
2010-06-25,6.6,6.6,6.5,6.5,700.0
2010-06-28,6.7,6.7,6.7,6.7,150.0
2010-06-29,6.28,6.3,6.28,6.3,300.0
2010-07-06,6.0,6.14,5.55,6.14,3050.0
2010-07-07,6.15,6.3,6.15,6.28,800.0
2010-07-08,6.21,6.16,6.16,6.16,100.0
2010-07-09,6.0,6.0,5.66,5.76,800.0
2010-07-12,5.62,5.62,5.22,5.22,520.0
2010-07-15,5.25,5.25,5.24,5.24,200.0
2010-07-16,5.14,5.14,4.9,4.9,2296.0
2010-07-19,4.91,4.91,4.76,4.76,500.0
2010-07-20,4.96,4.97,4.89,4.95,500.0
2010-07-22,5.44,5.47,5.44,5.47,300.0
2010-07-23,5.0,5.22,5.0,5.22,200.0
2010-07-26,5.25,5.25,5.25,5.25,650.0
2010-07-27,4.93,5.03,4.76,5.03,2693.0
2010-07-30,4.81,4.81,4.8,4.8,700.0
2010-08-02,4.9,4.93,4.9,4.93,402.0
2010-08-03,4.84,4.84,4.81,4.81,600.0
2010-08-04,4.81,4.81,4.8,4.8,230.0
2010-08-05,4.8,4.8,4.8,4.8,1370.0
2010-08-06,4.76,4.75,4.64,4.75,2448.0
2010-08-10,4.61,4.61,4.57,4.57,700.0
2010-08-11,4.5,4.5,4.06,4.06,1700.0
2010-08-12,4.1,4.1,4.1,4.1,600.0
2010-08-13,4.02,4.03,4.02,4.03,200.0
2010-08-16,4.6,5.15,4.33,4.62,4361.0
2010-08-17,4.54,4.54,4.26,4.44,1200.0
2010-08-18,4.38,4.72,4.38,4.49,982.0
2010-08-19,4.4,4.4,4.16,4.23,3600.0
2010-08-20,4.22,4.22,4.0,4.0,6032.0
2010-08-23,4.04,4.04,4.04,4.04,100.0
2010-08-24,4.0,4.0,3.89,3.91,3575.0
2010-08-25,3.88,3.88,3.72,3.72,2237.0
2010-08-26,3.91,3.91,3.64,3.64,500.0
2010-08-27,3.86,3.7,3.7,3.7,500.0
2010-08-30,3.53,3.7,3.5,3.51,2091.0
2010-08-31,3.56,3.77,3.53,3.53,3800.0
2010-09-01,3.76,3.76,3.53,3.75,1500.0
2010-09-02,3.78,3.78,3.51,3.72,649.0
2010-09-03,3.51,3.92,3.46,3.92,1544.0
2010-09-07,3.93,4.28,3.93,4.28,4231.0
2010-09-08,4.4,5.19,4.08,5.19,14639.0
2010-09-09,5.23,6.4,5.23,6.02,24500.0
2010-09-10,6.13,7.29,6.13,7.01,23061.0
2010-09-13,7.1,7.5,6.5,6.83,16214.0
2010-09-14,6.45,6.5,5.26,6.16,11843.0
2010-09-15,6.04,6.04,5.51,5.75,4715.0
2010-09-16,5.6,5.6,5.23,5.44,7659.0
2010-09-17,5.6,5.6,5.45,5.56,3688.0
2010-09-20,5.6,5.8,5.49,5.8,513.0
2010-09-21,5.63,5.7,5.62,5.65,2923.0
2010-09-22,5.38,5.38,5.35,5.35,507.0
2010-09-23,5.45,5.45,5.05,5.14,2000.0
2010-09-24,5.03,5.19,4.92,5.19,2075.0
2010-09-27,5.17,5.17,4.73,4.99,2090.0
2010-09-28,5.0,5.0,4.9,4.9,1702.0
2010-09-29,4.96,4.96,4.73,4.9,2000.0
2010-09-30,4.84,5.15,4.84,4.94,1600.0
2010-10-01,5.02,5.11,4.81,5.01,3552.0
2010-10-04,4.81,5.04,4.81,5.01,1050.0
2010-10-05,5.02,5.02,5.02,5.02,306.0
2010-10-06,5.0,5.0,4.85,5.0,1520.0
2010-10-07,4.88,4.9,4.75,4.83,2730.0
2010-10-08,4.86,5.99,4.99,5.91,9521.0
2010-10-11,6.03,6.84,6.0,6.36,10800.0
2010-10-12,6.49,6.84,6.22,6.3,1900.0
2010-10-13,6.38,6.23,5.81,5.98,3000.0
2010-10-14,5.78,5.78,5.52,5.54,4688.0
2010-10-15,5.58,6.09,5.58,6.09,5221.0
2010-10-18,6.25,6.25,6.12,6.12,5797.0
2010-10-19,6.09,6.39,6.01,6.12,4200.0
2010-10-20,6.14,6.14,5.91,5.96,1112.0
2010-10-21,6.24,6.24,5.8,5.8,1500.0
2010-10-22,5.8,6.03,5.7,6.0,5300.0
2010-10-25,6.01,6.01,5.55,5.61,6162.0
2010-10-26,5.66,5.73,5.66,5.7,1290.0
2010-10-27,5.54,5.54,5.3,5.3,9401.0
2010-10-28,5.4,5.98,5.4,5.78,3700.0
2010-10-29,5.85,5.85,5.5,5.52,2200.0
2010-11-01,5.51,5.6,5.5,5.6,1000.0
2010-11-02,5.41,5.73,5.3,5.46,1500.0
2010-11-03,5.31,5.51,5.18,5.36,6373.0
2010-11-04,5.05,5.29,4.84,4.84,11503.0
2010-11-05,5.01,5.78,5.01,5.6,8366.0
2010-11-08,5.7,5.78,5.17,5.36,8832.0
2010-11-09,5.21,5.36,5.21,5.22,5844.0
2010-11-10,5.1,5.3,5.1,5.3,1600.0
2010-11-11,5.33,5.61,5.33,5.59,1050.0
2010-11-12,5.65,7.5,5.65,6.0,42637.0
2010-11-15,5.91,5.91,5.51,5.51,9831.0
2010-11-16,6.15,6.15,4.81,4.92,13600.0
2010-11-17,4.93,6.29,4.93,5.75,12625.0
2010-11-18,5.68,6.2,5.5,5.56,9550.0
2010-11-19,5.5,5.5,5.1,5.21,9382.0
2010-11-22,5.33,5.62,5.28,5.48,3519.0
2010-11-23,5.66,5.66,5.17,5.44,4400.0
2010-11-24,5.43,5.24,5.16,5.18,2690.0
2010-11-26,5.11,5.2,5.01,5.17,800.0
2010-11-29,5.1,5.35,5.1,5.35,4900.0
2010-11-30,5.16,5.16,4.95,5.08,11820.0
2010-12-01,5.5,5.5,4.77,5.02,17444.0
2010-12-02,5.04,5.04,4.93,5.03,2600.0
2010-12-03,5.0,5.01,4.78,5.01,9900.0
2010-12-06,5.07,5.07,4.8,4.8,1940.0
2010-12-07,5.0,5.0,5.0,5.0,400.0
2010-12-08,4.8,4.8,4.77,4.77,2700.0
2010-12-09,4.9,4.9,4.85,4.85,1900.0
2010-12-10,4.85,4.85,4.8,4.8,8100.0
2010-12-13,4.91,4.91,4.66,4.66,4400.0
2010-12-14,4.53,4.63,4.34,4.63,1165.0
2010-12-15,4.7,4.85,4.7,4.7,1700.0
2010-12-16,4.85,5.25,4.85,5.02,5035.0
2010-12-17,5.28,5.28,5.05,5.05,4000.0
2010-12-20,5.05,5.05,5.0,5.0,10513.0
2010-12-21,5.05,5.16,5.0,5.0,13750.0
2010-12-22,5.04,5.07,5.0,5.05,5000.0
2010-12-23,5.0,5.04,4.87,5.01,7666.0
