Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-07-25,19.0,24.4,18.5,24.4,7501217.0
2014-07-28,26.86,34.7,26.26,34.48,5646631.0
2014-07-29,31.84,32.45,29.05,29.9,2391310.0
2014-07-30,31.89,38.24,31.6,34.65,3389657.0
2014-07-31,35.83,39.9,35.17,38.8,4465028.0
2014-08-01,39.05,41.67,38.36,41.2,3181556.0
2014-08-04,41.4,41.46,37.55,38.4,1999866.0
2014-08-05,36.27,36.9,33.58,34.31,1595788.0
2014-08-06,34.44,37.82,34.04,36.95,1208161.0
2014-08-07,39.62,40.25,38.25,38.94,1308205.0
2014-08-08,38.0,38.02,36.16,36.95,628044.0
2014-08-11,38.5,38.5,35.78,35.79,533666.0
2014-08-12,34.76,34.89,29.0,34.07,944641.0
2014-08-13,34.51,34.61,33.01,33.31,395392.0
2014-08-14,32.61,32.61,31.25,31.91,661074.0
2014-08-15,33.24,34.1,32.6,33.36,568983.0
2014-08-18,34.68,34.68,33.0,33.2,281957.0
2014-08-19,30.55,31.41,29.65,29.84,708079.0
2014-08-20,29.0,31.15,28.59,30.19,470444.0
2014-08-21,30.73,31.09,29.75,29.87,308224.0
2014-08-22,31.22,31.5,30.52,30.62,387508.0
2014-08-25,31.3,32.19,31.0,32.19,431920.0
2014-08-26,32.24,33.7,31.5,31.57,458208.0
2014-08-27,32.1,32.24,31.5,31.54,185848.0
2014-08-28,31.07,32.14,31.0,31.65,161374.0
2014-08-29,32.07,32.33,31.37,32.31,231377.0
2014-09-02,32.97,36.08,31.8,36.02,990769.0
2014-09-03,37.44,37.68,33.7,34.39,875068.0
2014-09-04,35.0,36.2,33.4,34.79,767005.0
2014-09-05,36.54,37.45,34.37,36.24,1887848.0
2014-09-08,35.57,38.35,34.71,36.19,946978.0
2014-09-09,36.56,37.4,35.4,35.79,388019.0
2014-09-10,35.7,36.69,35.33,36.25,187286.0
2014-09-11,35.99,37.88,35.51,36.64,414071.0
2014-09-12,37.25,39.75,36.61,38.87,736230.0
2014-09-15,39.97,40.86,36.25,36.98,771068.0
2014-09-16,36.4,37.65,36.01,36.76,246506.0
2014-09-17,37.25,37.7,36.75,36.84,330016.0
2014-09-18,37.16,37.35,35.31,35.59,308004.0
2014-09-19,35.28,35.74,34.07,35.41,557156.0
2014-09-22,34.89,35.73,34.46,35.07,211344.0
2014-09-23,34.63,36.25,34.63,34.95,209977.0
2014-09-24,35.72,36.17,34.61,35.72,244084.0
2014-09-25,35.77,35.96,34.3,35.09,178541.0
2014-09-26,35.22,35.42,34.6,35.16,170916.0
2014-09-29,34.51,35.87,34.39,35.49,190214.0
2014-09-30,35.48,37.25,35.07,35.91,742360.0
2014-10-01,35.66,35.99,33.61,34.07,409484.0
2014-10-02,34.48,35.4,34.01,35.06,236776.0
2014-10-03,35.52,36.4,34.87,35.86,236787.0
2014-10-06,36.35,37.57,36.17,37.35,452520.0
2014-10-07,36.9,38.75,36.38,37.2,327114.0
2014-10-08,37.2,37.97,36.2,37.58,236552.0
2014-10-09,37.25,38.16,36.3,36.35,229640.0
2014-10-10,36.14,36.7,34.47,35.58,185205.0
2014-10-13,35.6,35.6,33.61,34.23,202542.0
2014-10-14,34.32,35.0,33.71,34.28,135162.0
2014-10-15,33.35,33.85,32.0,33.57,189625.0
2014-10-16,32.64,34.22,32.64,33.45,162879.0
2014-10-17,34.29,34.72,33.88,34.0,248057.0
2014-10-20,34.0,35.09,34.0,35.06,170681.0
2014-10-21,35.0,35.03,34.42,34.48,219132.0
2014-10-22,34.64,35.46,34.12,34.24,248829.0
2014-10-23,34.49,35.16,34.3,34.7,184382.0
2014-10-24,34.7,35.15,34.35,34.63,178557.0
2014-10-27,34.58,34.77,34.02,34.22,210917.0
2014-10-28,34.36,37.17,34.36,36.42,539318.0
2014-10-29,36.35,37.82,35.52,36.71,264746.0
2014-10-30,36.78,37.65,36.31,36.64,266500.0
2014-10-31,37.26,37.26,35.59,35.65,322691.0
2014-11-03,35.72,36.76,35.39,35.7,291433.0
2014-11-04,35.75,36.35,35.34,36.19,264610.0
2014-11-05,36.5,37.1,36.05,36.35,396321.0
2014-11-06,36.5,38.18,36.2,37.3,619213.0
2014-11-07,36.25,38.64,34.48,36.6,1213826.0
2014-11-10,36.6,37.75,36.3,36.59,472722.0
2014-11-11,35.0,35.64,34.51,35.22,470422.0
2014-11-12,34.98,35.78,34.76,35.49,197893.0
2014-11-13,35.49,35.72,34.4,34.5,244711.0
2014-11-14,34.5,34.68,33.5,34.33,184293.0
2014-11-17,33.5,33.81,32.5,32.71,305686.0
2014-11-18,32.75,32.92,31.95,32.17,248043.0
2014-11-19,31.86,32.0,29.59,29.62,570026.0
2014-11-20,27.43,29.45,27.35,28.56,2772135.0
2014-11-21,29.09,29.42,28.06,28.15,517392.0
2014-11-24,28.17,29.2,28.17,29.06,345095.0
2014-11-25,29.49,30.27,29.0,29.14,366465.0
2014-11-26,29.27,29.34,27.88,27.96,444742.0
2014-11-28,28.35,28.35,27.22,27.42,272408.0
2014-12-01,27.26,27.42,25.75,25.87,505096.0
2014-12-02,26.02,26.45,25.6,25.65,526019.0
2014-12-03,26.43,26.46,25.8,25.99,320697.0
2014-12-04,25.89,26.5,25.31,25.42,359495.0
2014-12-05,25.55,25.82,24.45,25.07,675386.0
2014-12-08,24.8,25.03,23.41,23.72,489414.0
2014-12-09,23.32,24.39,22.87,24.16,366766.0
2014-12-10,24.02,24.02,22.96,23.07,335570.0
2014-12-11,23.2,23.57,21.92,22.28,434000.0
2014-12-12,22.32,23.64,22.14,22.88,360244.0
2014-12-15,22.98,23.14,21.5,21.59,377357.0
2014-12-16,21.3,21.53,20.34,20.39,404599.0
2014-12-17,20.6,21.41,20.4,21.38,389602.0
2014-12-18,21.81,21.9,20.82,21.3,345107.0
2014-12-19,21.3,21.63,21.0,21.1,309452.0
2014-12-22,21.17,21.83,21.085,21.16,340013.0
2014-12-23,21.2,21.32,20.62,20.68,309705.0
2014-12-24,20.81,21.45,20.81,21.07,91378.0
2014-12-26,21.11,21.22,20.73,20.9,217256.0
2014-12-29,20.9,21.11,20.75,20.75,182244.0
2014-12-30,20.66,21.37,20.34,20.82,398593.0
2014-12-31,20.85,20.97,19.86,19.97,517152.0
2015-01-02,20.0,20.615,19.98,20.26,392491.0
2015-01-05,20.97,21.78,20.72,20.86,798082.0
2015-01-06,21.9,22.98,21.25,22.52,1130180.0
2015-01-07,22.79,24.06,22.51,23.84,727783.0
2015-01-08,24.3,25.0,23.39,23.76,714689.0
2015-01-09,23.6,23.6,22.86,23.45,424084.0
2015-01-12,23.39,23.55,22.87,23.37,380551.0
2015-01-13,23.23,24.9,23.07,24.5,933913.0
2015-01-14,23.98,24.59,23.5,24.45,481791.0
2015-01-15,24.32,24.5,23.1,23.37,377399.0
2015-01-16,22.96,23.8,22.55,23.73,335434.0
2015-01-20,23.78,23.8,22.65,23.4,328772.0
2015-01-21,23.39,24.6,23.32,24.31,279738.0
2015-01-22,24.5,25.7,24.37,25.52,421485.0
2015-01-23,25.43,26.67,25.38,26.27,361202.0
2015-01-26,26.47,26.61,25.87,26.16,219330.0
2015-01-27,25.54,25.89,25.06,25.63,171391.0
2015-01-28,25.84,25.84,25.29,25.33,161444.0
2015-01-29,25.34,27.15,25.34,26.79,347465.0
2015-01-30,26.59,26.73,25.68,25.73,417753.0
2015-02-02,25.8,25.97,24.59,25.36,294403.0
2015-02-03,25.5,25.95,25.45,25.75,254317.0
2015-02-04,25.53,26.15,25.42,25.61,191403.0
2015-02-05,25.87,25.87,25.13,25.23,212527.0
2015-02-06,25.25,25.75,25.23,25.53,122046.0
2015-02-09,25.41,25.66,24.87,24.93,178245.0
2015-02-10,25.07,25.24,24.66,24.84,139161.0
2015-02-11,24.89,24.89,24.13,24.45,214395.0
2015-02-12,24.47,24.66,24.05,24.14,158507.0
2015-02-13,24.07,24.35,23.95,24.2,178174.0
2015-02-17,24.04,24.6,23.75,24.29,230919.0
2015-02-18,24.3,26.12,24.3,25.59,358063.0
2015-02-19,25.6,25.98,25.04,25.3,206592.0
2015-02-20,25.33,25.43,24.73,24.78,142435.0
2015-02-23,24.79,24.89,24.33,24.72,114587.0
2015-02-24,24.76,25.18,24.59,24.66,92969.0
