Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2008-11-20,10.0,12.3,9.49,11.85,3262633.0
2008-11-21,12.0,13.0,11.75,12.35,402261.0
2008-11-24,12.62,13.4,12.16,13.15,255241.0
2008-11-25,12.93,14.0,12.77,13.95,143260.0
2008-11-26,14.0,16.06,13.44,16.0,133220.0
2008-11-28,16.07,16.07,14.25,14.84,57590.0
2008-12-01,14.36,15.25,14.25,14.69,73560.0
2008-12-02,15.24,16.78,14.86,15.6,112048.0
2008-12-03,15.53,17.25,15.5,15.8,102404.0
2008-12-04,15.5,16.36,15.5,15.99,31983.0
2008-12-05,15.99,16.24,14.75,15.95,99705.0
2008-12-08,16.41,16.66,15.5,15.68,81494.0
2008-12-09,15.5,15.82,15.01,15.06,56956.0
2008-12-10,15.08,16.07,15.08,15.71,85951.0
2008-12-11,15.65,15.92,14.57,14.67,72200.0
2008-12-12,14.35,14.74,13.55,14.58,64477.0
2008-12-15,14.63,15.17,13.53,13.9,61495.0
2008-12-16,13.93,14.8,13.8,14.76,50245.0
2008-12-17,14.46,16.5,14.46,16.25,52120.0
2008-12-18,16.43,17.49,16.4,17.35,133285.0
2008-12-19,17.3,17.72,16.41,16.74,492691.0
2008-12-22,16.79,17.65,16.16,17.55,69457.0
2008-12-23,17.64,17.73,17.24,17.36,110247.0
2008-12-24,17.4,17.4,17.0,17.29,26335.0
2008-12-26,17.4,17.4,17.01,17.17,34217.0
2008-12-29,17.1,18.0,17.1,18.0,36607.0
2008-12-30,18.27,19.12,17.76,18.37,74379.0
2008-12-31,18.59,19.05,18.42,18.78,53066.0
2009-01-02,18.9,19.24,18.55,18.98,48174.0
2009-01-05,18.98,19.45,18.53,18.61,59029.0
2009-01-06,18.67,18.9,17.8,18.01,46198.0
2009-01-07,17.81,17.81,16.89,17.0,74820.0
2009-01-08,17.0,17.52,16.6,17.0,23913.0
2009-01-09,18.0,18.89,17.35,17.92,158229.0
2009-01-12,18.0,18.8,17.44,18.78,59155.0
2009-01-13,18.83,19.31,18.28,18.5,68662.0
2009-01-14,18.33,18.88,18.25,18.55,19992.0
2009-01-15,18.54,20.09,18.33,20.03,150543.0
2009-01-16,20.39,20.8,19.11,20.19,69134.0
2009-01-20,20.59,20.59,18.82,18.93,40729.0
2009-01-21,19.0,20.05,18.23,20.0,67595.0
2009-01-22,19.82,20.78,19.76,19.96,61615.0
2009-01-23,19.92,20.03,19.61,19.9,29285.0
2009-01-26,19.9,19.9,18.0,18.92,43492.0
2009-01-27,18.92,19.15,18.35,18.75,20423.0
2009-01-28,18.75,19.05,17.5,17.99,82504.0
2009-01-29,17.87,18.54,17.42,17.8,31182.0
2009-01-30,17.98,18.45,16.66,17.33,102210.0
2009-02-02,17.18,18.16,17.18,18.02,31914.0
2009-02-03,18.14,18.62,17.62,18.57,18650.0
2009-02-04,18.77,19.98,18.55,18.74,43298.0
2009-02-05,18.7,19.54,18.7,19.26,17856.0
