Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-04-04,10.8,10.8,10.55,10.7,354596.0
2006-04-05,10.78,10.79,10.7,10.71,237870.0
2006-04-06,10.76,10.76,10.65,10.65,114047.0
2006-04-07,10.65,10.76,10.45,10.46,49877.0
2006-04-10,10.52,10.55,10.5,10.55,29608.0
2006-04-11,10.64,10.64,10.47,10.48,43639.0
2006-04-12,10.58,10.6,10.5,10.5,21035.0
2006-04-13,10.51,10.59,10.51,10.56,23949.0
2006-04-17,10.51,10.58,10.4,10.4,27782.0
2006-04-18,10.35,10.56,10.35,10.5,30625.0
2006-04-19,10.52,10.53,10.3,10.5,16100.0
2006-04-20,10.4,10.42,10.4,10.42,2120.0
2006-04-21,10.5,10.5,10.35,10.35,7770.0
2006-04-24,10.45,10.47,10.4,10.47,22495.0
2006-04-25,10.5,10.5,10.42,10.42,6940.0
2006-04-26,10.464,10.49,10.4,10.4,3785.0
2006-04-27,10.35,10.4,10.3,10.382,3831.0
2006-05-01,10.36,10.43,10.01,10.22,9488.0
2006-05-02,10.22,10.35,10.15,10.25,16955.0
2006-05-03,10.3,10.3,10.29,10.29,6300.0
2006-05-04,10.45,10.45,10.15,10.15,8907.0
2006-05-05,10.15,10.18,10.12,10.18,4974.0
2006-05-08,10.18,10.25,10.18,10.25,1100.0
2006-05-09,10.27,10.34,10.25,10.34,25119.0
2006-05-10,10.28,10.28,10.28,10.28,1966.0
2006-05-11,10.28,10.28,10.1762,10.18,1800.0
2006-05-12,10.15,10.15,10.03,10.11,9800.0
2006-05-15,10.109,10.15,10.109,10.15,2093.0
2006-05-16,10.15,10.16,10.14,10.14,2808.0
2006-05-17,10.14,10.18,10.07,10.078,21893.0
2006-05-18,10.1,10.14,10.06,10.1,15795.0
2006-05-19,10.06,10.1,10.05,10.05,22006.0
2006-05-22,10.05,10.11,10.02,10.11,25042.0
2006-05-23,10.06,10.12,10.06,10.1,25366.0
2006-05-24,10.097,10.1,10.01,10.01,10792.0
2006-05-25,10.05,10.07,10.05,10.07,6300.0
2006-05-26,10.07,10.07,10.02,10.05,600.0
2006-05-30,10.05,10.07,10.04,10.07,9183.0
2006-05-31,10.07,10.07,10.02,10.05,26700.0
2006-06-01,10.02,10.06,10.02,10.05,12313.0
2006-06-02,10.08,10.08,10.01,10.04,17323.0
2006-06-05,10.25,10.25,10.01,10.01,3500.0
2006-06-06,10.06,10.06,10.01,10.01,5300.0
2006-06-07,10.02,10.04,10.02,10.02,7977.0
2006-06-08,10.05,10.05,10.05,10.05,475.0
2006-06-09,10.04,10.06,10.02,10.06,18385.0
2006-06-12,10.01,10.05,10.0,10.0,9300.0
2006-06-14,9.95,9.95,9.95,9.95,1185.0
2006-06-16,9.92,9.92,9.92,9.92,100.0
2006-06-19,9.95,9.95,9.92,9.92,1500.0
2006-06-20,10.08,10.08,9.95,9.95,800.0
2006-06-21,9.92,9.92,9.92,9.92,1100.0
2006-06-23,9.95,9.96,9.95,9.95,1328.0
2006-06-26,9.96,9.96,9.95,9.95,659.0
2006-06-27,10.02,10.15,10.02,10.07,20500.0
2006-06-28,10.023,10.05,10.023,10.05,2150.0
2006-06-29,10.05,10.1,10.05,10.1,18100.0
2006-06-30,10.07,10.07,10.02,10.02,2934.0
2006-07-03,10.01,10.01,10.01,10.01,300.0
2006-07-05,10.01,10.03,10.0,10.03,21727.0
2006-07-06,10.03,10.03,10.01,10.01,5000.0
2006-07-07,10.02,10.02,10.02,10.02,100.0
2006-07-10,10.02,10.02,10.02,10.02,9300.0
2006-07-11,10.0428,10.0428,10.02,10.02,1733.0
2006-07-12,9.988,10.02,9.988,10.02,3480.0
2006-07-13,10.02,10.02,10.02,10.02,1910.0
2006-07-14,10.02,10.02,10.02,10.02,9098.0
2006-07-17,10.05,10.06,10.05,10.06,11480.0
2006-07-18,10.06,10.13,9.98,10.13,18600.0
2006-07-19,10.05,10.07,10.05,10.05,7050.0
2006-07-20,10.03,10.05,10.03,10.05,3000.0
2006-07-21,10.07,10.1,10.07,10.1,23500.0
2006-07-24,9.95,10.09,9.95,10.09,46904.0
2006-07-25,10.07,10.07,10.07,10.07,2000.0
2006-07-26,9.96,10.09,9.96,10.09,5100.0
2006-07-27,10.05,10.09,10.03,10.09,9408.0
2006-08-03,10.01,10.15,10.01,10.15,9225.0
2006-08-04,10.15,10.15,10.12,10.12,1500.0
2006-08-07,10.09,10.2,10.09,10.18,7400.0
2006-08-09,10.09,10.09,10.09,10.09,6000.0
2006-08-10,10.09,10.09,10.09,10.09,2000.0
2006-08-11,10.09,10.09,10.09,10.09,3500.0
2006-08-14,10.19,10.25,10.16,10.25,6400.0
2006-08-15,10.27,10.51,10.27,10.5,5400.0
2006-08-16,10.36,10.52,10.35,10.52,1900.0
2006-08-17,10.6,10.65,10.5,10.65,4174.0
2006-08-18,10.62,10.63,10.62,10.62,2600.0
2006-08-21,10.75,10.75,10.75,10.75,230.0
2006-08-24,10.75,10.75,10.75,10.75,16810.0
2006-08-25,10.77,10.85,10.77,10.85,2600.0
2006-08-28,10.7,10.7,10.68,10.68,7438.0
2006-08-29,10.4,10.6,10.4,10.6,1100.0
2006-08-30,10.68,10.7,10.68,10.7,27175.0
2006-09-01,10.75,10.85,10.75,10.85,5346.0
2006-09-05,10.95,10.95,10.79,10.79,3526.0
2006-09-07,10.76,10.8,10.76,10.8,1400.0
2006-09-08,10.71,10.75,10.71,10.75,550.0
2006-09-14,10.76,10.76,10.76,10.76,1000.0
2006-09-15,10.8,10.86,10.8,10.86,1900.0
2006-09-18,10.94,10.98,10.9,10.98,4935.0
2006-09-20,11.0,11.0,10.99,11.0,600.0
2006-09-21,10.89,10.89,10.89,10.89,400.0
2006-09-22,10.91,10.91,10.91,10.91,200.0
2006-09-25,11.0,11.0,11.0,11.0,100.0
2006-09-29,11.0,11.1,10.91,11.1,17078.0
2006-10-02,11.15,11.15,11.15,11.15,3913.0
2006-10-03,11.1,11.1,11.1,11.1,10000.0
2006-10-06,11.25,11.45,11.25,11.35,5300.0
2006-10-10,11.48,11.5,11.48,11.49,1243.0
2006-10-13,11.5,11.5,11.5,11.5,1200.0
2006-10-16,11.5,11.5,11.5,11.5,400.0
2006-10-17,11.45,11.45,11.45,11.45,300.0
2006-10-19,11.5,11.5,11.5,11.5,1500.0
2006-10-24,11.5,11.51,11.5,11.51,1200.0
2006-10-26,11.36,11.36,11.36,11.36,500.0
2006-10-31,11.6,,,,
2006-11-01,11.4,11.6,11.4,11.6,1200.0
2006-11-02,11.89,11.89,11.89,11.89,100.0
2006-11-03,11.91,11.91,11.91,11.91,1100.0
2006-11-07,11.92,,,,
2006-11-09,11.9,11.9,11.9,11.9,500.0
2006-11-13,11.9,11.95,11.9,11.95,1494.0
2006-11-14,11.98,12.15,11.98,12.03,4166.0
2006-11-15,12.45,12.45,11.32,11.5,2001.0
2006-11-16,12.0,12.0,12.0,12.0,944.0
2006-11-20,12.25,12.25,12.25,12.25,1800.0
2006-11-21,12.4,12.9,12.4,12.43,3800.0
2006-11-27,13.2,13.2,13.18,13.18,1800.0
2006-11-28,13.35,13.38,13.1,13.1,11904.0
2006-11-29,13.0,13.0,12.75,12.75,3078.0
2006-11-30,12.51,12.51,12.51,12.51,
