Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-04-18,28.04,33.95,28.04,30.03,3066329.0
2016-04-19,30.16,32.34,30.16,32.07,2612572.0
2016-04-20,32.05,32.63,31.8,31.9,349987.0
2016-04-21,31.97,32.535,31.75,32.48,246550.0
2016-04-22,32.35,32.94,32.29,32.53,187342.0
2016-04-25,32.4,32.69,32.21,32.68,178060.0
2016-04-26,32.62,33.0,32.53,32.64,103062.0
2016-04-27,32.38,32.96,32.38,32.81,91448.0
2016-04-28,33.8,33.8,32.1,32.26,114559.0
2016-04-29,32.54,32.54,31.8,32.02,265122.0
2016-05-02,32.03,32.75,32.03,32.65,81157.0
2016-05-03,31.93,32.7,31.93,32.47,85416.0
2016-05-04,32.3,32.56,31.8,31.94,85306.0
2016-05-05,32.08,32.16,31.8,31.97,107601.0
2016-05-06,31.69,32.34,31.69,32.33,130026.0
2016-05-09,31.76,32.24,31.76,31.87,76936.0
2016-05-10,32.19,32.21,31.67,32.08,114727.0
2016-05-11,31.81,32.04,31.42,31.54,104333.0
2016-05-12,31.54,31.65,31.11,31.34,75121.0
2016-05-13,31.38,31.48,30.83,31.04,112414.0
2016-05-16,30.82,31.49,30.8,31.13,92079.0
2016-05-17,30.86,31.42,30.75,30.89,160394.0
2016-05-18,30.69,31.33,30.69,31.21,260492.0
2016-05-19,30.65,31.42,30.65,31.07,353589.0
2016-05-20,31.11,31.62,31.02,31.31,205371.0
2016-05-23,31.24,31.4,30.99,31.02,100268.0
2016-05-24,30.91,31.67,30.91,31.51,131297.0
2016-05-25,31.52,31.78,31.47,31.62,103395.0
2016-05-26,31.55,31.84,31.37,31.4,140114.0
2016-05-27,31.37,31.68,31.28,31.54,120688.0
2016-05-31,31.78,31.78,31.3,31.45,303964.0
2016-06-01,31.18,31.77,31.06,31.66,266935.0
2016-06-02,31.55,31.84,31.51,31.61,138271.0
2016-06-03,31.52,31.54,31.24,31.47,156226.0
2016-06-06,31.41,31.88,31.3,31.31,136684.0
2016-06-07,31.2,31.54,31.14,31.34,118085.0
2016-06-08,31.28,31.66,31.28,31.43,103881.0
2016-06-09,31.23,31.76,31.23,31.73,106587.0
2016-06-10,31.54,31.61,31.2,31.45,118999.0
2016-06-13,31.33,31.48,30.67,30.75,156679.0
2016-06-14,30.66,30.85,30.37,30.48,116708.0
2016-06-15,30.42,30.96,30.42,30.5,97318.0
2016-06-16,30.31,30.84,30.12,30.75,96846.0
2016-06-17,30.58,31.05,29.96,30.05,3018064.0
2016-06-20,30.65,30.79,29.95,30.185,286832.0
2016-06-21,30.12,30.14,29.54,29.58,219505.0
2016-06-22,29.68,29.98,29.54,29.96,309249.0
2016-06-23,30.15,31.47,29.68,31.41,363656.0
2016-06-24,29.9,30.97,29.9,30.39,706008.0
2016-06-27,30.14,30.36,29.02,29.29,206790.0
2016-06-28,29.63,30.06,29.24,30.0,295996.0
2016-06-29,30.34,30.8,30.18,30.39,189667.0
2016-06-30,30.42,30.98,30.12,30.87,312058.0
2016-07-01,30.91,31.32,30.75,31.22,200074.0
2016-07-05,30.95,31.38,30.54,31.14,237473.0
2016-07-06,30.94,31.4,30.81,31.3,128069.0
2016-07-07,31.25,31.86,31.24,31.5,345598.0
2016-07-08,31.77,32.18,31.77,32.03,90581.0
2016-07-11,32.15,32.38,32.03,32.3,94890.0
2016-07-12,32.4,32.5,31.82,31.86,107448.0
2016-07-13,31.88,32.37,31.74,32.33,138504.0
2016-07-14,32.45,33.0,32.21,32.92,173084.0
2016-07-15,32.85,33.09,32.69,33.06,176433.0
2016-07-18,33.01,33.32,32.81,33.24,105637.0
2016-07-19,33.1,33.67,33.1,33.63,176040.0
2016-07-20,33.65,33.92,33.47,33.9,119284.0
2016-07-21,33.8,33.99,33.57,33.92,147472.0
2016-07-22,33.88,34.31,33.74,34.24,155247.0
2016-07-25,34.1,34.19,33.39,33.4,155357.0
2016-07-26,33.45,35.04,33.45,34.83,232887.0
2016-07-27,34.9,35.49,34.81,35.25,102150.0
2016-07-28,35.26,35.27,34.43,34.93,193924.0
2016-07-29,34.95,35.43,34.83,35.25,208617.0
2016-08-01,35.13,35.18,34.52,34.62,159478.0
2016-08-02,34.6,34.6,33.71,33.93,191294.0
2016-08-03,33.66,34.0,33.66,33.92,109932.0
2016-08-04,33.97,34.09,33.49,33.53,122103.0
2016-08-05,33.68,34.02,33.33,33.69,137234.0
2016-08-08,33.63,33.74,32.93,33.16,234480.0
2016-08-09,33.27,33.27,32.58,32.86,162560.0
2016-08-10,32.78,33.29,32.64,33.02,174551.0
2016-08-11,33.21,33.47,33.2,33.39,90656.0
2016-08-12,33.47,33.47,33.12,33.2,71534.0
2016-08-15,33.1,33.42,33.04,33.3,122572.0
2016-08-16,33.14,33.53,33.0,33.39,110528.0
2016-08-17,33.38,33.41,33.01,33.26,139995.0
2016-08-18,33.13,33.28,32.64,32.75,143792.0
2016-08-19,32.55,32.64,32.43,32.62,78629.0
2016-08-22,32.49,32.8,32.32,32.42,88302.0
2016-08-23,32.48,32.65,32.33,32.51,153648.0
2016-08-24,32.41,32.54,32.005,32.12,114118.0
2016-08-25,32.21,32.77,32.1,32.73,197475.0
2016-08-26,32.74,33.07,32.42,32.99,195130.0
2016-08-29,33.12,33.34,32.99,33.16,171683.0
2016-08-30,33.16,33.36,32.79,33.3,223011.0
2016-08-31,33.27,33.36,32.92,33.23,192568.0
2016-09-01,33.12,33.36,32.71,33.25,200053.0
2016-09-02,33.36,33.57,33.22,33.52,125117.0
2016-09-06,33.33,33.69,33.25,33.51,250240.0
2016-09-07,33.51,33.89,33.27,33.88,295528.0
2016-09-08,33.93,34.04,33.62,33.94,191956.0
2016-09-09,33.72,33.84,33.07,33.19,227089.0
2016-09-12,33.06,33.72,32.93,33.67,135870.0
2016-09-13,33.32,33.43,32.81,32.95,163066.0
2016-09-14,32.82,33.03,32.67,32.99,162963.0
2016-09-15,32.87,33.29,32.79,33.25,87460.0
2016-09-16,33.19,33.42,32.13,32.35,2825187.0
2016-09-19,32.37,33.2,32.37,32.76,208431.0
2016-09-20,32.91,32.92,32.58,32.87,141937.0
2016-09-21,32.92,33.33,32.74,33.27,162392.0
2016-09-22,33.24,33.58,33.24,33.37,139168.0
2016-09-23,33.2,33.55,33.2,33.36,153006.0
2016-09-26,33.18,33.39,33.04,33.09,160717.0
2016-09-27,33.02,33.26,32.99,33.18,155866.0
2016-09-28,33.15,33.15,32.85,32.97,164625.0
