Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-03-29,87.24,88.6,78.02,78.29,30617252.0
2019-04-01,75.0,75.0,67.78,69.01,15407046.0
2019-04-02,67.0,70.2,66.11,68.97,6598234.0
2019-04-03,70.06,72.0,69.13,70.0,4762711.0
2019-04-04,70.48,72.88,70.25,72.0,3161989.0
2019-04-05,73.94,76.1,73.3,74.45,3311062.0
2019-04-08,74.99,74.99,70.23,70.23,1531238.0
2019-04-09,69.5,69.54,67.11,67.44,2039066.0
2019-04-10,67.25,67.35,59.75,60.12,6864997.0
2019-04-11,61.08,62.3,60.31,61.01,2789842.0
2019-04-12,61.39,61.48,57.66,59.895,3056547.0
2019-04-15,59.72,59.79,55.56,56.11,3174807.0
2019-04-16,56.86,57.94,56.18,56.25,1935477.0
2019-04-17,56.36,59.61,55.63,59.51,2555856.0
2019-04-18,59.65,59.66,57.61,58.36,1715522.0
2019-04-22,57.9,61.22,57.68,60.94,1390674.0
2019-04-23,62.0,62.1,59.35,60.25,2564106.0
2019-04-24,60.11,60.46,57.77,57.82,1275750.0
2019-04-25,58.2,58.45,55.88,56.34,1113026.0
2019-04-26,56.3,57.52,54.32,57.24,1610819.0
2019-04-29,57.6,60.71,56.04,60.59,1750280.0
2019-04-30,59.93,61.39,58.22,59.8,1514414.0
2019-05-01,60.7,60.71,58.54,58.75,996438.0
2019-05-02,58.44,62.01,57.33,61.5,1605951.0
2019-05-03,61.21,62.98,60.11,62.51,2299253.0
2019-05-06,60.55,61.5,59.91,60.57,1283776.0
2019-05-07,60.34,61.6,58.12,59.34,3337133.0
2019-05-08,57.69,60.45,52.78,52.91,6387761.0
2019-05-09,54.07,56.45,53.1,55.18,2598737.0
2019-05-10,56.39,56.48,50.03,51.09,6232965.0
2019-05-13,50.0,50.08,47.18,48.15,2560078.0
2019-05-14,48.82,51.38,48.0,50.52,1824308.0
2019-05-15,50.2,54.85,49.89,54.04,1965396.0
2019-05-16,54.1,56.7,53.65,55.6,1823342.0
2019-05-17,54.5,55.11,53.46,53.79,971435.0
2019-05-20,52.14,54.68,51.85,54.63,737075.0
2019-05-21,54.77,56.03,53.53,55.51,996194.0
2019-05-22,54.68,57.95,54.64,57.88,988171.0
2019-05-23,56.82,58.46,56.36,58.11,905760.0
2019-05-24,58.5,58.78,56.61,57.1,726916.0
2019-05-28,56.85,57.95,55.42,56.89,885791.0
2019-05-29,56.3,56.73,54.06,56.26,823791.0
2019-05-30,56.04,56.54,54.08,54.83,712979.0
2019-05-31,56.41,58.45,54.57,57.62,1609913.0
2019-06-03,58.52,61.75,58.44,59.54,1453894.0
2019-06-04,61.1,61.17,57.56,59.17,1397785.0
2019-06-05,59.4,63.23,59.21,63.01,1774921.0
2019-06-06,62.25,63.17,60.41,61.63,1087300.0
2019-06-07,62.0,62.22,59.22,59.26,1084678.0
2019-06-10,59.45,60.58,56.7,56.76,796242.0
2019-06-11,59.08,59.2,56.31,58.07,731447.0
2019-06-12,57.18,58.86,57.18,58.41,446303.0
2019-06-13,59.48,61.35,58.75,61.21,841576.0
2019-06-14,61.0,61.39,59.97,60.96,594997.0
2019-06-17,60.52,64.13,60.52,63.6,1285722.0
2019-06-18,63.7,64.76,61.65,64.4,1391062.0
2019-06-19,64.5,65.07,63.16,63.55,961960.0
2019-06-20,64.0,64.2,62.15,62.84,804710.0
2019-06-21,62.8,64.29,62.7,64.26,2265572.0
2019-06-24,64.0,64.27,62.9,63.76,840907.0
2019-06-25,63.76,64.27,62.68,64.04,820741.0
2019-06-26,64.32,64.64,62.77,62.97,556086.0
2019-06-27,63.54,65.36,63.185,65.27,1286026.0
2019-06-28,65.2,66.64,64.44,65.71,2494740.0
2019-07-01,66.0,66.1,61.5,62.0,1173810.0
