Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2002-02-07,17.1,18.5,17.1,18.21,4819900.0
2002-02-08,18.4,19.99,18.25,19.8,797100.0
2002-02-11,20.0,20.46,19.81,19.9,750800.0
2002-02-12,19.85,20.07,19.5,19.51,378700.0
2002-02-13,19.52,20.0,19.26,19.3,406300.0
2002-02-14,19.55,19.65,18.45,18.8,278000.0
2002-02-15,18.87,18.95,18.45,18.6,185000.0
2002-02-19,18.45,18.7,18.3,18.7,166300.0
2002-02-20,18.69,19.14,18.6,18.95,201500.0
2002-02-21,19.07,19.21,18.73,19.0,529500.0
2002-02-22,19.01,19.02,18.25,18.5,416900.0
2002-02-25,19.0,19.05,18.4,18.45,285300.0
2002-02-26,18.4,18.5,17.81,18.01,879400.0
2002-02-27,18.035,18.45,17.65,18.05,295200.0
2002-02-28,18.05,18.3,18.0,18.01,248400.0
2002-03-01,18.02,18.49,17.73,18.49,58700.0
2002-03-04,18.48,18.55,18.1,18.55,15000.0
2002-03-05,18.29,19.75,18.15,18.92,481200.0
2002-03-06,19.19,19.35,18.89,19.05,113000.0
2002-03-07,19.03,19.25,18.58,18.75,189500.0
2002-03-08,18.85,18.97,18.35,18.48,631400.0
2002-03-11,18.8,19.4,18.69,19.0,140800.0
2002-03-12,18.9,19.05,18.75,18.81,211000.0
2002-03-13,18.825,18.9,18.2,18.35,292800.0
2002-03-14,18.62,18.62,17.9,18.05,139500.0
2002-03-15,18.14,18.21,18.0,18.05,80000.0
2002-03-18,18.0,18.8,17.88,18.49,88900.0
2002-03-19,18.9,18.9,18.35,18.35,26200.0
2002-03-20,18.505,18.9,18.15,18.55,52700.0
2002-03-21,18.2,19.5,18.2,19.25,116300.0
2002-03-22,19.8,19.81,18.6,18.83,84100.0
2002-03-25,19.0,19.19,18.74,19.05,294500.0
2002-03-26,19.05,19.1,18.8,19.09,318300.0
2002-03-27,19.0,19.1,18.83,19.05,199800.0
2002-03-28,18.85,19.15,18.28,18.6,124300.0
2002-04-01,19.05,19.3,18.75,19.13,169400.0
2002-04-02,18.99,19.48,18.87,19.199,197400.0
2002-04-03,19.3,19.82,19.1,19.7,139700.0
2002-04-04,19.66,20.03,19.15,19.69,90200.0
2002-04-05,19.89,20.05,19.6,19.934,70300.0
2002-04-08,19.76,20.55,18.82,20.368,171100.0
2002-04-09,20.66,21.3,19.91,20.99,292700.0
2002-04-10,21.25,22.0,21.12,21.86,240600.0
2002-04-11,21.9,22.85,21.6,22.55,174700.0
2002-04-12,22.9,24.27,22.675,24.24,280500.0
2002-04-15,24.19,24.19,22.2,22.39,352300.0
2002-04-16,22.25,22.6,20.73,21.59,348900.0
2002-04-17,21.79,22.95,21.06,21.36,70900.0
2002-04-18,22.06,22.06,20.07,20.9,93600.0
2002-04-19,20.61,22.62,20.55,22.6,105100.0
