Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1994-07-20,4.0,4.0,3.5625,3.625,594400.0
1994-07-21,3.6875,3.75,3.5625,3.734375,122800.0
1994-07-22,3.75,3.8125,3.6875,3.6875,122800.0
1994-07-25,3.8125,3.8125,3.6875,3.75,55600.0
1994-07-26,3.875,3.875,3.6875,3.6875,28000.0
1994-07-27,3.875,4.0,3.75,3.8125,92400.0
1994-07-28,4.0,4.0625,3.8125,3.875,23200.0
1994-07-29,4.0625,4.0625,3.8125,3.875,36000.0
1994-08-01,4.0,4.0625,3.8125,4.0625,51200.0
1994-08-02,4.0625,4.0625,3.875,4.0625,11200.0
1994-08-03,4.0625,4.125,3.875,3.9375,106400.0
1994-08-04,4.0625,4.0625,3.9375,3.9375,79600.0
1994-08-05,4.0,4.0625,3.875,3.875,12800.0
1994-08-08,4.0625,4.0625,3.875,3.875,22400.0
1994-08-09,3.875,4.0,3.875,4.0,14800.0
1994-08-10,4.0,4.0,3.75,3.75,116800.0
1994-08-11,3.75,4.0,3.75,3.8125,23200.0
1994-08-12,3.9375,3.9375,3.75,3.9375,20400.0
1994-08-15,3.9375,3.9375,3.75,3.78125,13200.0
1994-08-16,3.9375,3.9375,3.75,3.75,9200.0
1994-08-17,3.78125,3.9375,3.75,3.9375,23600.0
1994-08-18,3.9375,3.9375,3.8125,3.8125,5600.0
1994-08-19,3.8125,4.0,3.8125,3.875,2800.0
1994-08-22,3.75,4.0,3.75,3.875,38800.0
1994-08-23,3.75,4.0,3.75,3.75,50400.0
1994-08-24,4.0,4.03125,3.75,4.03125,124000.0
1994-08-25,3.9375,4.125,3.9375,4.125,5600.0
1994-08-26,3.9375,4.125,3.9375,3.9375,10800.0
1994-08-29,4.0625,4.0625,3.875,4.0625,27200.0
1994-08-30,4.0625,4.0625,3.8125,3.8125,38800.0
1994-08-31,4.0,4.0,3.875,3.9375,47600.0
1994-09-01,4.0,4.0,4.0,4.0,1200.0
1994-09-02,3.75,3.75,3.75,3.75,2000.0
1994-09-06,3.75,3.75,3.75,3.75,400.0
1994-09-07,4.0,4.0,3.75,3.75,22800.0
1994-09-08,3.75,3.875,3.75,3.875,6800.0
1994-09-09,3.78125,3.9375,3.75,3.75,22800.0
1994-09-12,3.75,3.75,3.75,3.75,3200.0
1994-09-13,3.75,3.9375,3.75,3.9375,12800.0
1994-09-14,3.9375,3.9375,3.8125,3.8125,11600.0
1994-09-15,3.90625,3.90625,3.8125,3.8125,13200.0
1994-09-16,3.75,3.75,3.75,3.75,12400.0
