Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-08-22,9.5,9.72,9.5,9.55,16600.0
2017-08-23,10.25,12.5,10.25,11.53,44917.0
2017-08-24,11.44,11.5,10.8,10.91,8069.0
2017-08-25,11.25,11.25,11.11,11.15,13507.0
2017-08-28,11.5,12.7,11.45,12.7,121157.0
2017-08-29,12.6,12.85,11.86,12.85,72295.0
2017-08-30,12.8,13.2,12.7,13.1,87967.0
2017-08-31,13.25,13.25,12.56,13.05,20955.0
2017-09-01,12.93,13.1,12.5,13.1,16626.0
2017-09-05,13.0,13.0,12.6,12.75,11840.0
2017-09-06,12.66,12.98,12.51,12.58,26700.0
2017-09-07,12.71,12.71,12.48,12.58,9598.0
2017-09-08,12.55,12.58,12.33,12.35,10892.0
2017-09-11,12.6,12.6,11.0,11.98,24230.0
2017-09-12,11.97,12.45,11.97,12.22,10472.0
2017-09-13,12.45,12.45,11.89,11.89,18726.0
2017-09-14,12.42,12.45,11.99,12.1,8686.0
2017-09-15,12.2,12.39,12.0,12.2,12249.0
2017-09-18,12.45,12.49,12.2,12.25,24666.0
2017-09-19,12.38,12.45,12.33,12.45,12659.0
2017-09-20,12.47,12.47,11.2,11.4,30257.0
2017-09-21,11.96,11.96,11.8,11.8,5187.0
2017-09-22,11.9,11.9,11.35,11.49,7312.0
2017-09-25,11.4,11.4,10.55,10.69,16255.0
2017-09-26,10.7,10.78,10.15,10.46,19279.0
2017-09-27,11.29,11.39,10.5,11.39,28964.0
2017-09-28,11.21,11.3,11.0,11.02,9102.0
2017-09-29,11.0,11.49,11.0,11.49,999.0
2017-10-02,11.49,11.75,11.15,11.15,6450.0
2017-10-03,11.3,11.45,10.99,11.02,10236.0
2017-10-04,11.08,11.08,10.5,10.7,5540.0
2017-10-05,10.85,11.0,10.74,10.75,4977.0
2017-10-06,10.97,10.97,10.03,10.4,12850.0
2017-10-09,10.3,10.51,10.1,10.23,11343.0
2017-10-10,10.74,10.93,9.9,9.9,12544.0
2017-10-11,10.0,10.27,9.77,9.86,9321.0
2017-10-12,10.0,10.0,9.55,9.94,6547.0
2017-10-13,9.98,10.25,9.86,9.9,2588.0
2017-10-16,9.98,10.0,9.55,9.9,15500.0
2017-10-17,10.01,10.01,9.61,9.62,4532.0
2017-10-19,9.61,9.61,9.12,9.46,11367.0
2017-10-20,9.4,9.4,8.45,8.9,32740.0
2017-10-23,8.96,9.21,8.75,8.75,6984.0
2017-10-24,8.76,8.84,8.76,8.84,1166.0
2017-10-25,8.88,8.99,8.28,8.94,7277.0
2017-10-26,8.81,8.81,8.69,8.78,929.0
2017-10-27,8.79,9.19,8.78,8.83,5561.0
2017-10-30,9.0,10.0,9.0,9.99,23831.0
2017-10-31,10.25,11.99,9.87,11.75,63166.0
2017-11-01,11.87,12.25,11.1,11.46,53905.0
2017-11-02,11.48,11.48,10.78,10.96,14013.0
2017-11-03,10.99,11.01,10.25,10.41,18584.0
2017-11-06,10.3,10.77,10.3,10.32,7311.0
2017-11-07,10.3,10.5,10.17,10.5,5731.0
2017-11-08,10.5,10.73,10.24,10.5,3022.0
2017-11-09,10.23,10.8,10.23,10.55,18617.0
2017-11-10,10.6,10.6,10.2,10.28,5885.0
2017-11-13,10.24,10.5,10.15,10.5,4789.0
2017-11-14,10.2,10.5,9.75,9.81,12046.0
2017-11-15,9.9,10.0,9.39,9.85,12382.0
2017-11-16,9.89,10.43,9.55,9.65,15772.0
2017-11-17,9.63,10.24,9.63,9.97,20672.0
2017-11-20,9.89,9.89,9.4,9.4,12192.0
2017-11-21,9.45,9.56,9.11,9.25,11453.0
2017-11-22,9.19,9.5,8.85,9.03,26972.0
2017-11-24,9.23,9.23,8.84,8.96,6689.0
2017-11-27,9.01,9.62,8.16,8.96,50065.0
2017-11-28,9.05,10.56,8.98,9.66,39983.0
2017-11-29,9.85,9.97,8.71,8.88,35557.0
2017-11-30,8.97,9.795,8.76,9.65,19360.0
2017-12-01,9.73,10.11,9.55,9.63,7374.0
2017-12-04,9.5,10.18,9.41,9.64,40944.0
2017-12-05,9.73,10.67,9.51,10.67,23728.0
2017-12-06,10.54,11.32,10.54,11.08,45782.0
2017-12-07,11.21,11.25,10.65,10.99,23618.0
2017-12-08,10.99,11.7,10.99,11.51,47711.0
2017-12-11,11.73,12.34,10.8,11.1,33422.0
2017-12-12,11.44,11.58,10.6,10.64,35862.0
2017-12-13,10.55,11.72,10.55,11.52,118908.0
2017-12-14,11.43,11.86,10.98,11.68,88816.0
2017-12-15,11.78,12.15,11.33,11.79,311954.0
2017-12-18,11.73,12.06,11.18,11.36,52335.0
2017-12-19,11.44,11.82,10.94,11.31,73865.0
2017-12-20,11.25,11.41,10.65,10.93,28618.0
2017-12-21,11.11,11.77,11.0,11.44,30117.0
2017-12-22,11.52,12.24,11.45,11.8,36430.0
2017-12-26,11.8,12.35,11.7,11.76,20052.0
2017-12-27,11.86,11.86,11.32,11.49,10585.0
2017-12-28,11.58,11.97,11.58,11.78,10157.0
2017-12-29,11.88,12.18,11.82,11.99,13004.0
2018-01-02,12.06,12.2,11.85,12.05,46011.0
2018-01-03,11.9,11.96,11.55,11.62,12373.0
2018-01-04,11.69,11.97,11.35,11.91,14194.0
2018-01-05,11.96,12.15,11.65,11.89,25139.0
2018-01-08,11.98,12.1,11.75,11.82,11741.0
2018-01-09,11.85,12.0,11.71,11.71,11024.0
2018-01-10,11.94,12.68,11.8,11.93,16258.0
2018-01-11,12.02,12.545,11.93,12.38,12632.0
