Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2007-08-10,22.0,29.0,22.0,28.5,5415180.0
2007-08-13,31.2,39.67,29.0,31.65,1278584.0
2007-08-14,30.86,32.55,29.98,30.03,182678.0
2007-08-15,30.06,30.21,28.07,28.56,267161.0
2007-08-16,28.25,30.0,25.15,28.1,689666.0
2007-08-17,30.32,33.64,30.0,32.85,289969.0
2007-08-20,32.9,32.9,29.58,30.95,120602.0
2007-08-21,29.71,30.25,27.76,29.02,65588.0
2007-08-22,29.15,30.83,29.15,29.5,23253.0
2007-08-23,30.89,30.89,28.94,30.0,167274.0
2007-08-24,29.25,30.25,28.52,30.0,67486.0
2007-08-27,29.37,30.0,28.61,29.4,101928.0
2007-08-28,29.3,29.51,28.5,28.77,81114.0
2007-08-29,29.5,30.57,28.76,29.33,48725.0
2007-08-30,29.75,29.75,28.61,28.8,28997.0
2007-08-31,29.15,29.15,28.03,28.12,30849.0
2007-09-04,28.01,29.0,27.31,28.0,88994.0
2007-09-05,27.38,28.76,27.04,28.51,58557.0
2007-09-06,28.86,32.25,28.76,29.93,96969.0
2007-09-07,30.68,31.7,29.25,29.5,37808.0
2007-09-10,29.75,30.66,29.1,29.24,43585.0
2007-09-11,29.67,29.75,28.88,29.08,64436.0
2007-09-12,28.87,29.4,28.29,29.17,36101.0
2007-09-13,29.44,29.44,28.96,29.0,6984.0
2007-09-14,28.61,29.5,28.04,28.44,38608.0
2007-09-17,28.1,28.4,27.61,27.75,19658.0
2007-09-18,27.75,28.86,27.54,28.0,74209.0
2007-09-19,30.1,33.65,30.1,33.28,367711.0
2007-09-20,33.49,38.35,33.0,37.06,214071.0
2007-09-21,36.52,40.64,35.63,40.52,165319.0
2007-09-24,38.27,41.3,38.26,41.06,196689.0
2007-09-25,38.72,39.99,37.07,38.2,124843.0
2007-09-26,38.0,38.1,36.5,38.08,210427.0
2007-09-27,38.5,39.74,35.77,36.92,197412.0
2007-09-28,36.23,38.0,35.46,36.63,849485.0
2007-10-01,36.63,39.24,35.62,36.71,124152.0
2007-10-02,37.63,40.0,37.24,39.4,150623.0
2007-10-03,39.16,42.73,38.57,42.12,170239.0
2007-10-04,42.71,43.69,40.21,41.27,87777.0
2007-10-05,42.25,42.73,40.0,41.11,57152.0
2007-10-08,40.86,41.34,39.46,41.02,50093.0
