Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-06-21,15.5,16.32,14.3,14.52,1670199.0
2018-06-22,14.52,14.9,14.2,14.5,174818.0
2018-06-25,14.27,14.32,13.05,14.25,74612.0
2018-06-26,14.23,14.3,13.85,14.25,21673.0
2018-06-27,14.23,14.4,13.75,14.04,40613.0
2018-06-28,14.05,14.05,12.88,13.68,63645.0
2018-06-29,13.52,13.52,12.85,13.5,74509.0
2018-07-02,13.59,13.59,11.6,13.59,74570.0
2018-07-03,13.78,13.78,12.63,12.98,27656.0
2018-07-05,13.1,13.165,12.79,13.005,39532.0
2018-07-06,13.07,13.21,12.82,12.98,45181.0
2018-07-09,13.11,13.11,12.35,12.85,45037.0
2018-07-10,12.8,12.87,12.4,12.54,44537.0
2018-07-11,12.45,12.45,11.8,12.25,14182.0
2018-07-12,12.44,12.44,11.95,12.08,6384.0
2018-07-13,12.1,13.47,12.1,13.36,55224.0
2018-07-16,13.59,13.59,12.22,13.01,44434.0
2018-07-17,13.06,13.92,12.55,13.83,35466.0
2018-07-18,13.86,14.16,13.5,14.01,35186.0
2018-07-19,14.43,14.43,13.56,14.16,36357.0
2018-07-20,14.11,15.15,14.08,15.0,44552.0
2018-07-23,14.93,14.99,13.84,14.11,23087.0
2018-07-24,14.01,14.25,13.61,14.16,14421.0
2018-07-25,14.21,14.43,13.84,13.97,14606.0
2018-07-26,13.9,13.94,13.6,13.71,15155.0
2018-07-27,13.75,13.95,13.25,13.93,9350.0
2018-07-30,13.83,13.85,13.43,13.85,8927.0
2018-07-31,13.92,14.78,13.68,13.75,17581.0
2018-08-01,13.82,13.82,12.86,13.07,9440.0
2018-08-02,13.0,13.36,12.58,13.3,14192.0
2018-08-03,13.25,13.25,12.75,12.92,1678.0
2018-08-06,13.17,13.25,12.78,12.78,4392.0
2018-08-07,12.87,13.0,12.75,12.75,1258.0
2018-08-08,12.83,13.49,12.44,13.23,8168.0
2018-08-09,13.21,13.54,13.12,13.39,11121.0
2018-08-10,12.66,13.025,12.66,13.0,3315.0
2018-08-13,12.94,12.99,12.66,12.775,6307.0
2018-08-14,12.87,13.15,12.67,12.67,10941.0
2018-08-15,12.66,13.27,12.66,12.89,13890.0
2018-08-16,12.88,12.88,12.63,12.69,7501.0
2018-08-17,12.74,13.82,12.74,13.82,5326.0
2018-08-20,13.72,13.75,12.93,13.22,3314.0
2018-08-21,13.14,13.9,13.14,13.865,1838.0
2018-08-22,13.79,14.38,13.79,14.25,8107.0
2018-08-23,14.22,14.22,13.8,14.2,5714.0
2018-08-24,14.2,14.2,13.85,14.19,1419.0
2018-08-27,14.2,14.2,14.1,14.14,675.0
2018-08-28,14.15,14.5,14.02,14.47,4866.0
2018-08-29,14.5,14.5,14.2,14.34,1130.0
2018-08-30,14.49,15.7,14.46,15.7,30562.0
2018-08-31,15.63,15.63,14.6,14.6,9668.0
2018-09-04,14.6,15.4,14.33,14.33,11089.0
2018-09-05,14.43,14.6,13.02,13.3,18709.0
2018-09-06,13.33,13.66,13.05,13.11,8713.0
2018-09-07,13.03,13.32,12.38,12.61,19548.0
2018-09-10,12.54,13.105,12.17,12.65,9710.0
2018-09-11,12.59,13.19,12.1,12.42,18175.0
2018-09-12,12.38,12.5,12.12,12.14,22340.0
2018-09-13,12.23,12.31,11.75,12.0,6519.0
2018-09-14,12.0,12.455,11.87,12.07,12446.0
2018-09-17,12.07,12.57,11.82,11.82,9217.0
2018-09-18,11.99,12.17,11.75,11.87,15018.0
2018-09-19,11.79,12.15,11.6,11.6,16917.0
2018-09-20,11.83,11.92,11.62,11.62,25243.0
2018-09-21,11.97,11.97,11.32,11.32,317174.0
2018-09-24,11.6,12.05,11.27,11.99,32837.0
2018-09-25,11.99,12.02,11.67,11.67,27100.0
2018-09-26,11.75,12.08,11.75,12.0,7823.0
2018-09-27,12.0,12.26,12.0,12.21,6994.0
2018-09-28,12.29,12.29,11.83,12.01,15993.0
2018-10-01,12.01,12.06,11.65,11.65,6299.0
2018-10-02,11.6,11.6,11.215,11.23,5058.0
2018-10-03,11.24,11.24,11.01,11.09,3552.0
2018-10-04,11.1,11.24,11.04,11.09,4561.0
2018-10-05,11.12,11.17,11.05,11.05,9375.0
2018-10-08,11.0,11.0,10.29,10.37,17336.0
2018-10-09,10.52,10.73,10.25,10.45,4471.0
2018-10-10,10.41,10.46,9.5,9.54,21213.0
2018-10-11,9.48,10.27,8.65,9.06,21611.0
2018-10-12,9.26,10.1,9.13,9.98,19090.0
2018-10-15,9.96,10.03,9.57,9.57,5075.0
2018-10-16,9.64,10.135,9.64,9.88,8521.0
2018-10-17,9.81,10.31,9.81,9.97,11825.0
2018-10-18,9.92,10.14,9.67,9.87,7723.0
2018-10-19,9.98,10.07,9.81,10.07,4465.0
2018-10-22,10.02,10.06,9.86,9.92,3628.0
2018-10-23,9.78,9.8,9.15,9.3,5095.0
2018-10-24,9.3,9.5,8.9,9.23,27761.0
2018-10-25,9.34,9.44,8.91,9.2,13787.0
2018-10-26,9.2,9.34,9.1,9.17,3006.0
2018-10-29,9.22,9.22,9.08,9.15,2381.0
2018-10-30,9.12,9.35,9.05,9.1,3567.0
2018-10-31,9.2,9.21,8.77,8.77,12891.0
2018-11-01,8.9,9.12,7.71,8.26,36306.0
2018-11-02,8.24,9.0,7.35,8.5,48610.0
2018-11-05,8.5,9.17,8.38,9.06,23811.0
2018-11-06,9.04,9.5,8.9,9.16,8570.0
2018-11-07,9.12,9.12,8.99,9.12,17319.0
2018-11-08,9.04,9.04,8.8,8.81,5781.0
2018-11-09,8.71,8.71,8.44,8.69,3518.0
2018-11-12,8.54,8.54,7.88,7.88,7635.0
2018-11-13,7.89,7.89,6.7,6.87,37697.0
2018-11-14,6.95,7.17,6.21,6.66,46551.0
2018-11-15,6.67,7.35,6.67,7.17,47705.0
2018-11-16,7.09,7.79,6.605,7.77,39692.0
2018-11-19,7.69,7.77,7.24,7.65,8613.0
2018-11-20,7.65,7.73,7.5,7.63,9050.0
2018-11-21,7.73,7.83,7.3,7.83,7149.0
2018-11-23,7.71,9.02,7.48,8.81,18047.0
2018-11-26,8.58,8.93,8.58,8.84,8802.0
2018-11-27,8.8,8.95,8.4,8.95,5671.0
2018-11-28,8.86,9.1,8.75,9.01,12586.0
2018-11-29,9.04,9.16,8.94,9.15,5070.0
2018-11-30,9.16,9.845,9.16,9.78,13546.0
2018-12-03,9.79,9.79,8.69,9.18,18307.0
2018-12-04,9.2,9.2,8.61,8.77,11727.0
2018-12-06,8.69,8.69,8.35,8.63,8279.0
2018-12-07,8.55,8.55,7.69,7.83,34155.0
2018-12-10,7.86,8.19,7.65,7.76,46783.0
2018-12-11,7.75,8.595,7.75,8.34,18287.0
2018-12-12,8.36,8.52,7.9,7.92,15660.0
2018-12-13,7.92,8.31,7.36,7.49,36003.0
2018-12-14,7.44,7.66,6.82,6.92,48182.0
2018-12-17,6.94,7.29,6.66,6.73,19061.0
2018-12-18,6.76,7.23,6.19,6.27,32983.0
2018-12-19,6.3,6.73,5.62,6.02,41766.0
2018-12-20,6.03,6.2,5.4,5.87,23693.0
2018-12-21,5.89,6.26,5.7,6.0,410056.0
2018-12-24,5.95,6.01,5.53,5.93,23982.0
2018-12-26,6.0,6.0,5.48,5.83,22624.0
2018-12-27,5.74,5.83,5.48,5.57,14650.0
2018-12-28,5.6,5.78,5.355,5.7,13491.0
2018-12-31,5.84,5.91,5.5,5.7,29186.0
2019-01-02,5.78,6.59,5.62,6.0,25654.0
2019-01-03,6.22,6.22,5.69,5.76,18062.0
2019-01-04,5.94,6.54,5.94,6.14,25233.0
2019-01-07,6.19,6.25,5.67,5.7,58528.0
2019-01-08,5.77,5.99,5.6,5.75,43065.0
2019-01-09,5.8,6.06,5.41,5.89,33344.0
2019-01-10,5.96,6.04,5.65,5.84,16926.0
2019-01-11,5.85,6.26,5.85,6.12,16367.0
2019-01-14,6.15,6.18,5.65,6.01,22964.0
2019-01-15,6.01,6.83,6.01,6.69,20104.0
2019-01-16,6.7,7.07,6.7,6.92,25586.0
2019-01-17,6.9,7.12,6.73,6.83,12954.0
