Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-01-24,10.5,10.68,10.35,10.65,426274.0
2006-01-25,10.75,10.75,10.51,10.65,51134.0
2006-01-26,10.65,10.7,10.6,10.65,40212.0
2006-01-27,10.54,10.65,10.38,10.55,35690.0
2006-01-30,10.55,10.6,10.5,10.5,50890.0
2006-01-31,10.55,10.59,10.5,10.55,24809.0
2006-02-01,10.55,10.55,10.5,10.5,22910.0
2006-02-02,10.52,10.52,10.45,10.46,58966.0
2006-02-03,10.45,10.54,10.44,10.53,42695.0
2006-02-06,10.55,10.55,10.51,10.55,27391.0
2006-02-07,10.52,10.52,10.42,10.46,4408.0
2006-02-08,10.53,10.53,10.51,10.51,1500.0
2006-02-09,10.5,10.57,10.5,10.57,6547.0
2006-02-10,10.5,10.53,10.5,10.52,5286.0
2006-02-13,10.5,10.57,10.5,10.57,12098.0
2006-02-14,10.57,10.57,10.41,10.5,6310.0
2006-02-15,10.55,10.6,10.55,10.6,3900.0
2006-02-16,10.56,10.6,10.56,10.57,4100.0
2006-02-17,10.5,10.6,10.5,10.5,15147.0
2006-02-21,10.55,10.6,10.5,10.6,3900.0
2006-02-22,10.5,10.55,10.5,10.55,1500.0
2006-02-23,10.6,10.64,10.6,10.6,23570.0
2006-02-24,10.6,10.6,10.6,10.6,6870.0
2006-02-27,10.6,10.7,10.56,10.56,8266.0
2006-02-28,10.6,10.7,10.58,10.58,30578.0
2006-03-01,10.56,10.58,10.56,10.56,2516.0
2006-03-02,10.7,10.7,10.6,10.6,3100.0
2006-03-03,10.7,10.7,10.63,10.63,3100.0
2006-03-06,10.63,10.85,10.63,10.65,27449.0
2006-03-07,10.7,10.77,10.62,10.65,12700.0
2006-03-08,10.65,10.85,10.65,10.75,16179.0
2006-03-09,10.75,10.83,10.75,10.78,5674.0
2006-03-10,10.82,10.84,10.8,10.84,1951.0
2006-03-13,10.87,11.81,10.78,11.0,16840.0
2006-03-14,11.15,11.2,10.98,11.0,7583.0
2006-03-15,11.0,11.08,11.0,11.08,1800.0
2006-03-16,11.15,11.382,11.0,11.17,13400.0
2006-03-17,11.2,12.39,11.2,11.72,38325.0
2006-03-20,11.99,11.99,11.57,11.57,30395.0
2006-03-21,11.75,11.98,11.75,11.85,2180.0
2006-03-22,11.85,12.3,11.85,12.16,7042.0
2006-03-23,12.3,12.31,12.26,12.31,9240.0
2006-03-24,12.31,12.31,12.29,12.29,1805.0
2006-03-27,12.3,12.32,12.199,12.32,2250.0
2006-03-28,12.25,12.35,12.25,12.32,3350.0
2006-03-29,12.32,12.34,12.32,12.34,2429.0
2006-03-30,12.12,12.15,12.12,12.15,13600.0
2006-03-31,12.15,12.25,12.02,12.02,1500.0
2006-04-03,11.85,11.92,11.738,11.78,6759.0
2006-04-04,11.6401,11.7,11.1,11.11,14026.0
2006-04-05,11.95,12.0,11.3,11.3,1200.0
2006-04-06,11.42,11.42,11.1,11.42,2403.0
2006-04-07,11.5,11.58,11.5,11.58,1730.0
2006-04-10,11.78,11.78,11.32,11.32,1100.0
2006-04-11,11.29,11.65,11.05,11.05,8771.0
2006-04-12,11.1,11.38,11.0,11.25,10543.0
2006-04-17,11.32,11.32,11.32,11.32,200.0
2006-04-18,11.25,11.55,11.25,11.55,11283.0
2006-04-20,11.52,11.52,11.52,11.52,500.0
2006-04-21,11.4,11.5,11.4,11.5,10100.0
2006-04-24,11.5,11.5,11.5,11.5,100.0
2006-04-26,11.57,11.6,11.57,11.6,1300.0
2006-04-27,11.61,11.61,11.51,11.51,800.0
2006-04-28,11.4,11.55,11.4,11.51,4510.0
2006-05-01,11.6,11.6,11.55,11.6,17910.0
2006-05-02,11.57,11.74,11.57,11.74,7833.0
2006-05-03,11.84,11.94,11.84,11.85,3200.0
2006-05-04,11.78,11.78,11.65,11.65,1056.0
2006-05-05,11.94,11.94,11.62,11.63,1609.0
2006-05-08,11.65,11.65,11.6,11.61,4262.0
2006-05-09,11.679,11.679,11.679,11.679,1000.0
2006-05-10,11.65,11.65,11.57,11.57,2900.0
2006-05-11,11.62,11.62,11.62,11.62,100.0
2006-05-12,11.92,11.92,11.6,11.6,1600.0
2006-05-15,11.6825,11.6825,11.6825,11.6825,100.0
2006-05-17,11.61,11.61,11.61,11.61,100.0
2006-05-19,11.53,11.53,11.53,11.53,100.0
2006-05-22,11.3791,11.44,11.36,11.44,2300.0
2006-05-23,11.42,11.42,11.42,11.42,100.0
2006-05-26,11.36,11.36,11.188,11.188,1802.0
2006-05-30,11.19,11.2144,11.19,11.2,15000.0
2006-05-31,11.2,11.25,11.16,11.25,1676.0
2006-06-01,11.25,11.75,11.2,11.5,85295.0
2006-06-02,11.6,11.6,11.52,11.52,500.0
2006-06-05,11.45,11.59,11.37,11.59,7600.0
2006-06-06,11.6,11.6,11.5,11.58,5739.0
2006-06-07,11.25,11.4699,10.76,11.37,24702.0
2006-06-08,11.47,11.89,11.42,11.73,18002.0
2006-06-09,11.7,11.7,11.7,11.7,300.0
2006-06-12,11.69,11.7,11.69,11.7,800.0
2006-06-13,11.7,11.7,11.2,11.29,12600.0
2006-06-14,11.74,11.74,11.4,11.4,2348.0
2006-06-15,11.54,11.59,11.54,11.59,1291.0
2006-06-16,,,,,200.0
2006-06-21,11.47,11.47,11.47,11.47,120.0
2006-06-23,11.4538,11.4538,11.45,11.45,654.0
2006-06-26,11.35,11.35,11.35,11.35,100.0
2006-06-27,11.22,11.22,11.2,11.22,7116.0
2006-06-30,11.17,11.34,11.17,11.2,6956.0
2006-07-05,11.15,11.19,11.15,11.19,1727.0
2006-07-06,11.16,11.47,11.0,11.47,4006.0
2006-07-10,11.23,11.23,11.2,11.22,11900.0
2006-07-11,11.28,11.28,11.2799,11.2799,200.0
2006-07-12,11.2112,11.2112,11.2,11.2,2600.0
2006-07-13,11.15,11.15,11.15,11.15,200.0
2006-07-14,11.2,11.3,11.15,11.15,3290.0
2006-07-17,11.15,11.22,11.15,11.22,3502.0
2006-07-18,11.25,11.25,11.244,11.244,400.0
2006-07-19,11.3,11.3,11.13,11.13,3500.0
2006-07-20,11.13,11.19,11.13,11.19,3470.0
2006-07-25,11.13,11.13,11.13,11.13,300.0
2006-07-27,11.13,11.29,11.13,11.29,6000.0
2006-08-01,11.16,11.21,11.15,11.15,4250.0
2006-08-02,11.15,11.2,11.15,11.15,6400.0
2006-08-03,11.1,11.2,11.1,11.2,1300.0
2006-08-04,11.35,11.35,11.21,11.3,658.0
2006-08-09,11.27,11.27,11.27,11.27,123.0
2006-08-11,11.11,11.11,11.1,11.1,5001.0
2006-08-15,11.25,11.25,11.25,11.25,1277.0
2006-08-17,11.25,11.4,11.25,11.32,8220.0
2006-08-18,11.23,11.23,11.21,11.21,301.0
2006-08-21,11.5,11.94,11.5,11.94,16744.0
2006-08-24,11.8,11.99,11.8,11.85,800.0
2006-08-25,11.88,11.88,11.88,11.88,100.0
2006-08-28,11.7,12.05,11.7,12.05,11953.0
2006-08-29,12.0,12.09,12.0,12.09,3189.0
2006-08-30,12.1,12.24,12.1,12.14,2700.0
2006-08-31,12.0,12.1,12.0,12.01,1016.0
2006-09-01,12.0,12.0,11.92,11.92,332.0
2006-09-06,11.99,12.0,11.99,12.0,2362.0
2006-09-07,12.05,12.24,12.05,12.16,5424.0
2006-09-08,12.2,12.39,12.2,12.39,4200.0
