Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2011-07-14,9.5,9.5,8.25,8.5,59654.0
2011-07-15,8.9,8.9,8.31,8.31,33166.0
2011-07-18,8.28,8.5,8.25,8.41,28936.0
2011-07-19,8.75,8.75,8.35,8.69,30989.0
2011-07-20,8.97,9.5,8.85,9.35,178095.0
2011-07-21,9.5,10.05,9.04,10.05,97611.0
2011-07-22,10.02,10.08,9.8,9.92,76402.0
2011-07-25,9.8,9.8,9.25,9.38,50208.0
2011-07-26,9.41,9.48,8.7,8.99,65399.0
2011-07-27,8.76,9.12,8.51,9.0,49184.0
2011-07-28,9.05,9.22,8.77,9.07,36265.0
2011-07-29,8.91,9.48,8.8,9.47,28951.0
2011-08-01,9.8,9.86,9.16,9.35,47190.0
2011-08-02,9.84,9.99,9.43,9.61,85897.0
2011-08-03,9.89,10.0,9.34,9.86,80920.0
2011-08-04,9.83,9.84,8.51,8.65,51238.0
2011-08-05,8.97,9.0,7.52,8.2,150070.0
2011-08-08,7.22,7.7,6.5,6.81,222820.0
2011-08-09,7.78,8.6,7.05,7.83,240560.0
2011-08-10,7.94,8.2,7.49,8.0,79283.0
2011-08-11,8.21,9.41,8.21,9.25,137758.0
2011-08-12,9.33,9.45,8.86,9.15,72615.0
2011-08-15,9.39,9.6,9.15,9.43,60460.0
2011-08-16,9.68,9.68,8.76,8.87,99508.0
2011-08-17,8.91,9.15,8.5,9.1,49682.0
2011-08-18,9.49,9.49,8.27,8.69,81000.0
2011-08-19,8.29,8.7,8.1,8.49,212773.0
2011-08-22,8.88,9.0,7.8,7.94,78680.0
2011-08-23,8.04,8.46,8.0,8.16,21883.0
2011-08-24,8.06,8.35,8.0,8.07,15101.0
2011-08-25,8.13,8.3,8.07,8.23,26244.0
2011-08-26,8.1,8.96,8.0,8.82,86253.0
2011-08-29,9.15,9.39,9.1,9.16,65150.0
2011-08-30,9.15,9.99,9.15,9.65,106649.0
2011-08-31,9.66,11.27,9.62,10.95,188081.0
2011-09-01,12.18,12.35,11.2,11.59,212936.0
2011-09-02,11.39,12.2,11.14,11.93,233571.0
2011-09-06,11.27,12.82,11.27,12.67,310834.0
2011-09-07,13.0,13.1,12.28,12.66,110286.0
2011-09-08,12.5,13.1,12.35,12.91,197097.0
2011-09-09,12.75,12.93,12.43,12.56,115665.0
2011-09-12,12.22,12.22,11.5,11.85,184993.0
2011-09-13,12.14,12.14,11.77,12.0,84032.0
2011-09-14,11.98,12.46,10.7,11.68,132684.0
2011-09-15,11.75,11.99,11.16,11.69,53381.0
2011-09-16,11.66,11.66,11.27,11.4,138592.0
2011-09-19,11.12,11.12,10.56,10.94,89971.0
2011-09-20,11.12,11.35,10.52,10.58,119746.0
2011-09-21,10.53,10.57,10.1,10.15,83712.0
2011-09-22,9.74,10.58,9.41,9.95,207159.0
2011-09-23,9.9,10.28,9.9,10.11,39413.0
2011-09-26,10.3,10.3,9.3,9.89,76363.0
2011-09-27,10.42,10.42,9.95,10.0,45269.0
2011-09-28,10.08,10.75,9.91,9.98,53521.0
2011-09-29,10.3,10.4,9.25,9.57,53341.0
2011-09-30,9.37,9.53,9.13,9.25,37007.0
2011-10-03,8.92,9.17,8.41,8.67,86735.0
2011-10-04,8.5,9.41,8.5,9.06,93953.0
2011-10-05,9.24,9.76,8.86,9.7,63781.0
2011-10-06,9.49,9.79,9.3,9.49,42057.0
