Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1999-03-30,14.0625,14.5,13.625,14.0625,4592500.0
1999-03-31,14.125,14.125,13.375,13.375,923300.0
1999-04-01,13.375,13.75,13.375,13.5,312400.0
1999-04-05,13.625,13.625,13.1875,13.5,200600.0
1999-04-06,13.5,13.75,13.5,13.625,106200.0
1999-04-07,13.5625,14.125,13.5625,14.0,147600.0
1999-04-08,14.0,14.0,14.0,14.0,62000.0
1999-04-09,14.0,14.125,13.625,13.625,195100.0
1999-04-12,13.625,13.625,13.5,13.5,23000.0
1999-04-13,13.5,13.5,13.25,13.25,30500.0
1999-04-14,13.25,13.25,11.875,12.0,651600.0
1999-04-15,12.0,12.125,11.875,12.0,37700.0
1999-04-16,12.125,12.125,12.0625,12.125,7100.0
1999-04-19,12.125,12.375,12.0,12.0,8500.0
1999-04-20,12.0,12.1875,12.0,12.0,10700.0
1999-04-21,12.0,13.625,12.0,13.0,237700.0
1999-04-22,13.5,14.0,13.25,13.5,179300.0
1999-04-23,14.0,14.75,13.875,14.625,749400.0
1999-04-26,15.25,16.75,14.875,16.75,319900.0
1999-04-27,16.75,17.0,15.375,17.0,102300.0
1999-04-28,16.75,16.75,14.75,14.75,236400.0
1999-04-29,15.125,15.125,13.5,13.8125,106800.0
1999-04-30,13.875,14.125,13.625,13.625,83600.0
1999-05-03,14.0,14.0,13.5625,13.5625,17600.0
1999-05-04,13.5,14.125,13.0,13.25,124500.0
1999-05-05,13.25,13.25,12.0,12.625,135100.0
1999-05-06,12.75,13.125,12.75,12.75,40100.0
1999-05-07,13.0,13.0,12.75,13.0,111700.0
1999-05-10,13.125,13.125,12.625,12.875,45400.0
1999-05-11,12.625,13.75,12.625,13.25,57100.0
1999-05-12,13.25,15.375,13.0625,15.0,563800.0
1999-05-13,15.5,15.5,15.0,15.0,55900.0
1999-05-14,14.875,15.125,14.5,14.5,73900.0
1999-05-17,14.375,14.375,14.0,14.125,21800.0
1999-05-18,14.125,14.25,14.0,14.125,144600.0
1999-05-19,14.375,15.625,14.25,15.25,211700.0
1999-05-20,15.4375,15.4375,15.125,15.4375,78600.0
1999-05-21,15.125,15.4375,15.125,15.375,32800.0
1999-05-24,15.125,15.375,14.75,14.75,318500.0
1999-05-25,14.75,15.375,14.75,15.375,91300.0
1999-05-26,15.0,15.0,14.625,14.625,42600.0
1999-05-27,14.625,15.25,14.625,14.875,8300.0
1999-05-28,14.875,15.25,14.875,15.25,31700.0
1999-06-01,15.375,15.375,14.8125,15.21875,89200.0
1999-06-02,15.0,15.375,14.75,15.125,122600.0
1999-06-03,15.25,15.5,15.125,15.5,81900.0
1999-06-04,15.25,18.0,15.25,16.25,53100.0
1999-06-07,16.25,16.625,16.25,16.5,24900.0
1999-06-08,16.375,16.75,16.375,16.5,21500.0
1999-06-09,16.875,17.0,16.625,16.625,90400.0
1999-06-10,17.0,18.75,16.75,18.6875,136700.0
1999-06-11,18.75,19.5,18.5,19.375,274000.0
1999-06-14,19.75,19.75,18.75,19.0625,95300.0
1999-06-15,19.5,19.5,17.25,17.25,20500.0
1999-06-16,17.5,17.5,15.625,15.875,91700.0
1999-06-17,15.9375,16.875,15.9375,16.875,123600.0
1999-06-18,16.875,17.5,16.75,17.5,18000.0
1999-06-21,17.25,18.875,17.125,18.875,13200.0
1999-06-22,18.5,19.625,18.5,19.0,57100.0
1999-06-23,18.875,19.5,17.5,17.9375,33300.0
1999-06-24,17.375,18.125,17.125,17.75,21200.0
1999-06-25,17.75,17.75,16.75,17.25,139300.0
1999-06-28,17.625,19.625,17.5,19.0,107500.0
1999-06-29,19.0,19.0625,17.5,18.5,57700.0
1999-06-30,19.0,19.25,17.875,18.625,155400.0
1999-07-01,18.875,19.0,17.75,18.125,78900.0
1999-07-02,19.125,19.8125,18.75,19.4375,65300.0
1999-07-06,19.25,19.5,18.5,19.375,18800.0
1999-07-07,19.5,19.5,19.25,19.375,38900.0
1999-07-08,19.125,19.25,18.625,19.0,23300.0
1999-07-09,19.25,20.5,19.25,20.5,26600.0
1999-07-12,20.4375,21.75,20.25,21.5,136900.0
1999-07-13,21.0,21.375,20.5,20.75,139100.0
