Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2010-08-12,22.0,26.79,21.5,26.45,2109116.0
2010-08-13,26.85,27.0,24.6,25.12,366354.0
2010-08-16,24.51,26.12,23.5,24.67,149540.0
2010-08-17,25.35,32.5,24.9,31.95,276797.0
2010-08-18,33.25,36.13,30.66,32.79,339745.0
2010-08-19,31.62,34.34,29.7,30.39,166220.0
2010-08-20,30.55,30.55,27.52,28.0,126897.0
2010-08-23,28.37,31.45,28.37,30.1,119953.0
2010-08-24,29.48,33.03,29.11,32.3,103503.0
2010-08-25,31.8,32.93,30.5,31.3,99916.0
2010-08-26,31.7,34.0,31.14,33.63,186824.0
2010-08-27,34.0,35.36,33.36,34.81,87495.0
2010-08-30,35.4,35.4,33.29,33.4,60608.0
2010-08-31,33.24,35.0,31.37,34.0,94749.0
2010-09-01,34.68,35.38,32.52,33.14,88310.0
2010-09-02,32.41,33.25,31.78,32.66,57951.0
2010-09-03,33.5,33.88,32.36,32.9,49861.0
2010-09-07,32.51,33.1,31.32,32.04,29956.0
2010-09-08,32.29,33.75,31.0,33.65,55915.0
2010-09-09,35.35,37.47,35.16,36.68,420676.0
2010-09-10,37.09,37.74,36.06,36.68,98458.0
2010-09-13,36.97,39.88,36.15,39.68,243429.0
2010-09-14,39.82,41.1,37.33,37.7,192874.0
2010-09-15,37.05,39.44,36.42,38.39,117873.0
2010-09-16,40.31,41.42,39.37,40.47,235592.0
2010-09-17,40.85,40.9,37.75,38.69,154140.0
2010-09-20,39.27,39.35,37.64,37.85,72143.0
2010-09-21,35.65,38.18,34.07,34.2,333602.0
2010-09-22,34.02,35.42,32.8,33.29,106908.0
2010-09-23,33.3,38.37,33.15,38.0,233371.0
2010-09-24,38.72,41.0,38.5,39.05,177956.0
2010-09-27,39.71,42.84,38.26,40.25,201108.0
2010-09-28,40.38,41.0,38.9,39.62,79743.0
2010-09-29,39.3,40.24,38.42,39.48,96939.0
2010-09-30,39.98,40.34,38.0,38.71,56773.0
2010-10-01,38.76,39.65,37.72,38.6,41404.0
2010-10-04,38.0,38.3,37.12,38.3,81496.0
2010-10-05,39.4,40.8,37.0,37.33,103866.0
2010-10-06,37.65,37.78,34.62,35.46,119078.0
2010-10-07,35.7,36.1,33.75,34.51,42920.0
2010-10-08,34.18,35.45,34.1,35.16,69730.0
2010-10-11,35.75,38.35,35.5,37.47,94508.0
2010-10-12,37.84,37.84,35.6,37.11,36735.0
2010-10-13,37.89,38.43,37.33,37.61,24899.0
2010-10-14,37.75,37.75,36.0,36.74,36633.0
2010-10-15,38.8,38.8,37.38,37.6,19502.0
2010-10-18,38.0,38.0,37.0,37.17,27485.0
2010-10-19,36.88,36.88,35.65,36.0,57800.0
2010-10-20,35.73,37.5,35.73,37.16,18000.0
2010-10-21,37.5,40.36,37.16,37.76,191608.0
2010-10-22,38.61,39.56,37.0,38.87,43338.0
2010-10-25,39.49,40.15,37.1,37.35,76211.0
2010-10-26,37.35,38.75,37.03,38.28,88794.0
2010-10-27,38.62,38.78,36.12,37.88,122063.0
2010-10-28,38.25,39.36,36.78,36.82,76125.0
