Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2005-02-15,6.2,6.9,6.2,6.9,38400.0
2005-02-16,7.0,7.25,6.7,6.7,67400.0
2005-02-17,6.7,6.7,6.28,6.28,14800.0
2005-02-18,6.28,6.28,6.13,6.2,12700.0
2005-02-22,6.25,6.25,6.18,6.18,3000.0
2005-02-23,6.22,6.48,6.2,6.3,9100.0
2005-02-24,6.35,6.35,6.3,6.3,11000.0
2005-02-25,6.25,6.25,6.2,6.2,2300.0
2005-02-28,6.15,6.22,6.12,6.2,18700.0
2005-03-01,6.2,6.2,6.2,6.2,1300.0
2005-03-04,6.2,6.2,6.2,6.2,1600.0
2005-03-07,6.2,6.3,6.2,6.3,3100.0
2005-03-08,6.22,6.32,6.15,6.2,7800.0
2005-03-09,6.2,6.28,6.2,6.2,5800.0
2005-03-10,6.2,6.4,6.2,6.4,13600.0
2005-03-11,6.45,6.6,6.45,6.6,2400.0
2005-03-14,6.65,6.65,6.52,6.55,2400.0
2005-03-16,6.55,6.58,6.2,6.2,16700.0
2005-03-17,6.2,6.2,6.2,6.2,9000.0
2005-03-18,6.2,6.28,6.2,6.2,3200.0
2005-03-21,6.25,6.3,6.25,6.3,1000.0
2005-03-23,6.25,6.25,6.25,6.25,1000.0
2005-03-24,6.2,6.2,6.2,6.2,1000.0
2005-03-28,6.25,6.3,6.25,6.3,2000.0
2005-03-29,6.3,6.35,6.3,6.35,3200.0
2005-03-30,6.3,6.3,6.22,6.22,1600.0
2005-03-31,6.25,6.25,6.25,6.25,100.0
2005-04-01,6.29,6.3,6.29,6.3,2000.0
2005-04-04,6.25,6.25,6.25,6.25,200.0
2005-04-05,6.2,6.2,6.07,6.07,3500.0
2005-04-06,6.0,6.0,6.0,6.0,16400.0
2005-04-07,5.95,5.95,5.85,5.9,6000.0
2005-04-08,5.9,6.0,5.9,6.0,2500.0
2005-04-11,6.02,6.1,6.02,6.02,3100.0
2005-04-12,6.02,6.13,6.01,6.13,39300.0
2005-04-13,6.1,6.2,6.07,6.07,3800.0
2005-04-14,6.15,6.35,6.1,6.35,6000.0
2005-04-15,6.3,6.35,6.25,6.25,1700.0
2005-04-18,6.25,6.3,6.25,6.27,11100.0
2005-04-19,6.25,6.4,6.25,6.4,12000.0
2005-04-21,6.35,6.35,6.22,6.3,5600.0
2005-04-22,6.21,6.21,6.21,6.21,5000.0
2005-04-25,6.28,6.28,6.25,6.25,10300.0
2005-04-26,6.3,6.3,6.25,6.25,3500.0
2005-04-27,6.25,6.35,6.25,6.35,3200.0
2005-04-28,6.4,6.4,6.05,6.3,14100.0
2005-04-29,6.25,6.25,6.15,6.15,2000.0
2005-05-05,6.15,6.15,6.15,6.15,500.0
2005-05-09,6.1,6.1,6.1,6.1,700.0
2005-05-11,6.03,6.03,5.9,5.9,3500.0
2005-05-13,5.95,6.0,5.95,6.0,4900.0
2005-05-16,5.95,5.95,5.88,5.92,6200.0
2005-05-18,5.97,6.0,5.9,6.0,19700.0
2005-05-19,6.0,6.05,5.95,6.0,36500.0
2005-05-20,6.05,6.4,6.05,6.4,20300.0
2005-05-23,6.43,6.6,6.4,6.6,15100.0
2005-05-24,6.55,6.55,6.5,6.55,5500.0
2005-05-25,6.5,6.5,6.3,6.3,6000.0
2005-05-26,6.27,6.32,6.27,6.32,2500.0
2005-05-27,,,,,100.0
2005-06-01,6.29,6.29,6.23,6.25,500.0
2005-06-03,6.2,6.2,6.2,6.2,1000.0
2005-06-06,6.15,6.15,6.05,6.05,3000.0
2005-06-07,6.05,6.05,6.05,6.05,3500.0
2005-06-08,6.05,6.12,6.05,6.12,2900.0
2005-06-09,6.12,6.12,6.12,6.12,300.0
2005-06-10,6.18,6.18,6.18,6.18,1200.0
2005-06-13,6.18,6.18,6.05,6.05,1700.0
2005-06-14,6.0,6.0,5.95,5.98,1500.0
2005-06-15,6.0,6.0,6.0,6.0,600.0
2005-06-16,6.05,6.1,6.05,6.1,4000.0
2005-06-17,6.05,6.05,6.05,6.05,800.0
2005-06-22,6.02,6.12,6.02,6.12,700.0
2005-06-24,6.07,6.08,6.07,6.08,5000.0
2005-06-27,6.05,6.05,6.05,6.05,2500.0
2005-06-29,6.0,6.0,6.0,6.0,2000.0
2005-06-30,6.02,6.02,6.02,6.02,2500.0
2005-07-01,6.02,6.02,6.02,6.02,600.0
2005-07-05,6.05,6.05,6.01,6.01,23200.0
2005-07-06,6.01,6.01,6.0,6.0,1100.0
2005-07-07,5.95,5.95,5.95,5.95,700.0
2005-07-08,6.0,6.1,6.0,6.1,1500.0
2005-07-11,6.08,6.1,6.08,6.1,22000.0
2005-07-12,6.1,6.18,6.1,6.15,3800.0
2005-07-13,6.15,6.2,6.15,6.2,5200.0
2005-07-14,6.15,6.15,6.15,6.15,1000.0
2005-07-15,6.15,6.3,6.15,6.3,6800.0
2005-07-18,6.35,6.6,6.35,6.6,23800.0
2005-07-19,6.57,6.68,6.57,6.68,19100.0
2005-07-20,6.7,6.85,6.55,6.85,6500.0
2005-07-21,6.89,6.89,6.75,6.8,6300.0
2005-07-22,6.8,6.8,6.71,6.71,1300.0
2005-07-25,6.7,6.7,6.55,6.65,15800.0
2005-07-26,6.7,6.73,6.7,6.7,37800.0
2005-07-27,6.7,6.75,6.7,6.7,22100.0
2005-07-28,6.7,6.7,6.7,6.7,4000.0
2005-07-29,6.7,6.75,6.7,6.75,4500.0
2005-08-01,6.8,6.85,6.75,6.75,15500.0
2005-08-02,6.75,6.75,6.75,6.75,20000.0
2005-08-03,6.75,6.75,6.75,6.75,8500.0
2005-08-04,6.75,6.75,6.75,6.75,2900.0
2005-08-08,6.75,6.8,6.75,6.75,23600.0
2005-08-09,6.75,6.75,6.75,6.75,5000.0
2005-08-10,6.8,6.83,6.65,6.78,11300.0
2005-08-11,6.72,6.8,6.67,6.8,6200.0
2005-08-12,6.8,6.8,6.77,6.77,700.0
2005-08-16,6.8,6.8,6.7,6.7,12000.0
2005-08-17,6.65,6.7,6.65,6.7,4300.0
2005-08-18,6.7,6.7,6.7,6.7,700.0
2005-08-19,6.7,6.7,6.65,6.7,4000.0
2005-08-22,6.73,6.73,6.68,6.68,2000.0
2005-08-23,6.68,6.8,6.66,6.75,17300.0
2005-08-24,6.86,7.07,6.86,7.05,25400.0
2005-08-25,7.05,7.15,6.95,7.0,17200.0
2005-08-26,7.05,7.05,7.0,7.05,3600.0
2005-08-30,7.05,7.05,7.05,7.05,100.0
2005-08-31,7.05,7.05,7.05,7.05,500.0
2005-09-01,7.0,7.1,6.95,7.05,12200.0
2005-09-02,7.0,7.05,6.98,6.98,4100.0
2005-09-06,7.0,7.05,6.98,7.05,7200.0
2005-09-07,7.0,7.05,7.0,7.0,9700.0
2005-09-08,7.05,7.1,7.05,7.05,1800.0
2005-09-09,7.05,7.05,7.05,7.05,3300.0
2005-09-12,7.05,7.05,7.0,7.0,1500.0
2005-09-13,7.0,7.05,6.97,7.03,7700.0
2005-09-14,7.08,7.08,6.99,7.05,5900.0
2005-09-15,7.0,7.04,6.96,6.98,6100.0
2005-09-16,6.99,7.05,6.99,7.05,2000.0
2005-09-19,7.05,7.05,7.05,7.05,500.0
2005-09-20,7.05,7.05,7.0,7.0,3000.0
2005-09-21,7.0,7.0,7.0,7.0,100.0
2005-09-22,7.0,7.05,7.0,7.01,3800.0
2005-09-23,6.98,6.98,6.98,6.98,200.0
2005-09-26,6.96,6.96,6.92,6.92,1500.0
2005-09-27,6.87,6.87,6.74,6.74,7700.0
2005-09-28,6.68,6.68,6.62,6.65,3000.0
2005-09-30,6.65,6.66,6.55,6.55,2100.0
2005-10-03,6.56,6.56,6.5,6.5,2000.0
2005-10-04,6.45,6.45,6.4,6.4,2900.0
2005-10-05,6.4,6.4,6.25,6.25,14900.0
2005-10-06,6.25,6.25,6.25,6.25,1000.0
2005-10-07,6.2,6.24,6.2,6.24,1300.0
2005-10-10,6.2,6.2,5.95,5.95,8000.0
2005-10-11,5.95,5.95,5.65,5.7,39500.0
2005-10-12,5.65,5.65,5.65,5.65,800.0
2005-10-13,5.7,5.7,5.7,5.7,700.0
2005-10-14,,,,,900.0
2005-10-18,5.69,5.69,5.69,5.69,900.0
2005-10-19,5.85,6.05,5.85,5.9,4900.0
2005-10-20,5.89,5.89,5.89,5.89,200.0
2005-10-21,5.89,5.94,5.88,5.9,9000.0
2005-10-24,5.95,6.0,5.95,6.0,1000.0
2005-10-26,6.0,6.0,6.0,6.0,100.0
2005-10-28,6.04,6.04,6.04,6.04,100.0
2005-10-31,6.08,6.25,6.08,6.15,7200.0
2005-11-01,6.15,6.15,6.05,6.05,4000.0
2005-11-02,6.05,6.1,6.05,6.1,8500.0
2005-11-03,6.05,6.05,6.0,6.0,5500.0
2005-11-04,6.05,6.1,6.05,6.05,9200.0
2005-11-07,6.05,6.05,6.05,6.05,3200.0
2005-11-08,6.05,6.1,6.0,6.0,15000.0
2005-11-09,6.05,6.1,6.05,6.05,2800.0
2005-11-10,6.1,6.1,6.1,6.1,700.0
2005-11-11,6.15,6.15,6.15,6.15,600.0
2005-11-14,6.15,6.34,6.15,6.34,3900.0
2005-11-17,6.3,6.3,6.25,6.3,3000.0
2005-11-18,6.25,6.25,6.2,6.2,1500.0
2005-11-21,6.2,6.2,6.15,6.15,4900.0
2005-11-22,6.15,6.19,6.15,6.15,7500.0
2005-11-23,6.1,6.12,6.05,6.12,11000.0
2005-11-28,6.13,6.2,6.13,6.2,1200.0
2005-11-29,6.2,6.2,6.15,6.15,600.0
2005-11-30,6.15,6.23,6.08,6.08,8500.0
2005-12-01,6.13,6.13,6.1,6.1,1100.0
2005-12-02,6.09,6.09,6.09,6.09,200.0
2005-12-05,6.1,6.1,6.05,6.05,200.0
2005-12-06,6.08,6.1,6.08,6.1,1000.0
2005-12-08,6.07,6.07,6.0,6.0,1500.0
2005-12-09,6.0,6.04,6.0,6.04,1000.0
2005-12-14,6.0,6.15,6.0,6.05,9200.0
2005-12-15,6.05,6.05,6.05,6.05,200.0
2005-12-16,6.05,6.05,6.05,6.05,800.0
2005-12-20,6.05,6.05,5.95,5.95,2000.0
2005-12-21,6.0,6.0,6.0,6.0,1000.0
2005-12-23,5.95,5.95,5.95,5.95,600.0
2005-12-27,5.95,5.95,5.9,5.9,800.0
2005-12-29,5.86,5.9,5.86,5.9,3000.0
2006-01-03,5.85,5.85,5.6,5.6,10200.0
2006-01-04,5.6,5.72,5.6,5.72,3200.0
2006-01-05,5.75,5.75,5.75,5.75,300.0
2006-01-06,5.77,5.8,5.77,5.8,1700.0
2006-01-09,5.78,5.8,5.78,5.8,1100.0
2006-01-10,5.77,5.77,5.72,5.75,3600.0
2006-01-11,5.76,5.76,5.76,5.76,300.0
2006-01-13,5.72,5.72,5.72,5.72,200.0
2006-01-19,5.68,5.7,5.68,5.7,2600.0
2006-01-20,5.7,5.7,5.5,5.55,7900.0
2006-01-24,5.5,5.55,5.3,5.3,3600.0
2006-01-25,5.22,5.22,4.9,4.9,8400.0
2006-01-26,4.92,4.92,4.75,4.75,4800.0
2006-01-27,4.68,4.68,4.63,4.64,900.0
2006-01-30,4.65,4.68,4.65,4.68,3000.0
2006-01-31,4.7,4.7,4.55,4.55,2000.0
2006-02-01,4.55,4.55,4.55,4.55,200.0
2006-02-03,4.56,4.57,4.5,4.5,2100.0
2006-02-06,4.52,4.56,4.5,4.5,5200.0
2006-02-07,4.45,4.45,4.35,4.35,6500.0
2006-02-08,4.35,4.37,4.35,4.37,400.0
2006-02-09,4.35,4.35,4.2,4.2,3200.0
2006-02-10,4.23,4.23,4.05,4.05,3100.0
2006-02-13,3.8,3.8,3.8,3.8,3000.0
2006-02-14,3.75,3.8,3.65,3.8,6800.0
2006-02-15,3.75,3.78,3.5,3.6,8200.0
2006-02-16,3.6,3.85,3.6,3.85,7600.0
2006-02-17,3.9,4.1,3.9,4.1,4600.0
2006-02-21,4.05,4.08,4.05,4.05,3800.0
2006-02-22,4.05,4.05,4.0,4.0,8500.0
2006-02-23,4.02,4.02,4.02,4.02,1100.0
2006-02-24,4.01,4.15,4.01,4.05,6300.0
2006-02-27,4.1,4.25,4.1,4.22,2700.0
2006-02-28,4.27,4.29,4.25,4.29,2700.0
2006-03-01,4.33,4.4,4.33,4.4,1000.0
2006-03-02,4.45,4.6,4.44,4.6,4900.0
2006-03-03,4.55,4.6,4.4,4.4,5400.0
2006-03-06,4.45,4.5,4.35,4.35,2500.0
2006-03-07,4.38,4.4,4.38,4.4,400.0
2006-03-08,4.35,4.35,4.25,4.25,1500.0
2006-03-09,4.2,4.2,3.92,3.92,5500.0
2006-03-10,3.92,4.0,3.9,3.9,5900.0
2006-03-13,3.9,3.9,3.8,3.8,1100.0
2006-03-14,3.8,3.85,3.8,3.8,1800.0
2006-03-15,3.75,3.8,3.14,3.14,27000.0
2006-03-16,3.15,3.3,3.15,3.23,51300.0
2006-03-17,3.19,3.19,3.02,3.02,34700.0
2006-03-20,3.0,3.22,3.0,3.2,26500.0
2006-03-21,3.23,3.3,3.23,3.28,2200.0
2006-03-22,3.29,3.29,3.29,3.29,500.0
2006-03-23,3.29,3.35,3.29,3.35,1900.0
2006-03-24,3.37,4.1,3.37,4.1,9400.0
2006-03-27,4.2,4.85,4.1,4.13,25000.0
2006-03-28,4.1,4.25,4.1,4.22,4100.0
2006-03-29,4.24,4.4,4.2,4.4,5600.0
2006-03-30,4.38,4.55,4.3,4.3,4300.0
2006-03-31,4.25,4.25,4.15,4.15,1300.0
2006-04-03,3.9,3.9,3.8,3.8,15800.0
2006-04-04,3.76,3.84,3.76,3.8,5000.0
2006-04-05,3.8,3.83,3.8,3.83,1100.0
2006-04-06,3.81,3.86,3.8,3.81,3700.0
2006-04-07,3.93,3.93,3.82,3.82,3000.0
2006-04-10,3.81,3.9,3.8,3.8,2500.0
2006-04-11,3.75,3.75,3.75,3.75,500.0
2006-04-12,3.7,3.7,3.65,3.65,800.0
2006-04-13,3.65,3.65,3.65,3.65,300.0
2006-04-17,3.65,3.65,3.65,3.65,600.0
2006-04-18,3.63,3.63,3.6,3.6,1800.0
2006-04-19,3.65,3.65,3.65,3.65,1000.0
2006-04-20,3.6,3.6,3.6,3.6,300.0
2006-04-24,3.6,3.6,3.45,3.45,1500.0
2006-04-25,3.45,3.45,3.45,3.45,400.0
2006-04-26,3.45,3.45,3.35,3.38,1300.0
2006-04-27,3.4,3.4,3.37,3.37,600.0
2006-04-28,3.39,3.42,3.39,3.42,700.0
2006-05-01,3.37,3.37,3.26,3.26,1200.0
2006-05-02,3.26,3.26,2.8,2.9,12500.0
2006-05-03,2.9,2.95,2.85,2.9,58000.0
2006-05-04,2.85,2.85,2.85,2.85,200.0
2006-05-05,2.86,2.9,2.81,2.81,8400.0
2006-05-08,2.76,2.76,2.66,2.66,2600.0
2006-05-09,2.7,2.7,2.61,2.65,2000.0
2006-05-10,2.65,2.65,2.59,2.61,5700.0
2006-05-11,2.6,2.9,2.6,2.88,78800.0
2006-05-12,2.95,3.15,2.95,3.1,10700.0
2006-05-15,3.2,3.65,3.2,3.65,14300.0
2006-05-16,3.64,3.64,3.64,3.64,6800.0
2006-05-17,3.67,4.5,3.67,4.1,10500.0
2006-05-18,4.35,4.35,4.25,4.25,1300.0
2006-05-19,4.39,4.39,3.91,4.12,4500.0
2006-05-22,4.1,4.1,3.8,3.8,1700.0
2006-05-23,3.55,3.78,3.55,3.78,4400.0
2006-05-24,3.8,3.8,3.55,3.55,2000.0
2006-05-25,3.6,3.6,3.6,3.6,200.0
2006-05-30,3.6,4.0,3.6,4.0,14800.0
2006-05-31,4.07,4.45,4.07,4.4,2000.0
2006-06-01,4.45,4.7,4.45,4.7,2100.0
2006-06-02,4.7,4.84,4.7,4.83,2300.0
2006-06-05,4.83,4.83,4.8,4.83,3200.0
2006-06-06,4.84,4.84,4.84,4.84,1900.0
2006-06-07,4.75,4.75,4.5,4.64,2900.0
