Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-11-08,5.66,5.66,5.37,5.47,2695.0
2016-11-09,5.1,5.68,5.1,5.68,867.0
2016-11-10,5.1,5.36,5.1,5.23,3091.0
2016-11-11,5.3,5.3,4.65,4.85,7129.0
2016-11-14,4.7,4.8,4.7,4.79,807.0
2016-11-15,4.76,4.76,4.75,4.75,4500.0
2016-11-16,4.8,4.8,4.4,4.63,6376.0
2016-11-17,4.7,4.9,4.33,4.33,5963.0
2016-11-18,4.54,4.54,4.4,4.4,302.0
2016-11-21,4.7,4.8,4.7,4.8,2047.0
2016-11-22,4.8,5.0,4.77,4.99,2288.0
2016-11-23,4.97,4.99,4.92,4.99,1419.0
2016-11-25,4.95,4.95,4.65,4.65,1943.0
2016-11-28,4.57,4.85,4.57,4.83,3963.0
2016-11-29,4.94,4.94,4.8,4.81,1482.0
2016-11-30,4.74,4.78,4.45,4.49,6232.0
2016-12-01,4.66,4.67,4.52,4.67,1673.0
2016-12-02,4.5,4.5,4.4,4.4,1263.0
2016-12-05,4.52,4.52,4.25,4.39,4159.0
2016-12-06,4.33,4.4,4.0,4.08,5696.0
2016-12-07,4.1,4.25,4.1,4.22,2938.0
2016-12-08,4.19,4.5,4.19,4.32,1741.0
2016-12-09,4.36,4.89,4.36,4.5,3851.0
2016-12-12,4.44,4.95,4.44,4.94,6723.0
2016-12-13,4.9,5.0,4.78,5.0,10652.0
2016-12-14,5.0,5.28,4.95,5.25,9147.0
2016-12-15,5.21,5.21,4.87,5.14,3389.0
2016-12-16,5.05,5.11,4.5,4.6,40985.0
2016-12-19,4.69,4.85,4.55,4.84,17509.0
2016-12-20,4.88,4.94,4.57,4.62,8599.0
2016-12-21,4.58,4.84,4.56,4.84,4788.0
2016-12-22,4.68,4.68,4.55,4.64,2307.0
2016-12-23,4.55,4.77,4.55,4.65,2592.0
2016-12-27,4.59,4.59,4.1,4.15,19165.0
2016-12-28,4.15,4.15,4.0,4.06,4307.0
2016-12-29,4.06,4.06,3.73,3.8,21925.0
2016-12-30,3.79,3.88,3.32,3.88,10104.0
2017-01-03,3.7,4.05,3.7,3.96,6633.0
2017-01-04,3.93,4.25,3.93,4.18,3029.0
2017-01-05,4.19,4.48,3.99,4.45,7891.0
2017-01-06,4.49,4.67,4.27,4.41,1463.0
2017-01-09,4.41,4.52,4.17,4.52,8054.0
2017-01-10,4.6,4.925,4.51,4.75,6343.0
2017-01-11,4.8,4.8,4.47,4.75,2893.0
2017-01-12,4.79,4.95,4.5,4.71,7321.0
2017-01-13,4.75,4.75,4.5,4.66,6609.0
2017-01-17,4.65,4.66,4.55,4.58,2933.0
2017-01-18,4.62,4.62,4.47,4.47,1283.0
2017-01-19,4.46,4.47,4.46,4.47,120.0
2017-01-20,4.44,4.44,4.4,4.44,1451.0
2017-01-23,4.4,4.4,4.3,4.31,3405.0
2017-01-24,4.3,4.55,4.26,4.55,9970.0
2017-01-25,4.45,4.67,4.44,4.5,8003.0
2017-01-26,4.46,4.46,4.15,4.15,2515.0
2017-01-27,4.16,4.46,4.15,4.29,2951.0
2017-01-30,4.3,4.3,4.13,4.21,1895.0
2017-01-31,4.19,4.2,4.13,4.18,5449.0
2017-02-01,4.2,4.56,4.2,4.27,11000.0
2017-02-02,4.32,4.47,4.32,4.45,1117.0
2017-02-03,4.41,4.41,4.22,4.26,1620.0
2017-02-06,4.22,4.25,4.13,4.25,5078.0
2017-02-07,4.24,4.45,4.24,4.45,3209.0
2017-02-08,4.3,4.39,4.29,4.31,2747.0
2017-02-09,4.35,4.42,4.3,4.3,3468.0
2017-02-10,4.34,4.41,4.27,4.4,9914.0
2017-02-13,4.12,4.12,3.95,4.01,12921.0
2017-02-14,3.98,4.06,3.9,4.02,3954.0
2017-02-15,4.2,4.3,4.2,4.28,10383.0
2017-02-16,4.36,4.39,4.19,4.28,3408.0
2017-02-17,4.19,4.42,4.15,4.42,7482.0
2017-02-21,4.29,4.45,4.18,4.35,9270.0
2017-02-22,4.25,4.95,4.25,4.7,45083.0
2017-02-23,4.76,4.76,4.41,4.41,6082.0
2017-02-24,4.65,4.65,4.1,4.3,18343.0
2017-02-27,4.4,4.63,4.4,4.63,2230.0
2017-02-28,4.7,4.7,4.51,4.51,9223.0
2017-03-01,4.5,4.79,4.42,4.74,13062.0
2017-03-02,4.82,4.82,4.45,4.45,6988.0
2017-03-03,4.45,4.46,4.36,4.45,4701.0
2017-03-06,4.49,4.57,4.35,4.43,5755.0
2017-03-07,4.35,4.43,4.315,4.4,3928.0
2017-03-08,4.39,4.46,4.22,4.31,3258.0
2017-03-09,4.31,4.33,4.11,4.21,3224.0
2017-03-10,4.3,4.41,4.21,4.39,7131.0
2017-03-13,4.41,4.62,4.41,4.62,2621.0
2017-03-14,4.78,4.98,4.65,4.75,16917.0
2017-03-15,4.91,4.98,4.75,4.92,16085.0
2017-03-16,4.93,5.35,4.93,5.14,14925.0
2017-03-17,5.15,5.15,4.85,4.86,46893.0
2017-03-20,4.8,5.1,4.72,4.72,4929.0
2017-03-21,4.75,4.75,4.49,4.62,3097.0
2017-03-22,4.59,4.59,4.36,4.36,1351.0
2017-03-23,4.5,4.74,4.34,4.73,12985.0
2017-03-24,4.75,4.84,4.55,4.59,12371.0
2017-03-27,4.53,4.55,4.4,4.54,2860.0
2017-03-28,4.53,4.55,4.37,4.37,7944.0
2017-03-29,4.41,4.41,4.26,4.32,4350.0
2017-03-30,4.4,4.4,4.32,4.32,1421.0
2017-03-31,4.35,4.57,4.34,4.49,6063.0
2017-04-03,4.5,4.5,4.32,4.37,2650.0
2017-04-04,4.3,4.55,4.3,4.33,6458.0
2017-04-05,4.35,4.4,4.25,4.26,7450.0
2017-04-06,4.34,4.4,4.23,4.23,3733.0
2017-04-07,4.25,4.33,4.23,4.33,5311.0
2017-04-10,4.25,4.25,4.22,4.22,2327.0
2017-04-11,4.19,4.19,4.125,4.15,2278.0
2017-04-12,4.1,4.15,4.1,4.1,2344.0
2017-04-13,4.09,4.11,4.08,4.11,3239.0
2017-04-17,4.13,4.14,4.12,4.12,974.0
2017-04-18,4.11,4.12,4.04,4.04,2508.0
2017-04-19,4.25,4.25,4.055,4.08,4114.0
2017-04-20,4.1,4.1,4.08,4.1,1033.0
2017-04-21,4.15,4.15,4.07,4.07,206.0
2017-04-24,4.11,4.13,4.05,4.05,1204.0
2017-04-25,4.05,4.13,4.05,4.13,1287.0
2017-04-26,4.07,4.15,4.06,4.11,5460.0
2017-04-27,4.11,4.5,4.11,4.17,2069.0
2017-04-28,4.2,4.26,4.18,4.26,9287.0
2017-05-01,4.12,4.2,4.12,4.18,854.0
2017-05-02,4.18,4.2,4.12,4.12,1219.0
2017-05-03,4.16,4.16,4.08,4.11,2900.0
2017-05-04,4.15,4.15,4.09,4.11,1351.0
2017-05-05,4.1,4.19,4.05,4.05,9778.0
2017-05-08,4.01,4.04,3.65,3.67,22207.0
2017-05-09,3.86,3.99,3.71,3.79,6338.0
2017-05-10,3.79,3.79,3.66,3.75,3815.0
2017-05-11,3.7,3.7,3.39,3.46,8767.0
2017-05-12,3.45,3.62,3.45,3.56,6823.0
2017-05-15,3.85,3.97,3.54,3.97,5780.0
