Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-07-12,12.41,12.54,12.25,12.45,607867.0
2018-07-13,12.45,12.46,12.25,12.35,125285.0
2018-07-16,12.33,12.65,12.33,12.65,15390.0
2018-07-17,12.64,12.64,12.43,12.48,23208.0
2018-07-18,12.64,12.64,12.49,12.5,28617.0
2018-07-19,12.59,12.64,12.5,12.55,18637.0
2018-07-20,12.59,12.6,12.5,12.5,12774.0
2018-07-23,12.4,12.5,12.4,12.5,7686.0
2018-07-24,12.45,12.45,12.35,12.41,9219.0
2018-07-25,12.48,12.48,12.35,12.35,2070.0
2018-07-26,12.3,12.37,12.3,12.37,6500.0
2018-07-27,12.3,12.34,12.3,12.34,1700.0
2018-07-30,12.35,12.37,12.25,12.37,10954.0
2018-07-31,12.26,12.26,12.1,12.1,12771.0
2018-08-01,12.2,12.3,12.2,12.3,5200.0
2018-08-02,12.3,12.34,12.3,12.34,2300.0
2018-08-03,12.34,12.35,12.34,12.34,3000.0
2018-08-06,12.34,12.42,12.34,12.4,3154.0
2018-08-07,12.37,12.49,12.37,12.37,7535.0
2018-08-08,12.37,12.37,12.37,12.37,34.0
2018-08-09,12.4,12.4,12.34,12.34,2522.0
2018-08-10,12.28,12.28,12.28,12.28,50.0
2018-08-13,12.32,12.44,12.32,12.35,8379.0
2018-08-14,12.385,12.42,12.385,12.42,418.0
2018-08-16,12.38,12.38,12.38,12.38,169.0
2018-08-17,12.35,12.35,12.31,12.35,1849.0
2018-08-20,12.34,12.41,12.3,12.41,1642.0
2018-08-21,12.34,12.37,12.34,12.37,3305.0
2018-08-22,12.36,12.36,12.36,12.36,1050.0
2018-08-23,12.36,12.36,12.36,12.36,58.0
2018-08-24,12.3,12.36,12.3,12.34,6715.0
2018-08-27,12.31,12.36,12.31,12.36,177.0
2018-08-28,12.36,12.44,12.35,12.44,2064.0
2018-08-29,12.43,12.44,12.35,12.35,8510.0
2018-08-30,12.4,12.4,12.4,12.4,66.0
2018-08-31,12.4,12.44,12.4,12.44,926.0
2018-09-04,12.54,12.55,12.47,12.55,5402.0
2018-09-06,12.54,12.54,12.5,12.5,11.0
2018-09-07,12.55,12.6,12.45,12.45,5674.0
2018-09-10,12.45,12.6,12.45,12.51,5953.0
2018-09-11,12.6,12.64,12.6,12.62,6914.0
