Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-06-12,10.0,10.74,9.54,10.0,661081.0
2019-06-13,9.99,10.08,9.12,9.17,115784.0
2019-06-14,9.15,9.15,8.0,8.5,88287.0
2019-06-17,8.46,8.47,6.99,7.05,124578.0
2019-06-18,7.09,7.27,6.99,7.15,18382.0
2019-06-19,7.14,7.17,6.5,6.5,57673.0
2019-06-20,6.56,6.9,6.15,6.22,45269.0
2019-06-21,6.2,6.36,6.2,6.3,13811.0
2019-06-24,6.35,6.7,6.35,6.7,6632.0
2019-06-25,6.75,7.07,6.75,7.07,6953.0
2019-06-26,7.12,7.61,7.12,7.51,24353.0
2019-06-27,7.65,7.99,7.61,7.98,12671.0
2019-06-28,7.91,8.07,7.44,8.07,8421.0
2019-07-01,8.16,8.16,7.35,7.84,4709.0
2019-07-02,7.59,7.59,7.16,7.35,3798.0
2019-07-03,7.31,7.42,7.31,7.31,647.0
2019-07-05,7.29,7.67,7.21,7.64,5324.0
2019-07-08,7.86,7.86,7.16,7.16,5011.0
2019-07-09,7.25,7.5,7.25,7.5,5325.0
2019-07-10,7.5,7.52,7.35,7.44,3196.0
2019-07-11,7.75,7.75,7.13,7.25,5129.0
2019-07-12,7.21,7.24,7.07,7.24,2484.0
2019-07-15,7.29,7.49,7.08,7.28,1354.0
2019-07-16,7.21,7.42,7.1,7.42,10987.0
2019-07-17,7.41,7.55,7.26,7.55,4820.0
2019-07-18,7.46,7.46,7.31,7.41,2174.0
2019-07-19,7.35,7.5,7.22,7.5,1298.0
2019-07-22,7.55,7.6,7.4,7.49,4430.0
2019-07-23,7.42,7.64,7.11,7.3,3296.0
2019-07-24,7.24,7.4,7.12,7.24,7096.0
2019-07-25,7.47,7.47,6.76,7.05,18423.0
2019-07-26,7.34,7.34,6.99,7.13,848.0
2019-07-29,7.44,7.44,6.85,7.13,3538.0
2019-07-30,7.59,7.59,6.8,6.83,18901.0
2019-07-31,6.95,6.95,6.58,6.95,942.0
2019-08-01,6.89,7.2,6.25,6.25,6700.0
2019-08-02,7.24,7.24,6.01,6.24,17624.0
2019-08-05,6.17,6.51,5.885,6.3,12878.0
2019-08-06,6.26,6.47,6.26,6.37,4803.0
2019-08-07,6.43,6.55,6.23,6.23,1237.0
2019-08-08,6.26,6.6,6.26,6.5,2009.0
2019-08-09,6.5,6.81,6.5,6.81,1510.0
2019-08-12,6.87,7.25,6.84,7.25,8764.0
2019-08-13,7.24,7.35,7.0,7.35,7825.0
2019-08-14,7.25,7.25,6.93,6.93,6724.0
2019-08-15,7.01,7.29,7.01,7.175,698.0
2019-08-16,7.34,7.34,7.065,7.25,959.0
