Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2008-10-08,13.85,14.7,13.0,13.73,1102091.0
2008-10-09,14.07,14.23,13.59,13.7,704945.0
2008-10-10,12.99,13.76,12.06,13.22,839800.0
2008-10-13,13.41,14.05,13.24,14.01,842544.0
2008-10-14,15.0,15.25,13.91,14.26,1456038.0
2008-10-15,13.85,14.75,13.75,13.81,2031554.0
2008-10-16,14.33,14.6,13.36,14.01,1307460.0
2008-10-17,14.24,15.45,13.94,15.42,5814672.0
2008-10-20,15.31,16.17,15.31,16.05,1462818.0
2008-10-21,15.7,15.7,14.22,14.35,1490594.0
2008-10-22,14.25,14.94,13.32,13.42,1240422.0
2008-10-23,13.3,13.99,11.93,12.86,1206707.0
2008-10-24,11.32,13.46,11.32,13.14,941693.0
2008-10-27,12.64,13.29,12.64,12.69,649712.0
2008-10-28,13.36,13.36,12.75,13.01,929689.0
2008-10-29,12.95,13.49,12.15,12.99,1954058.0
2008-10-30,12.68,13.44,12.66,12.84,1283107.0
2008-10-31,12.8,13.95,12.66,13.6,917210.0
2008-11-03,13.5,14.07,13.25,13.99,959411.0
2008-11-04,14.0,14.99,14.0,14.64,1444725.0
2008-11-05,14.29,14.8,14.15,14.31,799318.0
2008-11-06,13.66,14.4,13.26,13.31,1220511.0
2008-11-07,13.33,14.05,13.31,13.82,731497.0
2008-11-10,14.01,14.13,13.34,13.38,630963.0
2008-11-11,13.38,13.4,12.99,13.18,396247.0
2008-11-12,13.14,13.55,12.86,13.06,565778.0
2008-11-13,13.0,13.69,11.92,13.45,1845394.0
2008-11-14,13.34,13.89,12.89,13.3,1182800.0
2008-11-17,12.61,13.31,12.61,13.0,1145157.0
2008-11-18,13.0,13.11,12.56,13.0,739087.0
2008-11-19,12.48,12.93,11.51,11.66,1353653.0
2008-11-20,11.3,11.93,10.75,10.75,2026907.0
2008-11-21,10.8,11.65,10.75,11.53,1482728.0
2008-11-24,11.0,12.46,11.0,12.13,1304213.0
2008-11-25,12.02,12.08,11.34,11.69,1363754.0
2008-11-26,11.07,12.44,11.03,12.3,811287.0
2008-11-28,11.88,12.47,11.88,12.37,129223.0
2008-12-01,12.28,12.28,11.72,11.81,618680.0
2008-12-02,12.0,12.2,11.59,12.0,1419805.0
2008-12-03,11.41,12.31,11.41,12.02,980522.0
2008-12-04,11.99,12.1,11.37,11.5,824270.0
2008-12-05,11.6,11.6,10.77,11.03,1315314.0
2008-12-08,11.41,11.41,10.94,11.1,1177565.0
2008-12-09,10.9,12.25,10.9,11.89,1309440.0
2008-12-10,11.8,12.59,11.5,11.89,884653.0
2008-12-11,11.48,12.31,11.48,12.05,1031189.0
2008-12-12,11.87,12.97,11.81,12.82,1638687.0
2008-12-15,12.75,12.97,12.54,12.7,1036907.0
2008-12-16,11.9,12.95,11.77,12.88,1240490.0
2008-12-17,12.65,12.93,12.33,12.38,1213184.0
2008-12-18,12.25,12.33,11.79,12.0,1002549.0
2008-12-19,12.14,12.49,11.78,12.31,6711090.0
2008-12-22,12.19,12.19,11.54,11.81,1093824.0
2008-12-23,11.99,12.6,11.17,11.37,847052.0
2008-12-24,11.36,11.48,11.17,11.37,303371.0
2008-12-26,11.45,11.45,11.12,11.29,296980.0
2008-12-29,11.21,11.5,10.8,10.98,838145.0
2008-12-30,11.08,11.44,10.97,11.42,1257086.0
2008-12-31,11.48,11.52,11.19,11.42,921608.0
2009-01-02,11.48,12.31,11.42,12.28,1261346.0
2009-01-05,12.15,12.15,11.69,11.8,781012.0
2009-01-06,12.01,12.74,11.65,12.68,1632580.0
2009-01-07,12.4,12.44,11.81,12.23,999704.0
2009-01-08,12.18,12.2,11.92,12.16,1507916.0
2009-01-09,12.31,12.32,11.91,12.15,968152.0
2009-01-12,12.15,12.23,11.81,12.12,1172565.0
2009-01-13,12.21,12.49,12.0,12.29,1657309.0
2009-01-14,12.0,12.1,11.76,11.79,1212998.0
2009-01-15,11.77,12.21,11.58,11.84,913647.0
2009-01-16,11.95,12.33,11.89,12.26,2210422.0
2009-01-20,11.91,12.26,11.38,11.38,1213028.0
2009-01-21,11.52,11.69,11.21,11.69,1403464.0
2009-01-22,11.51,12.26,11.26,11.87,2145759.0
2009-01-23,11.67,13.14,11.67,12.94,3063152.0
2009-01-26,12.93,13.86,12.93,13.37,2713046.0
2009-01-27,13.39,13.84,13.34,13.66,2227027.0
2009-01-28,13.18,13.66,13.15,13.56,2463488.0
2009-01-29,13.5,13.56,12.78,12.87,2109478.0
2009-01-30,12.6,13.42,12.23,13.23,2706366.0
2009-02-02,13.23,13.23,12.6,12.94,2137781.0
2009-02-03,13.01,13.46,12.77,13.44,1469150.0
2009-02-04,13.44,13.91,13.06,13.23,1533269.0
2009-02-05,13.02,13.71,12.91,13.66,2196964.0
2009-02-06,13.67,14.04,13.47,13.87,1635819.0
2009-02-09,13.89,13.98,13.66,13.78,1420374.0
2009-02-10,13.81,13.86,13.28,13.28,2115491.0
2009-02-11,13.36,13.57,12.97,13.19,1819918.0
2009-02-12,13.09,13.46,12.9,13.34,1766113.0
2009-02-13,13.37,13.7,13.0,13.44,1895609.0
2009-02-17,13.04,13.17,12.77,12.82,1622085.0
2009-02-18,12.63,12.81,12.3,12.5,1654311.0
2009-02-19,12.6,12.75,12.08,12.08,1375217.0
2009-02-20,12.18,12.41,12.04,12.23,1738429.0
2009-02-23,12.19,12.26,11.89,11.91,1431029.0
2009-02-24,12.0,12.2,11.95,12.14,1799005.0
2009-02-25,12.12,12.28,11.82,12.01,2321191.0
2009-02-26,12.09,12.25,11.95,12.0,2257494.0
2009-02-27,11.95,12.4,11.95,12.1,1886654.0
2009-03-02,12.06,12.25,11.33,11.5,1717636.0
2009-03-03,11.65,11.72,11.01,11.14,3227988.0
2009-03-04,11.33,11.71,11.14,11.48,2005476.0
2009-03-05,11.29,11.69,11.26,11.33,1261709.0
2009-03-06,11.58,11.85,11.31,11.49,2493728.0
2009-03-09,11.53,11.83,11.12,11.12,2127625.0
2009-03-10,11.24,11.83,11.14,11.78,1506080.0
2009-03-11,11.8,12.18,11.69,11.87,1384066.0
2009-03-12,11.86,12.45,11.79,12.2,2347836.0
2009-03-13,12.41,12.79,12.06,12.49,3386265.0
2009-03-16,12.9,12.9,12.4,12.46,2120127.0
2009-03-17,12.46,12.83,12.4,12.76,1978871.0
2009-03-18,12.4,13.19,12.32,13.14,2682011.0
2009-03-19,13.2,13.57,13.09,13.56,2365901.0
2009-03-20,13.61,13.85,12.99,13.15,3090327.0
2009-03-23,13.29,13.83,13.18,13.79,3016457.0
2009-03-24,13.63,13.77,13.37,13.4,1348371.0
2009-03-25,13.42,13.86,13.17,13.48,1925009.0
2009-03-26,13.57,14.18,13.53,14.11,3353837.0
2009-03-27,13.79,14.02,13.56,13.57,2010611.0
2009-03-30,13.36,13.48,13.14,13.3,1755290.0
2009-03-31,13.34,13.37,12.94,13.21,2620268.0
2009-04-01,13.11,13.71,12.95,13.52,4698834.0
2009-04-02,13.77,13.91,13.42,13.62,3866867.0
2009-04-03,13.36,13.71,13.04,13.57,2922762.0
2009-04-06,13.45,13.55,13.01,13.55,2571718.0
2009-04-07,13.49,13.49,13.11,13.34,2452810.0
2009-04-08,13.48,13.54,13.16,13.51,2484489.0
2009-04-09,13.6,14.44,13.6,14.25,4034592.0
2009-04-13,13.86,14.19,13.78,14.11,2490495.0
2009-04-14,14.25,14.46,13.96,14.05,4032701.0
2009-04-15,13.97,14.42,13.85,14.12,4672096.0
2009-04-16,14.19,14.51,14.18,14.42,3616733.0
2009-04-17,14.41,14.72,14.05,14.61,2789221.0
2009-04-20,14.14,14.41,13.89,13.96,2478161.0
2009-04-21,13.9,14.1,13.61,13.86,2503493.0
2009-04-22,13.78,14.21,13.53,13.94,3818102.0
2009-04-23,13.64,13.9,13.39,13.84,2915995.0
2009-04-24,14.07,14.26,13.82,14.02,2746574.0
2009-04-27,13.72,14.17,13.5,13.7,2123528.0
2009-04-28,13.5,13.67,13.36,13.41,2580073.0
2009-04-29,13.5,13.75,13.43,13.47,2790180.0
2009-04-30,13.75,13.86,13.5,13.55,3985919.0
2009-05-01,14.05,14.86,13.82,14.64,5750233.0
2009-05-04,14.83,15.45,14.71,15.31,3089778.0
2009-05-05,15.27,15.27,14.72,14.97,1536874.0
2009-05-06,15.08,15.25,14.47,14.95,2302110.0
2009-05-07,15.01,15.13,14.06,14.33,1897114.0
2009-05-08,14.39,14.4,13.7,14.02,2239283.0
2009-05-11,13.95,14.02,13.71,13.97,2537783.0
2009-05-12,13.8,13.88,13.35,13.58,3933386.0
2009-05-13,13.46,13.75,13.38,13.64,2686310.0
2009-05-14,13.88,14.27,13.73,14.19,2668263.0
2009-05-15,14.2,14.51,13.84,14.06,2801916.0
2009-05-18,14.01,14.41,13.85,14.41,1827663.0
2009-05-19,14.57,15.04,14.39,14.92,3465453.0
2009-05-20,15.07,15.55,14.86,14.96,2130943.0
2009-05-21,14.85,14.87,14.43,14.68,1986887.0
2009-05-22,14.76,15.41,14.68,15.25,2075542.0
2009-05-26,14.88,16.05,14.88,16.05,4547109.0
2009-05-27,15.9,16.01,15.48,15.58,2331826.0
2009-05-28,15.91,16.14,15.43,16.1,3585077.0
2009-05-29,16.12,16.29,15.72,16.23,11217282.0
2009-06-01,16.1,16.75,16.01,16.68,2936404.0
2009-06-02,16.66,16.77,15.97,16.16,2417879.0
2009-06-03,16.14,16.14,15.58,15.75,2507213.0
2009-06-04,15.74,16.18,15.69,16.06,2320393.0
2009-06-05,16.05,16.15,15.48,15.67,2563070.0
2009-06-08,15.72,16.24,15.5,16.07,2605641.0
2009-06-09,16.45,16.82,16.35,16.74,1916275.0
2009-06-10,16.7,16.74,16.18,16.55,1470711.0
2009-06-11,16.48,16.94,16.48,16.6,1214668.0
2009-06-12,16.49,16.61,16.26,16.55,1643432.0
2009-06-15,16.54,16.54,15.77,16.31,1225934.0
2009-06-16,16.53,16.53,15.84,15.97,1458793.0
2009-06-17,16.08,16.18,15.6,15.99,2250610.0
2009-06-18,15.96,16.05,15.58,15.76,1705463.0
2009-06-19,15.82,16.11,15.7,16.1,1818256.0
2009-06-22,15.41,15.9,15.36,15.55,1541607.0
2009-06-23,15.63,15.8,15.27,15.7,2035072.0
2009-06-24,15.79,16.22,15.75,16.14,2078819.0
2009-06-25,16.04,16.72,15.91,16.6,3069978.0
2009-06-26,16.54,16.68,15.87,16.12,17340085.0
2009-06-29,16.13,16.17,15.66,15.8,2060736.0
2009-06-30,15.95,16.06,15.54,15.69,1550538.0
2009-07-01,15.98,16.33,15.92,16.09,2026942.0
2009-07-02,15.89,15.9,15.44,15.62,1725726.0
2009-07-06,15.58,15.82,15.37,15.71,1736766.0
2009-07-07,15.76,15.97,15.37,15.41,1213253.0
2009-07-08,15.38,15.44,14.97,15.17,1563912.0
2009-07-09,15.28,15.8,15.21,15.75,2052166.0
2009-07-10,15.75,16.05,15.56,15.89,1347603.0
2009-07-13,16.0,16.4,15.66,16.28,1819639.0
2009-07-14,16.26,16.52,16.2,16.43,1635181.0
2009-07-15,16.81,17.02,16.69,16.91,1387259.0
2009-07-16,16.81,17.3,16.73,17.25,1467396.0
2009-07-17,17.33,17.38,16.96,17.38,1273423.0
2009-07-20,17.35,17.79,17.16,17.76,1349943.0
2009-07-21,17.77,17.77,16.96,17.23,1850854.0
2009-07-22,17.19,17.81,17.1,17.67,1990545.0
2009-07-23,17.88,18.1,17.57,17.95,1220740.0
2009-07-24,17.7,17.72,17.35,17.68,1221045.0
2009-07-27,17.6,17.88,17.52,17.68,850743.0
2009-07-28,17.5,17.82,17.49,17.74,1403390.0
2009-07-29,17.67,17.93,17.57,17.82,900322.0
2009-07-30,18.09,18.5,17.82,17.94,1216932.0
2009-07-31,17.92,18.08,17.69,17.72,1369143.0
2009-08-03,17.85,18.39,17.74,18.34,1221951.0
2009-08-04,18.16,18.25,17.92,18.04,1386590.0
2009-08-05,17.89,17.98,17.36,17.62,1564143.0
2009-08-06,17.6,17.84,17.23,17.3,1699030.0
2009-08-07,17.81,17.88,17.0,17.32,2146263.0
2009-08-10,17.41,17.7,17.29,17.61,1384969.0
2009-08-11,17.43,17.82,17.35,17.71,2335081.0
2009-08-12,17.61,18.62,17.59,18.43,2803126.0
2009-08-13,18.63,19.25,18.39,19.23,2965346.0
2009-08-14,19.17,19.17,18.5,18.71,1323195.0
2009-08-17,18.41,18.41,17.95,18.14,1587656.0
2009-08-18,18.15,18.71,18.15,18.64,1408930.0
2009-08-19,18.13,18.6,18.02,18.53,1606052.0
2009-08-20,18.35,18.48,18.1,18.36,2361296.0
2009-08-21,18.54,18.67,18.18,18.55,1411682.0
2009-08-24,18.41,18.69,18.27,18.34,718550.0
2009-08-25,18.5,18.68,18.3,18.53,1257385.0
2009-08-26,18.45,18.71,18.31,18.45,877615.0
2009-08-27,18.45,18.59,18.06,18.58,905395.0
2009-08-28,18.8,19.18,18.68,19.07,1233508.0
2009-08-31,18.85,18.87,18.5,18.78,1322741.0
2009-09-01,18.81,19.09,18.16,18.29,1852301.0
2009-09-02,18.24,18.45,18.11,18.12,822812.0
2009-09-03,18.15,18.32,18.05,18.25,639737.0
2009-09-04,18.21,18.73,18.2,18.7,796689.0
2009-09-08,18.94,19.26,18.89,19.08,1387085.0
2009-09-09,18.96,19.08,18.7,19.03,831542.0
2009-09-10,19.08,19.25,18.89,19.25,698061.0
2009-09-11,19.21,19.28,18.79,19.01,932760.0
2009-09-14,18.91,19.11,18.91,19.08,878796.0
2009-09-15,19.0,19.35,18.98,19.25,798932.0
2009-09-16,19.16,19.4,19.09,19.31,1240978.0
2009-09-17,19.0,19.01,18.01,18.06,2521747.0
2009-09-18,18.26,18.5,18.08,18.4,2115364.0
2009-09-21,18.32,18.54,18.13,18.41,970380.0
2009-09-22,18.58,18.77,18.1,18.14,1649865.0
2009-09-23,18.28,18.58,18.28,18.35,1443019.0
2009-09-24,18.37,18.45,17.83,17.87,1311329.0
2009-09-25,17.81,18.09,17.56,17.96,1568308.0
2009-09-28,17.99,18.45,17.99,18.2,612365.0
2009-09-29,18.12,18.27,17.58,17.75,1344917.0
2009-09-30,18.01,18.56,17.63,18.14,2010941.0
2009-10-01,18.32,18.32,17.28,17.28,3054842.0
2009-10-02,17.22,17.68,17.1,17.17,1580049.0
2009-10-05,17.34,17.65,16.98,17.58,1699848.0
2009-10-06,17.82,18.17,17.7,18.14,1926930.0
2009-10-07,18.13,18.13,17.8,18.0,1153485.0
2009-10-08,18.02,18.07,17.44,17.59,1789563.0
2009-10-09,17.5,18.19,17.49,18.16,1228856.0
2009-10-12,18.23,18.65,18.0,18.5,936034.0
2009-10-13,18.5,18.62,18.39,18.53,1007641.0
2009-10-14,18.76,19.02,18.6,18.89,1540405.0
2009-10-15,18.76,18.96,18.59,18.9,2021622.0
2009-10-16,18.85,18.85,18.31,18.66,1888772.0
2009-10-19,18.78,19.02,18.66,18.91,1664299.0
2009-10-20,19.13,19.13,18.73,18.92,1393313.0
2009-10-21,18.86,19.11,18.66,18.71,1615431.0
2009-10-22,18.66,18.88,18.51,18.78,1207835.0
2009-10-23,18.64,18.74,18.29,18.41,1033751.0
2009-10-26,18.53,19.0,18.28,18.34,1533109.0
2009-10-27,18.34,18.53,17.92,17.97,1656195.0
2009-10-28,17.91,18.13,17.21,17.21,2133619.0
2009-10-29,17.49,17.9,17.27,17.86,1767155.0
2009-10-30,16.84,17.62,16.65,16.67,4604130.0
2009-11-02,16.79,16.95,16.5,16.75,2030426.0
2009-11-03,16.87,17.2,16.57,17.04,2093111.0
2009-11-04,17.23,17.62,17.06,17.09,1223053.0
2009-11-05,17.37,17.37,16.99,17.3,2347031.0
2009-11-06,17.4,17.66,17.18,17.47,1596786.0
2009-11-09,17.74,18.16,17.68,17.85,1199854.0
2009-11-10,17.85,18.03,17.67,17.85,1175210.0
2009-11-11,18.0,18.22,17.94,18.1,2051946.0
2009-11-12,18.17,18.43,17.73,17.77,1347034.0
2009-11-13,17.85,18.05,17.72,18.02,682674.0
2009-11-16,18.07,18.49,18.06,18.46,1014203.0
2009-11-17,18.26,18.75,18.26,18.72,923907.0
2009-11-18,18.44,18.53,18.14,18.23,671868.0
2009-11-19,17.53,17.6,17.0,17.56,1768749.0
2009-11-20,17.2,17.45,17.15,17.31,1047963.0
2009-11-23,17.51,17.64,17.37,17.61,1425241.0
2009-11-24,17.63,18.05,17.61,18.02,1394153.0
2009-11-25,17.97,18.13,17.87,17.93,780388.0
2009-11-27,17.42,18.03,17.36,17.79,510792.0
2009-11-30,17.52,17.77,17.41,17.6,1283790.0
2009-12-01,17.77,18.14,17.71,18.11,982047.0
2009-12-02,18.21,18.58,18.05,18.29,1139005.0
2009-12-03,18.31,18.75,18.26,18.52,816588.0
2009-12-04,18.74,18.96,18.44,18.66,1134129.0
2009-12-07,18.49,18.98,18.49,18.83,675211.0
2009-12-08,18.76,19.06,18.49,18.99,1021682.0
2009-12-09,18.9,18.98,18.51,18.94,703855.0
2009-12-10,18.95,19.19,18.91,18.97,1018944.0
2009-12-11,18.97,19.14,18.78,18.91,670586.0
2009-12-14,18.99,19.55,18.99,19.33,1145598.0
2009-12-15,19.25,19.62,19.19,19.43,843750.0
2009-12-16,19.48,20.23,19.42,19.98,1599533.0
2009-12-17,19.79,20.03,19.49,19.56,1758821.0
2009-12-18,19.6,20.16,19.57,20.16,2709575.0
2009-12-21,20.25,20.5,20.17,20.43,1069176.0
2009-12-22,20.45,20.78,20.43,20.64,869119.0
2009-12-23,20.62,20.82,20.45,20.51,617590.0
2009-12-24,20.6,20.87,20.52,20.87,287351.0
2009-12-28,20.93,20.95,20.35,20.44,912415.0
2009-12-29,20.47,20.53,20.14,20.28,902299.0
2009-12-30,20.29,20.71,20.25,20.59,515073.0
2009-12-31,20.62,20.64,20.3,20.3,760132.0
2010-01-04,20.61,20.68,20.33,20.49,913860.0
2010-01-05,20.5,20.55,20.1,20.22,1122749.0
2010-01-06,20.12,20.4,19.91,19.99,1227679.0
2010-01-07,19.9,19.96,19.43,19.88,1223207.0
2010-01-08,19.88,20.03,19.76,19.96,1014425.0
2010-01-11,19.86,19.94,19.62,19.83,923531.0
2010-01-12,19.75,19.75,19.0,19.02,1561405.0
2010-01-13,19.27,19.5,18.65,19.34,1951257.0
2010-01-14,19.23,19.32,19.02,19.27,1106811.0
2010-01-15,19.41,19.41,18.56,18.65,1732140.0
2010-01-19,18.69,18.97,18.53,18.86,1047925.0
2010-01-20,18.75,18.96,18.34,18.89,1499181.0
2010-01-21,18.91,19.33,18.49,18.74,1497277.0
2010-01-22,18.74,18.79,17.88,17.95,2046222.0
2010-01-25,18.01,18.27,17.83,18.12,1127681.0
2010-01-26,17.96,18.3,17.79,17.95,1107693.0
2010-01-27,17.79,18.42,17.61,18.4,2117674.0
2010-01-28,18.39,18.4,17.49,18.12,3061255.0
2010-01-29,19.03,19.04,17.29,17.48,3361173.0
2010-02-01,17.6,17.91,17.52,17.9,2406257.0
2010-02-02,18.0,18.38,17.89,18.34,2183354.0
2010-02-03,18.21,18.41,17.91,18.17,1749083.0
2010-02-04,17.93,17.93,17.26,17.41,2155688.0
2010-02-05,17.42,17.77,17.29,17.66,2295176.0
2010-02-08,17.73,17.93,17.46,17.63,1354673.0
2010-02-09,17.84,17.96,17.53,17.79,1468164.0
2010-02-10,17.72,18.1,17.66,17.97,1417179.0
2010-02-11,17.92,18.32,17.66,18.13,1413250.0
2010-02-12,17.78,18.37,17.71,18.26,1557863.0
2010-02-16,18.3,18.68,18.2,18.67,1112182.0
2010-02-17,18.54,18.57,18.1,18.44,913353.0
2010-02-18,18.47,18.87,18.37,18.77,1007076.0
2010-02-19,18.7,18.84,18.5,18.72,770290.0
2010-02-22,18.85,18.94,18.62,18.78,686669.0
2010-02-23,18.78,18.84,18.12,18.2,983833.0
2010-02-24,18.34,18.73,18.33,18.69,1083006.0
2010-02-25,18.48,18.49,18.14,18.49,1221862.0
2010-02-26,18.45,18.6,18.13,18.52,1686744.0
2010-03-01,18.64,18.91,18.6,18.86,831666.0
2010-03-02,18.89,19.04,18.75,18.84,964329.0
2010-03-03,18.84,19.08,18.65,18.7,656510.0
2010-03-04,18.66,18.8,18.48,18.78,829154.0
2010-03-05,18.78,19.1,18.71,19.03,926260.0
2010-03-08,19.04,19.15,18.89,18.91,675091.0
2010-03-09,18.74,19.02,18.72,18.93,1002284.0
2010-03-10,18.92,19.32,18.92,19.29,780491.0
2010-03-11,19.19,19.19,18.94,19.14,683602.0
2010-03-12,19.15,19.26,19.04,19.11,925164.0
2010-03-15,19.11,19.25,18.96,19.04,1196266.0
2010-03-16,19.09,19.48,18.86,19.46,958837.0
2010-03-17,19.46,19.83,19.41,19.58,565952.0
2010-03-18,19.67,19.71,19.25,19.31,569123.0
2010-03-19,19.41,19.5,18.93,19.14,2248406.0
2010-03-22,19.1,19.61,19.01,19.47,1064059.0
2010-03-23,19.5,19.86,19.5,19.74,740926.0
2010-03-24,19.72,19.97,19.46,19.5,1996128.0
2010-03-25,19.57,19.78,19.36,19.37,862963.0
2010-03-26,19.46,19.6,19.18,19.22,900802.0
2010-03-29,19.29,19.5,19.16,19.27,1065246.0
2010-03-30,19.26,19.52,19.18,19.44,788660.0
2010-03-31,19.47,19.72,19.32,19.39,1313178.0
2010-04-01,19.5,19.98,19.27,19.44,936796.0
2010-04-05,19.55,19.95,19.5,19.83,724311.0
2010-04-06,19.69,19.97,19.65,19.74,803088.0
2010-04-07,19.67,19.99,19.59,19.9,765997.0
2010-04-08,19.74,19.75,19.29,19.46,797495.0
2010-04-09,19.55,19.87,19.48,19.84,987179.0
2010-04-12,19.78,19.99,19.64,19.89,710812.0
2010-04-13,20.0,20.24,19.84,20.19,1034341.0
2010-04-14,20.27,21.29,20.27,21.17,1826977.0
2010-04-15,21.09,21.36,20.89,21.27,1056376.0
2010-04-16,21.24,21.28,20.53,20.92,1767380.0
2010-04-19,20.89,20.89,20.25,20.58,1090913.0
2010-04-20,20.76,20.92,20.65,20.81,843110.0
2010-04-21,20.75,21.05,20.3,20.5,1449352.0
2010-04-22,20.18,20.6,19.84,20.55,1040521.0
2010-04-23,20.46,20.75,20.19,20.73,927922.0
2010-04-26,20.7,20.88,20.51,20.78,791967.0
2010-04-27,20.7,20.83,20.1,20.13,1769337.0
2010-04-28,20.29,20.55,19.99,20.33,1047794.0
2010-04-29,20.39,20.83,20.2,20.75,1588593.0
2010-04-30,20.03,20.1,19.0,19.42,3361232.0
2010-05-03,19.66,19.87,19.48,19.74,1085163.0
2010-05-04,19.44,19.53,18.82,19.02,1967159.0
2010-05-05,18.9,19.16,18.56,18.7,1662955.0
2010-05-06,18.62,18.9,16.7,17.88,3046182.0
2010-05-07,17.79,18.61,17.22,18.5,4449171.0
2010-05-10,19.24,19.41,18.66,19.01,3076564.0
2010-05-11,18.8,19.54,18.7,19.28,2884632.0
2010-05-12,19.22,19.65,19.22,19.52,1866710.0
2010-05-13,19.35,19.59,19.06,19.21,2500613.0
2010-05-14,19.04,19.13,18.19,18.45,2194280.0
2010-05-17,18.5,18.67,17.91,18.58,1882168.0
2010-05-18,18.69,18.71,17.98,18.19,2338344.0
2010-05-19,17.96,18.26,17.61,18.17,1959090.0
2010-05-20,17.9,18.03,17.34,17.59,1909825.0
2010-05-21,17.42,18.2,17.29,17.69,2303241.0
2010-05-24,17.65,17.8,17.46,17.52,1353591.0
2010-05-25,17.13,17.53,16.73,17.49,2182733.0
2010-05-26,17.58,17.8,17.4,17.4,2192011.0
2010-05-27,17.8,17.98,17.75,17.97,1200120.0
2010-05-28,17.95,17.95,17.38,17.76,2327934.0
2010-06-01,17.68,18.05,17.5,17.55,1939146.0
2010-06-02,17.62,17.84,17.48,17.83,1416204.0
2010-06-03,17.75,18.07,17.5,18.03,2057427.0
2010-06-04,17.64,18.06,17.04,17.11,2317336.0
2010-06-07,17.2,17.41,16.63,16.66,1512887.0
2010-06-08,16.68,16.77,16.33,16.69,1496370.0
2010-06-09,16.78,17.54,16.66,16.68,2359127.0
2010-06-10,16.93,17.28,16.91,17.245,1368896.0
2010-06-11,17.0,17.67,16.95,17.52,1396167.0
2010-06-14,17.69,17.85,17.45,17.45,1174092.0
2010-06-15,17.54,18.25,17.54,18.16,1543310.0
2010-06-16,18.05,18.21,17.86,18.04,778865.0
2010-06-17,18.1,18.33,17.82,18.31,1173531.0
2010-06-18,18.28,18.4,18.04,18.1,1176850.0
2010-06-21,18.25,18.36,17.85,17.95,786694.0
2010-06-22,17.96,18.29,17.66,17.75,1170182.0
2010-06-23,17.82,17.91,17.51,17.74,1418763.0
2010-06-24,17.63,17.68,17.2,17.33,1518464.0
2010-06-25,17.64,17.64,17.14,17.39,2206590.0
2010-06-28,17.43,17.77,17.28,17.57,1198556.0
