Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-01-13,9.5,9.5,9.0,9.0,600.0
1997-01-14,9.0,9.5,9.0,9.125,7700.0
1997-01-15,9.125,9.25,8.75,9.0,19900.0
1997-01-16,9.0,9.0,8.75,8.75,13000.0
1997-01-17,9.125,9.125,8.625,8.625,8400.0
1997-01-20,8.875,8.875,8.625,8.625,800.0
1997-01-21,8.625,9.0,8.625,9.0,5200.0
1997-01-22,8.625,9.0,8.5,8.5,9000.0
1997-01-23,8.125,8.25,8.125,8.25,7700.0
1997-01-24,8.25,8.5,8.25,8.25,5800.0
1997-01-27,8.25,8.625,8.25,8.625,4900.0
1997-01-28,8.5,9.0,8.5,8.75,24200.0
1997-01-29,8.625,8.625,8.625,8.625,20700.0
1997-01-30,8.625,8.625,8.625,8.625,6500.0
1997-01-31,8.625,8.875,8.625,8.625,3000.0
1997-02-03,8.875,8.875,8.5,8.6875,22000.0
1997-02-04,9.0,9.0,8.5,9.0,1300.0
1997-02-05,8.5,8.75,8.5,8.625,8700.0
1997-02-06,8.5,8.625,8.5,8.625,7500.0
1997-02-07,8.375,8.40625,8.375,8.40625,4200.0
1997-02-10,8.375,8.625,8.125,8.625,6100.0
1997-02-11,8.125,8.25,8.125,8.125,7000.0
1997-02-12,8.375,8.375,8.125,8.125,1400.0
1997-02-13,8.125,9.625,8.125,9.0,98700.0
1997-02-14,9.0,9.5,9.0,9.5,43700.0
1997-02-18,9.0,9.5,9.0,9.25,4500.0
1997-02-19,9.5,10.5,9.125,10.0,107800.0
1997-02-20,10.25,10.25,9.75,9.75,55100.0
1997-02-21,9.75,10.125,9.625,9.625,21600.0
1997-02-24,9.875,10.0,9.25,9.625,17200.0
1997-02-25,9.375,9.625,9.0,9.125,12100.0
1997-02-26,9.0,9.375,9.0,9.25,11300.0
1997-02-27,9.375,9.375,9.125,9.125,12400.0
1997-02-28,9.0,9.375,8.875,8.875,39100.0
1997-03-03,8.625,9.125,8.625,9.125,9000.0
1997-03-04,9.125,9.25,8.625,9.25,11300.0
1997-03-05,8.625,9.25,8.625,9.0,12800.0
1997-03-06,8.75,9.375,8.75,9.375,18700.0
1997-03-07,9.375,9.375,8.75,8.75,4000.0
1997-03-10,8.75,9.375,8.75,9.0,2800.0
1997-03-11,8.75,9.375,8.75,9.0,10400.0
1997-03-12,8.875,9.25,8.875,9.0,9100.0
1997-03-13,9.25,9.25,9.0,9.0,10700.0
1997-03-14,9.125,9.1875,9.0,9.0,21700.0
1997-03-17,9.0,9.25,9.0,9.0,29300.0
1997-03-18,8.75,9.0,8.5,8.5,13100.0
1997-03-19,8.5,8.875,8.5,8.875,300.0
1997-03-21,8.25,8.5,8.25,8.25,4400.0
1997-03-24,8.5,8.5,8.25,8.25,8100.0
1997-03-25,8.25,8.375,8.25,8.375,3100.0
1997-03-26,8.25,8.25,8.25,8.25,5000.0
1997-03-27,8.75,8.75,8.25,8.25,1900.0
1997-03-31,8.25,8.5,8.125,8.125,2500.0
1997-04-01,8.125,8.75,8.125,8.125,6600.0
1997-04-02,8.0,8.125,8.0,8.0,3000.0
1997-04-03,8.0,8.0,7.5,7.5,7800.0
1997-04-07,7.5,8.125,7.375,8.125,1800.0
1997-04-08,7.5,7.625,7.5,7.5,2800.0
1997-04-09,8.25,8.25,7.5,7.5625,8500.0
1997-04-10,7.5,7.75,7.5,7.5,4400.0
1997-04-11,7.5,7.625,7.375,7.5,14200.0
1997-04-14,7.375,7.75,7.375,7.75,400.0
1997-04-15,7.75,7.75,7.375,7.75,3300.0
1997-04-16,7.625,8.0,7.625,7.75,3300.0
1997-04-17,7.75,8.25,7.75,8.25,3000.0
1997-04-18,7.75,8.0,7.75,8.0,1600.0
1997-04-21,8.0,8.25,7.625,7.625,5700.0
1997-04-22,7.5,7.875,7.5,7.875,5600.0
1997-04-23,7.5,7.875,7.5,7.875,1100.0
1997-04-24,8.125,8.125,7.5,7.5,1600.0
1997-04-25,7.6875,8.5,7.5625,8.0625,11500.0
1997-04-28,8.0,8.625,8.0,8.625,14900.0
1997-04-29,8.75,9.0,8.125,8.125,11900.0
1997-04-30,8.125,8.25,7.875,8.25,6900.0
1997-05-01,7.875,8.0625,7.875,7.875,5100.0
1997-05-02,7.875,8.875,7.875,8.4375,14800.0
1997-05-05,8.5,9.0,8.5,9.0,15700.0
1997-05-06,8.8125,9.0,8.5,9.0,6600.0
1997-05-07,8.5,8.625,8.5,8.625,8200.0
1997-05-08,8.625,9.0,7.875,8.25,21600.0
1997-05-09,8.625,8.625,7.875,7.875,1900.0
1997-05-12,8.625,8.625,8.625,8.625,1100.0
1997-05-13,7.875,8.25,7.375,7.75,11800.0
1997-05-14,7.375,7.75,7.375,7.75,3000.0
1997-05-15,7.375,8.0,7.375,7.375,43700.0
1997-05-16,7.375,7.5,6.875,7.125,53100.0
1997-05-19,7.125,7.5,7.125,7.5,2400.0
1997-05-20,7.5,7.625,7.25,7.5,22000.0
1997-05-21,7.625,7.625,7.125,7.625,3200.0
1997-05-22,7.125,7.625,7.125,7.125,2800.0
1997-05-23,7.5,7.5,7.375,7.375,7200.0
1997-05-27,7.125,7.25,6.875,7.0,43300.0
1997-05-28,6.875,7.5,6.875,7.0,35800.0
1997-05-29,7.0,7.25,6.875,6.875,50400.0
1997-05-30,6.875,6.875,6.875,6.875,200.0
1997-06-02,7.375,7.375,6.875,7.0,12900.0
1997-06-04,7.25,7.5,6.875,6.875,10900.0
1997-06-05,7.0,7.25,7.0,7.25,1500.0
1997-06-06,7.0,7.0625,7.0,7.0,19000.0
1997-06-09,7.0,7.0,6.875,7.0,7500.0
1997-06-10,6.875,7.25,6.875,7.0,23300.0
1997-06-11,6.875,7.5,6.875,7.0,14600.0
1997-06-12,7.375,7.375,7.125,7.125,17700.0
1997-06-13,7.125,7.375,7.125,7.125,5100.0
1997-06-16,7.375,7.375,7.125,7.125,900.0
1997-06-17,7.125,7.5,7.125,7.5,5500.0
1997-06-18,7.125,7.5,7.125,7.375,11700.0
1997-06-19,7.375,8.375,7.375,8.0,29200.0
1997-06-20,8.0,8.375,8.0,8.0,15700.0
1997-06-23,8.25,8.25,8.0,8.0,6400.0
1997-06-24,8.0,8.25,8.0,8.0,16000.0
1997-06-25,8.0,8.0,7.875,7.875,2000.0
1997-06-27,8.25,8.25,7.625,7.625,23100.0
1997-06-30,7.5,8.0,7.5,7.625,81100.0
1997-07-01,7.875,8.0,7.625,7.75,101600.0
1997-07-02,7.625,8.25,7.625,7.75,2500.0
1997-07-03,8.25,8.25,8.25,8.25,400.0
1997-07-07,7.75,8.25,7.75,8.25,7400.0
1997-07-08,7.75,7.75,7.75,7.75,100.0
1997-07-09,7.75,8.125,7.75,7.9375,33400.0
1997-07-10,7.75,7.8125,7.75,7.8125,2600.0
1997-07-11,7.75,8.125,7.75,8.125,96300.0
1997-07-14,7.75,8.25,7.75,8.0,3900.0
1997-07-15,7.75,8.125,7.75,7.75,6000.0
1997-07-16,8.125,8.1875,7.75,7.75,7700.0
1997-07-17,7.75,8.0,7.75,7.75,4900.0
1997-07-18,7.75,7.8125,7.75,7.75,3500.0
1997-07-21,8.25,8.25,7.625,7.625,12500.0
1997-07-22,7.625,8.125,7.625,8.125,8700.0
1997-07-23,7.625,7.625,7.625,7.625,1400.0
1997-07-24,7.625,8.09375,7.5,7.625,34200.0
1997-07-25,7.25,7.625,7.0,7.0,3100.0
1997-07-28,7.0,7.75,7.0,7.0,19000.0
1997-07-29,7.25,7.75,7.125,7.75,16400.0
1997-07-30,7.25,7.875,7.25,7.375,3700.0
1997-07-31,7.375,7.375,7.25,7.25,15900.0
1997-08-01,7.375,7.5,7.25,7.375,27500.0
1997-08-04,7.5,8.0,7.5,7.75,16700.0
1997-08-05,7.5,8.0,7.5,7.875,23600.0
1997-08-06,7.75,8.25,7.75,8.0,44800.0
1997-08-07,8.25,8.5,7.875,8.5,30500.0
1997-08-08,8.875,9.125,8.125,9.0,15900.0
1997-08-11,9.0,9.125,8.625,8.75,3500.0
1997-08-12,8.75,9.5,8.75,9.25,25700.0
1997-08-13,9.125,9.5,9.125,9.125,25400.0
1997-08-14,9.125,9.375,9.125,9.125,7800.0
1997-08-15,9.125,9.5,9.125,9.25,35800.0
1997-08-18,9.125,9.75,9.125,9.125,18100.0
1997-08-19,9.25,9.625,9.125,9.125,8700.0
1997-08-20,9.25,9.25,9.25,9.25,6300.0
1997-08-21,9.125,9.375,8.0,8.625,35200.0
1997-08-22,8.0,8.625,8.0,8.625,2500.0
1997-08-25,8.125,8.625,8.125,8.125,3500.0
1997-08-26,8.125,8.75,8.125,8.5,5200.0
1997-08-27,8.125,8.125,8.125,8.125,1000.0
1997-08-28,8.125,8.5,8.125,8.5,1900.0
1997-08-29,8.625,8.625,8.25,8.375,11100.0
1997-09-02,8.375,8.375,7.25,7.25,43600.0
1997-09-03,7.25,7.75,7.0,7.375,60100.0
1997-09-04,7.25,7.5,7.0,7.25,9400.0
1997-09-05,7.125,7.25,7.0,7.0,11500.0
1997-09-08,7.25,7.75,7.0,7.75,17200.0
1997-09-09,7.125,7.75,7.0625,7.375,14200.0
1997-09-10,7.25,7.625,7.25,7.5,7900.0
1997-09-11,7.375,7.5,7.375,7.4375,4100.0
1997-09-12,7.5,8.0,7.4375,7.6875,15100.0
1997-09-15,7.75,7.75,7.4375,7.75,7600.0
1997-09-16,7.5,7.75,7.5,7.625,18900.0
1997-09-17,7.5,7.875,7.5,7.875,700.0
1997-09-18,7.875,8.0625,7.625,8.0625,14100.0
1997-09-19,8.0625,8.125,7.875,8.0,16600.0
1997-09-22,7.75,7.8125,7.625,7.75,7500.0
1997-09-23,7.75,7.75,7.75,7.75,8600.0
1997-09-24,7.75,7.875,7.75,7.75,20400.0
1997-09-25,7.875,8.0,7.875,7.9375,24000.0
1997-09-26,7.875,8.0,7.875,7.90625,16700.0
1997-09-29,7.9375,8.0,7.875,7.875,24600.0
1997-09-30,8.0,8.0,7.875,7.875,15300.0
1997-10-01,7.875,7.875,7.75,7.875,13900.0
1997-10-02,7.75,7.875,7.75,7.8125,13500.0
1997-10-03,7.75,8.0,7.75,8.0,23100.0
1997-10-06,8.0,8.0,7.875,7.875,10500.0
1997-10-07,7.875,8.0,7.5,7.5,30100.0
1997-10-08,7.875,7.875,7.5,7.5,5000.0
1997-10-09,7.75,7.8125,7.5,7.5,108400.0
1997-10-10,7.875,8.75,7.5,8.4375,214000.0
1997-10-13,8.75,8.75,8.25,8.25,28500.0
1997-10-14,8.25,8.375,8.25,8.25,20500.0
1997-10-15,8.125,8.25,7.625,7.875,32900.0
1997-10-16,7.875,8.0,7.5,7.875,5700.0
1997-10-17,8.0,8.25,7.875,8.25,119000.0
1997-10-20,8.25,8.25,8.0625,8.0625,10200.0
1997-10-21,8.21875,8.21875,8.0,8.0625,16900.0
1997-10-22,8.0,8.125,7.75,7.875,23000.0
1997-10-23,7.75,7.75,7.75,7.75,3200.0
1997-10-24,7.75,8.0,7.75,7.75,7500.0
1997-10-27,8.0,8.0,7.875,7.875,19900.0
1997-10-28,7.625,7.625,7.25,7.625,145700.0
1997-10-29,7.75,8.0,7.75,8.0,28800.0
1997-10-30,8.0,8.0,7.875,7.9375,36400.0
1997-10-31,7.625,8.0,7.625,7.875,3800.0
1997-11-03,7.625,8.0,7.625,7.875,8000.0
1997-11-04,8.0,8.0,7.625,7.625,21600.0
1997-11-05,7.875,7.875,7.875,7.875,500.0
1997-11-06,7.625,7.875,7.625,7.75,14500.0
1997-11-07,7.75,8.0,7.75,8.0,600.0
1997-11-10,8.0,8.375,8.0,8.375,89100.0
1997-11-11,8.125,8.875,8.125,8.375,132600.0
1997-11-12,8.375,8.75,8.375,8.5,26500.0
1997-11-13,8.875,8.875,8.5,8.5,40900.0
1997-11-14,8.5,8.75,8.375,8.6875,29200.0
1997-11-17,8.625,8.875,8.625,8.75,26900.0
1997-11-18,8.75,8.8125,8.75,8.75,11300.0
1997-11-19,8.75,8.75,8.5,8.5,47800.0
1997-11-20,8.375,8.75,8.375,8.6875,8500.0
1997-11-21,8.75,9.0,8.5,9.0,64900.0
