Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-04-17,15.0,17.38,15.0,16.99,325577.0
2014-04-21,16.97,16.97,16.4,16.82,67518.0
2014-04-22,16.63,17.0,16.63,16.8,58546.0
2014-04-23,16.81,16.85,16.71,16.79,116537.0
2014-04-24,16.59,16.83,16.48,16.63,33278.0
2014-04-25,16.9,16.91,16.35,16.89,364573.0
2014-04-28,16.93,16.93,16.39,16.67,316223.0
2014-04-29,16.62,16.84,16.46,16.68,141978.0
2014-04-30,16.7,16.7,16.4,16.55,12087215.0
2014-05-01,16.12,17.36,16.12,17.0,926676.0
2014-05-02,17.01,17.3,16.875,16.95,802827.0
2014-05-05,16.93,17.26,16.54,16.81,812498.0
2014-05-06,16.69,16.7,16.25,16.34,1955596.0
2014-05-07,16.36,16.61,16.26,16.6,2759837.0
2014-05-08,16.5,16.64,16.35,16.45,1009683.0
2014-05-09,16.3,16.48,16.05,16.28,772667.0
2014-05-12,16.28,16.51,15.775,15.95,2274529.0
2014-05-13,15.78,16.07,15.78,15.85,1515869.0
2014-05-14,15.77,16.03,15.53,15.74,1202686.0
2014-05-15,15.66,15.99,15.59,15.74,1310783.0
2014-05-16,15.66,15.95,15.66,15.86,1027833.0
2014-05-19,15.76,16.04,15.73,16.02,2367348.0
2014-05-20,16.1,16.16,15.82,15.94,744282.0
2014-05-21,15.93,16.12,15.82,15.93,610384.0
2014-05-22,15.84,16.04,15.8,15.97,371326.0
2014-05-23,16.0,16.13,15.97,16.07,600869.0
2014-05-27,16.09,16.34,15.79,15.98,520476.0
2014-05-28,16.02,16.02,15.67,15.68,1186445.0
2014-05-29,15.73,15.82,15.53,15.68,881048.0
2014-05-30,15.63,15.91,15.63,15.8,1263899.0
2014-06-02,15.82,15.94,15.8,15.81,699876.0
2014-06-03,15.75,16.035,15.75,15.83,618387.0
2014-06-04,15.6,15.96,15.58,15.89,897485.0
2014-06-05,16.03,16.68,15.9,16.67,1179138.0
2014-06-06,16.76,16.945,16.615,16.67,585960.0
2014-06-09,16.61,16.81,16.37,16.81,540259.0
2014-06-10,16.72,16.99,16.71,16.8,551551.0
2014-06-11,16.73,16.97,16.73,16.88,374905.0
2014-06-12,16.81,16.93,16.68,16.74,334523.0
2014-06-13,16.72,16.86,16.56,16.67,503267.0
2014-06-16,16.66,16.89,16.6,16.78,270355.0
2014-06-17,16.69,16.96,16.65,16.84,385169.0
2014-06-18,16.76,17.12,16.7,17.06,513458.0
2014-06-19,17.01,17.32,17.01,17.19,830565.0
2014-06-20,17.28,17.52,17.15,17.46,1949035.0
2014-06-23,17.45,17.77,17.45,17.68,865360.0
2014-06-24,17.66,17.75,17.58,17.655,489419.0
2014-06-25,17.6,17.76,17.52,17.61,485696.0
2014-06-26,17.58,17.67,17.55,17.67,203510.0
2014-06-27,17.61,17.9,17.61,17.84,1057282.0
2014-06-30,17.76,17.98,17.64,17.71,578765.0
2014-07-01,17.79,17.97,17.77,17.78,411244.0
2014-07-02,17.75,17.94,17.64,17.77,574552.0
2014-07-03,17.76,17.89,17.68,17.7,910645.0
2014-07-07,17.65,17.77,17.6,17.65,637809.0
2014-07-08,17.6,17.65,17.45,17.6,1194467.0
2014-07-09,17.6,17.74,17.57,17.72,402446.0
2014-07-10,17.54,17.87,17.54,17.78,518621.0
2014-07-11,17.81,17.93,17.75,17.89,745321.0
2014-07-14,17.97,18.06,17.84,18.0,672721.0
2014-07-15,17.99,18.08,17.645,17.7,813155.0
2014-07-16,17.71,17.91,17.49,17.82,683141.0
2014-07-17,17.69,18.28,17.69,17.7,788144.0
2014-07-18,17.75,17.75,17.5,17.69,674367.0
2014-07-21,17.65,17.9,17.57,17.86,913801.0
2014-07-22,17.88,17.99,17.83,17.98,373758.0
