Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2012-12-10,3.0,3.1,2.85,3.0,136270.0
2012-12-11,3.07,3.07,2.94,3.0,264729.0
2012-12-12,3.07,3.07,2.99,3.0,124875.0
2012-12-13,2.98,2.98,2.91,2.91,1000.0
2012-12-14,2.83,2.83,2.69,2.8,51950.0
2012-12-17,2.88,2.88,2.75,2.88,5575.0
2012-12-18,2.88,2.88,2.75,2.81,105391.0
2012-12-19,2.77,2.78,2.65,2.67,15629.0
2012-12-20,2.63,2.75,2.63,2.66,10493.0
2012-12-21,2.66,2.69,2.55,2.55,108474.0
2012-12-24,2.59,2.59,2.59,2.59,1843.0
2012-12-26,2.55,2.55,2.39,2.55,44320.0
2012-12-27,2.5,2.6,2.44,2.53,3958.0
2012-12-28,2.5,2.55,2.46,2.46,5760.0
2012-12-31,2.45,2.49,2.42,2.48,56964.0
2013-01-02,2.56,2.71,2.55,2.64,6392.0
2013-01-03,2.69,2.69,2.55,2.56,26573.0
2013-01-04,2.4,2.77,2.4,2.7,22508.0
2013-01-07,2.73,2.74,2.58,2.59,20149.0
2013-01-08,2.67,2.67,2.55,2.64,14639.0
2013-01-09,2.65,2.7,2.56,2.56,12435.0
2013-01-10,2.55,2.63,2.54,2.63,6563.0
2013-01-11,2.58,2.67,2.55,2.61,7439.0
2013-01-14,2.55,2.68,2.55,2.62,19667.0
2013-01-15,2.65,2.73,2.6,2.7,11109.0
2013-01-16,2.65,2.7,2.6,2.6,19314.0
2013-01-17,2.66,2.75,2.66,2.75,16523.0
2013-01-18,2.75,2.76,2.69,2.7,8717.0
2013-01-22,2.7,2.7,2.63,2.7,2425.0
2013-01-23,2.66,2.8,2.65,2.79,15990.0
2013-01-24,2.83,2.93,2.75,2.8,23944.0
2013-01-25,2.85,2.89,2.8,2.89,7835.0
2013-01-28,2.89,2.89,2.71,2.78,17300.0
2013-01-29,2.82,2.88,2.77,2.88,2758.0
2013-01-30,2.89,2.89,2.8,2.84,2385.0
2013-01-31,2.85,2.85,2.85,2.85,452.0
2013-02-01,2.83,2.93,2.83,2.91,5044.0
2013-02-04,2.91,2.91,2.82,2.83,5344.0
2013-02-05,2.82,2.83,2.76,2.76,14648.0
2013-02-06,2.78,2.8,2.75,2.8,3769.0
2013-02-07,2.84,2.88,2.84,2.85,1200.0
2013-02-08,2.88,2.88,2.8,2.82,3999.0
2013-02-11,2.84,2.87,2.81,2.86,200.0
2013-02-12,2.84,2.86,2.83,2.85,1012.0
2013-02-13,2.88,2.88,2.83,2.85,11204.0
2013-02-14,2.86,3.1,2.86,3.04,94305.0
2013-02-15,3.05,3.24,3.05,3.2,38407.0
2013-02-19,3.34,3.46,3.22,3.4,44379.0
2013-02-20,3.44,3.51,3.34,3.4,28253.0
2013-02-21,3.43,3.43,3.21,3.28,56640.0
2013-02-22,3.3,3.34,2.9,3.03,63300.0
2013-02-25,2.94,3.06,2.82,3.0,87439.0
2013-02-26,3.01,3.2,3.0,3.14,24189.0
2013-02-27,3.15,3.15,3.04,3.13,12409.0
2013-02-28,3.3,3.53,3.25,3.34,441805.0
2013-03-01,3.3,3.44,3.25,3.3,173341.0
2013-03-04,3.3,3.68,3.3,3.59,120994.0
2013-03-05,3.57,3.69,3.46,3.65,123036.0
2013-03-06,3.7,3.8,3.65,3.72,59122.0
2013-03-07,3.75,3.75,3.64,3.75,26160.0
2013-03-08,3.8,3.82,3.7,3.8,10835.0
2013-03-11,3.84,3.96,3.79,3.96,38387.0
2013-03-12,4.0,4.0,3.75,3.93,56718.0
2013-03-13,3.94,4.01,3.89,3.98,17800.0
2013-03-14,4.0,4.0,3.84,3.85,54849.0
2013-03-15,3.85,3.85,3.57,3.58,204499.0
2013-03-18,3.57,3.58,3.45,3.51,23366.0
2013-03-19,3.5,3.53,3.45,3.53,21850.0
2013-03-20,3.55,3.72,3.55,3.71,25350.0
2013-03-21,3.65,3.68,3.61,3.61,6443.0
2013-03-22,3.67,3.68,3.58,3.59,14109.0
2013-03-25,3.57,3.67,3.55,3.64,19162.0
2013-03-26,3.69,3.76,3.61,3.71,3412.0
2013-03-27,3.75,3.8,3.73,3.77,6672.0
2013-03-28,3.8,3.96,3.75,3.96,26850.0
2013-04-01,3.96,4.18,3.91,4.17,161874.0
2013-04-02,4.17,4.19,4.07,4.1,42753.0
2013-04-03,4.11,4.11,3.75,3.94,100989.0
2013-04-04,3.91,4.05,3.84,4.0,40699.0
2013-04-05,4.01,4.02,3.94,3.98,33065.0
2013-04-08,3.98,4.16,3.98,4.08,34775.0
2013-04-09,4.07,4.16,4.04,4.06,27449.0
2013-04-10,4.04,4.16,4.04,4.06,24833.0
2013-04-11,4.1,4.13,4.04,4.07,10089.0
2013-04-12,4.1,4.12,3.93,3.99,16930.0
2013-04-15,3.91,3.93,3.72,3.76,29276.0
2013-04-16,3.77,3.99,3.77,3.98,17331.0
2013-04-17,3.98,3.99,3.82,3.89,15597.0
2013-04-18,3.94,3.94,3.76,3.8,14995.0
2013-04-19,3.73,3.965,3.73,3.925,14904.0
2013-04-22,3.94,4.03,3.94,4.02,30046.0
2013-04-23,4.0,4.03,3.96,3.98,35619.0
2013-04-24,4.01,4.01,3.96,4.0,23993.0
2013-04-25,4.0,4.06,3.75,3.95,55663.0
2013-04-26,3.94,3.99,3.81,3.99,43230.0
2013-04-29,4.04,4.04,3.74,3.8,60434.0
2013-04-30,3.85,3.85,3.68,3.74,38158.0
2013-05-01,3.63,3.7,3.47,3.48,63145.0
2013-05-02,3.45,3.63,3.45,3.62,12220.0
2013-05-03,3.59,3.67,3.59,3.67,14386.0
2013-05-06,3.68,3.72,3.62,3.72,4631.0
2013-05-07,3.61,3.75,3.61,3.75,11448.0
2013-05-08,3.64,3.73,3.59,3.66,23758.0
2013-05-09,3.62,3.62,3.57,3.57,5803.0
2013-05-10,3.6,3.61,3.58,3.58,3246.0
2013-05-13,3.63,3.63,3.52,3.54,32798.0
2013-05-14,3.55,3.55,3.51,3.54,10048.0
2013-05-15,3.55,3.63,3.53,3.55,13417.0
2013-05-16,3.57,3.62,3.55,3.62,11166.0
2013-05-17,3.65,3.68,3.62,3.64,7470.0
2013-05-20,3.65,3.73,3.59,3.67,17832.0
2013-05-21,3.67,3.79,3.53,3.54,20383.0
2013-05-22,3.58,3.73,3.58,3.7,26758.0
2013-05-23,3.67,3.79,3.6,3.78,11702.0
2013-05-24,3.68,3.68,3.59,3.6,26818.0
2013-05-28,3.62,3.62,3.53,3.54,13213.0
2013-05-29,3.5,3.52,3.46,3.5,21847.0
2013-05-30,3.5,3.56,3.48,3.55,17209.0
2013-05-31,3.56,3.56,3.51,3.56,17335.0
2013-06-03,3.51,3.58,3.48,3.49,13702.0
2013-06-04,3.54,3.58,3.47,3.5,18467.0
2013-06-05,3.53,3.53,3.49,3.53,28428.0
2013-06-06,3.47,3.58,3.47,3.57,19776.0
2013-06-07,3.52,3.61,3.52,3.59,18200.0
2013-06-10,3.59,3.83,3.55,3.83,33476.0
2013-06-11,3.8,4.1,3.8,4.05,26913.0
2013-06-12,4.09,4.09,3.86,4.01,30967.0
2013-06-13,4.0,4.06,3.98,4.06,32837.0
2013-06-14,4.01,4.01,3.98,3.99,14928.0
2013-06-17,4.01,4.19,4.0,4.11,21686.0
2013-06-18,4.13,4.13,3.88,4.08,9251.0
2013-06-19,4.02,4.02,3.91,3.99,27897.0
2013-06-20,3.99,3.99,3.73,3.78,21409.0
2013-06-21,3.78,3.98,3.78,3.98,36228.0
2013-06-24,3.9,4.0,3.79,3.98,32475.0
2013-06-25,4.0,4.04,3.925,3.96,51899.0
2013-06-26,4.03,4.03,3.96,3.98,11744.0
2013-06-27,3.97,4.03,3.94,4.03,58973.0
2013-06-28,4.0,4.13,3.91,3.98,1420579.0
2013-07-01,4.05,4.05,3.91,3.98,43924.0
2013-07-02,3.97,4.04,3.91,3.92,57542.0
2013-07-03,3.94,3.98,3.89,3.91,19146.0
2013-07-05,3.99,3.99,3.89,3.95,20205.0
2013-07-08,3.97,3.98,3.86,3.98,27787.0
2013-07-09,3.99,3.99,3.61,3.7,89479.0
2013-07-10,3.69,3.69,2.99,3.03,248728.0
2013-07-11,3.1,3.14,3.02,3.1,112090.0
2013-07-12,3.11,3.25,3.11,3.23,74849.0
2013-07-15,3.24,3.39,3.16,3.36,38683.0
2013-07-16,3.32,3.35,3.21,3.34,38620.0
2013-07-17,3.32,3.32,3.18,3.22,28713.0
2013-07-18,3.19,3.2,3.11,3.2,26212.0
2013-07-19,3.2,3.24,3.2,3.22,35878.0
2013-07-22,3.18,3.24,3.12,3.24,51357.0
2013-07-23,3.26,3.41,3.23,3.39,67905.0
2013-07-24,3.42,3.42,3.2,3.37,40577.0
2013-07-25,3.35,3.35,3.25,3.35,36956.0
2013-07-26,3.32,3.33,3.16,3.24,43593.0
2013-07-29,3.24,3.24,3.03,3.08,50818.0
2013-07-30,3.11,3.15,3.02,3.06,43922.0
2013-07-31,3.0,3.0,2.76,2.84,105439.0
2013-08-01,2.85,2.92,2.835,2.84,45586.0
2013-08-02,2.79,2.86,2.43,2.64,82647.0
2013-08-05,2.59,2.74,2.54,2.74,27902.0
2013-08-06,2.7,2.86,2.66,2.82,54275.0
