Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-07-01,6.0,6.38,6.0,6.05,1465673.0
2014-07-02,6.1,6.1,6.0,6.0,113550.0
2014-07-03,6.03,6.21,6.0,6.13,28088.0
2014-07-07,6.24,6.24,5.75,5.9,84340.0
2014-07-08,5.8,6.06,5.8,5.97,27645.0
2014-07-09,5.93,6.03,5.93,5.93,8086.0
2014-07-10,5.85,7.45,5.8,6.68,134837.0
2014-07-11,7.0,7.13,6.42,6.61,51699.0
2014-07-14,6.61,7.0,6.43,6.8,20989.0
2014-07-15,6.8,6.8,5.75,5.85,79036.0
2014-07-16,5.9,6.09,5.61,6.09,25731.0
2014-07-17,6.0,6.4,5.85,6.35,23299.0
2014-07-18,6.35,6.4,6.15,6.4,12695.0
2014-07-21,6.4,6.4,6.11,6.33,8249.0
2014-07-22,6.32,6.32,6.05,6.15,17893.0
2014-07-23,6.26,6.26,6.07,6.1,7870.0
2014-07-24,6.1,6.7,6.1,6.56,29219.0
2014-07-25,6.28,6.85,6.28,6.78,49502.0
2014-07-28,6.99,7.79,6.82,7.53,90374.0
2014-07-29,7.9,7.9,7.15,7.19,29032.0
2014-07-30,7.03,7.06,6.51,6.53,19415.0
2014-07-31,6.5,6.85,6.15,6.31,20583.0
2014-08-01,6.31,6.31,6.15,6.26,13405.0
2014-08-04,6.74,6.74,6.3,6.63,14893.0
2014-08-05,6.45,6.8,6.22,6.24,5910.0
2014-08-06,6.15,6.82,6.15,6.82,18374.0
2014-08-07,6.85,7.0,6.85,7.0,32903.0
2014-08-08,6.26,6.83,6.26,6.51,6931.0
2014-08-11,6.55,6.83,6.54,6.54,6451.0
2014-08-12,6.77,7.09,6.73,6.975,21096.0
2014-08-13,7.02,7.02,6.82,6.86,731.0
2014-08-14,6.99,7.42,6.9,6.99,20214.0
2014-08-15,7.28,7.32,6.88,7.26,16748.0
2014-08-18,7.15,7.15,6.97,6.97,2106.0
2014-08-19,7.15,7.15,6.86,6.96,8150.0
2014-08-20,6.83,6.9,6.71,6.71,6568.0
2014-08-21,6.75,6.89,6.7,6.75,2410.0
2014-08-22,6.91,6.91,6.75,6.75,2597.0
2014-08-25,6.83,6.83,6.68,6.75,3114.0
2014-08-26,6.66,6.83,6.66,6.8,12221.0
2014-08-27,6.83,7.1,6.82,6.93,9284.0
2014-08-28,6.99,7.09,6.74,6.94,6885.0
2014-08-29,7.1,7.1,6.87,7.08,6349.0
2014-09-02,6.99,7.12,6.95,7.1,8068.0
2014-09-03,7.2,7.29,6.91,7.06,10596.0
2014-09-04,7.15,7.17,6.99,7.14,6603.0
2014-09-05,7.24,7.24,6.78,7.01,8074.0
2014-09-08,7.21,7.49,7.06,7.48,11204.0
2014-09-09,7.36,7.68,7.36,7.63,8922.0
2014-09-10,7.83,7.83,7.47,7.65,7284.0
2014-09-11,7.51,7.65,7.1,7.5,10890.0
2014-09-12,7.37,7.78,7.25,7.57,6331.0
2014-09-15,7.52,7.69,7.18,7.69,9533.0
2014-09-16,7.42,7.47,7.15,7.29,8242.0
2014-09-17,7.19,7.48,6.98,6.98,6326.0
2014-09-18,7.19,7.19,6.6,6.6,18247.0
2014-09-19,6.6,6.65,6.2,6.21,35663.0
2014-09-22,6.25,6.34,5.8,5.8,16748.0
2014-09-23,5.82,6.13,5.8,5.97,6708.0
2014-09-24,5.95,6.0,5.76,5.8,7840.0
2014-09-25,5.8,5.9,5.8,5.83,1607.0
2014-09-26,5.8,5.93,5.8,5.86,2326.0
2014-09-29,5.87,6.01,5.83,6.01,2263.0
2014-09-30,6.04,6.05,6.01,6.05,3318.0
2014-10-01,6.07,6.25,6.07,6.07,4381.0
2014-10-02,6.22,6.22,6.0,6.06,1569.0
2014-10-03,6.1,6.23,6.1,6.23,330.0
2014-10-06,6.08,6.12,6.05,6.11,2959.0
2014-10-07,6.21,6.21,5.85,5.85,4817.0
2014-10-08,5.85,5.85,5.3,5.38,13062.0
2014-10-09,5.46,5.49,4.96,5.1,5273.0
2014-10-10,5.2,5.2,4.39,4.56,10087.0
2014-10-13,4.52,4.67,4.34,4.67,4918.0
2014-10-14,4.45,4.54,4.43,4.44,5674.0
2014-10-15,4.45,4.5,4.12,4.32,3411.0
2014-10-16,4.31,4.68,4.29,4.57,4912.0
2014-10-17,4.65,4.83,4.47,4.48,4014.0
2014-10-20,4.42,4.68,4.25,4.25,6636.0
2014-10-21,4.4,4.57,4.3,4.57,3179.0
2014-10-22,4.81,4.84,4.36,4.36,3985.0
2014-10-23,4.49,4.58,4.39,4.39,3027.0
2014-10-24,4.38,4.55,4.38,4.43,1025.0
2014-10-27,4.4,4.61,4.38,4.45,1200.0
2014-10-28,4.48,4.63,4.45,4.51,1601.0
2014-10-29,4.53,4.65,4.41,4.46,4298.0
2014-10-30,4.49,4.55,4.36,4.36,2900.0
