Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-07-28,7.32,9.75,7.32,8.93,72229.0
2017-07-31,9.03,9.14,8.52,8.66,26840.0
2017-08-01,8.5,8.57,7.85,7.85,13467.0
2017-08-02,7.9,8.08,7.45,8.0,9197.0
2017-08-03,8.05,10.6,8.05,10.59,27749.0
2017-08-04,10.5,10.5,8.82,9.01,14288.0
2017-08-07,9.37,9.88,8.69,9.88,8340.0
2017-08-08,10.0,10.14,9.08,9.2,12768.0
2017-08-09,9.19,9.77,8.67,9.77,10158.0
2017-08-10,9.95,9.95,8.77,8.88,17752.0
2017-08-11,8.7,8.9,8.19,8.9,12126.0
2017-08-14,8.62,10.0,8.2,9.7,23882.0
2017-08-15,9.6,9.6,9.05,9.05,6322.0
2017-08-16,8.71,9.56,8.71,9.19,22120.0
2017-08-17,9.3,11.55,9.3,11.0,53318.0
2017-08-18,10.95,10.95,10.2,10.79,14129.0
2017-08-21,10.3,11.5,10.25,11.36,11949.0
2017-08-22,11.36,11.7,11.17,11.27,29582.0
2017-08-23,11.2,11.37,10.7,10.95,13366.0
2017-08-24,11.0,11.3,9.85,10.03,28111.0
2017-08-25,10.4,10.4,9.57,9.76,63322.0
2017-08-28,9.82,9.99,9.71,9.79,61560.0
2017-08-29,9.65,9.65,8.98,9.2,19838.0
2017-08-30,9.19,9.2,8.89,9.1,8946.0
2017-08-31,9.1,9.1,8.82,8.85,9464.0
2017-09-01,9.0,9.0,8.6,8.71,16700.0
2017-09-05,8.71,8.71,8.44,8.56,2606.0
2017-09-06,8.5,8.56,8.14,8.23,25814.0
2017-09-07,8.01,8.16,7.88,8.07,20400.0
2017-09-08,8.1,8.14,7.8,8.03,29529.0
2017-09-11,7.82,8.97,7.82,8.97,13622.0
2017-09-12,8.97,9.81,8.63,9.21,28329.0
2017-09-13,9.6,9.6,8.82,8.82,11195.0
2017-09-14,8.8,8.8,8.2,8.26,25903.0
2017-09-15,8.35,8.41,7.93,8.27,38562.0
2017-09-18,8.25,8.56,8.1,8.39,17140.0
2017-09-19,8.14,8.73,8.14,8.59,22453.0
2017-09-20,8.56,9.78,8.3,9.61,79298.0
2017-09-21,9.75,10.98,9.5,9.5,79756.0
2017-09-22,9.57,9.98,8.63,8.63,38342.0
2017-09-25,8.7,8.7,8.12,8.68,39537.0
2017-09-26,8.6,8.6,8.16,8.3,65698.0
2017-09-27,8.24,9.16,8.15,9.11,79367.0
2017-09-28,9.48,9.6,8.9,8.9,47539.0
2017-09-29,9.1,9.18,8.62,8.62,36771.0
2017-10-02,8.6,8.66,8.28,8.55,46361.0
2017-10-03,8.5,8.5,8.33,8.4,14040.0
2017-10-04,8.51,8.7,8.34,8.65,52004.0
2017-10-05,8.71,9.25,8.35,8.47,53312.0
2017-10-06,8.62,8.75,8.54,8.54,55049.0
2017-10-09,8.52,8.63,8.44,8.57,43403.0
2017-10-10,8.55,8.89,8.51,8.77,22370.0
2017-10-11,8.58,9.27,8.58,8.98,55439.0
2017-10-12,8.97,9.58,8.91,9.47,32229.0
2017-10-13,9.7,9.9,9.3,9.54,37888.0
2017-10-16,9.52,9.52,8.76,9.13,28101.0
2017-10-17,9.03,9.31,9.03,9.16,16885.0
2017-10-18,9.12,9.56,9.1,9.42,25904.0
2017-10-19,9.32,9.61,9.2,9.46,19844.0
2017-10-20,9.37,10.5,9.37,10.3,64490.0
2017-10-23,10.36,10.6,9.675,9.77,30209.0
2017-10-24,9.81,9.86,9.39,9.6,15154.0
2017-10-25,9.56,10.26,9.56,10.26,12063.0
2017-10-26,9.96,11.44,9.96,11.25,24347.0
2017-10-27,11.01,13.95,11.01,13.62,64254.0
2017-10-30,13.62,14.36,12.83,14.24,56043.0
2017-10-31,14.02,14.86,13.6,13.77,30441.0
2017-11-01,13.67,14.95,13.67,14.36,51450.0
2017-11-02,14.2,15.2,14.0,14.57,54295.0
2017-11-03,14.75,15.7,14.33,15.57,44032.0
2017-11-06,15.8,16.2,15.0,15.19,34999.0
2017-11-07,14.92,15.64,12.22,12.22,37972.0
2017-11-08,12.04,13.12,11.6,12.52,21352.0
2017-11-09,12.81,14.22,12.54,13.54,57688.0
2017-11-10,13.78,14.1,12.55,12.79,34589.0
2017-11-13,12.89,14.22,12.67,13.93,16578.0
2017-11-14,14.15,14.97,12.77,12.77,32756.0
2017-11-15,12.8,14.2,12.64,12.64,37271.0
2017-11-16,12.76,13.24,12.65,12.76,15047.0
2017-11-17,13.0,13.15,10.65,10.65,19966.0
2017-11-20,10.55,11.35,10.34,10.86,37151.0
2017-11-21,10.72,10.72,9.73,9.91,36507.0
2017-11-22,10.05,10.19,9.64,9.78,16822.0
2017-11-24,9.61,9.77,9.58,9.74,8866.0
2017-11-27,9.6,9.6,8.67,8.68,31797.0
2017-11-28,8.72,9.96,8.66,9.96,59220.0
2017-11-29,10.05,10.73,9.12,9.35,38015.0
2017-11-30,9.16,9.33,8.97,9.09,10164.0
2017-12-01,9.16,9.84,8.9,9.78,23175.0
2017-12-04,9.82,10.6,9.7,10.39,26504.0
2017-12-05,10.21,10.35,9.54,9.9,18691.0
2017-12-06,9.77,11.32,9.77,11.32,38927.0
2017-12-07,10.91,12.1,10.91,11.78,40294.0
2017-12-08,11.65,12.64,11.5,12.14,48395.0
2017-12-11,12.35,12.7,11.8,12.06,24109.0
2017-12-12,12.2,13.33,12.2,13.15,129968.0
2017-12-13,13.15,14.1,12.11,12.2,89990.0
2017-12-14,12.41,13.2,10.385,10.53,96185.0
2017-12-15,10.51,10.51,8.64,8.77,95346.0
2017-12-18,8.84,9.66,7.98,9.36,162777.0
2017-12-19,9.36,9.89,8.77,9.61,78778.0
2017-12-20,9.53,9.75,9.15,9.58,66058.0
2017-12-21,9.43,9.73,8.62,8.81,60924.0
2017-12-22,8.85,8.85,8.43,8.58,25944.0
2017-12-26,8.75,9.03,8.58,9.03,18683.0
2017-12-27,9.09,9.84,9.09,9.84,30987.0
2017-12-28,9.79,10.2,9.31,10.12,52707.0
2017-12-29,10.01,10.04,9.16,9.39,65088.0
2018-01-02,9.33,9.45,8.91,9.1,19270.0
2018-01-03,9.05,9.33,8.9,9.29,59275.0
2018-01-04,9.0,9.51,8.87,9.51,24824.0
2018-01-05,9.65,11.78,9.23,11.29,71151.0
2018-01-08,11.25,11.29,10.32,10.65,40576.0
2018-01-09,11.22,11.79,10.65,11.66,49893.0
2018-01-10,11.56,12.41,11.56,12.17,24315.0
2018-01-11,12.33,13.5,12.13,13.5,26511.0
2018-01-12,13.88,13.97,12.3,13.0,41271.0
2018-01-16,13.47,16.57,13.47,15.8,91865.0
2018-01-17,20.6,21.0,11.82,11.99,266861.0
2018-01-18,11.99,11.99,10.14,10.66,177407.0
2018-01-19,10.92,11.65,10.45,11.15,64336.0
2018-01-22,11.35,11.35,10.7,11.09,14170.0
2018-01-23,10.8,10.81,10.22,10.4,9271.0
2018-01-24,10.58,11.45,10.5,11.45,5733.0
2018-01-25,11.43,12.4,11.43,11.99,19380.0
2018-01-26,11.84,11.84,10.925,11.22,7927.0
2018-01-29,11.3,11.3,10.62,10.78,4812.0
2018-01-30,10.72,10.8,10.4,10.53,1251.0
2018-01-31,10.5,11.19,10.5,10.99,8174.0
2018-02-01,10.81,11.62,10.33,10.44,11202.0
2018-02-02,10.63,11.46,10.2,10.98,6491.0
2018-02-05,11.15,12.04,11.0,11.85,27489.0
2018-02-06,11.9,12.89,11.71,12.66,32062.0
2018-02-07,12.33,13.5,12.18,12.97,21663.0
2018-02-08,12.89,13.4,12.2,12.85,23701.0
2018-02-09,12.72,13.29,12.7,12.97,23708.0
2018-02-12,13.23,13.59,12.38,12.4,21999.0
2018-02-13,12.55,12.95,11.55,11.55,17529.0
2018-02-14,12.08,13.15,12.08,12.62,10499.0
2018-02-15,12.83,12.85,12.32,12.52,12774.0
2018-02-16,12.91,12.91,12.41,12.41,10881.0
2018-02-20,12.4,12.63,12.24,12.35,24107.0
2018-02-21,12.33,12.33,11.4,11.45,21879.0
2018-02-22,11.5,12.3,11.4,11.83,61410.0
2018-02-23,11.71,13.05,11.71,13.0,47659.0
2018-02-26,12.9,12.93,12.26,12.38,69220.0
2018-02-27,12.36,12.94,12.31,12.71,83493.0
2018-02-28,12.7,12.8,12.28,12.8,124388.0
2018-03-01,12.75,13.85,12.75,13.44,95305.0
2018-03-02,13.4,13.75,12.65,13.5,95378.0
2018-03-05,13.2,13.6,12.78,13.32,105157.0
2018-03-06,13.09,13.09,12.5,12.64,125924.0
2018-03-07,12.58,13.8,12.51,13.8,103484.0
2018-03-08,13.7,15.5,13.53,15.5,100830.0
2018-03-09,15.34,16.2,15.16,15.35,90581.0
2018-03-12,15.25,15.9,14.71,15.38,88097.0
2018-03-13,15.48,16.79,15.2,16.39,145843.0
2018-03-14,16.96,16.96,16.05,16.32,100811.0
2018-03-15,16.49,17.21,16.15,17.11,93749.0
2018-03-16,17.15,17.73,16.93,17.41,103962.0
2018-03-19,17.33,18.86,17.33,18.21,63711.0
