Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-08-15,9.85,9.85,9.85,9.85,3.0
2019-08-16,9.76,9.76,9.76,9.76,1600.0
2019-08-21,9.78,9.78,9.77,9.77,15100.0
2019-08-27,9.77,9.77,9.77,9.77,4305.0
2019-08-28,9.78,9.8,9.78,9.78,101850.0
2019-08-29,9.78,9.79,9.78,9.78,51100.0
2019-08-30,9.78,9.78,9.78,9.78,50000.0
2019-09-03,9.81,9.81,9.77,9.77,2100.0
2019-09-05,9.8,9.8,9.78,9.78,99100.0
2019-09-06,9.8,9.8,9.8,9.8,100.0
2019-09-12,9.8,9.8,9.8,9.8,5400.0
2019-09-20,9.82,9.85,9.82,9.85,2000.0
2019-09-23,9.85,9.85,9.85,9.85,1.0
2019-09-27,9.82,9.82,9.82,9.82,200.0
2019-10-01,9.8,9.8,9.8,9.8,200.0
2019-10-03,9.8,9.8,9.8,9.8,4400.0
2019-10-07,9.8,9.81,9.8,9.81,10200.0
2019-10-08,9.83,9.83,9.83,9.83,1.0
2019-10-09,9.82,9.82,9.8,9.8,33600.0
2019-10-10,9.82,9.82,9.82,9.82,1200.0
2019-10-14,9.67,9.67,9.67,9.67,1.0
2019-10-15,9.8,9.8,9.8,9.8,4700.0
2019-10-17,9.8,9.8,9.8,9.8,16199.0
2019-10-18,9.8,9.83,9.8,9.83,12570.0
2019-10-21,9.84,9.84,9.84,9.84,2.0
2019-10-22,9.85,9.85,9.85,9.85,500.0
2019-10-24,9.82,9.83,9.82,9.83,1100.0
2019-10-25,9.83,9.85,9.82,9.85,2600.0
2019-10-28,9.82,9.82,9.81,9.81,8100.0
2019-10-29,9.83,9.83,9.82,9.82,1102.0
2019-10-30,9.83,9.83,9.83,9.83,19000.0
2019-10-31,9.84,9.85,9.84,9.85,421.0
2019-11-01,9.85,9.85,9.85,9.85,100.0
2019-11-04,9.85,9.85,9.85,9.85,33050.0
2019-11-05,9.85,9.85,9.83,9.84,107885.0
2019-11-07,9.86,9.86,9.84,9.84,151.0
2019-11-08,9.84,9.84,9.84,9.84,28000.0
2019-11-13,9.85,9.86,9.85,9.86,47399.0
2019-11-14,9.87,9.87,9.87,9.87,2.0
2019-11-15,9.85,9.85,9.85,9.85,300.0
2019-11-18,9.85,9.85,9.85,9.85,2.0
2019-11-19,9.85,9.85,9.85,9.85,21100.0
2019-11-20,9.87,9.87,9.87,9.87,2.0
2019-11-25,9.85,9.89,9.85,9.85,425.0
2019-12-05,9.87,9.89,9.87,9.89,26200.0
2019-12-10,9.85,9.85,9.85,9.85,10000.0
2019-12-11,9.9,9.9,9.9,9.9,2104.0
2019-12-12,9.9,9.9,9.89,9.89,33896.0
2019-12-16,9.92,9.92,9.92,9.92,1000.0
2019-12-18,9.94,9.94,9.92,9.92,25205.0
2019-12-19,9.9,9.9,9.88,9.88,49950.0
2019-12-20,9.94,9.94,9.94,9.94,50.0
2019-12-31,9.92,9.95,9.92,9.95,2300.0
