Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-07-02,22.1,24.35,21.58,22.74,5138562.0
2015-07-06,22.0,23.24,21.72,22.0,162168.0
2015-07-07,21.79,22.5,21.68,22.0,90527.0
2015-07-08,22.65,22.65,21.0,21.47,70419.0
2015-07-09,21.58,22.04,21.06,21.25,51455.0
2015-07-10,21.78,21.9,21.17,21.75,24900.0
2015-07-13,21.94,21.95,21.06,21.09,70365.0
2015-07-14,20.95,21.0,20.18,20.68,106632.0
2015-07-15,20.5,20.62,20.14,20.53,63955.0
2015-07-16,20.53,22.08,20.11,21.88,66728.0
2015-07-17,22.1,22.1,20.7,20.88,43684.0
2015-07-20,21.08,22.295,20.87,21.43,60875.0
2015-07-21,21.2,21.32,20.33,20.6,44793.0
2015-07-22,20.18,20.98,20.18,20.77,43130.0
2015-07-23,20.74,21.07,20.31,20.42,20400.0
2015-07-24,20.66,20.66,19.05,19.22,98380.0
2015-07-27,18.77,18.88,17.69,18.0,212722.0
2015-07-28,18.0,18.11,17.82,18.04,114626.0
2015-07-29,18.0,18.64,18.0,18.21,86675.0
2015-07-30,18.0,18.21,18.0,18.13,52101.0
2015-07-31,18.08,18.44,18.01,18.09,9847.0
2015-08-03,17.91,17.91,15.95,16.86,87162.0
2015-08-04,17.06,17.3,16.6,17.2,28310.0
2015-08-05,17.25,17.64,16.48,17.49,14926.0
2015-08-06,17.5,18.5,17.5,17.83,22140.0
2015-08-07,17.94,17.94,16.78,17.06,35180.0
2015-08-10,17.18,17.37,16.36,17.16,31877.0
2015-08-11,17.03,17.03,16.48,16.67,6054.0
2015-08-12,16.52,16.52,15.85,16.35,36910.0
2015-08-13,15.99,15.99,14.21,15.56,58314.0
2015-08-14,16.06,17.47,15.71,15.76,72056.0
2015-08-17,15.58,16.88,15.0,15.23,31162.0
2015-08-18,15.19,15.85,14.7,15.58,34427.0
2015-08-19,15.45,15.45,14.39,14.72,35676.0
2015-08-20,14.63,14.83,14.13,14.34,41072.0
2015-08-21,14.02,14.47,13.58,14.22,59230.0
2015-08-24,13.65,14.75,13.65,14.27,31111.0
2015-08-25,14.68,14.79,14.18,14.35,17892.0
2015-08-26,14.8,15.16,14.45,15.16,14649.0
2015-08-27,15.33,15.89,14.83,15.34,38092.0
2015-08-28,15.33,16.19,15.33,15.99,26121.0
2015-08-31,15.98,16.28,15.65,15.82,9161.0
2015-09-01,15.59,15.94,15.56,15.76,17570.0
2015-09-02,15.85,15.93,15.0,15.31,27542.0
2015-09-03,15.4,15.75,15.29,15.3,15585.0
2015-09-04,15.14,15.56,15.11,15.26,10198.0
2015-09-08,15.44,16.06,15.44,15.85,24722.0
2015-09-09,15.98,16.03,15.59,15.72,14318.0
2015-09-10,15.69,16.09,15.57,15.95,21292.0
2015-09-11,15.87,16.26,15.87,16.26,17087.0
2015-09-14,16.23,16.44,15.9,16.01,12213.0
2015-09-15,16.01,16.61,15.78,16.52,18111.0
2015-09-16,16.58,16.58,15.45,15.77,43309.0
2015-09-17,15.78,16.06,15.65,15.8,22210.0
2015-09-18,15.66,16.21,15.05,15.13,579584.0
2015-09-21,15.31,15.37,14.14,14.44,72725.0
2015-09-22,14.37,14.44,13.09,13.15,96095.0
2015-09-23,13.21,13.86,12.77,12.94,33872.0
2015-09-24,12.93,13.95,12.93,13.82,41196.0
2015-09-25,13.9,13.98,12.69,12.94,35201.0
2015-09-28,13.19,13.19,11.75,12.21,79033.0
2015-09-29,12.21,13.16,10.9,11.1,93608.0
2015-09-30,11.26,11.57,10.25,10.85,721838.0
2015-10-01,10.9,11.0,9.96,10.36,76692.0
2015-10-02,10.26,10.26,9.63,9.74,127070.0
2015-10-05,9.87,9.87,9.17,9.44,87480.0
2015-10-06,9.4,10.15,9.22,9.33,63709.0
2015-10-07,9.44,9.6,9.09,9.24,95722.0
2015-10-08,9.25,9.415,9.0,9.4,53910.0
2015-10-09,9.4,9.88,9.3,9.48,74514.0
2015-10-12,9.47,10.07,8.97,9.2,63629.0
2015-10-13,9.25,9.25,9.02,9.14,26143.0
2015-10-14,9.15,9.18,8.92,8.92,33154.0
2015-10-15,8.95,9.29,8.81,9.18,30430.0
2015-10-16,9.21,9.32,8.53,8.6,37550.0
2015-10-19,8.62,8.87,8.29,8.54,22362.0
2015-10-20,8.49,8.49,8.05,8.25,15011.0
2015-10-21,8.26,8.26,7.88,8.06,29423.0
2015-10-22,8.08,8.19,7.91,8.05,31607.0
2015-10-23,8.25,8.99,7.87,8.55,52364.0
2015-10-26,8.5,8.71,8.35,8.5,25774.0
2015-10-27,8.49,8.65,8.32,8.63,14413.0
2015-10-28,8.63,8.99,8.46,8.99,30803.0
2015-10-29,8.96,9.15,8.67,8.76,25908.0
2015-10-30,8.8,8.8,8.08,8.25,48910.0
2015-11-02,8.3,8.71,8.24,8.5,25491.0
