Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2003-01-23,8.5,8.6,8.4,8.5,3600.0
2003-01-28,8.0,8.0,7.76,7.76,900.0
2003-01-29,7.77,7.77,7.77,7.77,800.0
2003-01-30,7.77,7.77,7.65,7.65,2200.0
2003-01-31,7.55,7.55,7.55,7.55,800.0
2003-02-06,7.5,7.65,5.0,7.1,11400.0
2003-02-07,7.1,7.101,7.0,7.0,1600.0
2003-02-10,7.1,7.11,7.1,7.11,800.0
2003-02-13,7.111,7.111,7.111,7.111,200.0
2003-02-14,7.11,7.11,7.0,7.0,800.0
2003-02-18,7.19,7.19,7.0,7.0,1100.0
2003-02-19,7.19,7.19,7.19,7.19,200.0
2003-02-20,7.07,7.07,7.07,7.07,100.0
2003-02-21,7.0,7.0,7.0,7.0,100.0
2003-02-24,7.0,7.0,7.0,7.0,300.0
2003-02-26,7.0,7.0,7.0,7.0,1200.0
2003-02-27,7.0,7.0,7.0,7.0,400.0
2003-02-28,7.0,7.05,7.0,7.04,2500.0
2003-03-03,7.03,7.03,7.0,7.0,800.0
2003-03-04,7.0,7.03,7.0,7.0,500.0
2003-03-05,7.04,7.04,7.04,7.04,100.0
2003-03-06,7.04,7.04,7.04,7.04,100.0
2003-03-07,7.03,7.03,7.0,7.0,2500.0
2003-03-10,7.0,7.01,7.0,7.01,2200.0
2003-03-11,7.19,7.19,7.0,7.0,1200.0
2003-03-12,7.05,7.05,7.05,7.05,100.0
2003-03-17,7.2,7.2,7.0,7.0,900.0
2003-03-19,7.15,7.15,7.0,7.0,400.0
2003-03-20,,,,,100.0
2003-03-21,7.11,7.11,7.0,7.11,1300.0
2003-03-24,7.0,7.0,7.0,7.0,200.0
2003-03-25,7.03,7.03,7.03,7.03,400.0
2003-03-26,7.03,7.03,7.03,7.03,100.0
2003-03-27,,,,,200.0
2003-04-01,7.0,7.0,7.0,7.0,200.0
2003-04-03,7.0,7.0,7.0,7.0,2000.0
2003-04-04,6.93,6.93,6.93,6.93,200.0
2003-04-07,6.55,6.79,6.55,6.79,200.0
2003-04-08,6.6,6.8,6.6,6.61,900.0
2003-04-09,6.6,6.6,6.5,6.5,3100.0
2003-04-14,6.5,6.5,6.5,6.5,3100.0
2003-04-15,6.6,6.6,6.6,6.6,1100.0
2003-04-16,6.6,6.6,6.5,6.5,300.0
2003-04-21,6.6,6.6,6.6,6.6,1100.0
2003-04-23,6.55,6.55,6.5,6.5,1300.0
2003-04-25,6.8,6.8,6.8,6.8,200.0
2003-04-28,6.6,6.6,6.55,6.55,1000.0
2003-04-29,6.56,6.56,6.56,6.56,200.0
2003-04-30,6.75,6.75,6.75,6.75,300.0
2003-05-01,6.56,6.56,6.5,6.5,1800.0
2003-05-02,6.5,6.5,6.5,6.5,1500.0
2003-05-05,6.5,6.5,6.5,6.5,3000.0
2003-05-06,6.75,6.75,6.75,6.75,200.0
2003-05-07,6.75,6.75,6.7,6.7,500.0
2003-05-08,6.5,6.65,6.31,6.31,2700.0
2003-05-12,6.37,6.37,6.2,6.2,1300.0
2003-05-14,6.21,6.3,6.21,6.3,1300.0
2003-05-15,6.2,6.2,6.0,6.0,2900.0
2003-05-16,6.0,6.0,6.0,6.0,700.0
2003-05-19,6.55,6.55,5.9,6.0,4900.0
2003-05-20,6.0,6.1,5.99,6.1,30100.0
2003-05-21,6.0,6.0,6.0,6.0,1200.0
2003-05-22,6.0,6.0,5.75,5.86,4700.0
2003-05-23,6.0,6.1,6.0,6.05,4800.0
2003-05-27,6.25,6.25,6.1,6.25,9300.0
2003-05-28,6.1,6.1,6.1,6.1,100.0
2003-05-29,6.25,6.25,6.25,6.25,100.0
2003-05-30,6.5,6.5,6.5,6.5,200.0
2003-06-02,6.7,7.08,6.6,6.98,11800.0
2003-06-03,6.48,7.3,6.48,7.3,16100.0
2003-06-04,7.099,7.5,7.099,7.16,8400.0
2003-06-05,7.3,7.3,7.16,7.16,14700.0
2003-06-06,7.2,8.75,7.2,8.399,23800.0
2003-06-09,8.4,8.43,8.0,8.3,8500.0
2003-06-10,8.5,16.05,8.5,12.0,80700.0
2003-06-11,12.75,14.9,11.95,12.77,58200.0
2003-06-12,12.78,13.55,12.15,12.7,28300.0
2003-06-13,13.0,13.4,12.72,13.06,10400.0
2003-06-16,14.0,14.78,14.0,14.24,24300.0
2003-06-17,14.51,15.972,13.85,15.3,29800.0
2003-06-18,15.97,15.97,14.75,15.1,11500.0
2003-06-19,14.8,14.88,13.2,14.05,12000.0
2003-06-20,14.2,14.89,13.56,14.3,14600.0
2003-06-23,15.1,18.0,14.959,16.479,29300.0
2003-06-24,16.6,17.5,16.4,17.49,13900.0
2003-06-25,17.5,20.2,17.2,19.8,75500.0
2003-06-26,20.0,21.0,18.0,20.199,50000.0
2003-06-27,20.3,20.3,18.05,18.311,51000.0
2003-06-30,18.95,20.0,18.25,19.55,21400.0
2003-07-01,19.5,19.96,18.799,19.0,11400.0
2003-07-02,18.1,19.38,17.65,18.27,19900.0
2003-07-03,17.99,17.99,17.21,17.75,6900.0
2003-07-07,17.47,18.0,17.47,18.0,14100.0
2003-07-08,16.9,19.0,16.9,18.8,22000.0
2003-07-09,19.2,22.0,19.01,20.801,38400.0
2003-07-10,22.0,22.0,21.17,21.419,9700.0
2003-07-11,22.0,24.4,21.98,24.4,32100.0
2003-07-14,24.5,27.89,23.0,26.0,43300.0
2003-07-15,26.3,26.3,25.0,25.65,14000.0
2003-07-16,25.6,25.75,22.6,25.0,20200.0
2003-07-17,23.61,24.75,23.5,23.7,17500.0
2003-07-18,25.5,25.75,23.57,24.85,20400.0
2003-07-21,27.3,28.7,26.3,27.54,111200.0
2003-07-22,27.28,27.7,26.0,26.35,65000.0
2003-07-23,26.08,26.08,24.43,24.66,62800.0
2003-07-24,24.2,24.2,21.5,21.53,59400.0
2003-07-25,21.01,22.25,20.5,21.929,52100.0
2003-07-28,22.0,22.89,21.5,21.9,71900.0
2003-07-29,22.2,22.3,21.691,21.98,26500.0
2003-07-30,22.1,22.1,21.5,21.679,7800.0
2003-07-31,21.68,22.68,21.34,22.67,29300.0
2003-08-01,22.67,23.659,22.43,23.599,34500.0
2003-08-04,23.6,23.6,21.75,22.38,31600.0
2003-08-05,22.5,22.75,21.01,22.0,40700.0
2003-08-06,21.25,21.5,19.6,19.999,33800.0
2003-08-07,20.3,20.35,18.56,19.75,39700.0
2003-08-08,19.75,19.9,19.27,19.7,9800.0
2003-08-11,19.76,19.76,17.39,18.5,34300.0
2003-08-12,18.5,18.54,17.6,17.96,25200.0
2003-08-13,17.9,18.2,15.85,17.8,86300.0
2003-08-14,18.0,19.2,17.68,18.05,52600.0
2003-08-15,18.3,18.9,18.24,18.7,26500.0
2003-08-18,18.7,19.25,18.3,19.05,39300.0
2003-08-19,19.6,19.6,19.1,19.35,41300.0
2003-08-20,19.45,20.8,19.0,20.21,78000.0
2003-08-21,20.3,25.3,20.0,24.199,304500.0
2003-08-22,25.9,26.0,22.6,22.89,263600.0
2003-08-25,23.0,23.0,21.03,22.26,185300.0
2003-08-26,23.48,26.75,22.4,26.51,160000.0
2003-08-27,27.11,32.18,26.76,31.87,473100.0
2003-08-28,31.35,32.1,29.55,30.9,204000.0
2003-08-29,32.15,39.2,31.02,38.34,722300.0
2003-09-02,41.4,44.96,38.55,40.2,899800.0
2003-09-03,41.85,41.87,31.91,32.15,1814000.0
2003-09-04,31.0,33.4,29.25,31.0,1005200.0
2003-09-05,31.03,33.4,30.4,32.4,408500.0
2003-09-08,28.5,31.19,27.7,30.37,405600.0
2003-09-09,29.5,34.0,29.5,31.95,349300.0
2003-09-10,33.0,35.0,32.25,32.62,187500.0
2003-09-11,33.0,34.0,32.68,32.9,170800.0
2003-09-12,33.75,38.96,33.2,38.59,676000.0
2003-09-15,40.39,44.1,39.64,44.0,774800.0
2003-09-16,45.57,47.4,40.41,42.3,1277400.0
2003-09-17,41.98,45.2,40.61,41.5,1210400.0
2003-09-18,41.9,43.15,39.8,40.19,572000.0
2003-09-19,39.7,41.74,39.7,40.12,368700.0
2003-09-22,38.2,40.0,37.4,39.36,310500.0
2003-09-23,40.1,42.9,39.26,42.31,427600.0
2003-09-24,44.6,44.75,39.75,39.85,568800.0
2003-09-25,41.4,41.6,35.77,37.5,471800.0
2003-09-26,37.52,38.489,34.63,35.25,332700.0
2003-09-29,35.76,37.95,33.51,35.86,278600.0
2003-09-30,35.63,36.39,33.8,34.39,268700.0
2003-10-01,34.39,35.5,33.25,33.621,146400.0
2003-10-02,33.29,34.18,30.87,32.0,351000.0
2003-10-03,35.1,36.589,33.41,35.45,455800.0
2003-10-06,36.88,38.95,36.3,38.95,460600.0
2003-10-07,39.15,39.83,37.66,38.8,291900.0
