Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2000-07-13,18.65625,19.75,18.5,19.0,24600.0
2000-07-14,19.21875,19.25,18.5,19.0,3600.0
2000-07-17,19.0625,19.0625,18.375,18.5,25000.0
2000-07-18,18.0,18.25,15.875,16.625,47900.0
2000-07-19,16.75,16.875,16.125,16.625,25500.0
2000-07-20,16.875,16.875,15.9375,15.9375,9800.0
2000-07-21,15.9375,16.25,15.9375,16.1875,16000.0
2000-07-24,16.375,16.375,15.375,15.375,19300.0
2000-07-25,16.0,16.0,15.4375,15.875,4600.0
2000-07-26,16.125,16.125,14.0,14.25,35100.0
2000-07-27,15.125,15.125,14.5,14.875,15200.0
2000-07-28,14.5625,15.0,14.5,15.0,11000.0
2000-07-31,15.25,15.375,14.8125,15.375,14600.0
2000-08-01,15.5,15.5625,15.375,15.5,5400.0
2000-08-02,15.5,15.5625,15.375,15.5,18900.0
2000-08-03,14.875,15.0,14.625,14.625,1900.0
2000-08-04,14.875,15.375,14.375,14.375,13400.0
2000-08-07,15.125,15.125,14.375,15.0,4600.0
2000-08-08,14.5,14.5,14.5,14.5,3200.0
2000-08-09,14.875,14.875,14.5,14.5,19900.0
2000-08-10,15.0,15.0,14.125,14.625,5700.0
2000-08-11,14.875,14.875,14.28125,14.8125,2200.0
2000-08-14,14.875,14.875,13.125,13.125,18000.0
2000-08-15,13.75,13.75,13.3125,13.3125,5500.0
2000-08-16,14.0,14.0,13.3125,13.3125,12300.0
2000-08-17,13.125,13.5,13.125,13.5,2900.0
2000-08-18,13.75,14.0,13.5,13.875,7500.0
2000-08-21,13.75,14.0,13.75,13.875,9000.0
2000-08-22,13.875,14.0,13.625,13.625,29900.0
2000-08-23,13.9375,13.9375,13.375,13.875,30100.0
2000-08-24,13.125,13.875,13.0,13.125,50000.0
2000-08-25,13.375,13.5,12.625,12.625,10000.0
2000-08-28,12.5,13.171875,12.5,13.171875,5800.0
2000-08-29,13.25,13.75,12.875,13.75,27000.0
2000-08-30,13.84375,14.0,13.6875,14.0,10000.0
2000-08-31,14.0,14.0,13.5,13.875,2800.0
2000-09-01,13.625,13.640625,13.5,13.5,2900.0
2000-09-05,14.0,14.0,13.125,13.4375,51200.0
2000-09-06,13.5,13.625,13.5,13.625,7700.0
2000-09-07,13.5,13.625,13.125,13.3125,28300.0
2000-09-08,13.3125,13.3125,11.875,12.125,25800.0
2000-09-11,11.75,12.0,11.1875,11.75,31500.0
2000-09-12,11.5,12.0625,11.5,11.9375,42100.0
2000-09-13,12.0,12.375,11.375,11.5,40900.0
2000-09-14,11.5,12.0,11.5,11.75,24400.0
2000-09-15,12.125,12.375,12.125,12.375,3800.0
2000-09-18,12.375,12.375,12.125,12.125,13100.0
2000-09-19,12.0,12.0,10.625,11.375,37300.0
2000-09-20,11.5,11.5,11.3125,11.375,8600.0
2000-09-21,11.25,11.5,11.25,11.5,3500.0
2000-09-22,10.75,11.0,10.5625,11.0,14600.0
2000-09-25,11.375,11.375,10.0,10.0,87900.0
2000-09-26,10.125,10.125,9.9375,10.0,86900.0
2000-09-27,10.0,10.625,10.0,10.125,27900.0
2000-09-28,10.0,10.5,10.0,10.0625,93700.0
