Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-05-09,36.25,37.9,36.13,37.5,730402.0
2018-05-10,37.5,37.7,36.58,36.74,34632.0
2018-05-11,36.88,37.34,36.5,37.16,21047.0
2018-05-14,37.24,37.24,36.69,36.83,13160.0
2018-05-15,36.85,37.0,36.53,36.75,24420.0
2018-05-16,36.99,36.99,36.65,36.77,13138.0
2018-05-17,36.93,37.18,36.75,37.17,22394.0
2018-05-18,37.28,37.48,36.99,37.47,20255.0
2018-05-21,36.5,37.75,36.5,37.44,14362.0
2018-05-22,37.6,37.6,37.42,37.49,34389.0
2018-05-23,37.35,37.6,37.18,37.56,7415.0
2018-05-24,37.5,38.2,37.05,38.1,16183.0
2018-05-25,38.24,39.38,37.585,38.94,32332.0
2018-05-29,38.71,39.5,38.67,38.97,12406.0
2018-05-30,39.09,39.09,38.15,38.56,7301.0
2018-05-31,38.4,38.92,38.1,38.84,6114.0
2018-06-01,38.91,39.0,38.41,38.41,7519.0
2018-06-04,38.66,38.66,37.53,38.31,14077.0
2018-06-05,38.31,38.75,38.01,38.62,12530.0
2018-06-06,38.85,39.535,38.205,38.84,32648.0
2018-06-07,39.23,39.23,38.43,39.04,14733.0
2018-06-08,38.79,39.19,38.545,38.65,9385.0
2018-06-11,38.92,40.0,38.755,39.48,33975.0
2018-06-12,39.9,41.15,39.58,40.49,24615.0
2018-06-13,40.2,40.75,39.47,40.32,23575.0
2018-06-14,40.04,41.09,40.04,40.88,81249.0
2018-06-15,40.78,40.885,40.05,40.75,129224.0
2018-06-18,40.48,41.61,40.195,40.49,75294.0
2018-06-19,40.95,41.16,40.07,40.95,41446.0
2018-06-20,41.0,41.48,40.67,40.88,27065.0
2018-06-21,41.09,41.1,39.44,39.95,38827.0
2018-06-22,40.23,41.38,39.94,41.38,1604123.0
2018-06-25,41.25,42.0,39.7,39.98,74917.0
2018-06-26,40.25,40.56,39.95,39.98,24114.0
2018-06-27,40.06,40.06,39.28,39.53,29989.0
2018-06-28,40.24,40.79,40.12,40.5,24447.0
2018-06-29,40.75,41.43,40.64,40.94,24578.0
2018-07-02,40.86,41.395,40.22,41.22,17130.0
2018-07-03,41.47,41.47,40.02,40.27,14720.0
2018-07-05,40.09,40.63,40.09,40.32,22931.0
2018-07-06,40.32,40.36,39.55,39.69,28694.0
2018-07-09,39.52,41.09,39.51,39.99,33621.0
2018-07-10,40.48,40.75,39.05,39.8,31889.0
2018-07-11,39.61,40.5,39.17,39.17,26196.0
2018-07-12,39.26,39.26,39.0,39.06,21801.0
2018-07-13,39.0,39.54,38.66,39.48,22051.0
2018-07-16,39.48,39.7,39.44,39.5,10012.0
2018-07-17,39.31,39.98,39.05,39.14,14662.0
2018-07-18,39.01,39.485,39.0,39.13,10362.0
2018-07-19,39.08,39.7,39.08,39.63,12345.0
2018-07-20,39.44,39.86,39.44,39.75,10789.0
2018-07-23,39.71,39.95,39.71,39.88,16815.0
2018-07-24,39.9,39.9,39.15,39.3,9096.0
2018-07-25,39.2,39.2,38.795,38.94,23473.0
2018-07-26,39.13,40.81,39.13,40.62,23758.0
2018-07-27,40.88,40.88,39.96,40.15,11448.0
2018-07-30,40.28,40.99,39.98,40.37,22389.0
2018-07-31,40.41,40.64,39.26,40.62,22994.0
2018-08-01,40.65,41.0,39.9,40.56,29330.0
2018-08-02,40.5,40.77,39.05,40.26,19076.0
2018-08-03,40.33,40.33,39.58,39.7,12536.0
2018-08-06,39.58,40.2,39.27,40.08,11597.0
2018-08-07,40.1,40.26,39.6,40.01,11386.0
2018-08-08,40.04,40.15,39.6,40.01,7329.0
2018-08-09,39.94,40.15,39.72,39.82,13611.0
2018-08-10,39.62,40.415,39.54,40.21,12820.0
2018-08-13,40.01,40.1,39.94,39.98,9657.0
2018-08-14,40.18,40.24,40.03,40.23,19545.0
2018-08-15,40.15,40.5,39.02,39.41,20238.0
2018-08-16,39.62,40.09,39.01,39.65,25643.0
2018-08-17,39.5,41.15,39.5,40.81,27010.0
2018-08-20,40.82,41.11,40.62,41.0,25433.0
2018-08-21,41.01,41.25,40.9,41.19,13026.0
2018-08-22,41.16,41.33,40.97,41.11,17494.0
2018-08-23,41.07,41.43,40.78,41.34,13879.0
2018-08-24,41.25,41.25,40.09,40.67,82850.0
2018-08-27,40.88,41.75,40.64,40.76,21882.0
2018-08-28,40.85,40.85,40.25,40.54,19409.0
2018-08-29,40.54,40.69,40.42,40.65,16377.0
2018-08-30,40.7,40.85,40.26,40.55,12134.0
2018-08-31,40.52,40.71,40.36,40.52,15026.0
2018-09-04,40.48,40.5,40.22,40.46,7806.0
2018-09-05,40.41,40.96,40.37,40.95,31258.0
2018-09-06,41.0,41.13,40.775,41.13,23561.0
2018-09-07,41.16,41.655,40.91,41.33,17938.0
2018-09-10,41.55,41.55,41.06,41.28,18074.0
2018-09-11,41.22,41.34,40.9,40.9,8159.0
2018-09-12,40.83,40.83,39.65,40.1,29563.0
2018-09-13,40.21,40.21,39.5,39.86,14322.0
2018-09-14,39.84,39.895,39.17,39.2,15757.0
2018-09-17,39.06,39.5,38.97,39.05,12227.0
2018-09-18,39.1,39.225,38.7,38.94,17006.0
2018-09-19,38.93,38.94,38.62,38.71,28549.0
2018-09-20,38.96,39.88,38.73,39.24,33690.0
2018-09-21,39.26,39.44,38.59,38.75,170225.0
2018-09-24,38.81,39.04,38.37,38.37,33219.0
2018-09-25,38.47,38.47,37.1,37.16,31294.0
2018-09-26,37.26,37.64,36.93,37.1,10718.0
2018-09-27,37.15,37.69,37.15,37.49,19379.0
2018-09-28,37.36,37.69,37.36,37.65,15661.0
2018-10-01,37.77,37.77,37.37,37.64,26614.0
2018-10-02,37.62,37.79,37.54,37.79,21415.0
2018-10-03,37.88,39.15,37.72,39.1,16809.0
2018-10-04,39.02,39.69,38.99,39.2,17036.0
2018-10-05,39.33,39.62,38.99,39.38,11754.0
2018-10-08,39.55,39.65,39.17,39.45,10430.0
2018-10-09,39.47,39.47,39.15,39.22,8768.0
2018-10-10,39.21,39.4,38.79,38.99,21440.0
2018-10-11,38.92,39.03,37.51,37.65,20523.0
2018-10-12,38.09,38.09,36.2,36.3,49339.0
2018-10-15,36.33,36.45,36.1,36.45,17826.0
2018-10-16,36.5,37.65,36.5,37.35,19237.0
2018-10-17,37.11,37.28,36.89,37.0,8090.0
2018-10-18,36.83,36.97,36.1,36.1,23997.0
2018-10-19,36.05,36.37,35.28,35.37,19873.0
2018-10-22,35.24,35.47,33.41,33.58,30878.0
2018-10-23,32.59,34.34,28.8,34.31,43730.0
2018-10-24,34.31,34.34,34.0,34.005,24907.0
2018-10-25,33.29,34.79,33.0,34.76,42280.0
2018-10-26,34.49,36.26,34.49,35.93,24800.0
2018-10-29,36.37,36.48,35.81,36.4,15814.0
2018-10-30,36.53,37.26,36.25,37.19,21431.0
2018-10-31,37.54,37.955,37.31,37.35,22393.0
2018-11-01,37.5,37.67,37.15,37.23,22444.0
2018-11-02,37.4,37.5,37.13,37.22,6913.0
2018-11-05,37.33,38.25,37.25,38.23,18912.0
2018-11-06,38.26,38.8,38.26,38.67,8046.0
2018-11-07,38.83,38.83,37.55,38.17,28735.0
2018-11-08,37.99,38.29,37.15,37.45,32277.0
2018-11-09,37.37,37.84,37.0,37.45,15815.0
2018-11-12,37.34,37.585,36.73,36.73,25018.0
2018-11-13,36.81,37.3,36.51,36.55,39499.0
2018-11-14,36.9,36.91,36.04,36.33,30206.0
2018-11-15,36.23,38.23,36.23,37.64,29051.0
2018-11-16,37.66,37.7,37.14,37.5,28450.0
2018-11-19,37.45,37.88,36.4,37.22,20774.0
2018-11-20,37.0,37.4,35.8,37.19,29493.0
2018-11-21,37.05,37.74,36.83,37.09,19001.0
2018-11-23,36.93,37.66,36.93,37.57,7609.0
2018-11-26,37.8,37.8,37.09,37.4,20342.0
2018-11-27,37.32,37.52,37.19,37.44,11311.0
2018-11-28,37.59,38.42,37.19,37.83,17794.0
2018-11-29,37.43,37.94,36.43,37.29,24160.0
2018-11-30,37.29,37.97,37.19,37.38,140114.0
2018-12-03,37.56,37.78,36.8,36.99,15167.0
