Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-11-03,11.0,11.1,7.52,7.75,3269171.0
2006-11-06,7.35,8.2,7.12,7.49,325576.0
2006-11-07,7.3,7.73,7.25,7.64,171927.0
2006-11-08,8.0,8.0,7.7,7.95,151885.0
2006-11-09,8.0,8.04,7.85,7.94,140017.0
2006-11-10,7.94,7.94,7.66,7.75,109486.0
2006-11-13,7.7,7.93,7.2,7.49,115658.0
2006-11-14,7.37,7.5,7.02,7.02,135830.0
2006-11-15,7.03,7.7,7.03,7.7,87244.0
2006-11-16,7.51,7.68,7.44,7.6,61545.0
2006-11-17,7.5,7.7,7.3,7.65,67453.0
2006-11-20,7.67,8.49,7.65,8.49,196289.0
2006-11-21,8.57,8.6,7.85,7.93,79431.0
2006-11-22,7.87,7.97,7.71,7.84,37511.0
2006-11-24,7.7,7.9,7.7,7.9,6505.0
2006-11-27,7.8,7.85,7.4,7.5,79763.0
2006-11-28,7.69,7.7,7.26,7.35,92907.0
2006-11-29,7.17,7.86,7.15,7.58,45005.0
2006-11-30,7.65,7.85,7.21,7.39,66438.0
2006-12-01,7.31,7.94,7.31,7.74,67593.0
2006-12-04,7.95,8.0,7.75,7.95,75903.0
2006-12-05,7.9,7.97,7.53,7.9,68500.0
2006-12-06,7.61,7.9,7.5,7.9,59007.0
2006-12-07,8.0,8.0,7.59,7.8,43843.0
2006-12-08,7.7,8.2,7.7,8.01,120997.0
2006-12-11,7.84,8.13,7.7,7.77,53601.0
2006-12-12,7.9,7.95,7.37,7.63,152536.0
2006-12-13,7.82,8.15,7.38,8.05,223656.0
2006-12-14,8.1,8.23,7.85,8.0,134133.0
2006-12-15,8.0,8.07,8.0,8.01,279716.0
2006-12-18,8.0,8.08,7.75,7.88,79260.0
2006-12-19,7.77,8.44,7.76,8.36,114021.0
2006-12-20,8.51,9.45,8.51,8.96,246569.0
2006-12-21,9.04,9.73,8.68,9.34,178459.0
2006-12-22,9.34,9.34,8.81,8.98,85022.0
2006-12-26,8.85,9.09,8.77,8.92,22488.0
2006-12-27,9.01,9.01,8.5,8.79,62238.0
2006-12-28,8.83,8.84,8.14,8.75,50142.0
2006-12-29,8.69,9.43,8.69,8.82,78112.0
2007-01-03,8.8,9.26,8.8,9.0,85336.0
2007-01-04,9.01,9.69,8.95,9.5,73658.0
2007-01-05,9.39,9.49,9.11,9.43,71907.0
2007-01-08,9.38,9.9,9.35,9.49,109579.0
2007-01-09,9.55,9.6,9.33,9.47,56681.0
2007-01-10,9.37,9.51,9.17,9.26,57500.0
2007-01-11,9.26,9.9,9.26,9.5,156630.0
2007-01-12,9.57,9.77,9.28,9.55,83260.0
2007-01-16,9.57,9.59,9.26,9.43,162818.0
2007-01-17,9.41,9.9,9.33,9.65,49599.0
2007-01-18,9.85,9.85,9.56,9.61,133688.0
2007-01-19,9.56,10.28,9.5,10.11,114215.0
2007-01-22,10.2,10.93,10.12,10.48,229481.0
2007-01-23,10.15,10.62,10.15,10.62,96787.0
2007-01-24,10.15,11.0,10.5,10.99,166130.0
2007-01-25,11.0,11.55,10.92,11.33,183815.0
2007-01-26,11.21,12.41,11.21,12.15,262038.0
2007-01-29,12.25,13.38,12.25,12.99,337682.0
2007-01-30,13.0,13.19,12.06,12.46,269718.0
2007-01-31,12.4,12.4,11.66,12.11,410726.0
2007-02-01,12.0,12.1,11.32,11.57,91367.0
2007-02-02,11.85,12.14,11.29,11.58,119586.0
2007-02-05,11.51,12.77,11.51,12.67,92884.0
2007-02-06,12.67,13.23,12.67,13.1,120793.0
2007-02-07,13.1,13.5,13.01,13.17,85254.0
2007-02-08,13.1,13.37,12.69,12.9,136936.0
2007-02-09,12.87,13.1,12.74,12.98,52481.0
2007-02-12,13.0,13.0,12.83,12.83,51703.0
2007-02-13,12.79,13.59,12.74,13.49,193673.0
2007-02-14,13.58,13.9,13.08,13.21,115918.0
2007-02-15,13.5,13.5,12.74,12.75,89004.0
2007-02-16,12.75,13.13,12.75,12.95,132639.0
2007-02-20,12.99,13.39,12.87,13.15,172897.0
2007-02-21,13.11,13.97,13.11,13.4,54094.0
2007-02-22,13.46,13.97,13.36,13.97,27085.0
2007-02-23,13.95,14.07,13.71,13.84,25972.0
2007-02-26,13.95,14.23,13.71,13.81,29432.0
2007-02-27,13.52,13.55,12.76,13.0,70402.0
2007-02-28,13.0,13.19,12.75,12.88,95563.0
2007-03-01,12.75,12.98,12.49,12.87,51360.0
2007-03-02,12.67,12.81,12.51,12.73,56761.0
2007-03-05,12.39,12.54,11.81,12.0,73978.0
2007-03-06,12.0,12.6,12.0,12.29,108981.0
2007-03-07,12.26,12.49,12.15,12.27,34633.0
2007-03-08,12.39,12.46,12.14,12.15,87468.0
2007-03-09,12.27,12.5,12.05,12.16,22126.0
2007-03-12,12.22,12.24,12.06,12.09,34912.0
2007-03-13,12.0,12.72,11.96,12.12,37786.0
2007-03-14,12.03,12.77,12.01,12.25,38055.0
2007-03-15,12.59,12.59,11.85,12.0,92988.0
2007-03-16,12.03,12.21,11.57,11.79,59862.0
2007-03-19,11.71,12.55,11.6,12.29,31259.0
2007-03-20,12.29,13.03,12.23,12.8,63943.0
2007-03-21,12.97,13.69,12.79,13.4,77681.0
2007-03-22,13.55,13.55,12.91,13.15,105009.0
2007-03-23,13.1,13.19,12.77,13.03,14627.0
2007-03-26,12.95,13.01,12.66,12.92,34149.0
2007-03-27,12.85,12.88,12.7,12.81,8272.0
2007-03-28,12.72,13.34,12.42,12.97,37196.0
2007-03-29,13.1,13.1,12.6,12.7,44877.0
2007-03-30,12.75,12.9,12.6,12.75,32322.0
2007-04-02,12.8,13.05,12.56,12.89,13486.0
2007-04-03,13.1,13.43,12.91,13.26,38755.0
2007-04-04,13.28,13.53,13.13,13.5,41099.0
2007-04-05,13.47,13.8,13.18,13.67,21567.0
2007-04-09,13.71,13.93,13.58,13.62,9267.0
2007-04-10,13.27,13.57,12.85,13.48,23385.0
2007-04-11,13.54,13.54,12.75,13.2,29475.0
2007-04-12,13.14,13.74,12.72,13.44,21632.0
2007-04-13,13.39,13.44,12.91,13.44,12915.0
2007-04-16,13.56,13.56,12.45,13.22,54140.0
2007-04-17,13.2,13.38,13.03,13.37,13115.0
2007-04-18,13.28,13.42,13.01,13.02,23084.0
2007-04-19,13.0,13.44,12.81,13.42,26950.0
2007-04-20,13.62,13.75,13.1,13.73,39420.0
2007-04-23,13.64,13.95,13.28,13.52,27023.0
2007-04-24,13.65,13.71,13.05,13.06,75620.0
2007-04-25,13.17,13.17,12.8,13.0,62521.0
2007-04-26,13.05,13.19,12.92,12.99,37157.0
2007-04-27,12.93,12.93,12.54,12.8,26727.0
2007-04-30,12.52,12.66,11.45,11.57,68727.0
2007-05-01,11.66,12.73,11.55,12.2,75148.0
2007-05-02,12.23,12.87,12.02,12.64,48622.0
2007-05-03,12.7,13.25,12.65,13.07,44478.0
2007-05-04,13.15,13.25,13.0,13.06,55939.0
2007-05-07,13.03,13.18,12.82,12.96,32359.0
2007-05-08,12.92,13.18,12.67,13.01,35863.0
2007-05-09,12.85,13.12,12.85,12.99,17990.0
2007-05-10,12.88,12.89,12.14,12.5,88244.0
2007-05-11,12.58,12.63,12.4,12.41,110429.0
2007-05-14,12.33,12.85,12.33,12.61,136441.0
2007-05-15,12.58,12.63,12.33,12.42,83544.0
2007-05-16,12.43,12.52,12.05,12.5,43916.0
2007-05-17,12.5,12.62,12.16,12.43,35114.0
2007-05-18,12.49,12.49,11.9,12.3,38969.0
2007-05-21,12.26,12.4,12.18,12.32,27825.0
2007-05-22,12.27,12.41,12.25,12.25,62913.0
2007-05-23,12.3,12.56,12.22,12.39,123064.0
2007-05-24,12.35,12.36,11.51,11.62,171368.0
2007-05-25,12.14,14.35,12.14,13.84,1527216.0
2007-05-29,13.5,14.0,13.13,13.92,265591.0
2007-05-30,13.71,15.09,13.28,14.94,335880.0
2007-05-31,15.1,16.05,14.74,15.9,530317.0
2007-06-01,15.52,15.9,14.96,15.39,206950.0
2007-06-04,15.61,16.26,15.12,15.46,246022.0
2007-06-05,15.53,15.75,15.11,15.18,282604.0
2007-06-06,15.16,15.2,14.65,14.86,348699.0
2007-06-07,14.75,15.07,14.65,14.93,169158.0
2007-06-08,14.92,15.35,14.9,15.34,129784.0
2007-06-11,15.7,15.9,15.21,15.38,79950.0
2007-06-12,15.24,15.33,14.99,15.13,96627.0
2007-06-13,15.2,15.98,15.16,15.89,157977.0
2007-06-14,15.85,16.78,15.85,16.4,375662.0
2007-06-15,16.57,17.26,15.93,16.2,608194.0
