Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2009-04-28,24.0,24.51,24.0,24.51,400.0
2009-04-29,24.0,24.0,24.0,24.0,800.0
2009-04-30,25.0,25.25,25.0,25.0,4167.0
2009-05-01,24.5,24.75,24.5,24.75,900.0
2009-05-04,24.5,24.5,24.5,24.5,100.0
2009-05-05,24.0,24.5,24.0,24.5,1500.0
2009-05-06,25.0,25.0,25.0,25.0,100.0
2009-05-08,25.0,26.0,25.0,25.92,1100.0
2009-05-11,26.0,27.94,26.0,27.92,5721.0
2009-05-12,27.0,28.0,26.7,26.7,2683.0
2009-05-13,25.23,25.23,25.23,25.23,150.0
2009-05-14,27.0,27.0,27.0,27.0,794.0
2009-05-15,27.24,29.5,27.0,27.0,3303.0
2009-05-18,26.18,26.18,26.14,26.14,300.0
2009-05-19,25.88,29.56,25.88,29.45,4805.0
2009-05-20,29.75,31.75,29.67,31.74,600.0
2009-05-21,31.97,33.0,31.97,32.2,1438.0
2009-05-22,32.0,30.0,28.53,30.0,590.0
2009-05-26,31.92,31.0,28.05,31.0,700.0
2009-05-27,31.25,31.75,31.75,31.75,100.0
2009-05-28,30.33,31.58,29.08,31.34,1486.0
2009-05-29,29.81,30.46,29.81,30.46,127.0
2009-06-02,30.0,30.46,30.0,30.46,1100.0
2009-06-03,29.8,32.0,29.8,32.0,1000.0
2009-06-04,31.92,33.4,31.92,33.4,1544.0
2009-06-05,31.76,34.14,33.66,34.14,2971.0
2009-06-08,32.45,35.06,32.43,35.06,1200.0
2009-06-09,34.17,36.2,35.44,36.06,5887.0
2009-06-10,36.29,36.45,35.97,36.45,1300.0
2009-06-11,35.06,40.0,36.0,39.45,6680.0
2009-06-12,39.98,39.98,39.33,39.8,2800.0
2009-06-15,38.06,38.06,38.06,38.06,566.0
2009-06-16,38.05,38.7,37.3,37.47,500.0
2009-06-17,36.95,36.89,36.04,36.89,400.0
2009-06-18,36.71,36.75,36.41,36.75,920.0
2009-06-19,37.49,37.5,36.97,37.5,1781.0
2009-06-22,37.35,37.4,35.99,36.73,3554.0
2009-06-23,36.27,36.27,35.61,36.06,1000.0
2009-06-24,36.95,38.9,36.95,38.09,8421.0
2009-06-25,36.18,38.99,36.18,38.45,12737.0
2009-06-26,38.96,38.96,37.84,38.42,351550.0
2009-06-29,38.42,38.42,35.31,36.31,14985.0
2009-06-30,37.87,38.42,37.24,37.24,8182.0
2009-07-01,37.57,37.57,36.55,37.51,3713.0
2009-07-02,38.94,38.98,36.66,36.71,24366.0
2009-07-06,36.86,36.86,34.89,36.59,3711.0
2009-07-07,36.78,37.5,36.44,36.44,12529.0
2009-07-08,36.94,37.0,36.27,36.27,7268.0
2009-07-09,36.9,36.99,36.02,36.1,3532.0
2009-07-10,35.95,36.09,34.77,36.09,2340.0
2009-07-13,36.95,36.95,36.48,36.61,4043.0
2009-07-14,36.5,36.58,36.34,36.58,1015.0
2009-07-15,36.58,37.18,35.09,37.18,5409.0
2009-07-16,36.5,36.99,36.0,36.81,7262.0
2009-07-17,36.94,36.94,35.87,36.59,4803.0
2009-07-20,36.52,36.52,35.9,36.15,3962.0
2009-07-21,36.3,36.35,35.43,36.35,7386.0
2009-07-22,35.78,36.5,35.78,36.5,2424.0
2009-07-23,35.85,37.45,35.69,37.45,4700.0
2009-07-24,37.0,37.43,36.71,37.11,1979.0
2009-07-27,36.99,37.35,36.73,37.05,1806.0
2009-07-28,36.5,36.98,36.23,36.98,5963.0
2009-07-29,36.97,37.25,36.87,36.87,813.0
2009-07-30,36.99,37.49,36.99,37.49,2545.0
2009-07-31,37.27,37.5,36.86,36.93,11210.0
2009-08-03,37.0,37.09,36.52,37.09,2320.0
2009-08-04,36.51,37.05,35.82,37.05,3615.0
2009-08-05,36.94,37.5,36.39,37.25,6398.0
2009-08-06,37.17,37.17,36.01,36.54,2804.0
2009-08-07,36.99,37.2,36.57,37.2,7045.0
2009-08-10,37.11,37.17,36.05,36.41,2537.0
2009-08-11,36.26,37.11,36.32,37.11,2449.0
2009-08-12,36.94,38.05,36.94,38.0,17634.0
2009-08-13,37.75,37.75,36.91,37.55,15307.0
2009-08-14,37.65,37.65,36.8,37.14,9735.0
2009-08-17,36.91,37.67,36.91,37.53,7394.0
2009-08-18,37.5,37.75,37.5,37.55,5952.0
2009-08-19,37.45,37.45,36.5,37.2,3975.0
2009-08-20,37.2,37.2,36.58,37.0,3334.0
2009-08-21,37.55,37.55,35.15,37.03,12592.0
2009-08-24,37.16,36.73,36.25,36.73,3200.0
2009-08-25,36.82,37.19,36.19,36.19,619.0
2009-08-26,36.29,37.6,37.14,37.6,746.0
2009-08-27,37.3,37.25,36.74,37.25,1734.0
2009-08-28,37.14,37.46,36.47,37.46,3979.0
2009-08-31,37.2,37.2,36.34,36.53,7283.0
2009-09-01,36.37,37.5,35.35,35.91,4721.0
2009-09-02,35.94,36.53,36.05,36.28,2393.0
2009-09-03,36.25,37.02,35.71,37.02,1285.0
2009-09-04,36.89,37.6,36.78,37.6,1647.0
2009-09-08,37.49,37.49,36.51,36.57,1363.0
2009-09-09,37.18,37.74,37.18,37.74,3005.0
2009-09-10,37.73,37.75,37.26,37.75,1539.0
2009-09-11,37.65,36.95,36.57,36.81,1702.0
2009-09-14,36.57,37.2,36.57,37.2,2513.0
2009-09-15,36.57,37.57,36.57,37.57,4610.0
2009-09-16,37.5,37.8,36.61,37.8,8542.0
2009-09-17,37.71,37.05,36.75,36.75,2636.0
2009-09-18,36.92,38.49,36.92,38.49,30323.0
2009-09-21,37.99,37.99,37.06,37.7,7961.0
2009-09-22,37.65,37.87,36.92,37.87,1164.0
2009-09-23,37.15,37.67,37.15,37.41,6650.0
2009-09-24,37.62,38.67,37.32,38.32,16887.0
2009-09-25,37.35,37.85,37.35,37.81,8553.0
2009-09-28,37.74,37.75,37.4,37.63,1257.0
2009-09-29,37.31,37.65,37.3,37.46,3205.0
2009-09-30,37.47,38.64,37.3,38.64,10650.0
2009-10-01,37.52,37.75,37.1,37.38,8894.0
2009-10-02,37.27,37.65,37.0,37.65,3062.0
2009-10-05,37.8,37.8,37.17,37.39,3544.0
2009-10-06,37.33,37.8,37.0,37.28,2868.0
2009-10-07,37.14,36.98,36.8,36.95,1195.0
2009-10-08,37.06,37.19,36.77,36.8,2111.0
2009-10-09,37.1,37.99,37.01,37.99,3085.0
2009-10-12,37.4,37.4,37.01,37.01,2018.0
2009-10-13,37.11,37.09,36.91,37.09,2008.0
2009-10-14,37.44,37.97,36.61,37.81,3531.0
2009-10-15,37.87,38.0,37.62,37.74,4927.0
2009-10-16,37.79,37.79,37.01,37.22,9939.0
2009-10-19,37.43,37.83,37.12,37.83,9061.0
2009-10-20,37.8,37.8,37.05,37.42,8766.0
2009-10-21,37.37,37.42,36.69,37.24,3041.0
2009-10-22,37.12,37.53,36.76,37.53,5496.0
2009-10-23,37.5,37.5,36.47,36.7,3475.0
2009-10-26,36.54,36.67,36.19,36.19,5605.0
2009-10-27,36.39,36.47,35.61,35.63,2589.0
2009-10-28,36.03,36.03,35.2,35.2,13185.0
2009-10-29,35.46,35.48,33.75,34.07,7780.0
2009-10-30,33.85,34.41,31.45,31.95,8350.0
2009-11-02,32.03,33.6,30.64,30.96,6946.0
2009-11-03,31.0,31.55,27.77,29.6,8430.0
2009-11-04,29.48,31.18,29.29,30.1,11649.0
2009-11-05,30.16,33.58,29.98,33.58,4977.0
2009-11-06,33.55,33.78,32.19,33.0,4747.0
2009-11-09,33.37,33.37,32.66,32.8,2206.0
2009-11-10,32.66,32.88,32.0,32.19,1016.0
2009-11-11,32.35,33.77,32.35,33.51,1190.0
2009-11-12,33.4,34.99,32.81,32.81,1849.0
