Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-02-01,5.55,6.0,4.57,4.88,800392.0
2018-02-02,4.91,4.99,4.51,4.7,71719.0
2018-02-05,4.7,4.73,4.45,4.6,64175.0
2018-02-06,4.69,4.9,4.69,4.9,12257.0
2018-02-07,5.1,5.1,4.65,4.65,10941.0
2018-02-08,4.96,5.06,4.65,5.06,114697.0
2018-02-09,5.1,5.1,4.84,4.91,78567.0
2018-02-12,4.95,4.95,4.65,4.65,2335.0
2018-02-13,4.61,4.67,4.61,4.67,518.0
2018-02-14,4.83,4.95,4.71,4.71,2050.0
2018-02-15,4.61,4.88,4.61,4.76,1854.0
2018-02-16,4.94,5.05,4.88,5.0,20881.0
2018-02-20,5.1,5.1,4.68,4.68,4009.0
2018-02-21,4.9,4.9,4.75,4.89,3248.0
2018-02-22,4.81,4.82,4.7,4.7,2326.0
2018-02-23,4.67,4.91,4.67,4.91,1184.0
2018-02-26,4.91,5.05,4.91,4.93,1429.0
2018-02-27,5.02,5.02,4.91,4.92,1183.0
2018-02-28,5.02,5.02,4.85,4.85,2741.0
2018-03-01,4.91,4.91,4.775,4.775,375.0
2018-03-02,4.88,4.9,4.865,4.9,2237.0
2018-03-05,4.9,4.91,4.8,4.8,964.0
2018-03-06,4.76,4.92,4.76,4.8,6561.0
2018-03-07,4.86,5.35,4.86,5.15,23692.0
2018-03-08,5.16,5.79,5.16,5.75,17314.0
2018-03-09,5.79,6.2,5.79,6.1,36508.0
2018-03-12,5.98,6.08,5.78,5.78,16050.0
2018-03-13,5.67,6.08,5.66,5.75,9246.0
2018-03-14,5.72,5.75,5.31,5.4,10114.0
2018-03-15,5.25,5.37,5.2,5.21,6549.0
2018-03-16,5.2,5.27,5.09,5.11,58121.0
2018-03-19,5.14,5.19,5.0,5.05,3632.0
2018-03-20,5.05,5.23,5.05,5.14,2605.0
2018-03-21,5.13,5.375,5.12,5.21,6310.0
2018-03-22,5.3,5.3,5.0,5.15,22156.0
2018-03-23,5.05,5.05,4.97,5.0,17344.0
2018-03-26,5.06,5.15,4.95,5.07,2593.0
2018-03-27,4.96,5.1,4.87,4.87,8875.0
2018-03-28,4.9,4.9,4.57,4.7,4886.0
2018-03-29,4.7,4.75,4.4,4.4,3411.0
2018-04-02,4.39,4.39,4.16,4.17,10947.0
2018-04-03,4.21,4.3,4.16,4.19,6793.0
2018-04-04,4.19,4.35,4.19,4.35,455.0
2018-04-05,4.32,4.32,4.21,4.21,976.0
2018-04-06,4.11,4.34,4.11,4.34,540.0
2018-04-09,4.35,4.35,4.15,4.2,3917.0
2018-04-10,4.26,4.365,4.25,4.365,3479.0
2018-04-11,4.35,4.69,4.23,4.23,3019.0
2018-04-12,4.23,4.55,4.23,4.43,7695.0
2018-04-13,4.45,4.55,4.3,4.55,4667.0
2018-04-16,4.5,4.6,4.46,4.6,1420.0
2018-04-17,4.65,4.67,4.37,4.67,2742.0
2018-04-18,4.61,4.84,4.44,4.65,5026.0
2018-04-19,4.64,4.86,4.64,4.86,3850.0
2018-04-20,4.82,4.94,4.54,4.94,4800.0
2018-04-23,4.95,4.95,4.59,4.8,3140.0
2018-04-24,4.84,4.84,4.6,4.7,1262.0
2018-04-25,4.66,4.66,4.51,4.58,2436.0
2018-04-26,4.45,4.45,4.35,4.35,1878.0
2018-04-27,4.34,4.54,4.2,4.36,4056.0
2018-04-30,4.38,4.47,4.38,4.47,2869.0
2018-05-01,4.48,4.7,4.48,4.65,364.0
