Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1993-09-15,4.625,4.9375,4.375,4.9375,17565600.0
1993-09-16,5.25,5.3125,4.9375,5.1875,5561200.0
1993-09-17,5.3125,5.5625,5.125,5.1875,3811600.0
1993-09-20,5.125,5.125,4.8125,4.875,2287200.0
1993-09-21,4.5625,4.9375,4.5,4.75,2575600.0
1993-09-22,4.8125,4.9375,4.75,4.875,1052000.0
1993-09-23,4.75,4.875,4.625,4.625,904000.0
1993-09-24,4.625,4.6875,4.4375,4.6875,1614000.0
1993-09-27,4.6875,4.6875,4.4375,4.46875,1505200.0
1993-09-28,4.5625,4.875,4.4375,4.75,1090000.0
1993-09-29,4.875,5.3125,4.75,5.125,2619200.0
1993-09-30,5.1875,5.1875,5.0,5.125,762000.0
1993-10-01,5.125,5.125,4.9375,4.9375,993600.0
1993-10-04,5.0625,5.0625,4.9375,4.9375,408400.0
1993-10-05,5.0,5.0,4.875,4.875,568000.0
1993-10-06,4.875,5.125,4.875,5.125,378400.0
1993-10-07,5.125,5.4375,5.0,5.125,933200.0
1993-10-08,5.25,5.25,5.0625,5.1875,346800.0
1993-10-11,5.1875,5.25,5.0625,5.125,426000.0
1993-10-12,5.125,5.4375,5.125,5.375,720400.0
1993-10-13,5.3125,5.5,5.3125,5.375,774400.0
1993-10-14,5.5,5.5,4.9375,5.0625,1452800.0
1993-10-15,5.1875,5.1875,4.9375,5.0625,523200.0
1993-10-18,5.0625,5.0625,4.6875,4.875,518000.0
1993-10-19,4.875,5.0625,4.6875,4.8125,806800.0
1993-10-20,4.6875,4.8125,4.375,4.5625,919200.0
1993-10-21,4.4375,4.5625,4.125,4.125,807600.0
1993-10-22,4.125,4.8125,4.0625,4.5,1686400.0
1993-10-25,4.625,4.6875,4.5,4.5625,244000.0
1993-10-26,4.5,4.625,4.4375,4.4375,962400.0
1993-10-27,4.4375,4.5,4.25,4.4375,1033600.0
1993-10-28,4.3125,4.4375,4.3125,4.3125,287600.0
1993-10-29,4.4375,4.4375,4.3125,4.3125,72800.0
1993-11-01,4.3125,4.5,4.3125,4.4375,300400.0
1993-11-02,4.375,4.4375,4.3125,4.3125,218800.0
1993-11-03,4.375,4.4375,4.1875,4.25,417200.0
1993-11-04,4.25,4.25,3.875,3.875,837200.0
1993-11-05,3.8125,3.875,3.6875,3.875,916000.0
1993-11-08,3.875,3.875,3.6875,3.8125,423600.0
1993-11-09,3.875,3.9375,3.5625,3.625,1060400.0
1993-11-10,3.625,3.6875,3.5,3.6875,1757200.0
1993-11-11,3.75,3.8125,3.625,3.6875,971600.0
1993-11-12,3.75,3.75,3.625,3.75,425200.0
1993-11-15,3.625,3.75,3.375,3.375,535600.0
1993-11-16,3.375,3.5,3.125,3.25,864800.0
1993-11-17,3.1875,3.25,2.875,3.15625,3033600.0
1993-11-18,3.125,3.25,3.125,3.21875,1069600.0
1993-11-19,3.25,3.3125,3.0625,3.1875,787600.0
1993-11-22,3.125,3.125,2.75,2.9375,737200.0
1993-11-23,2.9375,3.0,2.6875,2.75,838400.0
1993-11-24,2.75,3.0625,2.75,2.9375,823200.0
1993-11-26,3.0625,3.0625,2.9375,2.9375,165200.0
1993-11-29,3.0625,3.0625,2.8125,2.9375,536800.0
1993-11-30,3.0,3.0,2.5625,2.75,1280400.0
1993-12-01,2.75,2.75,2.5,2.5625,793600.0
1993-12-02,2.6875,2.6875,2.3125,2.375,1644800.0
1993-12-03,2.4375,2.75,2.3125,2.75,2350000.0
1993-12-06,2.6875,2.6875,2.5625,2.625,350000.0
1993-12-07,2.9375,3.375,2.9375,3.28125,6895600.0
1993-12-08,3.5,3.5,3.25,3.40625,2466800.0
1993-12-09,3.375,3.5,3.25,3.4375,784400.0
1993-12-10,3.4375,3.4375,3.1875,3.25,663200.0
1993-12-13,3.1875,3.4375,3.1875,3.3125,864400.0
1993-12-14,3.3125,3.3125,3.0,3.0,493600.0
1993-12-15,3.0,3.25,2.875,3.1875,914800.0
1993-12-16,3.0625,3.1875,3.0,3.0625,294000.0
1993-12-17,3.0,3.125,2.9375,2.9375,318000.0
1993-12-20,3.0625,3.1875,2.9375,3.15625,485600.0
1993-12-21,3.1875,3.1875,3.0625,3.0625,338400.0
1993-12-22,3.125,3.1875,3.0625,3.1875,537200.0
1993-12-23,3.1875,3.1875,3.0625,3.1875,291600.0
1993-12-27,3.1875,3.1875,2.96875,3.125,329600.0
1993-12-28,3.125,3.125,3.0,3.0,363200.0
1993-12-29,3.125,3.125,2.9375,3.0625,508000.0
1993-12-30,3.0625,3.4375,3.0,3.375,862400.0
1993-12-31,3.25,3.5625,3.25,3.4375,1769600.0
1994-01-03,3.5,3.5,3.3125,3.375,621600.0
1994-01-04,3.375,3.5,3.3125,3.375,595200.0
1994-01-05,3.5,3.6875,3.4375,3.5625,1397200.0
1994-01-06,3.6875,3.75,3.5625,3.59375,842000.0
1994-01-07,3.6875,3.6875,3.5,3.625,1033600.0
1994-01-10,3.625,3.6875,3.5,3.5625,384000.0
1994-01-11,3.625,3.625,3.375,3.4375,453600.0
1994-01-12,3.375,3.5625,3.375,3.375,299200.0
1994-01-13,3.5,3.5,3.3125,3.375,307600.0
1994-01-14,3.375,3.5625,3.3125,3.4375,936800.0
1994-01-17,3.4375,3.5,3.3125,3.3125,472000.0
1994-01-18,3.4375,3.4375,3.0,3.28125,5078000.0
1994-01-19,3.25,3.3125,3.0625,3.125,1404800.0
1994-01-20,3.1875,3.375,3.125,3.375,2316000.0
1994-01-21,2.625,3.0625,2.4375,2.875,15448000.0
1994-01-24,2.8125,3.0,2.8125,2.84375,1454400.0
1994-01-25,2.9375,2.9375,2.8125,2.9375,521600.0
1994-01-26,2.9375,2.9375,2.8125,2.8125,586800.0
1994-01-27,2.9375,2.9375,2.6875,2.8125,1085600.0
1994-01-28,2.8125,2.9375,2.8125,2.84375,549200.0
1994-01-31,2.8125,2.9375,2.8125,2.875,516400.0
1994-02-01,2.75,2.875,2.6875,2.8125,885200.0
1994-02-02,2.8125,2.8125,2.5625,2.75,1460800.0
1994-02-03,2.8125,2.8125,2.6875,2.75,800400.0
1994-02-04,2.6875,2.8125,2.5,2.53125,687600.0
1994-02-07,2.5,2.625,2.4375,2.5625,1594400.0
1994-02-08,2.625,2.625,2.5,2.5625,875600.0
1994-02-09,2.625,2.625,2.5,2.5625,287200.0
1994-02-10,2.5,2.625,2.5,2.625,315200.0
1994-02-11,2.625,2.625,2.5,2.5,360800.0
1994-02-14,2.625,2.625,2.5,2.625,726800.0
1994-02-15,2.5,2.625,2.5,2.625,711200.0
1994-02-16,2.625,2.625,2.5,2.5625,592400.0
1994-02-17,2.5,2.625,2.4375,2.5,691600.0
1994-02-18,2.5,2.5625,2.4375,2.5,460400.0
1994-02-22,2.5,2.5625,2.4375,2.5,235200.0
1994-02-23,2.5625,2.5625,2.4375,2.5625,352800.0
1994-02-24,2.4375,2.5625,2.375,2.375,615600.0
1994-02-25,2.375,2.4375,2.3125,2.375,492000.0
1994-02-28,2.3125,2.375,2.125,2.125,840000.0
1994-03-01,2.25,2.3125,2.125,2.1875,1214400.0
1994-03-02,2.25,2.5625,2.1875,2.4375,1732800.0
1994-03-03,2.5,2.5625,2.4375,2.53125,620000.0
1994-03-04,2.5625,2.5625,2.4375,2.5,403200.0
1994-03-07,2.4375,2.625,2.4375,2.53125,472400.0
1994-03-08,2.5,2.625,2.5,2.59375,290000.0
1994-03-09,2.59375,2.59375,2.4375,2.5,425200.0
1994-03-10,2.375,2.5,2.25,2.3125,1177200.0
1994-03-11,2.25,2.375,2.25,2.3125,492000.0
1994-03-14,2.3125,2.375,2.125,2.3125,829600.0
1994-03-15,2.3125,2.3125,2.1875,2.28125,254000.0
1994-03-16,2.25,2.3125,2.25,2.28125,819600.0
1994-03-17,2.1875,2.3125,2.1875,2.3125,680000.0
1994-03-18,2.25,2.3125,2.21875,2.28125,347600.0
1994-03-21,2.21875,2.3125,2.21875,2.3125,199200.0
1994-03-22,2.3125,2.3125,2.1875,2.25,345600.0
1994-03-23,2.3125,2.3125,2.1875,2.25,216800.0
1994-03-24,2.1875,2.3125,2.1875,2.21875,527600.0
1994-03-25,2.25,2.25,2.1875,2.1875,178800.0
1994-03-28,2.1875,2.25,2.0625,2.125,459200.0
1994-03-29,2.1875,2.1875,2.0,2.125,356800.0
1994-03-30,2.0,2.09375,1.875,2.0,815600.0
1994-03-31,2.0,2.0,1.71875,1.9375,1480400.0
1994-04-04,1.9375,1.9375,1.75,1.875,627200.0
1994-04-05,1.9375,2.125,1.875,2.0625,523200.0
1994-04-06,2.0625,2.0625,1.9375,2.0,350400.0
1994-04-07,1.9375,2.1875,1.9375,2.0625,368400.0
1994-04-08,2.1875,2.1875,2.0625,2.125,208800.0
1994-04-11,2.0625,2.1875,2.0,2.0,184000.0
1994-04-12,2.03125,2.0625,1.9375,2.0,311200.0
1994-04-13,1.90625,2.0,1.84375,1.84375,686000.0
1994-04-14,1.84375,2.0,1.84375,1.84375,296800.0
1994-04-15,1.84375,2.0,1.84375,1.9375,88800.0
1994-04-18,1.9375,1.9375,1.875,1.90625,1199600.0
1994-04-19,1.9375,1.9375,1.8125,1.875,296800.0
1994-04-20,1.875,2.0,1.8125,1.84375,458000.0
1994-04-21,1.875,1.875,1.71875,1.75,1288000.0
1994-04-22,1.75,1.875,1.75,1.78125,563600.0
1994-04-25,1.875,1.96875,1.78125,1.9375,1087200.0
1994-04-26,2.0,2.0625,1.9375,2.0,509600.0
1994-04-28,2.03125,2.03125,1.96875,2.0,328800.0
1994-04-29,2.03125,2.125,1.96875,2.09375,538800.0
1994-05-02,2.0625,2.125,1.9375,2.0,406800.0
1994-05-03,1.9375,2.0625,1.9375,2.0625,242800.0
1994-05-04,2.0,2.09375,2.0,2.09375,153200.0
1994-05-05,2.0,2.15625,2.0,2.15625,500000.0
1994-05-06,2.125,2.125,2.03125,2.03125,478000.0
1994-05-09,2.03125,2.15625,2.03125,2.09375,707600.0
1994-05-10,2.09375,2.15625,2.0625,2.0625,470800.0
1994-05-11,2.09375,2.125,2.09375,2.125,709600.0
1994-05-12,2.125,2.125,2.03125,2.03125,457200.0
1994-05-13,2.125,2.125,2.03125,2.125,504400.0
1994-05-16,2.125,2.125,2.03125,2.0625,334400.0
1994-05-17,2.0625,2.125,2.0625,2.0625,244000.0
1994-05-18,2.0625,2.15625,2.0625,2.09375,380800.0
1994-05-19,2.125,2.375,2.125,2.28125,1477600.0
1994-05-20,2.3125,2.3125,2.25,2.3125,179200.0
1994-05-23,2.25,2.34375,2.21875,2.21875,138000.0
1994-05-24,2.21875,2.28125,2.21875,2.28125,133600.0
