Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1999-10-19,24.0,28.5,21.625,23.5,5250900.0
1999-10-20,25.125,25.4375,22.375,24.5,1477800.0
1999-10-21,23.875,24.125,22.75,23.125,546900.0
1999-10-22,23.125,25.375,23.0,24.5,654900.0
1999-10-25,24.875,27.5,24.75,27.125,439900.0
1999-10-26,27.625,27.8125,25.875,27.0,270300.0
1999-10-27,27.0,27.375,25.75,26.375,125200.0
1999-10-28,26.25,29.5,25.875,29.4375,359000.0
1999-10-29,31.9375,32.625,29.875,30.0,370900.0
1999-11-01,29.6875,29.75,28.25,28.625,159500.0
1999-11-02,29.0,31.5,28.625,29.75,411100.0
1999-11-03,30.5,32.5,29.125,30.0625,317300.0
1999-11-04,30.0625,30.75,28.0,28.5,207400.0
1999-11-05,29.75,30.875,29.375,30.0,211200.0
1999-11-08,30.25,34.0,29.75,33.0,437400.0
1999-11-09,34.0625,35.875,31.75,35.875,498500.0
1999-11-10,35.96875,36.5,35.0,36.0,318900.0
1999-11-11,36.5,37.625,35.6875,36.875,589500.0
1999-11-12,37.5,38.5,35.0,38.25,597100.0
1999-11-15,39.875,39.875,36.375,38.6875,235800.0
1999-11-16,39.125,45.5,38.875,45.0,591100.0
1999-11-17,46.5,49.875,43.5,44.5,451900.0
1999-11-18,44.25,48.0,42.5,47.0,435600.0
1999-11-19,48.75,48.875,45.75,46.625,333300.0
1999-11-22,46.125,50.625,45.5,50.0,502400.0
1999-11-23,49.28125,50.25,46.75,48.1875,161400.0
1999-11-24,45.5,48.25,44.0625,46.0,227800.0
1999-11-26,46.0,46.75,45.25,45.6875,25300.0
1999-11-29,46.25,46.5,40.875,40.875,192200.0
1999-11-30,40.625,44.625,36.875,36.875,211600.0
1999-12-01,38.0625,41.3125,37.75,40.0,226900.0
1999-12-02,39.875,43.3125,39.5,41.875,312100.0
1999-12-03,43.75,44.4375,40.75,42.0,453000.0
1999-12-06,42.4375,49.5,40.625,47.875,290000.0
1999-12-07,50.0,50.625,45.375,47.625,154000.0
1999-12-08,48.25,49.0,43.0,46.75,114400.0
1999-12-09,47.0,47.5,42.625,44.0,223400.0
1999-12-10,44.375,46.0,42.875,45.25,122700.0
1999-12-13,45.5,47.5,42.0,44.75,111100.0
1999-12-14,42.875,45.75,42.5,43.25,103200.0
1999-12-15,42.0,44.75,42.0,42.5,152700.0
1999-12-16,42.28125,44.0,42.0625,42.75,69100.0
1999-12-17,44.125,44.125,41.5,43.0,264800.0
1999-12-20,42.5,43.75,38.625,38.625,205400.0
1999-12-21,39.15625,40.6875,34.625,39.9375,242000.0
1999-12-22,41.0625,45.5,40.9375,43.9375,260800.0
1999-12-23,44.5,46.5,44.5,45.25,105800.0
1999-12-27,45.125,49.0,40.125,46.5,360100.0
1999-12-28,47.0,51.25,45.25,48.75,172300.0
1999-12-29,46.625,50.0,45.25,49.125,73700.0
1999-12-30,50.125,51.5,48.375,48.5,92200.0
1999-12-31,50.9375,54.0,50.9375,52.5,83000.0
2000-01-03,59.5,60.0625,54.0,57.75,484200.0
2000-01-04,57.5625,58.25,50.5,51.875,353600.0
2000-01-05,52.0,58.0,51.875,57.0,335500.0
2000-01-06,57.0,59.0,54.5,55.375,318500.0
2000-01-07,54.25,57.0,54.25,56.8125,339000.0
2000-01-10,58.0,59.0,52.375,55.75,225400.0
2000-01-11,51.0,55.0,45.0,50.0,365500.0
2000-01-12,50.3125,50.375,45.0,48.0,169200.0
2000-01-13,50.0,57.75,48.25,57.5,450900.0
2000-01-14,59.5,60.75,54.125,57.5,242400.0
2000-01-18,59.0625,66.0,57.0,63.4375,267100.0
2000-01-19,65.0,65.5,61.0,64.25,157700.0
2000-01-20,65.125,68.0,61.25,62.75,65800.0
2000-01-21,65.0,68.625,63.75,67.125,335400.0
