Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1992-12-08,33.75,35.625,30.9375,32.5,76160.0
1992-12-09,33.125,34.375,31.25,33.75,37640.0
1992-12-10,33.75,34.375,31.875,33.75,23100.0
1992-12-11,32.5,33.75,31.875,33.75,6160.0
1992-12-14,33.75,33.75,31.875,33.75,12420.0
1992-12-15,33.75,33.75,31.875,33.75,8780.0
1992-12-16,32.5,33.75,31.875,33.75,15020.0
1992-12-17,31.875,40.0,31.25,37.5,37840.0
1992-12-18,40.625,41.25,36.25,36.25,11380.0
1992-12-21,36.25,39.375,36.25,39.375,13680.0
1992-12-22,36.25,39.375,35.625,38.75,10340.0
1992-12-23,36.25,38.75,35.0,36.25,14460.0
1992-12-24,35.0,37.5,35.0,37.5,1260.0
1992-12-28,35.0,37.5,35.0,35.0,5540.0
1992-12-29,37.5,37.5,35.0,37.5,5300.0
1992-12-30,35.0,37.5,35.0,35.0,10640.0
1992-12-31,37.5,37.5,35.0,37.5,11400.0
1993-01-04,35.0,37.5,35.0,35.0,1420.0
1993-01-05,35.0,37.5,35.0,35.0,5160.0
1993-01-06,35.0,37.5,35.0,35.0,4560.0
1993-01-07,35.0,37.5,34.6875,35.0,5080.0
1993-01-08,35.0,37.5,34.375,37.5,4540.0
1993-01-11,37.5,37.5,34.84375,37.5,5220.0
1993-01-12,37.5,37.5,35.0,35.15625,7640.0
1993-01-13,36.25,36.25,35.0,35.0,5480.0
1993-01-14,35.0,37.5,35.0,37.5,6640.0
1993-01-15,35.0,37.5,33.75,35.0,5260.0
1993-01-18,37.5,37.5,33.75,33.75,4880.0
1993-01-19,37.5,37.5,35.0,37.5,6400.0
1993-01-20,37.5,37.5,35.0,35.0,5760.0
1993-01-21,37.5,37.5,35.0,35.0,8420.0
1993-01-22,35.0,38.75,34.375,38.125,9840.0
1993-01-25,35.0,37.5,33.75,37.5,4140.0
1993-01-26,35.0,37.5,35.0,35.0,6380.0
1993-01-27,37.5,37.5,35.0,35.0,9120.0
1993-01-28,35.0,37.5,35.0,37.5,4320.0
1993-01-29,35.0,38.75,35.0,35.0,3480.0
1993-02-01,38.75,38.75,35.0,38.75,3100.0
1993-02-02,35.0,37.5,35.0,37.5,1340.0
1993-02-03,37.5,38.75,35.625,37.5,6500.0
1993-02-04,37.5,38.75,37.1875,38.75,5780.0
1993-02-05,38.75,38.75,37.5,37.5,3020.0
1993-02-08,37.5,38.75,37.5,37.5,3220.0
1993-02-09,37.5,41.25,37.5,40.625,4140.0
1993-02-10,37.5,40.625,37.5,40.0,4380.0
1993-02-11,37.5,40.625,37.5,40.0,4980.0
1993-02-12,37.5,40.625,37.5,40.0,1700.0
1993-02-16,37.5,38.75,35.0,35.0,2820.0
1993-02-17,37.5,38.75,35.0,38.75,3220.0
1993-02-18,38.75,38.75,35.0,37.5,5760.0
1993-02-19,35.0,38.125,35.0,35.0,3100.0
1993-02-22,36.875,38.125,36.875,37.5,4940.0
1993-02-23,37.5,38.125,36.25,38.125,6920.0
1993-02-24,38.125,38.125,36.25,38.125,1760.0
1993-02-25,38.125,38.75,36.25,36.25,8740.0
1993-02-26,36.25,39.375,36.25,38.75,8160.0
1993-03-01,36.25,39.375,36.25,39.375,1560.0
1993-03-02,36.25,39.375,36.25,36.25,2120.0
1993-03-03,36.25,38.75,36.25,36.875,2000.0
1993-03-04,38.75,38.75,36.25,38.75,3000.0
1993-03-05,36.25,38.75,35.0,35.0,2820.0
1993-03-08,35.0,37.5,35.0,37.5,4980.0
1993-03-09,35.0,37.5,35.0,35.0,3620.0
1993-03-10,35.0,37.5,35.0,37.5,9540.0
1993-03-11,37.5,37.5,35.0,37.5,4400.0
1993-03-12,37.5,37.5,37.5,37.5,960.0
1993-03-15,35.0,36.25,35.0,35.0,3660.0
1993-03-16,37.5,37.5,35.0,36.25,1000.0
1993-03-17,35.0,37.5,35.0,37.5,1980.0
1993-03-18,35.0,37.5,35.0,35.0,1640.0
1993-03-19,35.0,37.5,35.0,37.5,10160.0
1993-03-22,35.0,37.5,35.0,35.0,1360.0
1993-03-23,37.5,37.5,35.0,37.5,6800.0
1993-03-24,35.0,37.5,35.0,37.5,3700.0
1993-03-25,37.5,37.5,35.0,35.625,1760.0
1993-03-26,35.0,37.5,35.0,35.0,1600.0
1993-03-29,35.0,37.5,35.0,35.0,5880.0
1993-03-30,35.0,35.625,33.75,33.75,6340.0
1993-03-31,33.75,37.5,33.125,35.0,23300.0
1993-04-01,35.0,37.5,32.5,37.5,820.0
1993-04-02,36.875,36.875,32.5,36.25,1380.0
1993-04-05,35.0,35.0,32.5,32.5,180.0
1993-04-06,36.25,36.25,32.5,32.5,1740.0
1993-04-07,32.5,36.25,32.5,36.25,2660.0
1993-04-08,32.5,36.25,32.5,32.8125,3460.0
1993-04-12,36.25,36.25,32.5,32.5,1080.0
1993-04-13,32.5,35.0,32.5,34.0625,4140.0
1993-04-14,32.5,35.0,32.5,35.0,5320.0
1993-04-15,33.75,33.75,32.5,32.5,400.0
1993-04-16,35.0,35.0,32.5,32.5,1280.0
1993-04-19,35.0,35.0,32.5,32.5,5860.0
1993-04-20,32.5,33.75,32.5,33.75,5660.0
1993-04-21,32.5,33.75,32.5,33.75,1280.0
1993-04-22,33.75,35.0,32.5,32.5,1460.0
1993-04-23,32.5,35.0,32.5,35.0,1700.0
1993-04-26,32.5,32.5,32.5,32.5,180.0
1993-04-27,32.5,35.0,32.1875,34.375,4080.0
1993-04-28,31.875,34.375,31.875,34.375,1340.0
1993-04-29,34.375,34.375,31.875,34.375,3460.0
1993-04-30,31.875,34.375,31.875,34.375,11460.0
1993-05-03,31.875,34.375,31.875,31.875,860.0
1993-05-04,31.875,34.375,31.875,31.875,1620.0
1993-05-05,34.375,34.375,31.875,31.875,520.0
1993-05-06,34.375,34.375,31.875,31.875,4020.0
1993-05-07,31.875,34.375,31.875,31.875,1660.0
1993-05-10,31.875,34.375,31.875,34.375,900.0
1993-05-11,31.875,34.375,31.25,31.5625,3120.0
1993-05-12,30.625,34.375,30.625,30.625,5220.0
1993-05-13,30.625,34.375,30.625,30.625,4840.0
1993-05-14,33.75,33.75,30.625,33.75,4540.0
1993-05-17,33.75,33.75,30.625,30.625,1960.0
1993-05-18,31.25,33.75,31.25,31.25,4360.0
1993-05-19,31.25,33.125,31.25,32.5,9240.0
1993-05-20,33.125,34.375,31.875,34.375,11560.0
1993-05-21,32.5,36.25,32.5,33.75,8280.0
1993-05-24,33.75,36.25,33.75,33.75,5680.0
1993-05-25,33.75,36.25,33.75,36.25,8680.0
1993-05-26,36.25,36.875,33.75,35.0,10580.0
1993-05-27,36.875,36.875,35.0,35.0,3540.0
1993-05-28,37.5,37.5,35.0,35.0,15240.0
1993-06-01,35.0,36.25,35.0,36.25,1060.0
1993-06-02,36.25,39.375,36.25,36.25,9160.0
1993-06-03,36.25,38.125,36.25,36.25,3500.0
1993-06-04,36.25,38.125,36.25,36.25,3440.0
1993-06-07,36.25,38.125,36.25,36.25,4800.0
1993-06-08,35.625,38.75,35.625,36.25,2620.0
1993-06-09,38.75,38.75,36.25,36.25,4100.0
1993-06-10,38.75,38.75,36.25,36.25,4140.0
1993-06-11,36.25,38.75,36.25,36.875,3380.0
1993-06-14,38.75,38.75,38.75,38.75,40.0
1993-06-15,38.75,38.75,36.25,38.75,1280.0
1993-06-16,38.75,38.75,36.25,36.25,1420.0
1993-06-17,37.5,38.75,36.25,38.75,4800.0
1993-06-18,38.75,38.75,36.25,38.75,1780.0
1993-06-21,36.25,38.75,36.25,38.75,1020.0
1993-06-22,36.25,38.75,36.25,36.25,960.0
1993-06-23,38.75,38.75,36.25,38.125,1740.0
1993-06-24,36.25,38.75,36.25,38.75,2680.0
1993-06-25,36.25,38.75,35.625,35.625,3000.0
1993-06-28,35.625,38.75,35.625,35.625,2780.0
1993-06-29,35.625,38.75,34.375,35.0,4500.0
1993-06-30,35.0,38.75,35.0,36.25,14220.0
1993-07-01,35.625,35.625,33.75,33.75,3400.0
1993-07-02,35.0,35.0,34.375,34.375,500.0
1993-07-06,33.75,33.75,33.75,33.75,820.0
1993-07-07,33.75,36.25,33.75,36.25,6400.0
1993-07-08,36.25,36.25,33.75,36.25,2460.0
1993-07-09,33.75,36.25,33.75,36.25,1300.0
1993-07-12,36.25,36.25,33.75,33.75,220.0
1993-07-13,36.25,36.25,33.75,33.75,1560.0
1993-07-14,33.75,36.25,33.75,36.25,1440.0
1993-07-15,36.25,36.25,33.75,33.75,1600.0
1993-07-16,36.25,36.25,33.75,33.75,5640.0
1993-07-19,33.75,35.0,33.75,35.0,160.0
1993-07-20,33.75,36.25,33.75,34.375,640.0
1993-07-21,33.75,35.0,33.75,35.0,5500.0
1993-07-22,33.75,35.0,33.75,33.75,780.0
1993-07-23,33.75,33.75,33.75,33.75,540.0
1993-07-26,33.75,35.0,33.75,35.0,1840.0
1993-07-27,33.75,35.0,33.75,33.75,1620.0
1993-07-28,35.0,35.0,33.75,35.0,560.0
1993-07-29,33.75,33.75,33.75,33.75,200.0
