Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2008-09-03,6.7,6.73,6.5,6.73,1800.0
2008-09-04,6.93,6.8,6.575,6.79,2200.0
2008-09-05,6.7,6.7,6.615,6.625,1912.0
2008-09-08,6.63,6.825,6.625,6.73,4016.0
2008-09-09,6.695,6.7,6.675,6.675,880.0
2008-09-10,6.46,6.46,6.425,6.425,1800.0
2008-09-11,6.555,6.555,6.305,6.305,1800.0
2008-09-12,6.205,6.23,6.135,6.135,5200.0
2008-09-15,6.13,6.13,5.84,6.1,2604.0
2008-09-16,5.83,5.945,5.77,5.945,2430.0
2008-09-17,5.905,6.075,5.75,5.755,6124.0
2008-09-18,5.605,5.62,5.0,5.41,4200.0
2008-09-19,5.625,6.105,5.625,5.725,10700.0
2008-09-22,5.725,5.725,5.67,5.675,2000.0
2008-09-23,5.595,5.595,5.59,5.59,800.0
2008-09-24,5.555,5.585,5.38,5.38,33284.0
2008-09-25,5.365,5.455,5.14,5.45,6504.0
2008-09-26,5.275,5.525,5.275,5.425,20274.0
2008-09-29,5.225,5.375,4.88,5.265,13484.0
2008-09-30,5.38,5.545,5.305,5.45,12210.0
2008-10-01,5.485,5.495,5.485,5.495,940.0
2008-10-02,5.54,5.54,4.88,5.23,3082.0
2008-10-03,5.015,5.015,5.015,5.015,600.0
2008-10-06,4.91,4.91,4.51,4.57,1542.0
2008-10-07,4.5,4.5,4.375,4.375,4400.0
2008-10-08,4.17,4.37,4.08,4.37,27212.0
2008-10-09,4.37,4.64,4.37,4.375,29900.0
2008-10-10,4.25,4.25,4.005,4.075,24088.0
2008-10-13,4.63,4.63,4.63,4.63,600.0
2008-10-14,4.985,5.0,4.875,4.875,9198.0
2008-10-15,4.66,4.66,4.625,4.625,1600.0
2008-10-16,4.925,4.94,4.655,4.655,1992.0
2008-10-17,4.71,4.87,4.71,4.87,7466.0
2008-10-20,4.875,4.875,4.815,4.815,1022.0
2008-10-21,4.725,4.695,4.385,4.385,13612.0
2008-10-22,4.39,4.39,4.39,4.39,200.0
2008-10-23,4.39,4.62,4.39,4.62,400.0
2008-10-24,4.42,4.42,4.255,4.375,19596.0
