Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-03-13,10.85,10.85,10.62,10.65,3295.0
2017-03-14,10.58,10.58,10.39,10.46,14609.0
2017-03-15,10.68,10.795,10.32,10.5,24943.0
2017-03-16,10.79,10.79,10.4,10.4,12330.0
2017-03-17,10.3,10.49,10.3,10.48,20515.0
2017-03-20,10.53,10.53,10.31,10.31,6760.0
2017-03-21,10.3,10.45,10.15,10.16,1444103.0
2017-03-22,10.19,10.36,10.16,10.16,5904.0
2017-03-23,10.3,10.33,10.28,10.3,13022.0
2017-03-24,10.36,10.36,10.15,10.2,26825.0
2017-03-27,10.19,10.23,9.95,10.14,21062.0
2017-03-28,10.05,10.21,10.05,10.15,33104.0
2017-03-29,10.19,10.26,10.16,10.2,20720.0
2017-03-30,10.2,10.25,10.12,10.13,56562.0
2017-03-31,10.15,10.53,10.15,10.5,42717.0
2017-04-03,10.51,10.51,10.3,10.45,28869.0
2017-04-04,10.31,10.475,10.26,10.37,52668.0
2017-04-05,10.5,10.5,10.4,10.43,24229.0
2017-04-06,10.5,10.5,10.39,10.45,25953.0
2017-04-07,10.5,10.5,10.37,10.45,21369.0
2017-04-10,10.44,10.44,10.23,10.39,9566.0
2017-04-11,10.36,10.4,10.3,10.34,17521.0
2017-04-12,10.3,10.355,10.28,10.31,54603.0
2017-04-13,10.3,10.33,10.23,10.3,8723.0
2017-04-17,10.3,10.36,10.24,10.28,48187.0
2017-04-18,10.24,10.3,10.23,10.28,35691.0
2017-04-19,10.41,10.41,10.26,10.27,47098.0
2017-04-20,10.23,10.38,10.23,10.3,45753.0
2017-04-21,10.13,10.3,10.13,10.26,33082.0
2017-04-24,10.5,10.5,10.27,10.39,136257.0
2017-04-25,10.39,10.63,10.39,10.57,45691.0
2017-04-26,10.56,10.6,10.54,10.57,59061.0
2017-04-27,10.56,10.56,10.34,10.43,22723.0
2017-04-28,10.5,10.55,10.24,10.39,22116.0
2017-05-01,10.43,10.43,10.25,10.27,29167.0
2017-05-02,10.31,10.35,10.25,10.29,31909.0
2017-05-03,10.21,10.475,10.21,10.3,15662.0
2017-05-04,10.33,10.33,10.13,10.16,23873.0
2017-05-05,10.2,10.46,9.885,10.4,24210.0
2017-05-08,10.5,10.58,10.4,10.52,97555.0
2017-05-09,10.73,10.74,10.27,10.3,118811.0
2017-05-10,10.32,10.41,10.25,10.33,43428.0
2017-05-11,10.29,10.49,10.29,10.44,22087.0
2017-05-12,10.47,10.52,10.4,10.42,35116.0
2017-05-15,10.45,10.5,10.33,10.39,24495.0
2017-05-16,10.41,10.41,10.18,10.2,29360.0
2017-05-17,10.32,10.39,9.99,10.03,97453.0
2017-05-18,10.0,10.2,10.0,10.15,20181.0
2017-05-19,10.13,10.36,10.02,10.25,27852.0
2017-05-22,10.25,10.3,10.17,10.25,14049.0
2017-05-23,10.24,10.28,10.01,10.18,50552.0
2017-05-24,10.24,10.25,10.08,10.1,54163.0
2017-05-25,10.13,10.26,10.01,10.18,24492.0
2017-05-26,10.15,10.25,10.11,10.18,17196.0
2017-05-30,10.22,10.4,10.17,10.25,64975.0
2017-05-31,10.25,10.57,10.25,10.46,47110.0
2017-06-01,10.42,10.5,10.26,10.5,36040.0
2017-06-02,10.49,10.5,10.4,10.48,18177.0
2017-06-05,10.49,10.5,10.3,10.36,21542.0
2017-06-06,10.41,10.41,10.16,10.24,22286.0
2017-06-07,10.25,10.35,10.2,10.23,12191.0
2017-06-08,10.28,10.28,10.17,10.18,22881.0
2017-06-09,10.26,10.26,10.01,10.08,38743.0
2017-06-12,10.27,10.5,10.11,10.37,111683.0
2017-06-13,10.27,10.6,10.27,10.57,187978.0
2017-06-14,10.6,10.61,10.545,10.6,198765.0
2017-06-15,10.6,10.85,10.59,10.71,168778.0
2017-06-16,10.69,11.0,10.49,10.51,1228188.0
2017-06-19,10.57,10.99,10.57,10.9,142133.0
2017-06-20,10.94,11.1,10.48,11.0,51775.0
2017-06-21,11.13,11.47,10.98,11.4,94891.0
2017-06-22,11.45,11.81,11.45,11.75,151092.0
2017-06-23,11.77,11.85,11.34,11.59,46305.0
2017-06-26,11.58,11.75,11.4,11.72,140822.0
2017-06-27,11.74,12.06,11.73,11.79,94132.0
2017-06-28,11.91,11.94,11.76,11.88,75996.0
2017-06-29,11.77,11.95,11.75,11.86,82201.0
2017-06-30,11.95,12.04,11.8,11.95,55836.0
2017-07-03,12.02,12.25,11.95,11.98,25644.0
2017-07-05,11.98,12.15,11.92,11.99,153455.0
2017-07-06,11.96,12.15,11.485,11.74,141622.0
2017-07-07,11.8,11.8,11.56,11.6,59998.0
2017-07-10,11.59,11.71,11.51,11.68,40465.0
2017-07-11,11.71,11.91,11.71,11.88,35382.0
2017-07-12,11.94,11.99,11.83,11.84,84243.0
2017-07-13,11.82,12.0,11.73,11.94,44057.0
2017-07-14,12.0,12.0,11.72,11.78,132585.0
2017-07-17,11.85,12.08,11.85,12.03,67375.0
2017-07-18,12.09,12.09,11.95,11.99,59771.0
2017-07-19,12.01,12.24,11.94,12.06,62325.0
2017-07-20,12.17,12.23,12.02,12.1,46155.0
2017-07-21,12.16,12.25,11.79,12.02,48231.0
2017-07-24,12.02,12.15,11.88,12.04,32147.0
2017-07-25,12.09,12.09,11.81,11.82,48363.0
2017-07-26,11.87,11.96,11.6,11.72,19202.0
2017-07-27,11.75,11.86,11.75,11.79,31744.0
2017-07-28,11.83,11.95,11.66,11.74,16931.0
2017-07-31,11.69,11.92,11.69,11.82,34299.0
2017-08-01,11.86,12.06,11.82,11.83,36985.0
2017-08-02,11.76,11.92,11.7,11.79,49040.0
2017-08-03,11.73,11.95,11.51,11.67,53830.0
2017-08-04,11.32,12.06,11.3,11.9,87371.0
2017-08-07,11.89,11.9,11.5,11.9,49239.0
2017-08-08,11.81,11.87,11.56,11.59,42654.0
2017-08-09,11.51,11.63,11.33,11.52,49368.0
2017-08-10,11.5,11.5,11.3,11.41,16666.0
2017-08-11,11.44,11.44,11.2,11.23,39566.0
2017-08-14,11.31,11.43,11.29,11.4,18393.0
2017-08-15,11.4,11.4,11.28,11.31,15792.0
2017-08-16,11.4,11.47,11.315,11.44,47235.0
2017-08-17,11.44,11.49,11.09,11.14,24469.0
2017-08-18,11.18,11.18,11.05,11.11,43331.0
2017-08-21,11.12,11.27,10.95,11.05,11417.0
2017-08-22,11.13,11.21,10.93,11.18,11467.0
2017-08-23,11.17,11.35,10.86,11.02,22982.0
2017-08-24,11.02,11.44,10.92,11.25,37114.0
2017-08-25,11.22,11.22,10.86,10.98,51354.0
2017-08-28,10.98,11.13,10.7,10.87,54230.0
2017-08-29,10.72,10.9,10.41,10.65,94035.0
2017-08-30,10.57,10.66,10.17,10.39,141106.0
2017-08-31,10.3,10.45,10.21,10.37,58952.0
2017-09-01,10.43,10.94,10.43,10.85,48851.0
2017-09-05,10.8,11.01,10.75,10.79,73137.0
2017-09-06,10.75,10.83,10.55,10.76,35427.0
2017-09-07,10.98,11.06,10.79,10.9,59884.0
2017-09-08,10.91,10.96,10.735,10.87,25013.0
2017-09-11,10.96,11.0,10.85,10.99,54518.0
