Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-12-07,7.55,9.19,7.09,9.0,474535.0
2016-12-08,9.59,9.59,8.45,8.6,36910.0
2016-12-09,8.75,8.87,8.58,8.87,26233.0
2016-12-12,8.93,8.93,8.03,8.22,19420.0
2016-12-13,8.17,8.33,7.82,7.93,15694.0
2016-12-14,8.1,8.85,8.01,8.72,20956.0
2016-12-15,8.87,9.04,8.65,9.02,17049.0
2016-12-16,9.09,9.18,8.93,9.15,23820.0
2016-12-19,9.45,9.45,9.25,9.3,5533.0
2016-12-20,9.35,10.24,9.115,10.03,41455.0
2016-12-21,10.02,10.64,10.02,10.3,34696.0
2016-12-22,10.15,10.39,9.85,10.11,20556.0
2016-12-23,10.2,10.2,9.87,10.04,9135.0
2016-12-27,10.09,10.09,9.55,9.73,5227.0
2016-12-28,9.5,9.53,8.17,8.73,38108.0
2016-12-29,8.88,8.98,8.53,8.94,11116.0
2016-12-30,9.0,9.05,8.8,8.95,3765.0
2017-01-03,9.1,9.1,8.59,8.6,7446.0
2017-01-04,8.5,8.52,8.18,8.37,11083.0
2017-01-05,8.49,8.55,8.28,8.36,13320.0
2017-01-06,8.4,8.45,8.35,8.4,8612.0
2017-01-09,8.6,8.65,8.14,8.33,7661.0
2017-01-10,8.4,8.4,8.0,8.29,29962.0
2017-01-11,8.29,8.3,8.19,8.19,2353.0
2017-01-12,8.27,8.27,7.75,7.96,15228.0
2017-01-13,7.63,8.18,7.63,8.07,1951.0
2017-01-17,8.18,8.18,7.79,7.89,1936.0
2017-01-18,7.96,8.02,7.69,7.71,24696.0
2017-01-19,7.65,8.1,7.65,8.01,3569.0
2017-01-20,8.25,8.26,8.18,8.18,11192.0
2017-01-23,8.18,8.18,8.1,8.17,1964.0
2017-01-24,8.18,8.18,8.13,8.17,2851.0
2017-01-25,8.1,8.25,8.1,8.17,7396.0
2017-01-26,8.24,8.35,8.24,8.35,821.0
2017-01-27,8.26,8.37,8.01,8.27,1985.0
2017-01-30,8.27,8.27,8.02,8.22,8578.0
2017-01-31,8.27,8.37,8.27,8.28,1411.0
2017-02-01,8.3,8.3,8.01,8.13,11030.0
2017-02-02,8.06,8.1,7.8,7.8,13254.0
2017-02-03,7.8,7.91,7.8,7.87,643.0
2017-02-06,7.99,8.0,7.85,7.94,9652.0
2017-02-07,7.95,8.0,7.84,7.88,5133.0
2017-02-08,7.95,7.95,7.87,7.9,787.0
2017-02-09,7.92,8.425,7.92,8.25,25325.0
2017-02-10,8.25,8.8,8.25,8.42,64312.0
2017-02-13,8.6,9.15,8.58,8.95,16041.0
2017-02-14,9.38,9.38,8.61,8.76,31438.0
2017-02-15,8.83,8.94,8.5,8.83,6899.0
2017-02-16,8.95,9.15,8.83,9.15,43450.0
2017-02-17,9.05,9.15,8.86,8.91,4173.0
2017-02-21,8.95,9.05,8.8,8.91,8380.0
2017-02-22,8.9,8.94,8.7,8.82,4035.0
2017-02-23,9.04,9.05,8.85,9.01,10708.0
2017-02-24,9.05,9.13,8.79,9.06,29622.0
2017-02-27,9.05,9.1,8.82,9.03,3379.0
2017-02-28,8.99,9.0,8.72,8.72,5499.0
2017-03-01,8.84,8.84,8.65,8.8,10079.0
2017-03-02,8.63,8.67,8.1,8.16,24628.0
2017-03-03,7.9,8.92,7.9,8.78,36095.0
2017-03-06,10.25,11.45,9.0,9.23,407922.0
2017-03-07,9.27,9.36,8.59,9.15,100281.0
2017-03-08,9.15,9.3,8.92,9.09,16438.0
2017-03-09,9.11,9.11,8.92,8.93,6648.0
2017-03-10,9.02,9.35,8.86,8.87,16781.0
2017-03-13,8.94,9.35,8.94,9.3,25517.0
2017-03-14,9.36,9.36,9.03,9.05,16744.0
2017-03-15,8.99,9.05,8.4,8.49,62736.0
2017-03-16,8.5,8.68,8.11,8.11,44824.0
2017-03-17,8.08,8.24,7.62,7.64,99072.0
2017-03-20,7.7,8.43,7.7,8.0,57514.0
2017-03-21,8.16,8.19,7.74,8.16,50660.0
2017-03-22,8.13,8.17,7.83,8.1,20570.0
2017-03-23,8.05,8.17,7.95,7.97,45758.0
2017-03-24,7.95,8.2,7.87,8.13,31255.0
2017-03-27,8.11,8.22,8.02,8.22,17739.0
2017-03-28,8.17,8.18,8.05,8.18,6439.0
2017-03-29,8.12,8.16,8.06,8.08,7954.0
2017-03-30,8.02,8.19,7.95,8.07,15329.0
2017-03-31,8.06,8.3,8.06,8.3,26863.0
2017-04-03,8.26,8.6,8.23,8.57,13416.0
2017-04-04,8.63,8.9,8.45,8.89,33864.0
2017-04-05,8.88,8.95,8.8,8.93,33811.0
2017-04-06,8.87,8.97,8.79,8.93,22405.0
2017-04-07,8.9,9.19,8.75,9.11,85165.0
2017-04-10,9.18,9.18,8.79,8.83,3390.0
2017-04-11,8.76,8.8,8.67,8.8,2813.0
2017-04-12,8.75,8.83,8.25,8.41,14480.0
2017-04-13,8.34,8.34,8.0,8.1,22448.0
2017-04-17,7.99,8.05,7.86,7.86,25880.0
2017-04-18,7.83,8.25,7.81,7.81,6623.0
2017-04-19,7.87,7.96,7.33,7.35,43086.0
2017-04-20,7.48,7.7,7.3,7.65,21111.0
2017-04-21,7.59,7.61,7.53,7.54,1368.0
2017-04-24,7.56,7.62,7.33,7.34,23437.0
2017-04-25,7.27,7.55,6.25,6.4,109109.0
2017-04-26,6.56,6.72,5.53,5.79,82644.0
2017-04-27,5.65,5.88,5.16,5.6,115841.0
2017-04-28,4.91,5.5,4.35,5.33,192520.0
2017-05-01,5.4,5.87,5.12,5.85,72504.0
2017-05-02,5.84,5.84,5.55,5.68,23739.0
2017-05-03,5.63,5.95,5.46,5.84,39390.0
2017-05-04,5.8,5.8,5.35,5.48,28399.0
2017-05-05,5.5,5.78,5.25,5.31,25549.0
2017-05-08,5.27,5.27,4.97,5.17,16225.0
2017-05-09,5.13,5.18,5.11,5.13,12627.0
2017-05-10,5.13,5.13,4.87,4.95,12249.0
2017-05-11,5.07,5.07,4.89,4.95,10090.0
2017-05-12,4.95,4.99,4.9,4.91,5620.0
2017-05-15,4.84,4.85,4.81,4.83,21202.0
2017-05-16,4.82,4.87,4.76,4.76,37569.0
2017-05-17,4.76,4.83,4.7,4.76,18051.0
2017-05-18,4.8,4.8,4.64,4.68,11653.0
2017-05-19,4.69,4.77,4.68,4.77,22115.0
2017-05-22,4.8,4.9,4.73,4.78,7812.0
2017-05-23,4.76,5.35,4.76,5.17,60567.0
2017-05-24,5.3,5.35,4.88,5.3,65260.0
2017-05-25,5.35,5.51,5.17,5.2,22458.0
2017-05-26,5.24,5.32,5.08,5.26,33833.0
2017-05-30,5.3,5.3,5.11,5.15,6328.0
2017-05-31,5.12,5.22,5.05,5.19,10705.0
2017-06-01,5.17,5.52,5.15,5.17,24475.0
2017-06-02,5.16,5.34,5.12,5.23,13400.0
2017-06-05,5.23,5.26,5.15,5.21,12759.0
2017-06-06,5.25,5.25,5.155,5.18,13463.0
2017-06-07,5.16,5.26,5.11,5.18,6684.0
2017-06-08,5.14,5.18,5.08,5.13,5403.0
2017-06-09,5.1,5.25,4.5,4.93,39688.0
2017-06-12,4.89,4.91,4.815,4.86,4931.0
2017-06-13,4.86,4.86,4.61,4.84,30748.0
2017-06-14,4.77,5.0,4.68,4.93,7769.0
2017-06-15,4.89,4.97,4.8,4.82,20667.0
2017-06-16,4.86,4.87,4.63,4.64,11396.0
2017-06-19,4.65,4.8,4.6,4.68,15228.0
2017-06-20,4.65,4.87,4.65,4.84,3756.0
2017-06-21,4.82,5.01,4.81,4.95,7699.0
2017-06-22,4.99,5.08,4.93,4.99,6617.0
2017-06-23,5.0,5.05,4.96,5.01,7641.0
2017-06-26,5.06,5.06,4.83,4.91,7359.0
2017-06-27,4.94,4.98,4.9,4.92,2529.0
2017-06-28,4.9,5.09,4.9,5.0,10724.0
2017-06-29,5.04,5.36,5.04,5.22,7604.0
2017-06-30,5.32,5.37,5.12,5.31,17760.0
2017-07-03,5.36,5.36,5.15,5.3,4860.0
2017-07-05,5.34,5.4,5.16,5.36,7138.0
2017-07-06,5.47,5.47,5.25,5.31,15009.0
2017-07-07,5.27,5.46,5.25,5.46,20788.0
2017-07-10,5.42,5.55,5.31,5.55,10801.0
2017-07-11,5.6,5.6,5.34,5.38,13066.0
2017-07-12,5.39,5.47,5.38,5.4,4413.0
2017-07-13,5.48,5.57,5.43,5.46,7847.0
2017-07-14,5.5,6.21,5.5,6.16,56839.0
2017-07-17,6.42,6.52,6.15,6.17,29166.0
2017-07-18,6.22,6.22,5.9,5.96,22205.0
2017-07-19,5.91,5.91,5.69,5.76,9353.0
2017-07-20,5.8,5.96,5.8,5.93,3249.0
2017-07-21,5.99,6.04,5.89,6.04,11935.0
2017-07-24,6.02,6.07,5.75,5.84,10318.0
2017-07-25,5.91,5.91,5.75,5.85,11250.0
2017-07-26,5.89,5.89,5.65,5.65,9265.0
2017-07-27,5.69,5.69,5.43,5.51,14587.0
2017-07-28,5.54,5.54,5.11,5.16,14990.0
2017-07-31,5.13,5.34,5.13,5.25,17975.0
2017-08-01,5.36,5.36,4.75,4.85,76057.0
2017-08-02,4.85,4.98,4.76,4.78,10236.0
2017-08-03,4.72,4.85,4.57,4.8,18857.0
2017-08-04,4.83,4.88,4.78,4.78,5233.0
2017-08-07,4.8,5.0,4.77,4.94,12436.0
2017-08-08,4.96,4.96,4.71,4.73,20630.0
2017-08-09,4.4,4.68,4.14,4.38,64865.0
2017-08-10,4.35,4.51,4.35,4.48,21809.0
2017-08-11,4.5,4.5,4.25,4.33,16283.0
2017-08-14,4.3,4.37,4.2,4.21,11008.0
2017-08-15,4.2,4.27,4.13,4.27,17433.0
2017-08-16,4.28,4.35,4.23,4.33,5674.0
2017-08-17,4.3,4.3,4.2,4.26,11124.0
2017-08-18,4.26,4.26,4.17,4.17,11513.0
2017-08-21,4.2,4.26,4.19,4.26,5461.0
2017-08-22,4.24,4.36,4.24,4.3,2077.0
2017-08-23,4.28,4.32,4.21,4.25,3865.0
2017-08-24,4.28,4.48,4.28,4.48,3574.0
2017-08-25,4.45,4.89,4.45,4.89,7224.0
2017-08-28,4.87,4.87,4.53,4.58,10679.0
2017-08-29,4.6,4.6,4.44,4.47,5411.0
2017-08-30,4.45,4.56,4.45,4.5,13386.0
2017-08-31,4.5,4.7,4.5,4.65,6627.0
2017-09-01,4.63,4.86,4.63,4.71,7326.0
2017-09-05,4.74,4.82,4.7,4.76,2976.0
2017-09-06,4.75,4.75,4.52,4.59,9056.0
2017-09-07,4.56,4.57,4.46,4.49,2887.0
2017-09-08,4.52,4.74,4.52,4.62,6019.0
2017-09-11,4.65,4.74,4.63,4.68,2429.0
2017-09-12,4.7,4.93,4.7,4.93,3924.0
2017-09-13,4.94,4.97,4.89,4.94,4272.0
2017-09-14,4.91,4.94,4.67,4.69,5859.0
2017-09-15,4.65,4.76,4.52,4.52,21978.0
2017-09-18,4.51,4.57,4.4,4.45,4535.0
2017-09-19,4.49,4.63,4.49,4.53,4110.0
2017-09-20,4.56,4.78,4.55,4.78,6310.0
2017-09-21,4.7,4.7,4.56,4.64,1510.0
2017-09-22,4.6,4.6,4.5,4.55,12199.0
