Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-06-30,130.5,135.0,130.5,135.0,26.133333333333333
2017-07-03,144.29999999999998,198.75,144.29999999999998,181.5,61.6
2017-07-05,212.25,422.4,212.25,301.5,1777.6666666666667
2017-07-06,300.0,300.0,237.0,237.0,303.1333333333333
2017-07-07,225.0,225.0,157.5,169.04999999999998,663.0666666666667
2017-07-10,152.25,190.35,152.25,168.45000000000002,211.6
2017-07-11,180.0,180.0,166.5,179.70000000000002,459.8
2017-07-12,181.5,185.1,172.5,181.35,79.13333333333334
2017-07-13,184.04999999999998,187.5,175.5,175.5,172.66666666666666
2017-07-14,187.20000000000002,187.20000000000002,173.55,173.55,90.2
2017-07-17,172.5,172.5,168.0,168.0,75.13333333333334
2017-07-18,176.1,176.1,171.75,171.75,48.13333333333333
2017-07-19,178.20000000000002,179.25,175.2,176.25,80.66666666666667
2017-07-20,176.25,176.25,173.25,173.25,85.06666666666666
2017-07-21,168.9,172.65,168.9,171.45,21.2
2017-07-24,165.75,169.2,165.75,166.64999999999998,21.8
2017-07-25,168.75,170.54999999999998,168.6,168.6,33.333333333333336
2017-07-26,176.7,176.7,154.35,170.1,139.53333333333333
2017-07-27,159.0,159.0,150.0,150.0,113.46666666666667
2017-07-28,150.0,150.0,143.7,143.7,37.733333333333334
2017-07-31,147.45,148.5,122.99999999999999,122.99999999999999,319.1333333333333
2017-08-01,112.5,114.0,82.64999999999999,88.65,1411.8666666666666
2017-08-02,93.0,93.0,83.85,84.0,218.66666666666666
2017-08-03,82.64999999999999,82.64999999999999,67.5,73.65,800.4666666666667
2017-08-04,67.64999999999999,72.0,67.64999999999999,72.0,125.53333333333333
2017-08-07,70.5,77.55,69.6,72.9,59.4
2017-08-08,72.30000000000001,72.30000000000001,65.25,65.7,141.73333333333332
2017-08-09,66.0,78.0,66.0,78.0,434.46666666666664
2017-08-10,86.55,86.55,67.5,70.5,226.4
2017-08-11,73.35,73.35,62.099999999999994,65.4,440.6
2017-08-14,62.099999999999994,64.05,62.099999999999994,64.05,390.6
2017-08-15,63.3,63.3,51.45,54.449999999999996,310.1333333333333
2017-08-16,52.65,58.5,52.5,58.5,138.0
2017-08-17,60.0,86.39999999999999,60.0,75.3,422.8
2017-08-18,79.95,79.95,66.15,76.35,237.33333333333334
2017-08-21,78.60000000000001,84.0,67.2,79.35,334.2
2017-08-22,70.65,75.14999999999999,57.9,67.05,783.5333333333333
2017-08-23,36.75,36.75,34.8,35.699999999999996,11293.533333333333
2017-08-24,35.699999999999996,36.0,34.5,35.550000000000004,1942.8666666666666
2017-08-25,35.25,35.85,34.95,35.550000000000004,781.1333333333333
2017-08-28,35.4,35.550000000000004,33.300000000000004,34.5,1260.0
2017-08-29,34.5,35.25,33.0,34.8,12855.666666666666
2017-08-30,35.4,35.4,33.75,34.05,3638.8
2017-08-31,34.65,36.150000000000006,33.75,34.199999999999996,4966.933333333333
2017-09-01,33.75,34.65,33.0,33.15,719.2666666666667
2017-09-05,34.199999999999996,34.35,32.85,33.6,588.2666666666667
2017-09-06,34.199999999999996,34.35,32.25,33.0,426.1333333333333
2017-09-07,33.0,34.05,32.25,34.05,869.8
2017-09-08,34.5,34.5,33.0,33.9,159.73333333333332
2017-09-11,34.95,34.95,32.400000000000006,34.35,390.0
2017-09-12,33.0,35.4,33.0,35.4,346.6666666666667
2017-09-13,35.4,35.4,34.8,34.8,396.2
2017-09-14,34.5,35.099999999999994,33.0,33.0,478.46666666666664
2017-09-15,33.0,34.05,30.449999999999996,30.449999999999996,2575.733333333333
2017-09-18,31.200000000000003,31.65,31.200000000000003,31.200000000000003,496.8666666666667
2017-09-19,31.049999999999997,31.049999999999997,27.3,28.65,775.8666666666667
2017-09-20,27.3,27.900000000000002,27.3,27.900000000000002,59.8
2017-09-21,27.900000000000002,27.900000000000002,27.3,27.450000000000003,60.4
2017-09-22,27.6,28.65,27.150000000000002,28.65,197.06666666666666
2017-09-25,29.7,29.7,27.900000000000002,28.349999999999998,178.26666666666668
2017-09-26,26.85,28.05,26.85,27.75,119.93333333333334
2017-09-27,27.450000000000003,27.6,27.0,27.0,236.53333333333333
2017-09-28,27.0,34.95,27.0,33.9,5690.866666666667
2017-09-29,34.95,34.95,31.65,32.400000000000006,709.9333333333333
2017-10-02,33.75,33.75,30.3,30.3,217.66666666666666
2017-10-03,30.0,30.15,22.65,26.55,1237.9333333333334
2017-10-04,27.0,27.900000000000002,26.4,26.55,516.2666666666667
2017-10-05,26.7,27.900000000000002,25.5,27.150000000000002,301.2
2017-10-06,26.7,30.15,26.7,29.099999999999998,600.8666666666667
2017-10-09,28.5,30.3,28.2,29.099999999999998,220.13333333333333
2017-10-10,28.65,28.65,27.0,28.349999999999998,234.33333333333334
2017-10-11,28.5,39.6,28.5,33.45,3494.0666666666666
2017-10-12,36.75,38.25,30.6,31.5,3257.9333333333334
2017-10-13,30.749999999999996,30.749999999999996,29.4,30.6,887.6666666666666
2017-10-16,31.5,31.5,28.95,28.95,737.5333333333333
2017-10-17,30.749999999999996,30.749999999999996,27.6,28.5,533.0666666666667
2017-10-18,28.2,29.4,28.2,28.349999999999998,246.86666666666667
2017-10-19,29.55,29.55,27.450000000000003,28.2,129.86666666666667
2017-10-20,27.0,28.05,27.0,28.05,49.0
2017-10-23,27.0,33.0,27.0,28.799999999999997,559.6666666666666
2017-10-24,30.15,31.65,28.95,31.65,209.8
2017-10-25,30.900000000000002,31.8,30.3,30.749999999999996,207.0
2017-10-26,29.55,31.95,29.55,31.8,431.0
2017-10-27,30.749999999999996,31.95,29.25,30.6,221.26666666666668
2017-10-30,29.4,30.3,28.5,28.5,183.0
2017-10-31,28.5,30.0,28.5,29.25,123.06666666666666
2017-11-01,28.65,29.7,24.150000000000002,25.349999999999998,2232.0
2017-11-02,24.0,24.75,21.299999999999997,24.45,1306.2666666666667
2017-11-03,23.25,23.25,19.950000000000003,22.05,2342.4666666666667
2017-11-06,21.299999999999997,21.299999999999997,20.25,20.55,463.0
2017-11-07,19.8,20.55,19.650000000000002,20.25,598.2
2017-11-08,21.0,21.0,20.400000000000002,20.400000000000002,101.8
2017-11-09,21.0,21.0,20.400000000000002,20.400000000000002,88.46666666666667
2017-11-10,21.0,21.75,19.650000000000002,19.8,3879.6666666666665
2017-11-13,19.650000000000002,20.325,18.45,20.25,930.5333333333333
2017-11-14,20.25,20.55,19.2,20.25,237.2
2017-11-15,19.05,19.2,17.849999999999998,19.2,194.06666666666666
2017-11-16,19.5,21.0,19.5,20.25,306.46666666666664
2017-11-17,21.0,21.0,19.950000000000003,20.55,548.6666666666666
2017-11-20,20.25,20.400000000000002,19.2,19.2,93.26666666666667
2017-11-21,18.9,18.9,18.3,18.6,98.86666666666666
2017-11-22,19.05,19.05,18.0,19.05,118.06666666666666
2017-11-24,19.5,19.5,18.3,19.35,100.0
2017-11-27,19.5,19.5,18.15,18.9,252.06666666666666
2017-11-28,18.0,18.3,18.0,18.15,63.46666666666667
2017-11-29,18.6,20.400000000000002,18.15,20.400000000000002,333.6
2017-11-30,19.650000000000002,20.625,18.75,19.5,347.73333333333335
2017-12-01,19.2,19.35,18.3,19.35,113.6
2017-12-04,19.35,19.35,18.0,18.3,308.93333333333334
2017-12-05,18.0,18.45,18.0,18.3,56.53333333333333
2017-12-06,18.0,18.15,17.7,17.7,197.8
2017-12-07,17.7,18.15,16.650000000000002,17.549999999999997,175.0
2017-12-08,17.849999999999998,17.849999999999998,16.8,17.4,175.8
2017-12-11,17.549999999999997,18.15,16.95,16.95,59.86666666666667
2017-12-12,17.099999999999998,17.099999999999998,16.35,16.35,107.66666666666667
2017-12-13,16.5,18.0,16.35,16.5,96.0
2017-12-14,16.35,21.45,16.35,18.0,4084.2
2017-12-15,17.849999999999998,17.849999999999998,16.200000000000003,16.35,329.6
2017-12-18,17.4,17.4,15.450000000000001,16.95,1078.9333333333334
2017-12-19,17.4,17.4,15.75,16.200000000000003,312.8
2017-12-20,16.5,21.0,14.85,17.4,6784.866666666667
2017-12-21,17.7,18.75,17.4,18.3,292.73333333333335
2017-12-22,18.45,18.45,17.25,17.849999999999998,597.2
2017-12-26,17.7,18.0,17.4,17.849999999999998,729.4
2017-12-27,17.7,18.6,17.7,18.6,207.4
2017-12-28,18.45,18.75,17.4,17.849999999999998,919.6666666666666
2017-12-29,17.549999999999997,18.3,17.099999999999998,18.3,909.4666666666667
2018-01-02,17.25,18.45,17.25,17.25,624.0
2018-01-03,17.25,18.75,17.25,17.549999999999997,327.73333333333335
2018-01-04,17.4,17.849999999999998,17.4,17.7,62.53333333333333
2018-01-05,17.849999999999998,18.15,17.549999999999997,17.7,247.13333333333333
2018-01-08,17.549999999999997,17.549999999999997,17.549999999999997,17.549999999999997,12.466666666666667
2018-01-09,17.849999999999998,18.15,17.7,18.15,118.13333333333334
2018-01-10,18.6,21.0,18.3,18.75,1171.0
2018-01-11,19.05,19.950000000000003,19.05,19.5,469.2
2018-01-12,19.5,20.175,19.2,19.5,267.53333333333336
2018-01-16,19.650000000000002,19.650000000000002,17.549999999999997,17.849999999999998,670.8666666666667
2018-01-17,17.7,17.7,16.650000000000002,17.25,520.1333333333333
2018-01-18,17.4,17.849999999999998,17.4,17.7,198.46666666666667
2018-01-19,18.0,18.0,17.099999999999998,17.849999999999998,225.93333333333334
2018-01-22,18.0,18.0,17.099999999999998,17.099999999999998,93.46666666666667
2018-01-23,17.25,17.7,17.25,17.4,56.266666666666666
2018-01-24,17.549999999999997,17.549999999999997,17.25,17.4,163.46666666666667
2018-01-25,18.75,19.2,17.4,17.4,2264.4
2018-01-26,17.7,17.849999999999998,17.25,17.7,114.8
2018-01-29,17.549999999999997,17.7,17.549999999999997,17.7,16.2
2018-01-30,17.4,17.4,17.099999999999998,17.25,312.0
2018-01-31,17.4,17.4,17.099999999999998,17.099999999999998,56.53333333333333
2018-02-01,17.099999999999998,17.099999999999998,16.05,16.650000000000002,1508.4
2018-02-02,16.5,16.95,16.05,16.05,48.6
2018-02-05,15.75,17.25,15.600000000000001,15.75,301.73333333333335
2018-02-06,15.75,16.5,15.600000000000001,16.05,356.0
2018-02-07,16.05,16.95,16.05,16.95,473.1333333333333
2018-02-08,17.099999999999998,17.099999999999998,15.600000000000001,15.600000000000001,672.2666666666667
2018-02-09,15.75,16.200000000000003,12.375,13.35,8585.333333333334
2018-02-12,13.215,13.881,12.75,12.75,3227.0666666666666
2018-02-13,12.798,12.798,10.200000000000001,10.4625,2882.6666666666665
2018-02-14,11.25,11.55,10.7985,11.55,1046.0
2018-02-15,12.1275,12.148499999999999,10.799999999999999,10.799999999999999,979.3333333333334
2018-02-16,10.95,11.2485,10.5,10.6305,1057.9333333333334
2018-02-20,10.5,10.799999999999999,10.35,10.799999999999999,784.9333333333333
2018-02-21,10.799999999999999,10.799999999999999,9.75,9.9,614.9333333333333
2018-02-22,10.35,11.700000000000001,10.1985,10.965,4131.933333333333
2018-02-23,10.92,11.25,9.003,10.35,1871.6666666666667
2018-02-26,10.4595,11.475,10.23,11.1,1762.0666666666666
2018-02-27,10.5,10.5,9.445500000000001,9.445500000000001,1906.0666666666666
2018-02-28,9.45,9.9015,9.2265,9.6,4375.733333333334
2018-03-01,9.534,10.0065,8.7,9.15,2214.4666666666667
2018-03-02,8.9475,9.15,7.7415,8.061,5066.466666666666
2018-03-05,8.25,8.6625,7.1985,7.35,3693.4
2018-03-06,7.5,8.025,7.2135,7.425,2113.8
2018-03-07,7.633500000000001,8.549999999999999,7.365,7.953,3318.4
2018-03-08,7.92,7.92,7.575,7.722,472.46666666666664
2018-03-09,7.7250000000000005,8.25,7.5,7.6185,3287.6
2018-03-12,7.5,8.100000000000001,7.4399999999999995,7.6845,1095.1333333333334
2018-03-13,7.918500000000001,11.6235,7.918500000000001,9.3,12892.2
2018-03-14,8.549999999999999,10.05,7.575,8.25,7613.6
2018-03-15,8.3625,8.7,7.515,8.088000000000001,3863.3333333333335
2018-03-16,7.8839999999999995,8.277,7.65,7.95,3765.3333333333335
2018-03-19,7.665,7.800000000000001,7.05,7.1505,3375.266666666667
2018-03-20,7.482,26.25,7.482,13.5015,372216.8
2018-03-21,12.158999999999999,12.299999999999999,8.706,9.15,85213.93333333333
2018-03-22,9.448500000000001,9.45,7.875,8.25,29133.4
2018-03-23,7.95,8.583,7.4235,8.020499999999998,25256.2
2018-03-26,9.72,10.95,8.25,8.371500000000001,53492.333333333336
2018-03-27,8.25,8.549999999999999,7.605,8.100000000000001,13750.866666666667
2018-03-28,9.15,9.285,7.807499999999999,8.568000000000001,49702.2
2018-03-29,8.408999999999999,8.458499999999999,7.9515,8.058,5127.733333333334
2018-04-02,8.0625,8.07,7.515,7.9065,16391.0
2018-04-03,7.785,7.785,7.197,7.2015,10052.933333333332
2018-04-04,7.0395,7.0395,5.7105,6.225,10341.0
2018-04-05,6.6,6.63,6.0375000000000005,6.3765,5263.8
2018-04-06,6.45,7.0424999999999995,6.3149999999999995,6.484500000000001,9728.2
2018-04-09,6.451499999999999,7.2225,6.451499999999999,6.9,6287.466666666666
2018-04-10,6.9615,7.17,6.75,6.984,3217.3333333333335
2018-04-11,8.175,8.826,7.5,7.695,28119.866666666665
2018-04-12,7.6979999999999995,7.6979999999999995,7.2225,7.425,2830.6
2018-04-13,7.335,7.35,6.9,7.216500000000001,3669.4666666666667
2018-04-16,7.35,7.35,6.45,6.7515,9462.466666666667
2018-04-17,6.825,6.825,6.015000000000001,6.45,9380.0
2018-04-18,7.425,7.62,6.7515,6.825,25349.8
2018-04-19,6.6165,6.75,6.3,6.525,6334.2
2018-04-20,6.9,6.9,6.3765,6.6375,3230.733333333333
2018-04-23,6.3180000000000005,6.7485,6.3180000000000005,6.465,1901.6
2018-04-24,6.308999999999999,6.6,6.308999999999999,6.495,564.1333333333333
2018-04-25,6.3,6.495,6.3,6.331499999999999,1812.7333333333333
2018-04-26,6.3885,6.45,5.865,6.165,3676.6666666666665
2018-04-27,6.27,6.5625,6.0,6.2535,3413.0666666666666
2018-04-30,6.1499999999999995,6.45,6.119999999999999,6.45,949.3333333333334
2018-05-01,6.075,6.3,6.075,6.297,1830.8666666666666
2018-05-02,6.1499999999999995,6.225,5.925000000000001,5.960999999999999,3075.8
2018-05-03,5.8575,5.9745,5.468999999999999,5.6985,2993.0666666666666
2018-05-04,5.625,6.3,5.625,6.239999999999999,2612.3333333333335
2018-05-07,6.1499999999999995,6.3,6.0255,6.255,1436.1333333333334
2018-05-08,6.225,6.225,5.775,5.8500000000000005,1610.0
2018-05-09,5.8500000000000005,5.9205,5.7105,5.7855,1554.0
2018-05-10,5.853,5.8725000000000005,5.715,5.7765,2911.8
2018-05-11,6.1499999999999995,6.1499999999999995,5.7,5.7,3021.866666666667
2018-05-14,7.3905,9.75,6.78,7.1355,164568.8
2018-05-15,7.199999999999999,7.199999999999999,6.3,6.3,17319.4
2018-05-16,6.0,6.222,5.8500000000000005,6.0135,8390.133333333333
2018-05-17,6.75,6.885000000000001,6.2325,6.3075,12929.6
2018-05-18,6.3015,7.0200000000000005,6.225,6.795,10950.666666666666
2018-05-21,6.9,6.9,6.3,6.303,7220.2
2018-05-22,8.549999999999999,9.6,7.05,7.35,174631.0
2018-05-23,7.05,7.65,6.75,7.617000000000001,23468.533333333333
2018-05-24,8.549999999999999,8.985,7.567499999999999,8.2215,43794.8
2018-05-25,8.235000000000001,8.2485,7.577999999999999,8.100000000000001,15331.266666666666
2018-05-29,8.205,8.205,7.522499999999999,7.65,6697.266666666666
2018-05-30,7.0515,7.2749999999999995,6.525,7.05,14772.733333333334
2018-05-31,7.095,7.095,6.75,6.825,6980.466666666666
2018-06-01,7.008,7.199999999999999,6.735,7.05,14210.466666666667
2018-06-04,7.05,7.3335,6.8415,6.8805,2699.8
2018-06-05,7.05,7.0815,6.7515,6.753,2772.6
2018-06-06,7.35,7.71,7.0649999999999995,7.113,14137.133333333333
2018-06-07,7.0125,7.457999999999999,7.0125,7.125,3988.8
2018-06-08,7.125,7.29,6.930000000000001,7.05,4387.466666666666
2018-06-11,7.125,7.5,6.825,6.99,6587.333333333333
2018-06-12,7.167,7.2015,6.976500000000001,7.08,5164.666666666667
2018-06-13,7.173,8.055,7.14,7.2749999999999995,11049.733333333334
2018-06-14,7.1265,7.800000000000001,7.1265,7.41,4935.133333333333
2018-06-15,7.35,7.800000000000001,7.0935,7.305,7284.4
2018-06-18,7.35,7.35,6.9,6.9750000000000005,5363.133333333333
2018-06-19,6.930000000000001,6.930000000000001,6.4575,6.555,8224.733333333334
2018-06-20,6.75,6.9,6.375,6.54,5492.8
2018-06-21,6.375,6.6,6.375,6.45,2461.9333333333334
2018-06-22,6.6,6.662999999999999,6.181500000000001,6.2985,2593.2
2018-06-25,6.015000000000001,6.111,5.5485,5.82,6314.0
2018-06-26,6.0,6.1499999999999995,5.805,6.066,3214.9333333333334
2018-06-27,6.0,6.0,5.7825,5.8425,2417.2
2018-06-28,5.8500000000000005,5.8500000000000005,5.25,5.4585,10828.6
2018-06-29,5.5920000000000005,5.628,5.4239999999999995,5.517,1907.2
2018-07-02,5.7,5.925000000000001,5.1000000000000005,5.3685,6735.2
2018-07-03,5.775,5.775,4.8,5.1855,3238.0666666666666
2018-07-05,5.3985,5.73,5.103,5.34,2369.4666666666667
2018-07-06,5.25,5.547000000000001,5.1000000000000005,5.1555,4506.866666666667
2018-07-09,5.412,5.412,4.98,5.025,2647.0666666666666
2018-07-10,5.2755,5.31,5.1000000000000005,5.1000000000000005,2614.4666666666667
2018-07-11,5.223,5.2485,4.8015,4.9395,1937.4
2018-07-12,4.983,5.07,4.8495,5.037,1082.2
2018-07-13,4.9515,5.025,4.95,4.989,482.6666666666667
