Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2007-02-09,11.0,12.12,10.52,11.9,1398917.0
2007-02-12,11.85,12.45,11.4,11.84,105913.0
2007-02-13,11.95,12.02,11.59,11.92,89192.0
2007-02-14,11.9,11.9,11.6,11.6,55143.0
2007-02-15,11.83,11.83,11.4,11.54,65653.0
2007-02-16,11.6,11.71,11.45,11.61,52955.0
2007-02-20,11.55,12.61,11.55,12.45,43694.0
2007-02-21,12.52,12.53,12.22,12.49,34499.0
2007-02-22,12.5,12.5,11.97,12.33,24741.0
2007-02-23,12.18,12.19,11.99,12.09,18202.0
2007-02-26,12.22,12.22,11.82,11.96,17994.0
2007-02-27,11.91,12.19,11.5,11.52,23413.0
2007-02-28,11.68,11.86,11.52,11.64,9927.0
2007-03-01,11.55,11.57,10.68,11.2,111968.0
2007-03-02,11.25,11.68,11.25,11.35,28285.0
2007-03-05,11.32,11.5,11.08,11.28,10218.0
2007-03-06,11.05,11.35,10.62,10.9,78977.0
2007-03-07,10.92,11.26,9.94,11.25,188591.0
2007-03-08,11.48,11.48,10.91,11.0,21432.0
2007-03-09,10.92,11.07,10.91,11.02,52627.0
2007-03-12,11.04,11.1,11.0,11.0,39626.0
2007-03-13,10.99,11.08,10.8,10.93,34606.0
2007-03-14,10.97,11.04,10.9,10.94,41343.0
2007-03-15,11.0,11.04,10.92,10.92,9022.0
2007-03-16,10.93,11.03,10.67,10.88,14975.0
2007-03-19,11.03,11.03,10.63,10.82,82963.0
2007-03-20,10.62,11.38,10.6,11.07,79389.0
2007-03-21,5.72,6.85,5.46,6.49,8918331.0
2007-03-22,6.55,6.75,6.26,6.3,1098659.0
2007-03-23,6.36,6.36,5.96,6.08,555278.0
2007-03-26,5.96,6.0,5.57,5.66,410079.0
2007-03-27,5.62,5.77,5.35,5.43,560333.0
2007-03-28,5.38,5.7,5.35,5.39,359030.0
2007-03-29,5.3,5.41,5.07,5.12,373737.0
2007-03-30,5.14,5.61,5.13,5.37,691163.0
2007-04-02,5.34,5.62,5.34,5.51,199243.0
2007-04-03,5.49,5.61,5.4,5.56,162278.0
2007-04-04,5.54,5.59,5.37,5.52,85368.0
2007-04-05,5.5,5.55,5.46,5.55,38929.0
2007-04-09,5.55,5.69,5.44,5.57,157449.0
2007-04-10,5.56,5.81,5.56,5.77,116578.0
2007-04-11,5.77,5.89,5.7,5.83,87017.0
2007-04-12,5.8,5.9,5.7,5.76,72028.0
2007-04-13,5.72,5.79,5.72,5.77,39588.0
2007-04-16,5.91,5.91,5.72,5.73,67746.0
2007-04-17,5.74,5.75,5.65,5.7,80459.0
2007-04-18,5.69,5.79,5.67,5.69,56603.0
2007-04-19,5.67,5.69,5.59,5.65,60057.0
2007-04-20,5.71,5.83,5.57,5.74,71635.0
2007-04-23,5.72,5.76,5.68,5.68,19824.0
2007-04-24,5.7,5.81,5.7,5.71,163290.0
2007-04-25,5.68,5.81,5.62,5.7,38259.0
2007-04-26,5.69,5.76,5.54,5.59,50874.0
2007-04-27,5.59,5.73,5.4,5.68,46356.0
2007-04-30,5.67,5.89,5.67,5.8,96438.0
2007-05-01,5.85,5.91,5.77,5.88,66253.0
2007-05-02,5.89,5.89,5.77,5.79,25819.0
2007-05-03,5.83,5.83,5.77,5.8,33091.0
2007-05-04,5.8,5.98,5.82,5.98,43081.0
2007-05-07,6.0,6.09,5.91,5.95,85591.0
2007-05-08,5.95,5.95,5.82,5.89,49345.0
2007-05-09,5.85,5.92,5.67,5.9,37412.0
2007-05-10,5.89,5.92,5.69,5.9,63690.0
