Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-05-27,7.39,8.11,6.39,6.75,30680.0
2014-05-28,6.5,6.8,6.3,6.75,6870.0
2014-05-29,6.775,6.85,6.16,6.3,42399.0
2014-05-30,6.25,6.74,5.82,6.74,27914.0
2014-06-02,6.69,7.38,6.5,7.38,16262.0
2014-06-03,7.34,7.37,6.61,7.25,15299.0
2014-06-04,7.23,7.46,7.23,7.4,4002.0
2014-06-05,7.47,7.48,7.39,7.45,1000.0
2014-06-06,7.49,8.05,7.49,8.05,6510.0
2014-06-09,8.99,8.99,8.1,8.25,14052.0
2014-06-10,8.4,8.4,8.02,8.02,11450.0
2014-06-11,8.5,8.65,8.25,8.35,1500.0
2014-06-12,8.8,9.76,8.38,8.4,1638.0
2014-06-13,9.2,9.2,8.28,8.65,11497.0
2014-06-16,9.21,9.21,7.76,7.92,3012.0
2014-06-17,7.71,8.33,7.51,8.1,4893.0
2014-06-18,7.9,8.1,7.9,8.0,700.0
2014-06-19,8.1,8.1,8.0,8.0,200.0
2014-06-20,7.9,8.0,7.82,8.0,4682.0
2014-06-23,8.03,8.39,7.9,8.34,1400.0
2014-06-24,8.0,8.05,7.94,8.0,15050.0
2014-06-25,8.38,8.5,7.86,8.0,3725.0
2014-06-26,8.16,8.37,8.09,8.09,450.0
2014-06-27,8.1,8.3,8.06,8.3,5000.0
2014-06-30,8.4,8.4,8.12,8.33,6861.0
2014-07-01,8.05,8.05,7.9,7.9,1550.0
2014-07-02,7.98,8.2,7.51,8.05,13125.0
2014-07-03,8.19,8.5,8.17,8.5,26458.0
2014-07-07,8.45,8.75,8.3,8.65,6468.0
2014-07-08,8.65,9.15,8.55,8.8,1956.0
2014-07-09,9.17,9.17,8.79,8.8,8200.0
2014-07-10,8.99,9.0,8.8,8.8,3402.0
2014-07-11,8.79,9.0,8.67,8.67,2998.0
2014-07-14,8.77,8.8,8.7,8.8,2027.0
2014-07-15,8.6,8.6,8.27,8.45,16525.0
2014-07-16,8.23,8.6,8.2,8.6,2200.0
2014-07-17,8.73,8.8,8.3,8.8,600.0
2014-07-18,8.79,8.8,8.73,8.8,4400.0
2014-07-21,8.37,8.85,8.21,8.85,7440.0
2014-07-22,8.7,8.89,8.7,8.89,899.0
2014-07-23,8.84,8.84,8.84,8.84,18.0
2014-07-24,8.67,8.85,8.5,8.65,6772.0
2014-07-25,8.58,8.84,8.51,8.75,8285.0
2014-07-28,8.8,8.8,8.77,8.8,856.0
2014-07-29,9.0,9.15,8.75,9.0,2900.0
2014-07-30,8.83,8.99,8.66,8.94,3222.0
2014-07-31,9.22,9.22,9.0,9.1,3255.0
2014-08-01,9.35,9.35,9.05,9.19,900.0
2014-08-04,9.15,9.5,9.095,9.5,3479.0
2014-08-05,9.47,9.47,9.25,9.26,11447.0
2014-08-06,9.47,9.5,9.1,9.21,7600.0
2014-08-07,9.32,9.32,9.0,9.0,7464.0
2014-08-08,9.1,9.1,8.66,9.07,2432.0
2014-08-11,9.03,9.07,8.63,9.07,2659.0
2014-08-12,8.99,9.1,8.99,9.1,4350.0
2014-08-13,10.64,10.64,9.37,9.69,6895.0
2014-08-14,10.0,10.0,9.2,9.2,5888.0
2014-08-15,9.34,9.88,9.34,9.88,685.0
2014-08-18,10.35,10.35,10.15,10.2,1935.0
2014-08-19,9.94,9.94,9.0,9.49,5001.0
2014-08-20,9.56,9.56,8.85,8.85,3100.0
2014-08-21,8.88,8.88,8.74,8.74,8700.0
2014-08-22,8.67,9.03,8.67,8.84,2300.0
2014-08-25,9.05,9.6,8.82,9.6,3099.0
2014-08-26,9.2,9.2,8.82,8.82,1014.0
