Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-01-31,45.8,47.86,42.0,42.25,1680949.0
2014-02-03,43.95,43.95,38.8,39.0,96410.0
2014-02-04,38.8,40.1,36.18,36.26,74785.0
2014-02-05,38.51,38.51,35.2,36.08,87288.0
2014-02-06,36.84,38.5,36.0,37.24,37556.0
2014-02-07,36.46,38.27,36.46,37.65,21696.0
2014-02-10,37.595,39.72,37.595,38.45,14214.0
2014-02-11,39.83,40.43,38.95,40.13,9951.0
2014-02-12,40.05,46.0,40.05,44.78,72081.0
2014-02-13,44.27,44.56,40.51,43.96,20080.0
2014-02-14,43.56,44.12,42.66,44.0,8844.0
2014-02-18,44.0,44.01,42.85,43.57,15572.0
2014-02-19,43.71,44.0,41.72,43.85,17431.0
2014-02-20,43.64,51.48,43.64,51.35,50316.0
2014-02-21,51.86,62.41,49.85,59.1,55116.0
2014-02-24,58.53,59.58,54.17,58.01,45914.0
2014-02-25,60.0,63.0,58.11,59.0,55775.0
2014-02-26,58.5,59.42,54.34,56.07,22770.0
2014-02-27,56.47,56.58,53.82,54.0,26091.0
2014-02-28,54.0,57.11,53.27,55.76,17370.0
2014-03-03,51.87,59.31,50.07,55.53,22636.0
2014-03-04,56.59,59.41,54.82,58.22,28579.0
2014-03-05,62.34,62.34,58.51,58.75,33054.0
2014-03-06,58.5,59.29,52.35,54.38,28102.0
2014-03-07,54.98,58.81,50.07,56.625,48598.0
2014-03-10,59.06,62.27,57.1,61.97,33978.0
2014-03-11,64.41,64.5,59.72,62.38,32123.0
2014-03-12,61.18,66.5,61.0,66.18,18693.0
2014-03-13,67.18,68.85,57.12,60.48,82632.0
2014-03-14,57.58,61.4,57.58,60.0,20650.0
2014-03-17,60.51,60.78,59.0,60.06,29046.0
2014-03-18,60.0,60.795,59.75,60.44,25628.0
2014-03-19,60.79,64.685,60.25,62.75,35570.0
2014-03-20,62.23,62.85,59.38,60.35,26949.0
2014-03-21,60.58,60.9,55.05,55.05,273322.0
2014-03-24,55.34,55.47,50.25,51.41,52586.0
2014-03-25,51.9,54.2,49.45,50.4,36246.0
2014-03-26,50.5,51.31,50.01,50.69,19468.0
2014-03-27,51.05,52.2,49.4,49.79,28206.0
2014-03-28,50.22,50.75,45.0,45.69,24753.0
2014-03-31,46.26,48.96,45.68,48.89,351365.0
2014-04-01,49.16,51.74,48.94,51.32,32359.0
2014-04-02,51.37,53.3,51.37,53.03,40217.0
2014-04-03,52.83,52.83,48.57,51.74,30281.0
2014-04-04,51.88,52.17,47.25,50.67,31609.0
2014-04-07,50.6,51.99,49.55,51.17,21424.0
2014-04-08,51.0,53.12,49.11,52.8,29505.0
2014-04-09,53.3,60.0,51.45,58.8,52914.0
2014-04-10,58.48,58.48,55.06,57.94,43248.0
2014-04-11,57.55,60.0,56.31,58.99,76994.0
2014-04-14,59.75,59.75,54.96,55.06,34718.0
2014-04-15,55.44,55.44,46.57,49.89,58253.0
2014-04-16,49.91,49.91,44.385,45.22,76120.0
2014-04-17,44.87,44.87,42.01,42.56,111358.0
2014-04-21,42.56,42.71,39.47,41.04,51894.0
2014-04-22,41.19,43.32,39.8,41.43,57228.0
2014-04-23,41.15,41.15,37.96,38.24,40875.0
2014-04-24,38.5,38.54,36.22,37.83,28735.0
2014-04-25,37.56,37.56,35.09,35.25,38416.0
2014-04-28,35.49,37.53,34.22,36.84,47165.0
2014-04-29,36.84,38.71,36.82,38.52,35945.0
2014-04-30,38.49,38.98,37.0,38.78,62767.0
2014-05-01,38.56,39.41,37.07,38.85,46359.0
2014-05-02,39.06,39.21,38.09,38.56,19224.0
2014-05-05,38.24,39.13,38.2,38.54,22063.0
2014-05-06,38.56,38.56,35.95,36.24,21118.0
2014-05-07,36.39,36.88,34.5,35.14,29092.0
2014-05-08,35.14,37.11,34.72,34.93,26694.0
2014-05-09,34.86,36.66,34.7,36.55,17664.0
2014-05-12,36.6,37.81,33.83,34.04,66116.0
2014-05-13,33.86,34.08,33.02,33.44,39564.0
2014-05-14,33.27,35.49,32.84,35.26,37845.0
2014-05-15,35.0,37.1,35.0,36.36,33787.0
2014-05-16,36.3,37.185,34.34,34.48,28703.0
2014-05-19,34.19,35.06,33.24,33.8,26553.0
2014-05-20,33.75,34.29,32.45,33.36,32300.0
2014-05-21,33.43,33.85,32.02,33.74,38519.0
2014-05-22,33.6,34.715,33.41,34.5,21247.0
2014-05-23,34.47,35.25,34.15,35.21,11178.0
2014-05-27,34.65,37.13,34.6,37.1,23252.0
2014-05-28,37.1,37.25,36.02,36.16,16721.0
2014-05-29,36.19,38.01,36.0,37.92,16350.0
2014-05-30,38.09,38.13,37.36,37.56,33985.0
2014-06-02,37.56,37.75,35.99,37.42,18500.0
2014-06-03,37.46,37.46,35.52,35.62,16506.0
2014-06-04,35.55,36.0,32.56,33.55,29702.0
2014-06-05,33.48,34.35,33.31,34.28,24675.0
2014-06-06,34.51,35.99,34.51,35.51,17033.0
2014-06-09,35.61,37.9,35.61,37.85,21967.0
2014-06-10,37.6,37.6,36.08,36.78,20623.0
2014-06-11,36.44,36.64,35.25,35.91,20167.0
2014-06-12,36.0,37.2,36.0,36.98,17095.0
2014-06-13,37.17,37.77,35.4,36.91,40309.0
2014-06-16,36.77,40.98,36.71,40.81,46833.0
2014-06-17,40.63,42.89,39.66,42.58,39162.0
2014-06-18,42.63,50.87,42.63,48.67,96553.0
2014-06-19,48.72,49.49,44.36,44.6,38205.0
2014-06-20,44.87,47.86,42.99,47.49,126264.0
2014-06-23,47.11,48.08,44.63,44.77,44009.0
2014-06-24,44.95,49.48,44.95,45.44,49624.0
2014-06-25,44.84,47.0,43.02,45.48,45069.0
2014-06-26,45.27,46.2,44.22,44.69,42217.0
2014-06-27,44.78,44.78,43.64,44.75,43547.0
2014-06-30,44.62,46.0,44.4,44.89,22199.0
2014-07-01,45.35,48.48,45.35,47.9,40917.0
2014-07-02,47.99,49.74,47.52,49.57,27477.0
2014-07-03,49.98,50.38,49.88,50.31,12208.0
2014-07-07,50.35,50.35,46.75,46.86,36916.0
2014-07-08,45.98,45.98,40.58,41.4,132923.0
2014-07-09,40.5,40.98,37.77,40.0,507545.0
2014-07-10,38.99,41.17,38.56,40.37,88878.0
2014-07-11,40.37,43.52,40.26,42.97,54641.0
2014-07-14,43.1,44.48,41.68,43.85,68204.0
2014-07-15,43.62,43.75,41.02,41.99,84163.0
2014-07-16,43.25,44.59,41.7,42.93,53334.0
2014-07-17,42.62,44.34,39.22,39.89,92350.0
2014-07-18,39.74,43.42,39.5,43.0,304320.0
2014-07-21,43.29,43.73,42.53,43.24,62637.0
2014-07-22,43.37,43.73,42.63,42.97,36111.0
2014-07-23,43.4,44.3,42.95,43.05,45330.0
2014-07-24,43.41,43.7,42.73,43.27,35093.0
2014-07-25,42.87,43.53,42.85,43.11,29412.0
2014-07-28,43.02,43.09,40.19,40.67,30046.0
2014-07-29,40.6,41.98,40.35,41.52,35274.0
2014-07-30,41.78,44.0,40.17,43.76,71367.0
2014-07-31,43.38,44.0,42.34,43.7,55430.0
2014-08-01,43.6,43.95,41.25,42.74,160801.0
2014-08-04,43.17,46.07,42.33,45.65,139473.0
2014-08-05,44.97,48.81,44.53,48.5,89538.0
2014-08-06,47.97,50.24,47.69,50.0,142519.0
2014-08-07,49.78,49.98,48.5,49.15,129788.0
2014-08-08,49.17,49.94,48.01,49.49,122974.0
2014-08-11,49.84,50.0,48.34,49.15,207151.0
2014-08-12,49.21,51.44,48.78,50.44,102027.0
2014-08-13,50.54,54.48,50.54,53.45,78580.0
2014-08-14,53.45,54.38,52.34,53.9,17411.0
2014-08-15,54.14,54.52,52.46,54.01,36458.0
2014-08-18,54.66,56.24,53.57,56.01,39998.0
2014-08-19,55.48,57.24,54.5,55.88,114771.0
2014-08-20,55.46,56.26,55.08,56.03,90507.0
2014-08-21,56.01,56.01,52.51,53.15,111644.0
2014-08-22,52.16,53.12,51.82,52.32,78938.0
2014-08-25,53.12,55.03,52.31,53.33,183920.0
2014-08-26,53.26,54.18,52.34,52.73,155655.0
2014-08-27,52.63,53.54,52.46,52.93,45411.0
2014-08-28,52.4,54.13,52.4,53.87,59149.0
2014-08-29,54.4,54.4,52.77,53.36,90080.0
2014-09-02,52.82,53.73,52.15,53.41,44060.0
2014-09-03,54.51,59.06,53.59,55.7,91189.0
2014-09-04,56.34,56.47,54.22,56.06,134005.0
2014-09-05,55.84,55.93,53.51,54.26,95971.0
2014-09-08,54.14,55.75,54.14,54.74,54386.0
2014-09-09,54.19,57.0,53.86,55.07,92491.0
2014-09-10,54.82,58.33,54.39,58.06,78097.0
2014-09-11,57.88,57.89,56.51,57.67,78151.0
