Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-09-24,45.0,47.5,43.5,44.0,524350.0
1997-09-25,45.0,45.5,43.5,44.0,84050.0
1997-09-26,44.0,47.0,44.0,45.5,34350.0
1997-09-29,44.5,47.0,44.5,45.0,14275.0
1997-09-30,45.0,47.5,44.5,47.0,42200.0
1997-10-01,47.5,47.5,44.0,44.0,15450.0
1997-10-02,45.0,45.0,44.0,44.5,1900.0
1997-10-03,45.5,45.5,44.0,44.0,8375.0
1997-10-06,44.0,45.5,44.0,44.0,1525.0
1997-10-07,45.5,45.5,44.0,44.0,5375.0
1997-10-08,44.0,45.5,44.0,44.5,32775.0
1997-10-09,44.5,46.0,44.0,44.0,61150.0
1997-10-10,45.0,45.0,43.5,43.5,18050.0
1997-10-13,44.5,44.5,39.0,40.0,29275.0
1997-10-14,40.0,41.0,39.0,40.5,23525.0
1997-10-15,40.0,40.5,39.0,39.0,41625.0
1997-10-16,39.5,40.0,37.5,37.5,55550.0
1997-10-17,37.5,38.0,36.0,36.0,16525.0
1997-10-20,36.0,40.0,36.0,39.0,106550.0
1997-10-21,39.5,41.0,38.5,38.5,34875.0
1997-10-22,40.0,40.0,38.5,38.75,12975.0
1997-10-23,37.0,38.5,36.5,38.5,6950.0
1997-10-24,38.125,39.5,36.5,37.25,19700.0
1997-10-27,37.0,37.0,29.5,30.5,23100.0
1997-10-28,29.5,38.0,28.5,38.0,55725.0
1997-10-29,39.0,40.0,38.0,38.75,22450.0
1997-10-30,38.0,38.5,36.75,37.0,5450.0
1997-10-31,38.0,39.5,37.0,37.0,9825.0
1997-11-03,37.5,37.5,37.0,37.0,6950.0
1997-11-04,37.0,38.0,36.0,36.0,6500.0
1997-11-05,36.0,36.5,36.0,36.5,9825.0
1997-11-06,36.0,36.5,36.0,36.5,11625.0
1997-11-07,36.0,37.5,35.5,37.0,10350.0
1997-11-10,38.0,39.0,37.0,39.0,16125.0
1997-11-11,38.0,39.5,38.0,39.5,15175.0
1997-11-12,40.0,40.0,36.0,37.0,37675.0
1997-11-13,36.5,37.5,36.5,37.0,43625.0
1997-11-14,37.0,37.5,37.0,37.0,15550.0
1997-11-17,38.0,38.0,37.0,37.5,5300.0
1997-11-18,37.0,38.25,37.0,37.0,46175.0
1997-11-19,37.0,37.5,37.0,37.0,10400.0
1997-11-20,37.5,37.5,36.5,36.5,16650.0
1997-11-21,36.75,36.75,36.0,36.25,25100.0
1997-11-24,36.0,36.0,35.5,35.5,2175.0
1997-11-25,35.5,36.0,31.0,32.75,14825.0
1997-11-26,33.0,33.0,31.5,31.5,3600.0
1997-11-28,33.0,33.0,31.0,31.0,2725.0
1997-12-01,32.0,33.0,31.75,32.5,20550.0
1997-12-02,32.0,32.5,32.0,32.0,7150.0
1997-12-03,31.0,31.5,31.0,31.5,1525.0
1997-12-04,32.5,32.5,30.0,30.0,11575.0
1997-12-05,32.5,32.5,30.0,31.0,2350.0
1997-12-08,32.5,32.5,32.0,32.5,1575.0
1997-12-09,31.0,31.5,31.0,31.3125,7200.0
1997-12-10,30.25,31.5,30.0,30.0,2300.0
1997-12-11,30.0,30.0,30.0,30.0,3875.0
1997-12-12,30.0,30.0,28.5,28.75,2750.0
1997-12-15,28.5,29.0,28.0,28.0,2400.0
1997-12-16,28.5,28.5,27.0,28.5,6475.0
1997-12-17,28.0,31.0,28.0,30.0,81800.0
1997-12-18,30.0,30.0,28.0,28.5,3875.0
1997-12-19,28.5,28.5,27.5,28.0,5850.0
1997-12-22,28.0,28.0,27.5,27.5,1675.0
1997-12-23,27.5,27.5,27.5,27.5,50.0
1997-12-24,27.0,28.0,25.0,27.5,19175.0
1997-12-26,27.5,28.0,27.0,28.0,2650.0
1997-12-29,28.0,28.0,26.0,28.0,12050.0
1997-12-30,27.0,27.5,25.0,27.5,1525.0
1997-12-31,27.0,28.0,27.0,27.0,4950.0
1998-01-02,27.0,27.5,27.0,27.0,500.0
1998-01-05,28.5,29.5,27.5,28.75,2950.0
