Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-06-06,8.03,8.43,8.0,8.01,882915.0
2014-06-09,7.76,8.2,7.55,8.0,92027.0
2014-06-10,8.1,8.1,8.0,8.0,41680.0
2014-06-11,7.98,8.005,7.98,7.98,28800.0
2014-06-12,8.0,8.2,8.0,8.01,15236.0
2014-06-13,8.0,8.46,8.0,8.23,15866.0
2014-06-16,8.22,8.22,7.46,8.14,27534.0
2014-06-17,8.2,8.29,8.0,8.18,45930.0
2014-06-18,8.15,8.6,8.15,8.6,15579.0
2014-06-19,8.6,8.99,8.5,8.78,20988.0
2014-06-20,8.93,9.73,8.68,9.73,46854.0
2014-06-23,9.7,10.0,9.6,9.99,32660.0
2014-06-24,11.3,11.3,10.0,10.57,10858.0
2014-06-25,10.7,10.77,10.4,10.6,2856.0
2014-06-26,10.2,10.56,10.08,10.25,2720.0
2014-06-27,10.43,10.9,10.35,10.82,6559.0
2014-06-30,10.8,14.48,10.8,13.0,42572.0
2014-07-01,13.3,16.69,13.3,16.63,38766.0
2014-07-02,16.9,17.25,14.57,15.29,33683.0
2014-07-03,15.28,15.99,14.33,15.11,16485.0
2014-07-07,15.17,15.39,12.79,13.35,13243.0
2014-07-08,13.39,13.39,11.44,11.53,26687.0
2014-07-09,11.51,11.88,10.44,10.96,18236.0
2014-07-10,10.42,10.63,10.06,10.59,21730.0
2014-07-11,10.54,12.7,10.54,11.55,13334.0
2014-07-14,11.58,13.44,11.5,12.46,59844.0
2014-07-15,12.44,12.88,11.48,12.14,6635.0
2014-07-16,12.7,13.87,12.61,13.055,20969.0
2014-07-17,13.44,13.44,12.25,12.32,15387.0
2014-07-18,12.56,12.56,11.85,12.06,10812.0
2014-07-21,12.0,12.0,11.05,11.16,4912.0
2014-07-22,11.15,11.94,10.44,10.61,9968.0
2014-07-23,10.58,10.74,10.06,10.07,10514.0
2014-07-24,10.06,10.31,10.06,10.16,879.0
2014-07-25,10.17,10.47,10.08,10.26,6756.0
2014-07-28,10.4,10.68,10.21,10.3,3560.0
2014-07-29,10.27,10.45,9.2,9.6,38258.0
2014-07-30,9.66,10.0,9.21,9.21,12050.0
2014-07-31,9.15,9.5,8.62,8.92,19114.0
2014-08-01,8.88,8.88,8.24,8.38,25769.0
2014-08-04,8.5,9.5,8.5,9.46,19033.0
